"","PPG.Open","PPG.High","PPG.Low","PPG.Close","PPG.Volume","PPG.Adjusted"
"1",95.43,95.970001,94.57,95.25,1358100,87.711258
"2",95.709999,97.519997,95.629997,97.269997,1334500,89.57135
"3",96.459999,96.620003,95.400002,95.620003,1661900,88.051964
"4",95.769997,96.139999,95.290001,95.589996,1379800,88.024315
"5",95.050003,96.459999,94.769997,96.349998,1454000,88.724197
"6",96.07,96.650002,95.669998,96.389999,1418100,88.761017
"7",96.25,96.669998,95.580002,96.629997,1169900,88.98201
"8",96.449997,96.980003,95.800003,96.870003,1027100,89.203033
"9",96.830002,97.099998,96.169998,96.32,1237900,88.696556
"10",95.790001,96.080002,94.620003,95.970001,2251600,88.374275
"11",95.970001,96.849998,95.660004,96.690002,2144200,89.037285
"12",97.839996,98.980003,96,97.5,3378000,89.783173
"13",98.029999,99.82,97.870003,99,2805500,91.164452
"14",98.739998,100.309998,98.699997,100.239998,2340700,92.30629
"15",100.739998,102.550003,100.440002,101.800003,2264400,93.742828
"16",102.199997,102.279999,100.879997,101.080002,2107500,93.079834
"17",101.639999,102,100.760002,101.849998,1591700,93.788872
"18",101.690002,102.120003,101.220001,102.019997,1333600,93.945412
"19",102.150002,102.150002,100.440002,102.029999,1996100,93.95462
"20",101.720001,101.860001,99.290001,100.010002,2571500,92.094513
"21",99.650002,100.760002,99,100.559998,1643600,92.60099
"22",100.510002,101.080002,100.040001,100.580002,1971400,92.619385
"23",101.110001,101.150002,100.419998,100.940002,921600,92.95089
"24",100.32,100.989998,99.550003,99.919998,1606000,92.011635
"25",100.040001,100.82,99.769997,100.010002,1084100,92.094513
"26",100.080002,100.269997,99.57,100.099998,1029100,92.177391
"27",100.190002,100.480003,99.790001,100.129997,726400,92.205002
"28",100.199997,100.949997,100.019997,100.540001,1304200,92.582565
"29",100.940002,101.25,100.639999,100.809998,980900,92.8312
"30",100.910004,101.75,100.470001,101.57,1531000,93.531044
"31",101,101.669998,100.910004,101.5,877500,93.836113
"32",101.800003,101.989998,100.989998,101.769997,878500,94.085747
"33",101.709999,102.370003,100.739998,102.370003,1306000,94.640419
"34",102.5,103.129997,102.349998,103,2263300,95.22287
"35",102.400002,103.339996,102.32,102.809998,1950600,95.047195
"36",103.230003,103.230003,102.190002,102.599998,1521200,94.853058
"37",102.129997,103.370003,101.93,103.309998,1348600,95.509468
"38",103.080002,103.400002,102.260002,102.449997,1149000,94.714386
"39",102.32,102.760002,101.959999,102.43,1277500,94.695908
"40",103.449997,103.82,103.050003,103.290001,1680000,95.490959
"41",103.300003,103.300003,102.300003,102.379997,1398800,94.649681
"42",102.43,103.169998,101.68,102.059998,1077300,94.353859
"43",101.949997,101.959999,100.959999,101.199997,928000,93.558777
"44",101.139999,101.25,100.669998,100.779999,1211900,93.170502
"45",100.639999,113.489998,100.339996,106.830002,12605300,98.763672
"46",106,106,101.419998,102.93,5750000,95.158157
"47",103.940002,104.519997,101.940002,102.089996,3039000,94.381561
"48",102.260002,102.730003,101.589996,102.68,1442700,94.927025
"49",102.470001,102.470001,101.449997,101.730003,1208600,94.048744
"50",102.889999,104.410004,102.190002,104.040001,1789400,96.184334
"51",104.650002,104.650002,103.019997,103.620003,1194400,95.796059
"52",104.389999,105,103.379997,104.489998,2972900,96.600365
"53",104.230003,105.720001,102.360001,105.57,2573600,97.598816
"54",105.389999,106.239998,104.43,104.480003,2055700,96.591125
"55",104.400002,104.400002,102.639999,104.25,2044200,96.378471
"56",103.93,105.459999,103.5,104.620003,1838800,96.720551
"57",104.5,104.870003,103.559998,103.790001,1284300,95.953224
"58",102.760002,104.010002,102.199997,103.82,1588200,95.980942
"59",103.849998,105.300003,103.57,104.970001,1084900,97.044106
"60",104.889999,105.949997,104.550003,105.769997,1144100,97.783722
"61",105.449997,105.959999,105.160004,105.230003,1413300,97.2845
"62",104.940002,105.519997,103.940002,105.080002,1235900,97.145821
"63",105.5,105.620003,104.18,105.080002,1317300,97.145821
"64",105.080002,105.290001,104.529999,104.769997,1214200,96.859238
"65",105,106.669998,104.550003,105,1664000,97.071861
"66",105.18,105.860001,104.989998,105.269997,1247100,97.321465
"67",105.150002,106.199997,105.150002,106.050003,1116700,98.042564
"68",105.889999,106.410004,105.260002,105.790001,1029700,97.802208
"69",105.489998,106.110001,104.870003,106.059998,1154400,98.051819
"70",105.5,105.5,104.519997,105.059998,1174500,97.127319
"71",105,105.309998,104.269997,104.419998,857500,96.535637
"72",104.82,105.459999,104.32,105.389999,859800,97.432411
"73",104.870003,105.379997,104.32,104.739998,1148600,96.831467
"74",104.970001,105.800003,104.669998,105,1176000,97.071861
"75",105.629997,106.610001,104.360001,106.370003,2230500,98.338409
"76",106.660004,107.160004,105.940002,105.940002,2044900,97.940857
"77",108.029999,108.220001,106.900002,108.010002,2096800,99.854568
"78",108.18,111.059998,108.18,110.82,2342600,102.452408
"79",110.889999,110.889999,109.610001,110.480003,1332600,102.138092
"80",110.580002,111.989998,110.300003,111.290001,1715900,102.886925
"81",111.050003,111.050003,109.809998,109.839996,1046800,101.546402
"82",109.669998,109.949997,109.110001,109.459999,706500,101.195084
"83",109.690002,113,109.089996,109.470001,1109200,101.204346
"84",109.32,109.669998,109.040001,109.199997,927300,100.95472
"85",109.330002,110.290001,109.220001,109.889999,1102100,101.592628
"86",110,111.339996,109.830002,110.559998,1214000,102.212036
"87",109.75,109.949997,108.160004,108.43,1310000,100.60685
"88",108.470001,108.720001,107.529999,107.849998,1257900,100.068695
"89",107.940002,108.540001,107.599998,107.849998,1044000,100.068695
"90",107.309998,107.760002,106.269997,107.459999,1128600,99.706856
"91",107.290001,107.470001,106.82,107.120003,500500,99.391365
"92",107.160004,108.419998,107.160004,107.980003,730300,100.189316
"93",107.919998,108.07,107.25,107.410004,599800,99.660454
"94",107.410004,107.410004,105.400002,105.480003,1294000,97.869705
"95",105.620003,106.110001,104.900002,105.389999,1326900,97.786186
"96",105.110001,107.129997,105.110001,106.730003,1080600,99.029526
"97",106.949997,107.18,106.150002,106.419998,959400,98.741882
"98",106.480003,107.07,106.089996,106.699997,794300,99.001656
"99",106.800003,107.440002,106.18,106.940002,510900,99.22438
"100",107.169998,107.510002,106.57,106.910004,1340300,99.196533
"101",106.720001,107.669998,106.480003,107.239998,664300,99.502716
"102",107,107,105.879997,106.480003,975100,98.797539
"103",106.669998,106.669998,105.690002,106.360001,1696100,98.686211
"104",106.489998,110.470001,106.389999,109.160004,2198900,101.28418
"105",109.139999,110.650002,108.690002,110.419998,1314500,102.453278
"106",110,110.379997,108.309998,108.360001,1066200,100.541908
"107",107.860001,108.559998,107.650002,108.379997,1258100,100.560471
"108",108.57,108.75,107.529999,107.849998,1915100,100.068695
"109",107.849998,108,106.639999,107.919998,1293600,100.133659
"110",108.07,109.93,108.07,109.93,1617300,101.998619
"111",110,110.839996,109.860001,110.139999,2196600,102.193481
"112",110.059998,111.580002,109.849998,111.57,1357600,103.520302
"113",111.68,111.709999,111.029999,111.5,892800,103.455353
"114",110.470001,111.620003,110.470001,111.32,978300,103.288353
"115",111.199997,111.739998,110.839996,111.160004,2188200,103.139908
"116",111.510002,111.57,110.970001,111.110001,1242200,103.093498
"117",110.879997,111.239998,110.610001,110.779999,884300,102.7873
"118",111,111.089996,110.470001,110.68,1372500,102.694511
"119",110.769997,110.93,110.400002,110.57,1184200,102.592445
"120",110.5,111.029999,110.330002,110.68,1442700,102.694511
"121",110.550003,111.059998,110.32,110.82,734600,102.824417
"122",110.489998,111.220001,110.489998,110.489998,955900,102.518227
"123",111,111.300003,110.889999,111.07,1967400,103.056374
"124",111.059998,111.300003,109.269997,109.650002,835900,101.738838
"125",110.18,110.529999,109.660004,109.959999,786700,102.026474
"126",110.610001,111.099998,110.209999,110.610001,381500,102.629578
"127",111.220001,111.599998,110.220001,110.68,630100,102.694511
"128",110.440002,110.620003,109.82,110.050003,864900,102.109978
"129",110.349998,111.129997,109.949997,111,721000,102.991425
"130",110.730003,111.400002,110.730003,110.980003,1069900,102.972893
"131",111.099998,111.279999,110.550003,110.970001,749900,102.963593
"132",111.669998,112.18,111.260002,111.839996,1418900,103.770821
"133",111.790001,112.629997,111.730003,112.400002,906100,104.290443
"134",112.639999,113.139999,112.32,112.800003,658100,104.661583
"135",112.800003,113.459999,112.519997,112.959999,466400,104.810036
"136",112.839996,112.989998,112.120003,112.949997,826500,104.800735
"137",113.129997,113.669998,112.690002,113.599998,1102200,105.403839
"138",109.589996,109.589996,105.830002,106.720001,4708100,99.020248
"139",106.25,107.400002,106.25,106.370003,2676700,98.695488
"140",105.190002,105.839996,104.690002,105.389999,2567000,97.786186
"141",106.199997,107.519997,105.870003,107.110001,1822800,99.382095
"142",107.129997,107.220001,106.610001,106.75,1049800,99.048058
"143",106.830002,107.190002,105.489998,106.150002,1896400,98.491371
"144",106.150002,106.540001,105.449997,106.029999,1723900,98.38002
"145",106.32,106.449997,104.989998,105.25,1566000,97.656288
"146",105.279999,105.620003,104.629997,105.110001,2103500,97.526398
"147",104.919998,106.849998,104.769997,106.209999,1974600,98.547028
"148",106.459999,106.459999,103.860001,104.669998,2121600,97.118134
"149",104.940002,105.290001,104.309998,105.010002,846600,97.433617
"150",105.199997,105.910004,104.949997,105.139999,1143200,97.554222
"151",104.260002,104.43,103.190002,103.400002,1398200,96.352173
"152",103.040001,103.82,102.800003,103.370003,1910100,96.324211
"153",102.800003,103.120003,101.220001,101.330002,2084300,94.423264
"154",101.559998,101.559998,100.449997,100.730003,1536900,93.864151
"155",101.709999,102.800003,101.199997,102.559998,1304000,95.569427
"156",102.599998,103.209999,102.25,102.940002,1332600,95.923515
"157",103.169998,103.879997,102.739998,103.739998,1319700,96.668976
"158",103.559998,103.980003,102.68,102.68,1009600,95.681229
"159",102.43,102.849998,101.949997,102.080002,1778800,95.122131
"160",102.099998,102.529999,101.720001,102.389999,1351600,95.411003
"161",102.660004,104.75,102.370003,104.540001,995800,97.414459
"162",104.019997,104.419998,103.589996,103.629997,891500,96.566467
"163",103.910004,104.57,103.599998,103.709999,685300,96.641029
"164",103.980003,104.089996,103.230003,103.720001,863200,96.650345
"165",103.879997,104.360001,103.57,104.150002,809400,97.051041
"166",103.449997,104.040001,103.029999,103.860001,866900,96.780807
"167",103.620003,104.300003,103.459999,103.809998,1301300,96.734215
"168",104.220001,104.470001,103.82,104.32,1714400,97.20945
"169",104.800003,104.919998,104.099998,104.589996,997600,97.461052
"170",104.459999,104.699997,103.32,103.440002,1009300,96.389427
"171",103.919998,104.639999,103.099998,104.199997,1589300,97.097633
"172",104.370003,104.370003,103.099998,104.010002,938700,96.920586
"173",103.629997,103.940002,101.610001,103.589996,1210300,96.529198
"174",104.480003,106.110001,103.940002,105.900002,1038900,98.681763
"175",106.080002,106.75,105.550003,106.690002,796900,99.4179
"176",106.419998,106.540001,104.75,105.059998,1369800,97.899025
"177",105.25,106.620003,104.599998,106.480003,1353300,99.222214
