"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume","CMG.Adjusted"
"1",379.109985,380.380005,374.079987,374.769989,868900,374.769989
"2",374.910004,383.899994,372.869995,381.859985,984500,381.859985
"3",382.619995,392.670013,379.049988,391.890015,1316700,391.890015
"4",391.5,399.799988,390.359985,398.440002,1149600,398.440002
"5",398.700012,399.25,392.109985,395.059998,793400,395.059998
"6",412.640015,420.230011,408.200012,414.480011,3214100,414.480011
"7",412.850006,418.320007,410.350006,413.929993,1273900,413.929993
"8",411.630005,414,407.799988,409.350006,850300,409.350006
"9",409.929993,413.950012,409.01001,410.75,572700,410.75
"10",406.410004,411.869995,404.410004,405.869995,833800,405.869995
"11",407.350006,411,399.029999,409.73999,823800,409.73999
"12",409.700012,410.950012,406,408.869995,503000,408.869995
"13",408.910004,409.980011,404.809998,405.200012,581300,405.200012
"14",405.709991,409.26001,402.01001,407.720001,632400,407.720001
"15",407.720001,419.570007,405.779999,417.880005,687900,417.880005
"16",419,425.609985,418.570007,419.540009,732100,419.540009
"17",421,425.100006,417.5,418.730011,470500,418.730011
"18",419.059998,419.5,412.170013,416.600006,553500,416.600006
"19",416.209991,421.700012,414.73999,417.950012,587700,417.950012
"20",416.730011,422.25,415.480011,421.440002,737900,421.440002
"21",420.309998,422.579987,417.609985,420.230011,750600,420.230011
"22",420,427.670013,413.670013,423.299988,1316200,423.299988
"23",430.950012,434.589996,402.890015,404.079987,3573900,404.079987
"24",398.809998,402,395.079987,395.589996,1498800,395.589996
"25",396.25,401.5,395.720001,398.640015,1270300,398.640015
"26",400.5,408.230011,398.690002,402.940002,1075700,402.940002
"27",404.350006,417.51001,403.630005,415.309998,1292900,415.309998
"28",416.26001,420.76001,412.769989,413.359985,880000,413.359985
"29",415.720001,419.470001,413.549988,414.140015,585800,414.140015
"30",414.149994,420.980011,413.51001,419.540009,639400,419.540009
"31",420.049988,425.589996,419.01001,423.339996,822300,423.339996
"32",423.359985,426.540009,421.329987,424.76001,560400,424.76001
"33",424.459991,428.519989,423.190002,427.609985,543100,427.609985
"34",429,434.690002,428.730011,432.359985,911500,432.359985
"35",432,434.369995,426.98999,427.609985,665400,427.609985
"36",427.140015,429.869995,420.709991,422.380005,573500,422.380005
"37",419.470001,421.440002,411.619995,420.899994,941800,420.899994
"38",421.709991,424.230011,419.309998,421.670013,544500,421.670013
"39",419.529999,425.589996,417.670013,418.73999,496700,418.73999
"40",422.51001,424,416.25,419.149994,715600,419.149994
"41",419.26001,420.209991,415.369995,416.290009,474600,416.290009
"42",415.380005,417.25,412.410004,416.089996,515600,416.089996
"43",411.100006,417.570007,410.01001,411.679993,699700,411.679993
"44",410.51001,412.570007,402.160004,404.899994,933100,404.899994
"45",404.01001,407,402.850006,406.5,507200,406.5
"46",407.079987,412.679993,406.25,410.480011,542900,410.480011
"47",411.350006,412.980011,404.410004,407.75,615100,407.75
"48",408,409.76001,403.570007,405.869995,641500,405.869995
"49",404.850006,404.850006,397.809998,403.100006,733300,403.100006
"50",403.109985,405.390015,399.040009,400.959991,834700,400.959991
"51",400.959991,402.48999,399.630005,400.950012,578800,400.950012
"52",400.899994,403.470001,400.029999,402.579987,555900,402.579987
"53",402.549988,402.899994,394.190002,396.369995,773700,396.369995
"54",403.339996,408.600006,400.5,407.519989,1160500,407.519989
"55",405.98999,417.76001,405.149994,416.309998,975200,416.309998
"56",417,418.670013,413.380005,414.880005,590600,414.880005
"57",414.820007,417.779999,412.670013,414.019989,463100,414.019989
"58",409.869995,415.440002,409.48999,414.959991,584000,414.959991
"59",415.709991,428.309998,415.109985,426.230011,941700,426.230011
"60",426.579987,439.880005,426.350006,434.339996,1439400,434.339996
"61",436.769989,450,435.950012,443.920013,1714700,443.920013
"62",447.130005,453.079987,444.149994,445.519989,914400,445.519989
"63",449.200012,459.450012,447.75,452.75,1356500,452.75
"64",455.25,459.359985,448.399994,449.410004,976600,449.410004
"65",454.690002,458.829987,447.070007,452.440002,793600,452.440002
"66",452.850006,455.179993,448.790009,450.290009,485500,450.290009
"67",449.75,450.670013,446.76001,447.339996,531700,447.339996
"68",447.23999,456.890015,445.399994,454.279999,692200,454.279999
"69",454.98999,459.929993,445.25,453,824300,453
"70",451.890015,459.23999,450.470001,458.350006,831600,458.350006
"71",457.029999,466.769989,455.51001,463.619995,974200,463.619995
"72",465,471.5,461.700012,469.890015,735700,469.890015
"73",471,471.570007,464.140015,468.51001,486900,468.51001
"74",474.049988,481.769989,473,476.959991,1101900,476.959991
"75",477.480011,483.5,475.48999,478.390015,629100,478.390015
"76",479,481.98999,476.420013,479.089996,798700,479.089996
"77",482.75,482.820007,465.200012,468.790009,1145100,468.790009
"78",471.100006,474.269989,468.269989,471.76001,2025400,471.76001
