"","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume","RL.Adjusted"
"1",91.269997,93.050003,90.559998,90.629997,1434300,82.868408
"2",91,92.489998,90.150002,90.620003,1528600,82.859283
"3",88.620003,89.120003,87.07,89.050003,2110500,81.423744
"4",89.269997,89.449997,87.550003,88.580002,1699700,80.99398
"5",88.940002,88.940002,87.220001,87.25,975600,79.777878
"6",87.910004,88.839996,87.510002,87.940002,1723000,80.408798
"7",87.75,88.290001,85.949997,86.639999,1111400,79.220123
"8",86.080002,86.910004,85.900002,86.389999,877700,78.991531
"9",86.75,87.360001,85.790001,86.32,806200,78.927521
"10",87,90.129997,86.830002,89.580002,2393600,81.908348
"11",89.57,89.610001,87.760002,89.290001,1400800,81.643173
"12",89.379997,90.309998,87.669998,88.199997,973200,80.646523
"13",88.379997,89.459999,87.709999,88.900002,926300,81.286583
"14",88.459999,89.400002,87.489998,89.290001,800500,81.643173
"15",89.769997,90.5,89.43,90.110001,638000,82.392929
"16",90.669998,92.099998,90.57,91.150002,1375400,83.343903
"17",90.769997,91.25,89.489998,90.010002,860300,82.301506
"18",90.459999,90.629997,87.809998,87.970001,1088400,80.436211
"19",87.699997,88.830002,87.279999,88.440002,939000,80.865982
"20",86.760002,88.660004,85.910004,88.43,2011000,80.856827
"21",88.120003,88.470001,86.529999,87.370003,2174100,79.887611
"22",80.510002,81,76.18,76.610001,17508100,70.049088
"23",75.959999,77.620003,75.900002,76.169998,6439900,69.646759
"24",76.18,77.230003,75.620003,76.529999,5378300,69.975952
"25",77.010002,77.139999,75.919998,75.980003,2082300,69.473045
"26",76.279999,77.669998,75.800003,77.5,3074500,70.8629
"27",77.5,78.290001,77.5,77.980003,1604300,71.301781
"28",78.5,80.129997,78.400002,79.610001,2330100,72.792175
"29",80.040001,80.160004,79.279999,79.339996,1649000,72.545296
"30",78.970001,80.25,78.910004,79.489998,1849000,72.682457
"31",79.68,79.989998,78.739998,79.169998,1761500,72.389862
"32",79.25,79.900002,78.360001,78.470001,2069500,71.749794
"33",78.059998,79.089996,78.059998,78.389999,1802200,71.676651
"34",78.809998,79.220001,78.080002,78.190002,2495500,71.493782
"35",77.82,78.169998,76.75,78.110001,2068600,71.420631
"36",78.690002,79.349998,78.110001,78.650002,1476600,71.914383
"37",78.620003,79.93,78.370003,79.209999,1075100,72.426422
"38",79.080002,79.989998,78.769997,79.790001,1019900,72.956772
"39",79.779999,79.830002,78.900002,79.330002,1821300,72.536163
"40",80.059998,80.599998,78.919998,80.57,1550900,73.669945
"41",80.150002,81.080002,79.849998,80.709999,1757300,73.797974
"42",80.650002,81.190002,79.25,79.790001,1220500,72.956772
"43",79.790001,80.029999,79,79.730003,1130600,72.901886
"44",79.300003,79.580002,78.370003,79.139999,1437300,72.362442
"45",79.330002,80.690002,79.120003,80.43,1321800,73.541954
"46",80.260002,80.370003,79.410004,79.68,978700,72.856178
"47",79.809998,80.699997,79.57,80.300003,778200,73.42308
"48",80.43,80.68,78.870003,79.589996,1052700,72.773888
"49",79.690002,80.339996,79.220001,80.029999,702400,73.176193
"50",79.989998,81.57,79.989998,81.25,1041100,74.291725
"51",80.959999,81.650002,80.629997,81.040001,610200,74.099709
"52",81.25,81.339996,79.959999,80.699997,1586400,73.788841
"53",80.709999,80.709999,79.209999,79.459999,1021800,72.655006
"54",79.760002,79.870003,77.470001,78.230003,1440100,71.53035
"55",77.919998,78.379997,77.389999,78.209999,907200,71.512062
"56",79.57,79.959999,78.720001,79.220001,1027100,72.43557
"57",79.169998,80.18,78.919998,79.739998,1069400,72.911049
"58",78.93,80.519997,78.790001,80.419998,877800,73.532806
"59",80.410004,81.919998,80.169998,81.650002,846300,74.657463
"60",80.879997,83.260002,80.879997,82.970001,1278100,76.331856
"61",82.75,83.580002,81.690002,81.900002,1071700,75.347466
"62",82.019997,82.279999,81.269997,81.620003,990700,75.089851
"63",81.830002,82.080002,80.970001,81.370003,1475000,74.859871
"64",81,81.370003,76.690002,77.739998,2182900,71.520287
"65",77.93,80.410004,77.870003,79.519997,2002500,73.157867
"66",79.849998,82.309998,79.849998,80.709999,1536900,74.252663
"67",80.459999,80.5,79.129997,79.279999,1421500,72.937073
"68",79.5,81.760002,79.5,80.529999,1126700,74.087074
"69",80.620003,80.949997,79.199997,80.330002,638600,73.903076
"70",80.349998,80.690002,79.860001,80.18,732600,73.765076
"71",80.419998,80.5,78.959999,79.150002,660200,72.81749
"72",79.209999,80.050003,78.900002,80,505100,73.599457
"73",79.519997,79.980003,79.360001,79.529999,432300,73.167076
"74",79.849998,80.5,79.260002,80,1390100,73.599457
"75",79.300003,80.32,79.099998,79.720001,1329300,73.341881
"76",79.669998,79.669998,78.290001,78.919998,1363400,72.605881
"77",79.800003,80.099998,79.260002,79.610001,1442200,73.240685
"78",79.75,80.599998,79.379997,80.57,891000,74.123871
"79",80.800003,81.870003,80.610001,81.18,868800,74.685081
"80",81.5,82.57,80.75,82.419998,996000,75.825859
"81",82.260002,82.260002,80.459999,80.720001,688400,74.261871
"82",80.910004,80.910004,79.279999,79.309998,608800,72.964676
"83",79.589996,80.989998,79.410004,80.809998,936000,74.344673
"84",80.690002,80.93,79.190002,79.870003,1654200,73.479881
"85",80,80.699997,79.440002,80.339996,1600000,73.912262
"86",80.5,82.690002,80.5,82.110001,1465300,75.540657
"87",82.519997,84,81.949997,82.099998,935800,75.531448
"88",82.239998,84.470001,82.169998,84.050003,1697500,77.325455
"89",83.879997,84.43,82.970001,83.07,1184700,76.423851
"90",82.389999,82.389999,78.599998,79.230003,2055100,72.891083
"91",78.940002,79.029999,76.239998,76.400002,2792400,70.287498
"92",76.019997,77.610001,76,76.550003,1878800,70.425507
"93",76.57,76.57,73.82,73.940002,2826600,68.024323
"94",73.940002,73.940002,71.510002,72.75,4010500,66.929512
