"","CZR.Open","CZR.High","CZR.Low","CZR.Close","CZR.Volume","CZR.Adjusted"
"1",17.1,17.5,16.549999,17.049999,490200,17.049999
"2",17.200001,17.35,16.549999,16.9,425800,16.9
"3",16.85,17.15,16.4,16.65,218100,16.65
"4",16.75,16.799999,16.5,16.6,219600,16.6
"5",16.200001,16.450001,15.65,16.1,891100,16.1
"6",16.25,16.6,16.1,16.5,779200,16.5
"7",16.6,16.75,16.200001,16.700001,469800,16.700001
"8",16.549999,16.645,16.049999,16.15,543200,16.15
"9",16.25,16.5,15.9,16,239700,16
"10",15.85,15.95,15.35,15.45,340800,15.45
"11",15.5,16.200001,15.4,15.8,443500,15.8
"12",15.8,15.9,15.5,15.55,253700,15.55
"13",15.55,15.7,15.35,15.5,194000,15.5
"14",15.45,15.65,15.35,15.4,183400,15.4
"15",15.4,16.049999,15.4,15.95,222800,15.95
"16",16.1,16.15,15.8,16,190800,16
"17",15.95,16.200001,15.45,15.5,190200,15.5
"18",15.5,15.6,15.425,15.5,109200,15.5
"19",15.35,15.35,14.9,15.1,196400,15.1
"20",15.05,15.6,15,15.5,227800,15.5
"21",15.55,15.8,15.45,15.6,287900,15.6
"22",15.55,16,15.5,15.65,270300,15.65
"23",15.7,16.15,15.65,16,457000,16
"24",15.95,16.049999,15.35,15.5,216700,15.5
"25",15.6,15.85,15.3,15.4,213100,15.4
"26",15.3,15.7,15.1,15.5,224300,15.5
"27",15.55,15.725,15.4,15.6,97800,15.6
"28",15.75,16.25,15.63,16.15,315000,16.15
"29",16.15,16.35,16,16.25,281700,16.25
"30",16.15,16.4,15.775,16,273000,16
"31",15.9,16.799999,15.9,16.6,600800,16.6
"32",16.65,16.656,15.9,16.4,322100,16.4
"33",16.4,16.549999,16.200001,16.549999,168200,16.549999
"34",16.65,16.700001,16.225,16.4,180200,16.4
"35",16.35,16.65,16.25,16.4,146100,16.4
"36",16.5,16.6,15.95,16.049999,381000,16.049999
"37",15.9,16.25,15.9,16.1,140000,16.1
"38",16.1,16.200001,15.9,16.15,132600,16.15
"39",16.15,16.4,15.95,16.299999,292500,16.299999
"40",16.450001,17.325001,16.4,17.15,603000,17.15
"41",17.200001,17.75,17.1,17.700001,524600,17.700001
"42",17.700001,18.299999,17.700001,18.200001,1202500,18.200001
"43",18.25,18.325001,17.950001,18.049999,769500,18.049999
"44",18,18.1,17.799999,18,435700,18
"45",18.15,18.549999,17.85,18.1,382100,18.1
"46",18.15,18.285,17.450001,17.75,680300,17.75
"47",17.799999,18.450001,17.549999,18.049999,658500,18.049999
"48",18.049999,19,18.049999,18.700001,443300,18.700001
"49",18.700001,19.299999,18.4,19.15,376200,19.15
"50",19.200001,19.799999,19.15,19.700001,2035000,19.700001
"51",19.799999,19.85,18.5,18.6,547300,18.6
"52",18.6,19.200001,18.549999,18.85,569900,18.85
"53",18.799999,18.9,18.5,18.65,197700,18.65
"54",18.65,18.799999,17.549999,17.6,468400,17.6
"55",17.6,18,17.4,17.549999,294400,17.549999
"56",17.5,18,17.5,17.65,328100,17.65
"57",17.65,18.049999,17.5,17.700001,210900,17.700001
"58",17.5,18.049999,17.450001,17.9,227200,17.9
"59",17.9,18.9,17.75,18.9,671600,18.9
"60",18.799999,18.9,18.4,18.75,288100,18.75
"61",18.75,19.049999,18.450001,18.950001,205500,18.950001
"62",18.950001,19.1,18.549999,18.924999,367600,18.924999
"63",18.799999,18.950001,18.6,18.875,273000,18.875
"64",18.85,19.1,18.700001,19.1,249800,19.1
"65",19.200001,19.299999,18.625,18.799999,468600,18.799999
"66",18.9,19.35,18.65,19.25,643400,19.25
"67",19.200001,19.299999,19.1,19.200001,290300,19.200001
"68",19.25,19.35,18.950001,19.200001,207900,19.200001
"69",19.25,19.700001,19.052,19.6,394900,19.6
"70",19.549999,19.6,18.9,19.049999,214900,19.049999
"71",19.049999,19.075001,18.35,18.5,265500,18.5
"72",18.549999,18.9,18.35,18.700001,401100,18.700001
"73",18.700001,18.799999,18.018999,18.6,533800,18.6
"74",18.75,19.1,18.450001,18.799999,654600,18.799999
"75",18.950001,19.25,18.549999,19.1,467500,19.1
"76",19.1,19.1,18,18.4,636700,18.4
"77",18.5,18.5,17.299999,17.799999,2341800,17.799999
"78",17.9,18.6,17.75,18.4,1574300,18.4
"79",18.4,19.75,18.4,19.5,1243900,19.5
"80",19.6,19.674999,18.6,19.25,890400,19.25
"81",18.9,19.549999,18.65,19.125,849900,19.125
"82",19.200001,19.35,18.75,19.15,949100,19.15
"83",19.1,19.525,18.9,19.299999,809900,19.299999
"84",19.15,19.65,18.950001,19.549999,996500,19.549999
"85",19.6,19.85,19.174999,19.549999,907400,19.549999
"86",18.450001,20.15,18.049999,20,1279700,20
"87",20,20.049999,19.35,19.9,1587800,19.9
"88",20,20.625,19.75,20.450001,3036400,20.450001
"89",20.6,21.15,20.25,20.9,1483300,20.9
"90",20.799999,21,20.25,20.549999,1090600,20.549999
"91",20.450001,20.843,20.200001,20.700001,839500,20.700001
"92",20.75,20.85,20.475,20.700001,979700,20.700001
"93",20.799999,20.9,20.450001,20.65,801400,20.65
"94",20.299999,20.549999,20.049999,20.225,914500,20.225
"95",20.1,20.25,19.75,19.950001,1052500,19.950001
"96",20.1,20.174999,19.700001,19.700001,759000,19.700001
"97",19.75,20.549999,19.75,20.450001,630500,20.450001
"98",20.549999,20.799999,20.200001,20.549999,1574600,20.549999
"99",20.549999,20.799999,20.549999,20.799999,470700,20.799999
"100",20.799999,20.799999,20.450001,20.5,498800,20.5
"101",20.5,20.799999,20.337999,20.549999,950600,20.549999
"102",20.549999,20.700001,20.4,20.700001,392100,20.700001
"103",20.799999,20.9,20.25,20.75,535400,20.75
"104",20.799999,20.950001,20.450001,20.85,394600,20.85
"105",20.799999,21,20.549999,20.85,556600,20.85
"106",20.799999,21.049999,20.5,20.85,430500,20.85
"107",20.700001,21.087999,20.525,20.950001,535500,20.950001
"108",20.950001,21.799999,20.799999,21.6,1518100,21.6
"109",21.5,21.825001,21.299999,21.5,939000,21.5
"110",21.5,21.65,21.225,21.25,486900,21.25
"111",21.25,21.5,21.049999,21.4,476300,21.4
"112",21.549999,21.75,21.4,21.549999,449600,21.549999
"113",21.5,21.5,20.75,20.799999,898500,20.799999
"114",20.6,21.5,20.1,20.450001,642300,20.450001
"115",20.1,20.450001,19.9,20.25,827400,20.25
"116",20.4,20.9,20.299999,20.75,624900,20.75
"117",20.75,21,20.1,20.450001,594700,20.450001
"118",20.450001,20.65,20.200001,20.5,499700,20.5
"119",20.450001,20.450001,19.9,20.15,598900,20.15
"120",20.200001,20.4,19.9,20.25,1029000,20.25
"121",20.299999,20.549999,20.000999,20.4,839700,20.4
"122",20.35,20.549999,19.950001,20,375100,20
"123",20.049999,20.5,19.9,20.450001,1543400,20.450001
"124",20.549999,20.549999,19.549999,19.65,609300,19.65
"125",19.65,20.049999,19.5,20,465700,20
"126",20.1,20.125,19.625,19.799999,266100,19.799999
"127",19.75,19.799999,19.25,19.35,504100,19.35
"128",19.15,19.75,19.1,19.200001,329800,19.200001
"129",19.299999,19.65,19.049999,19.4,279100,19.4
"130",19.450001,19.85,19.1,19.299999,269300,19.299999
"131",19.35,19.5,19.049999,19.450001,491600,19.450001
"132",19.6,19.700001,19.35,19.549999,541300,19.549999
"133",19.6,19.6,18.799999,19.200001,382800,19.200001
"134",19.15,19.325001,18.950001,19.299999,328600,19.299999
"135",19.35,19.4,18.9,19.1,403000,19.1
"136",19.1,19.700001,18.950001,19.5,1230600,19.5
"137",19.6,19.9,19.5,19.799999,426800,19.799999
"138",20,20.75,20,20.6,1332500,20.6
"139",20.700001,21,20.4,20.6,836200,20.6
"140",20.6,21,20.525,20.9,1038600,20.9
"141",21,21.049999,20.65,20.950001,890700,20.950001
