"","IEX.Open","IEX.High","IEX.Low","IEX.Close","IEX.Volume","IEX.Adjusted"
"1",90.839996,91.889999,90.029999,91.220001,378600,85.894653
"2",91.690002,92.059998,91.239998,91.639999,307900,86.290123
"3",91.589996,92.099998,90.300003,90.82,369100,85.518013
"4",90.93,91.389999,90.150002,90.599998,165000,85.310844
"5",90.400002,90.550003,89.349998,89.529999,181300,84.303314
"6",90.129997,90.839996,89.970001,90.809998,181700,85.508606
"7",90.639999,91.459999,90.050003,91.389999,195300,86.378136
"8",90.970001,90.970001,89.540001,90.57,233100,85.603119
"9",91,91.900002,90.410004,91.720001,183500,86.690056
"10",91.169998,91.169998,90.059998,90.470001,127300,85.508606
"11",90.699997,91.150002,90.309998,90.620003,195900,85.650375
"12",90.970001,91.400002,90.349998,90.75,152400,85.773232
"13",91.07,91.610001,90.760002,91.139999,224200,86.141869
"14",91.040001,91.360001,89.879997,90.349998,120400,85.39518
"15",90.610001,92.730003,90.610001,92.139999,163200,87.087013
"16",92.75,93.080002,92,92.970001,188300,87.871513
"17",92.809998,93.089996,91.949997,92.650002,143100,87.569046
"18",92.830002,93.080002,92.230003,92.5,146600,87.427284
"19",91.919998,92.139999,90.809998,92.019997,238600,86.973602
"20",88.699997,90.690002,88.290001,90.160004,533500,85.215599
"21",90,91.010002,89.230003,89.470001,407700,84.563431
"22",89.400002,89.709999,88.660004,89.339996,493800,84.440559
"23",89.919998,91.199997,89.330002,91.029999,307700,86.037872
"24",90.459999,90.779999,89.449997,90.120003,279500,85.177795
"25",90.419998,91.099998,89.75,90.129997,149200,85.187248
"26",89.75,90.209999,89.309998,90.029999,173900,85.092712
"27",90.410004,90.580002,89.809998,90.139999,326700,85.196701
"28",90.43,91.040001,90.080002,90.93,211300,85.943367
"29",91.209999,92.349998,91.209999,91.959999,276600,86.916901
"30",91.5,91.910004,90.690002,91.440002,179400,86.425407
"31",91.370003,92.519997,91.260002,92.400002,144600,87.332771
"32",92.080002,92.650002,91.720001,92.220001,207300,87.162628
"33",91.660004,92.389999,91.309998,92.379997,196000,87.31385
"34",92.050003,94,92.050003,93.620003,428000,88.485855
"35",93.050003,93.709999,93.050003,93.269997,186400,88.155045
"36",93.470001,93.720001,91.540001,92.489998,169100,87.417831
"37",91.889999,92.620003,91.480003,92.43,486300,87.361107
"38",91.769997,93.889999,91.769997,93.650002,320600,88.514206
"39",93.720001,93.889999,92.129997,92.190002,402000,87.13427
"40",93.43,96.239998,93.43,96.139999,457000,90.867661
"41",94.410004,95.839996,94.410004,94.690002,576400,89.497169
"42",94.860001,95.510002,93.900002,94.190002,503000,89.02459
"43",93.699997,94.25,93.349998,94,330300,88.845016
"44",93.910004,94.209999,93.489998,93.529999,169900,88.40078
"45",93.970001,94.019997,92.239998,92.419998,373200,87.351662
"46",92.18,92.769997,91.279999,91.870003,349200,86.831841
"47",92.580002,92.589996,91.610001,92.239998,257900,87.181564
"48",92.290001,92.82,92.18,92.769997,231200,87.682487
"49",92.220001,92.290001,91.580002,91.779999,274100,86.746773
"50",92.139999,93.650002,92.07,93.410004,464200,88.287384
"51",93.82,93.82,92.129997,92.720001,300700,87.635208
"52",92.760002,93.32,92.269997,92.629997,553800,87.55014
"53",92.68,93.019997,91.660004,92.07,171700,87.020828
"54",92.389999,92.459999,90.360001,90.849998,309900,85.867767
"55",90.839996,91.239998,90.230003,91.129997,247400,86.132416
"56",91.150002,92.190002,90.889999,91.620003,146200,86.595543
"57",92.050003,92.639999,90.910004,91.470001,204100,86.453773
"58",90.360001,91.550003,89.690002,91.339996,183900,86.330879
"59",91.279999,92.669998,91.019997,92.239998,236000,87.181564
"60",92.169998,92.339996,91.760002,92.089996,242700,87.039764
"61",92.07,93.190002,92.07,92.910004,251400,87.814789
"62",92.809998,93.699997,92.489998,93.510002,275500,88.381897
"63",93.699997,93.739998,92,92.870003,265700,87.776985
"64",92.919998,93.629997,92.610001,93.089996,276800,87.984894
