"","DUK.Open","DUK.High","DUK.Low","DUK.Close","DUK.Volume","DUK.Adjusted"
"1",77.650002,78.019997,77.019997,77.730003,2905900,62.905479
"2",77.650002,78.349998,77.629997,77.650002,2531100,62.840736
"3",77.900002,77.959999,77.040001,77.75,3284600,62.92165
"4",77.5,77.870003,77.260002,77.489998,3132200,62.711239
"5",77.610001,77.730003,76.400002,76.639999,4585700,62.023361
"6",76.489998,76.830002,76.139999,76.5,2840000,61.910042
"7",76.279999,77.199997,76.25,77.099998,2726200,62.395622
"8",76.970001,77.610001,76.769997,77.540001,2476300,62.751705
"9",77.339996,77.480003,76.769997,77.209999,1954200,62.484638
"10",77.470001,77.830002,77.260002,77.459999,3755000,62.686977
"11",77.379997,77.910004,77.290001,77.5,2235700,62.719341
"12",77.269997,77.57,76.879997,77.120003,2575500,62.411816
"13",77.32,77.580002,76.949997,77.330002,2662800,62.581764
"14",77.43,77.68,76.889999,77.029999,2166800,62.338985
"15",77.199997,77.330002,76.860001,77.18,2751400,62.460369
"16",76.93,77.120003,76.559998,77.080002,2347000,62.379444
"17",76.989998,77.230003,76.650002,77.120003,3085400,62.411816
"18",77.32,77.629997,76.730003,76.940002,2562000,62.266144
"19",76.980003,77.519997,76.699997,77.120003,2379100,62.411816
"20",77.120003,78.559998,77.120003,78.540001,3753700,63.561001
"21",78.139999,78.260002,77.080002,77.360001,3454900,62.606041
"22",77.57,77.940002,77.160004,77.790001,2997400,62.954048
"23",77.889999,78.040001,77.480003,77.650002,2478100,62.840736
"24",77.889999,78.040001,77.449997,77.57,2017100,62.77597
"25",77.650002,77.860001,77.410004,77.75,1629900,62.92165
"26",77.82,78.709999,77.739998,78.639999,2973600,63.641926
"27",78.639999,78.839996,77.57,77.75,3351400,62.92165
"28",77.589996,78.160004,77.589996,78.099998,2550000,63.204903
"29",78.260002,78.690002,77.900002,78.690002,2925900,63.682377
"30",78.559998,78.68,77.589996,78.040001,3715800,63.156334
