"","FIS.Open","FIS.High","FIS.Low","FIS.Close","FIS.Volume","FIS.Adjusted"
"1",76.279999,77.050003,75.879997,76.980003,1646300,72.868027
"2",76.860001,78.25,76.860001,78.239998,1556500,74.060745
"3",78.25,78.790001,77.75,78.050003,1150100,73.880867
"4",78.510002,79.019997,77.68,78.889999,973700,74.675995
"5",78.919998,78.940002,78.019997,78.040001,963600,73.871414
"6",78.07,78.330002,77.639999,77.650002,796000,73.502235
"7",77.43,77.720001,77,77.389999,1201300,73.256134
"8",76.980003,77.230003,76.089996,77.050003,2217300,72.934296
"9",76.949997,77.449997,76.699997,77.370003,1227900,73.237206
"10",77.260002,78.75,77.080002,78.699997,2187000,74.496147
"11",78.870003,79.540001,78.160004,79.459999,2633200,75.215561
"12",79.260002,79.309998,78.580002,79.150002,1590900,74.922119
"13",79.559998,79.980003,79.239998,79.790001,3061400,75.527924
"14",79.800003,80.349998,79.620003,80.07,2794700,75.792976
"15",80,80.080002,79.470001,80.029999,1901700,75.755119
"16",80,80.279999,79.720001,79.879997,1741600,75.613129
"17",79.900002,79.959999,79.279999,79.559998,1703200,75.310211
"18",79.900002,79.93,79.529999,79.809998,952100,75.546844
"19",79.889999,79.889999,78.889999,79.599998,670500,75.348091
"20",79.57,79.82,78.870003,79.419998,1308300,75.177689
"21",79.68,79.790001,78.760002,79.019997,1315200,74.799042
"22",78.860001,79.379997,78.559998,79.059998,1023000,74.836929
"23",79.580002,80.300003,79.089996,79.400002,1601500,75.15876
"24",79.389999,79.580002,78.900002,79.349998,2472700,75.111435
"25",76.760002,77.730003,75.519997,77.300003,6834000,73.170952
"26",78,80.360001,77.629997,79.839996,4696000,75.575264
"27",79.839996,81,79.650002,80.75,2147200,76.436646
"28",80.959999,81.389999,80.459999,80.459999,1924900,76.162132
"29",80.870003,81.120003,80.470001,80.910004,1068800,76.588112
"30",80.800003,80.959999,80.309998,80.5,1168500,76.200012
"31",80.5,81.480003,80.379997,81.410004,1620400,77.061394
"32",81.330002,81.739998,80.809998,81.720001,1052700,77.35482
"33",81.57,82.050003,81.040001,82.050003,1028100,77.667206
"34",81.739998,82.370003,81.730003,82.169998,1294300,77.780807
"35",81.910004,82.989998,81.809998,82.82,1130800,78.396072
"36",83,83.199997,82.5,83.089996,1508900,78.651642
"37",82,83.860001,81.730003,83.839996,2348300,79.36158
"38",83.75,83.800003,82.239998,82.629997,2054400,78.216232
"39",82.690002,82.75,82.050003,82.269997,1752900,77.875458
"40",82.68,83.370003,82.510002,83.019997,1535500,78.585403
"41",82.699997,82.970001,82.220001,82.269997,1080100,77.875458
"42",82.230003,83.080002,82,82.949997,1104500,78.519135
"43",82.43,83,82.32,82.699997,1198300,78.282486
"44",82.480003,82.980003,82.410004,82.639999,974000,78.225693
"45",82.699997,82.730003,82.040001,82.220001,1336000,77.828125
"46",82.25,82.610001,81.650002,81.980003,1453800,77.600952
"47",82.25,82.629997,81.519997,82.230003,2445900,77.837585
"48",82.199997,82.889999,82.029999,82.720001,1315000,78.301414
"49",82.589996,82.910004,82.099998,82.459999,848600,78.05529
"50",82.519997,82.699997,82.059998,82.519997,1494800,78.387756
"51",82.5,82.620003,81.839996,81.949997,1095300,77.846313
"52",82.349998,82.389999,81.75,81.830002,1929900,77.732353
"53",81.919998,81.919998,80.540001,81.019997,1652000,76.962898
"54",80.779999,81.110001,79.839996,80.050003,1813900,76.041481
"55",80.260002,80.480003,79.82,79.900002,1352800,75.898979
"56",79.800003,80.169998,79.459999,79.82,1249600,75.822983
"57",79.900002,80.379997,79.809998,80.120003,1188900,76.107964
"58",79.629997,80.489998,79.370003,80.410004,1818500,76.383461
"59",79.540001,80.690002,79.110001,80.290001,2350300,76.269455
"60",79.809998,80.190002,79,80.029999,1067500,76.022476
"61",79.800003,80.440002,79.690002,80.050003,1458600,76.041481
"62",80.099998,80.480003,79.580002,79.620003,1727900,75.633011
"63",79.870003,80.389999,78.949997,79.440002,3242500,75.462021
"64",79.400002,79.660004,78.889999,79.129997,1850400,75.167519
"65",79.330002,80.169998,79.260002,79.5,1755400,75.51899
"66",79.419998,79.809998,79.239998,79.599998,2364900,75.614021
"67",79.639999,80.110001,79.43,79.870003,1228600,75.870483
"68",79.900002,80.610001,79.830002,80.540001,2171600,76.506935
"69",80.25,80.300003,79.720001,80.080002,1174800,76.069969
"70",79.760002,80.57,79.519997,80.519997,1345400,76.487938
"71",80.379997,80.860001,80.160004,80.160004,1058000,76.145958
"72",80.389999,80.739998,80.389999,80.629997,1754800,76.592422
"73",80.459999,80.800003,80.339996,80.75,801100,76.706413
"74",80.809998,81.089996,80.510002,80.650002,1030700,76.611412
"75",81.019997,81.660004,80.660004,81.57,1002100,77.485352
"76",81.540001,82.769997,81.5,82.529999,2399600,78.397285
"77",83.129997,83.580002,82.970001,83.32,1312700,79.147713
"78",83.620003,84.040001,83.440002,83.860001,1235100,79.660683
"79",83.839996,84.099998,83.660004,83.879997,929900,79.67968
"80",84,84.580002,83.879997,84.089996,949100,79.879181
"81",84.07,84.300003,83.300003,84.190002,1472400,79.974159
"82",84.260002,84.93,84.010002,84.419998,2962400,80.192642
"83",84.419998,84.970001,82.019997,83.260002,3247800,79.090736
"84",82.269997,83,81.720001,82.980003,2527200,78.824745
"85",83.360001,84.099998,83.07,83.519997,1813800,79.337708
"86",83.75,83.760002,82.550003,83.050003,1542400,78.891251
"87",82.959999,83.400002,82.849998,83.339996,1158100,79.166718
"88",83.239998,83.300003,82.660004,83.150002,1543400,78.986244
"89",82.82,83.589996,82.68,83.580002,1633500,79.394714
"90",83.309998,83.610001,83.050003,83.599998,1255800,79.413712
"91",83.370003,83.550003,83.050003,83.110001,1152100,78.948235
"92",83.07,83.599998,83.019997,83.410004,1204700,79.233215
"93",83.639999,83.889999,83.419998,83.779999,1331300,79.584686
"94",83.779999,83.779999,82.790001,82.849998,1943200,78.701256
"95",82.849998,83.449997,82.580002,82.809998,1477900,78.663269
"96",83.190002,83.519997,82.940002,83.199997,1330000,79.033722
"97",83.440002,84.300003,83.25,84.029999,1452500,79.822166
"98",84.150002,84.5,83.550003,83.660004,1467700,79.470695
"99",83.610001,84.050003,83.480003,83.949997,1432800,79.746185
"100",84.300003,85.559998,84,85.360001,1421100,81.085594
"101",85.050003,85.639999,85.050003,85.279999,1392600,81.009575
"102",85,85.389999,84.790001,85.290001,1518100,81.019066
"103",85.529999,85.959999,85.279999,85.870003,2401400,81.570015
"104",85.870003,86.769997,85.870003,86.769997,1628000,82.42498
"105",86.690002,87.32,86.389999,86.669998,1360000,82.329971
"106",86.669998,86.989998,86.489998,86.550003,1169100,82.215988
"107",86.019997,86.830002,86.019997,86.25,1091800,81.931015
"108",86.419998,86.639999,86.120003,86.550003,1112600,82.215988
"109",86.550003,86.629997,84.849998,85.290001,2027400,81.019066
"110",85.300003,85.639999,83.940002,84.610001,1309600,80.373131
"111",84.360001,84.93,83.360001,84.93,1918100,80.677109
"112",85.07,85.989998,85.07,85.739998,1452900,81.446533
"113",85.889999,86.290001,85.239998,85.730003,1516500,81.713432
"114",85.199997,86.260002,84.660004,86.029999,1922500,81.999352
"115",86,86.309998,85,85.190002,2316400,81.19873
"116",85.510002,85.629997,84.57,85.07,1563100,81.084343
"117",84.879997,85.269997,84.620003,85.150002,2021700,81.160583
"118",85.239998,85.510002,84.699997,84.989998,1152300,81.008095
"119",85.010002,85.209999,84.440002,84.860001,846800,80.884193
"120",84.889999,85.110001,84.470001,84.839996,1351800,80.865105
"121",85.07,85.129997,84.379997,84.900002,1117700,80.922318
"122",84.739998,85.610001,84.480003,85.220001,1937200,81.227318
"123",85.529999,86.07,84.779999,85.980003,1132100,81.951706
"124",85.739998,85.839996,83.989998,84.809998,1511700,80.836525
"125",85,85.75,84.800003,85.400002,1470900,81.398895
"126",85.709999,86.080002,85.360001,85.449997,826300,81.446541
"127",85.669998,86.32,85.449997,86.110001,1646100,82.075638
"128",85.800003,85.839996,85.230003,85.550003,1521400,81.54187
"129",85.769997,86.949997,85.769997,86.779999,1808800,82.714233
"130",86.809998,87.540001,86.489998,87.300003,1486400,83.209869
"131",87.279999,87.889999,87.010002,87.82,1971800,83.70549
"132",88,88.660004,87.940002,88.599998,1803600,84.448952
"133",88.870003,89.349998,88.459999,89.25,1726000,85.068504
"134",89.5,89.769997,89.260002,89.580002,1142300,85.383034
"135",89.620003,89.75,89.309998,89.629997,1149300,85.430702
"136",89.540001,89.849998,89.190002,89.849998,949300,85.640396
"137",89.900002,90.269997,89.650002,89.870003,1272400,85.65947
"138",89.849998,90.110001,89.550003,89.809998,1476400,85.602264
"139",89.779999,90.25,89.760002,90,1033400,85.783371
"140",89.989998,90.290001,89.379997,90.120003,958500,85.897758
"141",90.089996,90.220001,89.57,89.699997,1297800,85.497421
"142",90,90.690002,89.709999,90.690002,1120500,86.441048
"143",90.919998,91.059998,90.25,91.050003,2895200,86.784164
"144",91,91.129997,90.330002,90.830002,1330200,86.574478
"145",91.18,91.559998,90.989998,91.220001,1849200,86.946213
"146",91.709999,91.900002,91.239998,91.870003,1949500,87.565758
"147",91.900002,92.779999,90.889999,91.239998,2262600,86.965256
"148",91.059998,91.519997,89.849998,90.410004,2176200,86.174164
"149",90.620003,90.870003,89.989998,90.370003,2748900,86.136024
"150",90.190002,90.599998,90.169998,90.550003,2385500,86.307602
"151",90.43,90.660004,89.900002,89.989998,953300,85.773834
"152",89.440002,89.629997,89.110001,89.389999,1140400,85.20195
"153",89.269997,89.730003,89.050003,89.260002,1637800,85.078033
"154",89.059998,89.639999,89.040001,89.220001,780600,85.039925
"155",90,90.610001,89.839996,90.449997,728000,86.212296
"156",90.470001,90.879997,90.43,90.660004,842800,86.412453
"157",90.169998,91.93,90,91.449997,1508700,87.165428
"158",91.440002,91.529999,89.5,89.57,1183400,85.373512
