"","CMA.Open","CMA.High","CMA.Low","CMA.Close","CMA.Volume","CMA.Adjusted"
"1",68.93,69.870003,68,68.959999,1908200,58.279488
"2",69.309998,69.699997,69.029999,69.540001,1677000,58.769646
"3",69.870003,71.199997,68.230003,69.540001,3138800,58.769646
"4",70,70.989998,69.559998,70.269997,2621900,59.386585
"5",69.589996,69.949997,68.75,69.540001,1181400,58.769646
"6",69.160004,70.269997,68.919998,69.610001,1530400,58.828812
"7",69.43,69.879997,68.830002,69.809998,1198100,58.997833
"8",69.550003,69.82,68.239998,69.220001,984800,58.499214
"9",69.690002,70.559998,69.339996,69.919998,1885000,59.090794
"10",67.980003,68.25,64.910004,65.370003,3748100,55.245499
"11",65.550003,67.160004,65.160004,67.059998,2350300,56.673744
"12",67.019997,67.419998,66.18,66.309998,1795200,56.039902
"13",66.769997,67.459999,66.519997,66.959999,2102600,56.589245
"14",66.440002,67.220001,66.260002,67.040001,1134100,56.656853
"15",67.010002,67.900002,66.800003,67.660004,1531100,57.180843
"16",68.239998,69.580002,68.010002,69.389999,1668100,58.642891
"17",69.339996,69.919998,68.93,69.580002,1358300,58.803459
"18",69.5,69.540001,68.830002,69.110001,884100,58.40625
"19",68.779999,68.779999,67.43,68.099998,1158700,57.552673
"20",68,68.610001,66.879997,67.529999,1370400,57.070957
"21",68.309998,69.239998,67.779999,68.139999,1212500,57.586487
"22",67.410004,67.949997,66.800003,67.269997,1760000,56.851231
"23",68.440002,68.709999,67.709999,68.489998,2316000,57.882267
"24",67.970001,69.110001,67.839996,68.220001,1455400,57.654099
"25",68.529999,68.809998,67.75,68.25,1351500,57.679443
"26",67.559998,67.82,66.900002,67.75,1193000,57.256882
"27",67.75,68.970001,67.75,68.910004,1535800,58.237217
"28",69.169998,69.529999,68.550003,68.989998,1694300,58.304836
"29",69.360001,70.599998,69.360001,69.839996,2981100,59.023193
"30",69.989998,72.230003,69.75,72.029999,2966500,60.873997
"31",72.709999,73.849998,72.360001,73.239998,4129400,61.896603
"32",72.989998,73.099998,72.019997,72.550003,1614000,61.313454
"33",72,72.5,71.580002,72.370003,1399700,61.161335
"34",72.709999,73.370003,72.290001,72.660004,1268100,61.406425
"35",72,72.790001,71.529999,72,1164200,60.848644
"36",72.260002,72.400002,71.480003,71.949997,1208900,60.806381
"37",70.779999,71.32,67.910004,71.199997,1549700,60.172554
"38",71.300003,71.830002,71.25,71.669998,1127700,60.569752
"39",71.269997,71.720001,70.660004,71.279999,1891000,60.240147
"40",73.349998,75,73.220001,74.580002,2833800,63.029049
"41",74.879997,74.940002,72.449997,72.629997,1310200,61.381069
"42",72.699997,73.629997,72.389999,73.459999,2000200,62.082512
"43",72.699997,73.360001,72.129997,73.25,1200500,61.905056
"44",73.120003,73.5,72.5,72.629997,1078000,61.381069
"45",73.769997,74.080002,72.290001,72.400002,2082800,61.186695
"46",72.760002,73.32,72.019997,72.480003,1213300,61.254299
"47",73,73,70.879997,72.160004,1639500,60.983864
"48",71.93,72.379997,71.440002,72,849000,61.043213
"49",71.379997,71.540001,70.309998,71.489998,1361000,60.610828
"50",71.919998,72.449997,70.919998,71.010002,1166200,60.203869
"51",71.690002,72.32,70.970001,71.889999,1301800,60.949959
"52",71.919998,72.029999,70.550003,71.360001,3373200,60.50061
"53",71.089996,71.550003,70.440002,70.650002,1324200,59.898647
"54",71.080002,71.080002,65.970001,66.370003,3305300,56.26997
"55",65.919998,67.470001,64.760002,66.970001,2007100,56.778671
"56",66.779999,68.529999,66.440002,67.150002,1760700,56.931278
"57",67.690002,67.919998,66.300003,67.230003,1458200,56.9991
"58",65.559998,66.830002,64.269997,66.730003,1846900,56.575188
"59",66.5,68.43,66.300003,67.970001,1780800,57.626492
"60",67.870003,68.540001,67.260002,67.830002,1134300,57.507793
"61",67.879997,69.589996,67.860001,69.129997,1303100,58.609959
"62",68.720001,69.099998,68.239998,68.580002,1144900,58.143665
"63",68.739998,69.169998,67.160004,68.440002,972500,58.024975
"64",67.989998,68.800003,67.82,68.620003,949700,58.177563
"65",69.440002,69.699997,67.190002,67.260002,1121100,57.024525
"66",67.139999,68.32,66.480003,68.010002,1469400,57.660389
"67",67.32,68.769997,67.32,68.139999,1287400,57.770622
"68",68.120003,68.550003,66.93,67.309998,1357400,57.066921
"69",66.57,67.089996,65.910004,67.050003,1396300,56.846493
"70",67.300003,67.300003,66,66.120003,1542100,56.05801
"71",65.730003,66.470001,64.870003,65.209999,1503400,55.286499
"72",65.339996,66.93,64.75,66.93,2723700,56.744743
"73",65.779999,68.25,65.150002,67.709999,3805800,57.406052
"74",68.599998,69.709999,67.769997,67.970001,2667500,57.626492
"75",68.629997,69.43,68.25,69.209999,2606700,58.677795
"76",68.900002,69.599998,67.940002,68.709999,3358700,58.253876
"77",70.68,71.57,70.080002,70.110001,2404700,59.440819
"78",71.010002,71.300003,70.059998,70.650002,2260700,59.898647
"79",70.559998,72.300003,70.540001,71.580002,1933600,60.687126
"80",71.75,71.760002,70.059998,70.75,1937900,59.983433
"81",70.900002,71.660004,70.550003,70.699997,2982400,59.941055
"82",71.050003,71.93,70.739998,71.480003,1493200,60.602345
"83",71.459999,71.790001,70.769997,71.18,1422400,60.348011
"84",70.610001,72.040001,70.290001,71.980003,1692300,61.026257
"85",72.910004,73.410004,71.699997,71.940002,1958500,60.99234
"86",72.190002,72.230003,70.900002,71.599998,994300,60.704075
"87",71.739998,72.5,71.57,71.910004,1446700,60.966904
"88",72.169998,72.510002,70.720001,71.209999,1306700,60.373432
"89",71.050003,71.489998,70.790001,71.330002,1046200,60.47517
"90",70.910004,71.150002,69.669998,70.639999,1553600,59.890179
"91",70.059998,70.339996,69.18,70.099998,1700200,59.432346
"92",70.519997,71.129997,70.32,70.839996,1686400,60.059727
"93",70.970001,71.43,70.360001,71.279999,1098900,60.432774
"94",71.279999,71.279999,66.699997,67.269997,2471300,57.033012
"95",67.110001,68.279999,67.110001,67.629997,1863700,57.33823
"96",67.959999,69.169998,67.809998,68.360001,1992700,57.957146
"97",68.639999,69.169998,68.07,68.639999,1561100,58.19453
"98",68.699997,70.080002,68.169998,69.57,1347000,58.983009
"99",69.720001,69.809998,68.400002,69.199997,1955200,58.669315
"100",69.620003,69.839996,68.730003,69.07,1406300,58.559101
"101",68.93,69.669998,68.730003,69.220001,1067800,58.686264
"102",68.849998,68.989998,67.870003,68.5,1749900,58.075836
"103",68.629997,68.629997,67.169998,68.559998,2445900,58.126698
"104",69.199997,69.239998,67.690002,69.080002,1361800,58.56757
"105",68.25,69.080002,67.629997,68.57,1276500,58.13517
"106",68.629997,69.599998,68.519997,69.110001,1221400,58.593006
"107",68.25,68.910004,67.93,68.419998,1791500,58.008011
