"","EQIX.Open","EQIX.High","EQIX.Low","EQIX.Close","EQIX.Volume","EQIX.Adjusted"
"1",357.290009,360.480011,355.179993,358.720001,411500,327.256805
"2",358.529999,367.299988,357.100006,365.910004,644300,333.816193
"3",366.209991,370,363.179993,369.75,492900,337.319366
"4",369.940002,373.089996,367.890015,370.48999,458400,337.994507
"5",370.48999,375.149994,368.170013,373.190002,568300,340.457611
"6",373.51001,373.51001,368.01001,370.029999,450000,337.574829
"7",369.179993,374.799988,368.690002,371.579987,547300,338.988892
"8",371.420013,374.75,368.799988,374.149994,453400,341.333435
"9",373.640015,377.200012,372.200012,374.950012,260000,342.063293
"10",374.769989,378.910004,373.299988,376.130005,363200,343.139862
"11",377.119995,378.899994,375.049988,376.730011,353100,343.687195
"12",376.730011,381.959991,375.329987,381.149994,628200,347.719452
"13",381.98999,383.459991,380.559998,383.269989,397500,349.653595
"14",382.640015,387.399994,381.410004,385.350006,533200,351.551117
"15",386.5,389.970001,384.059998,389.660004,401700,355.483093
"16",389.309998,390.519989,383.140015,384.429993,597400,350.711853
"17",383.290009,387.329987,382.549988,384.209991,507500,350.511108
"18",385.26001,385.519989,382,382.959991,353000,349.370758
"19",381.890015,386.440002,380.880005,386.369995,313000,352.481598
"20",386.450012,387.920013,383.709991,384.980011,333600,351.213623
"21",385,386.799988,380.880005,381.299988,471800,347.856293
"22",381.920013,385.369995,380.320007,383.079987,339000,349.480255
"23",385.390015,386.399994,384.089996,384.820007,286200,351.067657
"24",385.26001,385.700012,381.26001,381.670013,380500,348.193817
"25",381.869995,383.549988,380.320007,380.640015,383500,347.254181
"26",381.630005,384.420013,380.410004,383.970001,466600,350.292175
"27",384.429993,387.130005,382.519989,385.799988,471100,351.961609
"28",386.850006,387.480011,384.339996,386.450012,334100,352.554688
"29",388.299988,388.299988,384.809998,386.690002,339200,352.773499
"30",386.899994,386.899994,380.140015,382.640015,329100,349.078766
"31",379.790009,383.609985,378.75,380.76001,457200,347.36377
"32",375,384.109985,369.660004,373.179993,1233800,340.448547
"33",373.850006,378.609985,371.600006,374.279999,606200,341.452087
"34",373.040009,377,368.600006,371.339996,695800,338.769867
"35",371.170013,373.779999,369.790009,373.320007,509400,340.576202
"36",373.329987,375,368.570007,370.850006,569800,340.145203
"37",371.190002,379.799988,369.98999,379.640015,593700,348.207397
"38",379.869995,381.26001,376.839996,377.23999,356600,346.006134
"39",377.059998,380.48999,375.589996,376.070007,433800,344.933014
"40",375.980011,381.200012,373.440002,377.98999,490100,346.69397
"41",378,378.220001,372.609985,372.730011,602700,341.869507
"42",371.179993,375.809998,370.880005,375.690002,331500,344.584412
"43",371.549988,378.579987,371.549988,377.549988,365000,346.290405
"44",377.579987,378.359985,374.019989,375.23999,264100,344.171753
"45",375.429993,375.429993,361.899994,363.429993,781500,333.339508
"46",364,376.48999,364,376.01001,3219700,344.877991
"47",377.799988,380.51001,373.649994,379.160004,1249700,347.76712
"48",381.220001,385.779999,379.209991,380.320007,1226200,348.831055
"49",380.48999,385.149994,379.190002,381.380005,817700,349.803375
"50",381.670013,385.480011,379.140015,383.779999,663000,352.0047
"51",383.869995,384.019989,376.540009,378.170013,743100,346.859131
"52",378.51001,378.809998,374.779999,375.640015,1162600,344.538605
"53",376.730011,385.350006,376.100006,383.570007,964600,351.811951
"54",385.850006,391.390015,382.529999,383.410004,833400,351.665344
"55",383.609985,388.429993,383.160004,387.470001,551100,355.389099
"56",386.950012,392.920013,385.790009,388.049988,718200,355.921082
"57",390.660004,392.429993,384.079987,388.089996,1714600,355.957764
"58",385,386.440002,381.660004,384,643800,352.20639
"59",384.220001,386.769989,383.26001,384.859985,403400,352.995209
"60",386.049988,394.470001,384.73999,394,588900,361.378479
"61",393.079987,398,391.799988,397.140015,482800,364.258453
"62",396.01001,403.619995,395.480011,400.369995,969400,367.221008
"63",400.940002,403.329987,397.230011,402.470001,537800,369.147095
"64",402.630005,402.630005,398.309998,399.980011,423700,366.863312
"65",399.109985,404.540009,398.170013,400.040009,414100,366.918335
"66",399.420013,402.98999,398.519989,402.179993,337900,368.881165
"67",402.880005,404.079987,401.25,401.73999,424700,368.47757
"68",401.48999,402.5,399.070007,400.929993,418000,367.734558
"69",400.23999,401.630005,397.119995,399.839996,450100,366.734924
"70",398.839996,400.529999,396.940002,399.76001,487900,366.66153
"71",400.299988,402,398.549988,399.109985,366700,366.065308
"72",398.959991,403.019989,398.959991,403.01001,388300,369.642456
"73",402.230011,404.23999,401.26001,402.950012,285600,369.587433
"74",403.25,404.619995,401.140015,403.959991,325500,370.513794
"75",404.660004,407.549988,401.76001,405.130005,459000,371.586884
"76",405.410004,405.579987,401.290009,401.839996,462700,368.569336
"77",405.119995,406.470001,398.609985,404.029999,539600,370.578003
"78",404.299988,406.859985,403.200012,406.549988,457000,372.889343
"79",407.279999,409.869995,404.549988,407.329987,556100,373.604767
"80",414.390015,414.799988,403,410.940002,619800,376.915894
"81",410.649994,418.119995,409.179993,417.700012,568400,383.11615
"82",417.690002,420.700012,416.299988,420.179993,569300,385.390778
"83",420.480011,423.559998,418.160004,422.859985,479100,387.848999
"84",424.089996,424.970001,420.179993,423.179993,506200,388.142487
"85",422.929993,425.339996,418.630005,424.279999,574900,389.151367
"86",424.540009,426.450012,421.75,426.25,462200,390.958344
"87",426.660004,427.690002,422.130005,426.640015,598100,391.315979
"88",427.640015,427.820007,424.420013,425.910004,341100,390.646484
"89",426.079987,427.290009,423.730011,425.049988,366900,389.857635
"90",424.350006,429.320007,422.910004,428.769989,357300,393.269623
"91",427.769989,431.290009,426.619995,431.070007,532700,395.379211
"92",430.880005,433.769989,429.059998,429.809998,505700,394.223541
"93",429.799988,431.390015,424.649994,427.640015,368500,392.233215
"94",426.600006,430.140015,426.160004,426.970001,414000,391.618713
"95",425.5,426.559998,420.959991,425.76001,530000,390.508881
"96",426.690002,429.790009,423.980011,426.73999,366400,391.407654
"97",425.309998,435.350006,425.309998,434.679993,407400,400.567688
"98",435.799988,439.100006,434.350006,435.790009,341000,401.590546
"99",434.940002,441.720001,434.940002,440.429993,423500,405.866425
