"","BKNG.Open","BKNG.High","BKNG.Low","BKNG.Close","BKNG.Volume","BKNG.Adjusted"
"1",1476.910034,1487.359985,1459.48999,1477.569946,458500,1477.569946
"2",1484.640015,1493.650024,1480.75,1487.290039,387700,1487.290039
"3",1489.890015,1504.939941,1489.890015,1503.699951,447500,1503.699951
"4",1501.540039,1526.469971,1501.209961,1520.569946,473400,1520.569946
"5",1518,1538.77002,1518,1529.640015,397500,1529.640015
"6",1534.959961,1544.560059,1529.5,1535.25,325100,1535.25
"7",1532.209961,1546.670044,1527.02002,1536.109985,404600,1536.109985
"8",1531.560059,1539.930054,1516,1538.589966,314900,1538.589966
"9",1535.75,1548.949951,1531.26001,1545.819946,326200,1545.819946
"10",1544,1546.98999,1534.01001,1540.130005,330200,1540.130005
"11",1545.219971,1547.25,1529.209961,1541.859985,246000,1541.859985
"12",1541.400024,1549,1532.719971,1539.02002,279200,1539.02002
"13",1547.560059,1547.560059,1528.01001,1545.01001,596500,1545.01001
"14",1541.469971,1555.72998,1534.630005,1554.98999,430300,1554.98999
"15",1558.380005,1566.060059,1552.130005,1563.329956,360300,1563.329956
"16",1569,1581.469971,1565.26001,1578.819946,308000,1578.819946
"17",1576.560059,1587.51001,1575.449951,1581.439941,294200,1581.439941
"18",1581,1605.469971,1577.670044,1602.920044,428000,1602.920044
"19",1598.650024,1603.579956,1571,1602.310059,469200,1602.310059
"20",1599,1599.410034,1569.030029,1575.130005,517600,1575.130005
"21",1584.089966,1586.589966,1562.859985,1575.310059,330700,1575.310059
"22",1570.030029,1585.449951,1567,1574.089966,444500,1574.089966
"23",1576.48999,1587.98999,1572.810059,1583.380005,317500,1583.380005
"24",1581.339966,1588.869995,1571.319946,1587.180054,210200,1587.180054
"25",1590,1598.930054,1588,1598.699951,295400,1598.699951
"26",1595.180054,1604.300049,1589,1601.189941,373600,1601.189941
"27",1602.839966,1616.079956,1598.050049,1611.829956,414300,1611.829956
"28",1617.469971,1649.650024,1614.02002,1646.51001,843800,1646.51001
"29",1652,1652,1640,1646.180054,413500,1646.180054
"30",1646.180054,1646.310059,1630.339966,1637.290039,391000,1637.290039
"31",1631.300049,1651.27002,1628,1648.959961,280600,1648.959961
"32",1647.449951,1658.969971,1642.5,1648.880005,301600,1648.880005
"33",1648.780029,1648.780029,1634.060059,1637.400024,414000,1637.400024
"34",1642.97998,1657.23999,1637.420044,1647,460300,1647
"35",1641.52002,1653.459961,1639,1651.73999,278400,1651.73999
"36",1661.900024,1664.98999,1633.400024,1637.26001,412300,1637.26001
"37",1627.550049,1640.680054,1622.02002,1631.619995,562400,1631.619995
"38",1631.109985,1635.319946,1612.410034,1632.01001,813000,1632.01001
"39",1703.890015,1748.390015,1698.099976,1724.130005,1739800,1724.130005
"40",1741,1742.02002,1726.22998,1733.180054,623700,1733.180054
"41",1737.52002,1747.26001,1730.800049,1734.369995,503300,1734.369995
"42",1731,1742,1729.410034,1735.099976,291700,1735.099976
"43",1730,1736.849976,1727,1730.209961,353800,1730.209961
"44",1720,1737.619995,1720,1736.459961,282600,1736.459961
"45",1735.199951,1749.640015,1731.670044,1743.48999,421100,1743.48999
