"","COST.Open","COST.High","COST.Low","COST.Close","COST.Volume","COST.Adjusted"
"1",160.649994,160.990005,158.509995,159.729996,2099000,142.592804
"2",159.800003,160.490005,158.940002,159.759995,2163600,142.619614
"3",160.949997,163.350006,160.630005,162.910004,2880900,145.431641
"4",162.669998,162.949997,161.130005,162.830002,2167000,145.360245
"5",162.330002,162.479996,160.720001,160.970001,2318300,143.699783
"6",160.580002,162.410004,160.509995,161.660004,1477900,144.31572
"7",161.470001,162.380005,160.350006,161.539993,1378300,144.208603
"8",161.350006,161.960007,160.669998,161.869995,1296900,144.503174
"9",161.990005,162.130005,161.350006,161.860001,1250100,144.494263
"10",161.850006,164.25,161.669998,163.809998,2430500,146.235077
"11",163.649994,164.380005,162.589996,164.270004,1834700,146.645737
"12",164.179993,164.800003,163.559998,163.699997,1980400,146.136871
"13",164.389999,164.770004,163.229996,164.240005,1897100,146.618973
"14",164.050003,164.350006,162.169998,163.009995,1421600,145.520935
"15",163.229996,163.820007,162.960007,163.669998,1347400,146.110031
"16",164.199997,164.75,163.899994,164.139999,1299200,146.529648
"17",164.339996,164.440002,163.399994,164.070007,1180000,146.467178
"18",164.559998,164.580002,160.710007,162.059998,2341100,144.672821
"19",162.029999,163.289993,160.600006,163.25,2149800,145.735168
"20",162.490005,164,162.350006,163.949997,1796600,146.360046
"21",163.839996,163.949997,161.809998,161.860001,2219700,144.494263
"22",166.839996,168.880005,166.160004,168.149994,5816300,150.109467
"23",167.720001,168.839996,167.149994,168.320007,3227700,150.2612
"24",168.179993,168.179993,166.710007,167.029999,2172800,149.109604
"25",167.529999,168.080002,166.529999,167.520004,2732600,149.547028
"26",167.5,168.570007,167.5,168.419998,2089900,150.755447
"27",168.449997,171.419998,168.169998,170.960007,2606900,153.029022
"28",171.649994,172.270004,170.270004,172,2070000,153.959991
"29",172.490005,172.490005,170.779999,171.960007,2272200,153.924179
"30",171.660004,173.639999,171.550003,173.630005,2244700,155.418991
"31",173.179993,175,173.059998,175,2346500,156.645294
"32",175.100006,175.830002,174.509995,175.75,2206500,157.316635
"33",175.470001,176.5,174.479996,175.860001,2424400,157.415115
"34",176.550003,177,176,176.940002,2317000,158.38179
"35",177.070007,177.089996,175.070007,176.509995,1815200,157.996902
"36",176.520004,177.039993,175.210007,175.850006,2599900,157.406174
"37",175.220001,177.710007,175.119995,177.559998,1684300,158.936813
"38",177.330002,177.850006,176.550003,177.619995,2340400,158.990479
"39",176.949997,177.869995,175.479996,177.179993,2992100,158.596634
"40",177.369995,178.710007,177.220001,177.860001,2352300,159.205322
"41",177.5,178.25,176.509995,177.979996,3190300,159.31279
"42",170.699997,171.889999,169.899994,170.259995,10396500,152.402451
"43",169.410004,170.330002,166.110001,166.729996,5793600,149.242706
"44",166.539993,168.619995,166.539993,167,2811900,149.484406
"45",167,167.410004,166.160004,166.240005,2375900,148.804123
"46",166.399994,166.789993,165.119995,165.770004,1993700,148.383377
"47",166.490005,166.5,164.979996,165.369995,2164200,148.025299
"48",164.850006,165.110001,164.300003,164.550003,2127700,147.291351
"49",164.210007,165.320007,164.100006,165.240005,1974400,147.908981
"50",165.570007,166.539993,164.830002,166.539993,2079700,149.072632
"51",166.779999,167.669998,166.259995,167.059998,2726600,149.538086
"52",168.059998,168.350006,167.070007,167.809998,3976000,150.209457
"53",167.759995,168.289993,166.800003,167.440002,1603300,149.878189
"54",167.509995,168.800003,166.649994,166.779999,2241900,149.287445
"55",167.320007,167.970001,167.039993,167.679993,1534200,150.093079
"56",168,168.419998,166.429993,166.899994,1430500,149.394836
"57",167.369995,167.460007,165.660004,166.020004,1410400,148.607162
"58",165.529999,166.320007,165.320007,166.149994,1212300,148.723495
"59",166.110001,167.050003,165.149994,166.770004,1446400,149.278503
"60",166.279999,167.479996,166.149994,167.429993,1216700,149.869247
"61",167.300003,168.179993,166.759995,167.889999,1034000,150.281067
"62",167.589996,168.169998,167.130005,167.690002,1720300,150.101974
"63",167.740005,168.300003,166.399994,166.699997,1547900,149.215836
"64",166.600006,167.320007,166.110001,167.25,1322400,149.70816
"65",167.289993,168.399994,166.720001,167,1715200,149.484406
"66",169.679993,172.110001,169.309998,170.020004,3313800,152.187637
"67",169.699997,171,169.429993,170.619995,1510000,152.72467
"68",170.199997,171.570007,169.850006,171.220001,2002300,153.26178
"69",170.789993,171.440002,169.630005,170.630005,1191400,152.733658
"70",171.429993,171.449997,169.690002,170.169998,1422300,152.321884
"71",170.050003,170.619995,168.800003,168.839996,1422500,151.131393
"72",168.770004,169.75,168.710007,169.699997,1504100,151.901169
"73",170.050003,170.320007,169.470001,170.130005,1542700,152.286118
"74",170.880005,170.929993,169.820007,170.059998,1441300,152.223419
"75",170.330002,171.179993,169.949997,170.149994,1933600,152.303955
"76",171.520004,171.880005,170.639999,170.770004,2257900,152.859009
"77",172,172.610001,171.330002,172.330002,1906900,154.25531
"78",172.910004,173.039993,172.289993,172.679993,1503000,154.568604
"79",178.050003,178.270004,175.419998,176.800003,4591300,158.256531
"80",177.320007,177.789993,176.419998,177.449997,2148700,158.838333
"81",178.070007,178.070007,176.929993,177.520004,2364500,158.901016
"82",178.5,178.5,177.330002,177.860001,3328000,159.205322
"83",178.720001,178.940002,177.940002,178.589996,2505300,159.858795
"84",178.740005,180.460007,178.699997,179.820007,2900500,160.959747
"85",180.050003,183.179993,180,182.449997,3762200,163.313919
"86",182.770004,182.919998,179.759995,180.199997,3713600,161.299896
"87",174.660004,174.699997,171.600006,172.639999,3538000,160.778366
"88",173.610001,173.919998,172.309998,172.679993,2662100,160.815628
"89",172.029999,172.089996,170.660004,171.350006,2554500,160.040451
"90",170.779999,171.550003,170.100006,171.259995,2106000,159.95636
"91",171.289993,171.850006,170.320007,170.880005,1586800,159.60141
"92",170.300003,171.979996,170.300003,171.570007,1733600,160.245926
"93",171.960007,171.960007,170.630005,171,1129200,159.713486
"94",170.660004,171.5,169.059998,169.149994,2201400,157.985596
"95",170.080002,171.020004,169.690002,170.720001,1589700,159.451996
"96",171.350006,172.429993,170.809998,171.639999,1871800,160.311249
"97",172.240005,173.240005,171.630005,172.399994,1594100,161.021118
"98",172.970001,173.539993,172.320007,172.470001,1788000,161.086472
"99",172.949997,173.130005,171.800003,173.009995,1420800,161.590836
"100",173.470001,175.050003,173.300003,174.729996,2726900,163.197311
"101",180.25,180.339996,177.520004,177.860001,4471300,166.120743
"102",177.679993,179.389999,177.5,178.919998,2086300,167.110794
"103",179.240005,180.470001,178.779999,180.429993,2456200,168.521088
"104",180.809998,181.100006,179.860001,180.630005,2028300,168.707901
"105",180.580002,181.25,179.869995,180.970001,2239900,169.025467
"106",181.100006,182.210007,180.600006,182.080002,1561100,170.06221
"107",181.699997,182.720001,181.009995,181.449997,2248900,169.473785
"108",181.440002,182.240005,181.139999,182.199997,1246200,170.174271
"109",181.919998,182.5,180.839996,181.410004,1823600,169.436432
"110",181.710007,181.929993,179.919998,180.380005,2167600,168.474411
"111",179.580002,180.869995,178.789993,179.639999,2395200,167.783264
"112",179.899994,180.789993,179.029999,180.509995,1745400,168.595795
"113",180.830002,181.960007,180.229996,181.669998,1440400,169.67923
"114",180.389999,181.330002,178.369995,180.059998,1753800,168.175522
"115",170.399994,170.600006,165,167.110001,24233000,156.080261
"116",167.050003,167.380005,162.389999,164.339996,13809100,153.493088
"117",165.5,165.5,162.429993,162.899994,7337600,152.148132
"118",163.490005,163.770004,162.75,163.149994,3421700,152.381638
"119",163.169998,163.300003,159.009995,159.789993,8043100,149.243362
"120",159.399994,159.800003,156.559998,157.130005,9506700,146.758957
"121",158.149994,160.990005,158.100006,160.199997,6473900,149.626312
"122",160.660004,161.550003,159.199997,159.259995,5533800,148.748383
"123",159.589996,160.5,159.5,160.169998,3234400,149.598358
"124",160.210007,160.470001,157.800003,158.679993,3664200,148.20665
"125",159.600006,160.539993,158.789993,159.929993,4755100,149.37413
"126",160.210007,160.529999,158.690002,158.820007,1994300,148.337433
"127",158.929993,159.5,157.860001,158.020004,3770400,147.590256
"128",161.110001,161.350006,157.050003,157.089996,6963400,146.721619
"129",157.360001,157.550003,154.089996,154.110001,7688400,143.938293
"130",153.509995,153.600006,150.960007,151,8999800,141.033585
"131",151.449997,153.089996,150.929993,151.110001,6275600,141.136322
"132",151.460007,152.899994,151.419998,151.75,5112200,141.734085
"133",153.229996,153.929993,152.619995,153.600006,5673500,143.46199
"134",154.259995,154.270004,152.899994,153,4368400,142.90155
"135",153,153.440002,152.520004,152.839996,3096500,142.752151
"136",152.610001,152.839996,150.940002,151.5,3256900,141.500565
"137",151.809998,152.160004,150.899994,151.240005,4100000,141.257736
"138",151.470001,152.190002,150.880005,150.990005,3207400,141.024246
"139",150.940002,151.229996,150,150.440002,4078000,140.510529
"140",150.449997,151.470001,150.110001,151,3655600,141.033585
"141",151.410004,153.699997,151.399994,153.169998,4605700,143.060303
"142",153.410004,153.5,151.550003,152.089996,3017200,142.051666
"143",152.009995,152.990005,151.440002,152.520004,3637900,142.453247
"144",152.669998,153.300003,152.110001,152.889999,2779500,142.798843
"145",153.080002,158.660004,153.029999,158.509995,6937100,148.047928
"146",159.100006,159.970001,157.910004,159.720001,4787500,149.177994
"147",159.130005,161.550003,158.440002,161.279999,5486300,150.635056
"148",161.610001,162.350006,157.059998,157.910004,5562600,147.487488
"149",158.339996,158.440002,155.830002,156.440002,3117900,146.114563
"150",156.5,157.580002,155.339996,156.949997,2629500,146.59082
"151",157.100006,159.440002,157.029999,157.75,2569200,147.338043
"152",157.139999,157.570007,156.199997,156.860001,2157600,146.506805
"153",156.169998,157.570007,155.369995,156.639999,2764600,146.301346
"154",156.509995,157.800003,156.410004,156.649994,1887000,146.310669
"155",157.589996,158.199997,156.539993,157.910004,2028400,147.487488
"156",158,158.380005,156.789993,156.880005,1869100,146.525497
"157",157.279999,159.880005,157.110001,159.759995,3381800,149.692444
"158",158.479996,159.949997,157.639999,158.570007,2650000,148.577454
"159",157.979996,158.690002,156.919998,157.080002,2747900,147.181381
"160",157.190002,158.169998,155.960007,157.070007,1857400,147.171982
"161",157.529999,159.449997,157.529999,158.699997,2204600,148.699265
"162",158.619995,159.440002,157.779999,159.369995,1731400,149.327026
"163",160,160.660004,151.089996,151.330002,10301700,141.793701
"164",152.369995,152.940002,150.059998,152.449997,5703500,142.843094
"165",151.899994,153.279999,151.199997,152.550003,3776400,142.936813
"166",152.380005,153.990005,151.460007,153.559998,2446200,143.883163
"167",153.710007,154.740005,152.880005,154.440002,2493500,144.707748
"168",156.220001,157.259995,153.949997,156.740005,4567700,146.862793
"169",157.589996,158.550003,157.199997,158.240005,2833500,148.26828
"170",157.960007,159.720001,157.470001,159.139999,3413000,149.111588
"171",159.190002,159.940002,158.089996,158.860001,2873700,148.849197
"172",158.970001,159.600006,157.570007,159.279999,2479300,149.242722
"173",158.369995,158.5,155.029999,157.309998,3364600,147.396851
"174",157.889999,158,157.059998,157.360001,2442500,147.443741
"175",157.669998,160.649994,157.449997,160.039993,2988400,149.954834
"176",160.139999,163.949997,160.009995,162.990005,4202000,152.718933
"177",162.679993,162.679993,161.639999,162.369995,2493300,152.138
"178",162.240005,162.669998,161.699997,162.300003,3757800,152.072418
"179",162.179993,163.460007,160.759995,160.910004,2047100,150.769989
"180",160.960007,161.660004,159.949997,161.559998,1790800,151.379028
"181",161.509995,163.039993,161.259995,162.850006,2432300,152.587753
"182",162.929993,162.929993,160.399994,161.479996,1738800,151.304031
"183",160.899994,162,160.369995,161.289993,1535900,151.126083
"184",160.830002,162.699997,160.520004,162.330002,1799600,152.10051
"185",162.710007,164.729996,162.589996,164.070007,2370400,153.730865
"186",164.490005,165.320007,163.380005,164.419998,2053100,154.058838
