"","NCLH.Open","NCLH.High","NCLH.Low","NCLH.Close","NCLH.Volume","NCLH.Adjusted"
"454",49.959999,50.32,48.889999,49,2723000,49
"455",49.240002,49.549999,48.060001,48.209999,1979800,48.209999
"456",47.32,48.380001,46.549999,48.09,3009700,48.09
"457",47.880001,48.040001,45.02,45.080002,3023300,45.080002
"458",45.669998,45.740002,44.279999,45.43,3646200,45.43
"459",44.84,44.869999,43.459999,43.880001,3232000,43.880001
"460",44.450001,44.82,41.73,42.330002,3366800,42.330002
"461",42.52,42.66,41.610001,42.400002,4543600,42.400002
"462",43.209999,44.509998,42.880001,44.07,4588600,44.07
"463",44.560001,46.419998,44.279999,46.400002,3723900,46.400002
"464",46.52,46.84,45.34,45.799999,4422100,45.799999
"465",45.799999,46.450001,45.549999,46.09,3311500,46.09
"466",45.970001,46.939999,45.59,46.57,2532000,46.57
"467",47.029999,48.09,46.82,48,3053200,48
"468",49.009998,50.400002,48.360001,49.27,3642600,49.27
"469",49.040001,49.490002,48.330002,48.75,2910100,48.75
"470",48.599998,49.330002,48.400002,48.57,3405900,48.57
"471",48.93,50.099998,48.759998,49.490002,3316700,49.490002
"472",49.919998,50.66,49.380001,49.709999,2649500,49.709999
"473",49.150002,50.52,48.759998,50.439999,1997100,50.439999
"474",50.119999,51.060001,49.84,50.43,1444500,50.43
"475",50.450001,50.709999,49.139999,49.27,2324600,49.27
"476",48.41,49.720001,47.990002,49.490002,2126400,49.490002
"477",49.900002,50.549999,49.66,50.150002,1146500,50.150002
"478",49.849998,51.330002,49.849998,50.740002,880900,50.740002
"479",51.16,51.630001,50.720001,51.560001,1464900,51.560001
"480",51.209999,51.57,50.66,50.959999,1338100,50.959999
"481",51.150002,51.98,50.75,51.59,1727600,51.59
"482",52.16,52.73,51.380001,51.560001,10919100,51.560001
"483",51.349998,51.650002,50.09,51.32,4278800,51.32
"484",52,52.880001,51.419998,51.540001,4229000,51.540001
"485",50.98,51.080002,48.52,48.77,5194200,48.77
"486",48.630001,49.380001,47.830002,49.360001,2523200,49.360001
"487",49.049999,49.68,47.169998,47.59,2154000,47.59
"488",47.66,48.18,46.700001,47.73,1557100,47.73
"489",48.529999,48.889999,46.869999,47.23,1900200,47.23
"490",47.950001,48.490002,47.610001,47.669998,1040500,47.669998
"491",47.720001,48.040001,46.849998,47.27,1333500,47.27
"492",46.75,48.290001,46.75,47.619999,1840300,47.619999
"493",47.560001,47.98,46.84,47.139999,1789000,47.139999
"494",47.650002,48,46.450001,46.77,2365400,46.77
