"","VLO.Open","VLO.High","VLO.Low","VLO.Close","VLO.Volume","VLO.Adjusted"
"785",84.199997,84.209999,81.860001,82.639999,2990400,74.347527
"786",82.370003,83.349998,82.099998,82.519997,1856600,74.239578
"787",82.760002,83.339996,81.339996,83.230003,1831500,74.878334
"788",83.260002,84.769997,83.010002,84.169998,2015800,75.723999
"789",83.300003,83.510002,81.940002,82.900002,2084800,74.581451
"790",80.040001,80.099998,77.699997,78.099998,3868700,70.2631
"791",78.419998,78.620003,73.989998,74.440002,4057500,66.970367
"792",74.889999,75.489998,71.599998,71.720001,4702000,64.523293
"793",69.370003,69.809998,65.760002,66.190002,7682400,59.548199
"794",63.529999,66.269997,62.41,66.25,7421700,59.602177
"795",66.970001,68.059998,63.849998,67.870003,6526300,61.059628
"796",68.43,69.050003,63.630001,64.440002,5587900,57.973808
"797",65.93,65.93,63.029999,64.150002,6485000,57.71291
"798",62.099998,63.790001,60.75,61.700001,5918900,55.508751
"799",59.560001,63.669998,58.220001,63.09,9569600,56.759266
"800",58.400002,67.699997,57.360001,58.400002,12531100,52.53989
"801",60.73,63.849998,57.029999,60.450001,10527600,54.384174
"802",58.68,59.740002,53.529999,54.419998,9184800,48.959255
"803",50.07,50.68,42.689999,43.959999,14645700,39.548855
"804",48.099998,49.990002,41.75,49.900002,9700600,44.892811
"805",43.009998,47.990002,41.189999,41.630001,8241800,37.452663
"806",42.110001,43.209999,38,39.02,8839500,35.104561
"807",36.41,37.349998,31,35.02,8900200,31.505938
"808",34.790001,37.470001,31.889999,37.41,8776000,33.656116
"809",38.490002,41.18,36.419998,38.66,9225000,34.780682
"810",37.310001,37.779999,32.459999,32.619999,6535300,29.346764
"811",35.880001,37.310001,33.509998,34.650002,9068400,31.173067
"812",36.48,42.490002,33.849998,39.630001,8933300,35.653351
"813",40.939999,47.139999,40.139999,45.599998,10055900,41.024292
"814",42.709999,47.470001,42.02,45.040001,8028700,40.520489
"815",42.790001,47.48,41,47.189999,7691900,42.454746
"816",48.98,49.279999,43.830002,45.360001,7423500,40.808372
"817",42.080002,43.919998,40.5,41,5354600,36.88588
"818",42.810001,46,40.5,41.5,8098300,37.335705
"819",41.740002,42,39.669998,40.34,5313400,36.292107
"820",42.849998,46.529999,42.849998,46.099998,6213000,41.474117
"821",49.450001,50.09,46.34,48.009998,7767300,43.192467
"822",48.540001,52.759998,48.119999,51.599998,6830800,46.422226
"823",53.799999,53.880001,48.34,50.099998,7708000,45.072739
"824",51.939999,52.369999,48.93,49.700001,4668100,44.712879
"825",49.810001,51.48,49.529999,50.950001,4201000,45.837448
"826",48.009998,48.5,46.009998,46.700001,5311800,42.013916
"827",46.540001,47.470001,44.439999,45,5133200,40.484501
"828",46.150002,51.91,45.75,51.759998,6855700,46.56617
"829",48.439999,52.240002,48.279999,50.310001,5451300,45.261673
"830",48.099998,50.799999,47.619999,49.450001,5692800,44.487968
"831",51.970001,52.740002,50.360001,50.57,4678600,45.495583
"832",52.02,53.209999,50.889999,52.07,5164500,46.845066
"833",52.799999,53.549999,51.610001,52.5,4012500,47.231918
"834",52.549999,56.27,52.080002,55.57,3813900,49.993862
"835",57.560001,59.200001,56.41,57.869999,4570900,52.063068
"836",61.139999,66.940002,60.540001,66.279999,9892400,59.629162
"837",65.919998,66.75,62.18,63.349998,6676400,56.993176
"838",60.830002,61.91,58.34,58.759998,4667800,52.863758
"839",58.450001,63.73,57.779999,63.66,6629800,57.272072
"840",65.5,66.550003,62.419998,63.02,6329600,56.696293
"841",63.400002,64.040001,60.59,60.91,4406000,54.798019
"842",62.029999,64.050003,60.860001,61.259998,4307100,55.1129
"843",62.82,66.220001,61.560001,65.919998,4405300,59.305294
"844",65.019997,66.709999,65.010002,65.57,4981300,58.990414
"845",66.510002,66.870003,63.34,63.34,5030700,56.984184
"846",61.82,62.040001,58.73,59.049999,5721100,53.959526
"847",57.650002,60.650002,55.810001,59.41,5237900,54.28849
"848",59.189999,60.5,57.790001,58.779999,3768000,53.712803
"849",61.990002,64.910004,61.610001,64.349998,4418800,58.802631
"850",64.260002,65.709999,62.509998,64.050003,4573100,58.528496
"851",65.830002,68.25,65.730003,67.339996,5337200,61.534882
"852",67.019997,67.790001,65.360001,65.730003,2959700,60.063671
"853",65.550003,65.980003,63.950001,65.68,3521100,60.017975
"854",68.220001,70.150002,68.190002,68.699997,4833500,62.77763
"855",70.099998,71.290001,68.75,70.18,4359800,64.130035
"856",70.220001,70.5,66.529999,67.129997,4992100,61.342979
"857",66.959999,67.93,65.75,66.639999,4971900,60.895222
"858",66.830002,67.339996,65.300003,66.580002,3893900,60.840389
"859",67.269997,68.690002,66.519997,68.190002,4373900,62.3116
"860",69.25,70.93,68.650002,70.540001,4963100,64.459023
"861",69.620003,70.589996,69.160004,70.050003,3391700,64.011253
"862",73.089996,75.75,73.059998,74.639999,5700500,68.205574
"863",76,77.110001,74.220001,75.620003,4397300,69.101089
"864",73.150002,73.690002,71.029999,71.269997,4902400,65.126091
"865",71.620003,72.349998,68.68,69.050003,4571200,63.097466
"866",64.550003,66.519997,60.279999,60.68,6214000,55.449009
"867",63.889999,64.650002,61.669998,63.790001,3575200,58.290913
"868",60.869999,63.970001,59.560001,63.59,4972900,58.108147
"869",66.690002,67.769997,64.410004,66.160004,4046100,60.456604
"870",65.839996,65.839996,62.299999,62.32,4649800,56.947628
"871",61.700001,65.349998,61.34,64.629997,3817800,59.058495
"872",66.019997,66.860001,63.02,63.16,9539900,57.715221
"873",62.43,63,61.459999,62.66,3138000,57.258324
"874",63.400002,63.75,62.5,62.650002,2628500,57.249187
"875",61.360001,61.580002,57.290001,58.02,5688100,53.018318
"876",57.25,58.450001,56.59,57.279999,4887000,52.342106
"877",57.049999,57.279999,55.66,56.32,4851900,51.464867
"878",56.700001,58.189999,56.060001,56.950001,3636900,52.040562
"879",56.34,59.099998,55.77,58.82,5122500,53.749352
"880",59.200001,60.299999,56.369999,56.439999,3172200,51.574516
"881",57.59,58.279999,56.150002,56.34,3834600,51.483143
"882",57.5,57.799999,55.150002,56.470001,3595800,51.601936
"883",55.5,55.529999,53.009998,53.119999,6069900,48.54073
"884",52.790001,54.130001,52.119999,52.98,5539400,48.412796
"885",52.790001,52.82,49.869999,50.220001,6920900,45.890728
"886",50.220001,53.66,50.16,53.650002,5180700,49.025043
"887",54.169998,54.540001,52.509998,53.23,4305500,48.641247
"888",52.700001,54.509998,52.360001,54.400002,4671100,49.710384
"889",56.240002,57.450001,55.490002,57.23,3941400,52.296421
"890",56.650002,57.84,55.759998,56.580002,2530900,51.702454
"891",56.98,57.919998,55.32,55.470001,3093300,50.688141
"892",55.34,56.139999,54.259998,54.330002,2329200,49.646423
"893",55.299999,57.939999,55.02,57.580002,4050700,52.616253
"894",56.560001,57.939999,56.02,57.07,2741100,52.150211
"895",56.470001,57.810001,56.389999,57.669998,3576100,52.698486
"896",57.720001,58.75,57.459999,57.98,2978400,52.98177
"897",57.799999,58.139999,56.810001,58.029999,2678400,53.027451
"898",57.619999,58.540001,56.52,56.889999,3645500,51.985733
"899",57.599998,59.759998,57.139999,59.689999,4510900,54.544353
"900",56.43,57.369999,54.400002,56.330002,6257300,51.47401
"901",55.540001,56.459999,55.07,56.23,5120100,51.382622
"902",55.23,55.66,53.580002,53.91,5396500,50.136421
"903",53.689999,53.93,51.93,53.02,5702700,49.30872
"904",54.279999,54.380001,51.290001,51.619999,5284500,48.006718
"905",51.360001,52.98,51.099998,51.48,3924600,47.876522
"906",51.220001,52.869999,50.73,52.66,3310200,48.973923
"907",53,53.77,52.389999,53.549999,5663300,49.801624
"908",55.029999,55.73,53.450001,53.650002,4711000,49.894623
"909",54.650002,55.150002,53.5,55.119999,3138300,51.261726
"910",54.32,54.939999,53.099998,53.189999,3411000,49.46682
"911",52.849998,54.52,52.650002,54.459999,3693700,50.647923
"912",54.360001,56.18,54.169998,55.599998,4335800,51.708122
"913",55.25,55.779999,54.619999,54.740002,2567300,50.908321
"914",54.32,54.98,53.66,54.259998,3031100,50.461922
"915",53.68,53.950001,51.98,52.700001,3796100,49.01112
"916",52.560001,53.23,52.040001,52.619999,2936800,48.936718
"917",53.07,55.18,52.779999,54.990002,3226400,51.140823
"918",55.150002,55.810001,53.700001,54.25,3380900,50.452621
"919",54.150002,54.66,53.259998,53.700001,4065200,49.941124
"920",53.830002,53.950001,52.330002,53.439999,3453600,49.699322
"921",53.639999,55.02,53.639999,54.889999,3805600,51.047832
"922",55.110001,55.25,52.529999,52.59,4486200,48.908821
"923",52.279999,53.400002,51.59,52.470001,3197800,48.797218
"924",52.599998,53.380001,51.900002,52.91,3959500,49.206413
"925",52.990002,54.48,51.66,52.330002,3624200,48.667023
"926",52.759998,53.119999,50.66,51.220001,3700500,47.634724
"927",50.5,51,48.68,48.73,4513400,45.319012
"928",49.18,49.470001,47.34,47.75,4490400,44.407604
"929",47.869999,48.060001,45.380001,45.630001,4870800,42.436005
"930",45.59,46.779999,45.139999,46.389999,3969400,43.142803
"931",46.66,48.080002,46.540001,47.509998,5927700,44.184406
"932",47.700001,48.169998,46.540001,46.560001,3568400,43.300903
"933",47.060001,50.040001,46.57,49.099998,6197100,45.663109
"934",48.049999,49.029999,47.84,49,6633400,45.570114
"935",48.540001,49.099998,47.779999,48.709999,8200400,45.300411
"936",47.18,47.900002,46.299999,47.360001,6162500,44.044903
"937",47.25,47.950001,47,47.419998,4799600,44.100708
"938",47.439999,47.450001,44.470001,44.509998,4627500,41.394402
"939",44.060001,45.549999,42.93,44.580002,3818100,41.459499
"940",43.919998,44.189999,43.02,43.919998,4687200,40.845695
"941",44.82,45.57,44.630001,44.82,3247900,41.682701
"942",44.91,44.990002,43.110001,43.41,4385200,40.371399
"943",43.57,44.400002,42.93,43.32,4757000,40.287701
"944",41.619999,42,39.720001,40.279999,10606700,37.460491
"945",39.240002,41.240002,38.869999,40.73,6992100,37.878998
"946",41.450001,43.119999,41.25,43.07,5107900,40.055202
"947",43.869999,44.32,42.09,42.330002,4450100,39.366997
"948",42.5,42.860001,41.860001,42.349998,4239500,39.385597
"949",42.639999,44.380001,42.259998,44.360001,3251400,41.254898
"950",44.759998,44.889999,43.150002,43.639999,5617900,40.585304
"951",43.259998,43.490002,42.220001,43.09,3733300,40.073799
"952",42.66,42.889999,41.400002,41.43,3890900,38.529999
"953",41.459999,42.619999,41.450001,41.709999,3692900,38.79039
"954",40.900002,41.720001,39.779999,41.560001,5678300,38.650898
"955",41.57,41.650002,40.16,40.220001,5518900,37.404694
"956",40.419998,40.459999,39.150002,39.290001,5086800,36.539791
"957",39.75,41.130001,39.689999,40.700001,4120600,37.851097
"958",40.27,41.540001,39.75,40.540001,5592100,37.70229
"959",40.169998,41.389999,38.419998,41.279999,6561200,38.390491
"960",41.68,43.419998,40.990002,41.970001,6217000,39.032192
"961",41.220001,41.299999,39.209999,39.540001,4902000,36.772293
"962",39.119999,39.450001,38.220001,38.259998,4886800,35.581886
"963",37.099998,37.669998,35.990002,36.189999,6338200,33.656784
"964",35.790001,37.73,35.439999,37.529999,5068700,34.902985
"965",37.209999,38.650002,36.91,38.610001,6549500,35.907391
"966",39.349998,40.299999,38.450001,39.900002,4660100,37.10709
"967",40.580002,40.689999,38.959999,39.48,4003300,36.716488
"968",39.5,40.110001,37.880001,38.970001,4643600,36.242184
"969",39.07,40.27,38.900002,39.529999,4695000,36.762989
"970",39.450001,39.900002,37.98,38.169998,4378700,35.498184
"971",44.91,50.91,44.900002,50.080002,19211600,46.574516
"972",51,51.060001,48,49.959999,8816600,46.462914
"973",50.209999,50.830002,49.07,49.790001,6325300,46.304813
"974",48.73,49.990002,46.959999,47.279999,5754500,43.970509
"975",47.860001,51.389999,47.799999,50.919998,5714300,47.355713
"976",56,56,52.459999,55.669998,9029300,51.773224
"977",52.919998,54.290001,51.98,54.150002,5972200,51.262032
"978",54.57,54.700001,51.240002,51.25,5562700,48.516693
"979",49.849998,51.450001,49.400002,51.209999,4768400,48.478825
"980",51.16,51.860001,50.369999,50.82,3000800,48.109627
"981",51.799999,56.169998,51.599998,56.09,7368900,53.09856
"982",58.130001,59.919998,56.790001,58.490002,8712000,55.370564
"983",57.419998,57.790001,56.360001,56.43,4372400,53.420429
"984",55.93,57.200001,55.799999,56.619999,1755000,53.600292
"985",55.700001,56.389999,53.709999,53.77,5482200,50.902294
"986",54.900002,55.810001,54.27,54.400002,4155600,51.498699
"987",53.689999,58.16,53.549999,58.07,5276000,54.972958
"988",58.209999,59.16,57.07,57.91,4011100,54.821499
"989",59.169998,61.669998,59.060001,61.27,5207100,58.0023
"990",60.66,60.869999,59.07,59.459999,4660000,56.28883
"991",58.5,60.09,58.349998,58.98,4539900,55.834431
