"","EXPE.Open","EXPE.High","EXPE.Low","EXPE.Close","EXPE.Volume","EXPE.Adjusted"
"1",114.040001,114.139999,111.879997,112.440002,2244800,108.642738
"2",112.970001,114.519997,112.699997,113.739998,2892300,109.898842
"3",113.739998,114.839996,112.900002,114.690002,2167600,110.816757
"4",116.419998,117.879997,116.129997,116.449997,3362400,112.517319
"5",117.889999,118,116.139999,117.300003,3212400,113.338615
"6",115.900002,118.25,115.699997,117.620003,2656500,113.647812
"7",118.169998,118.199997,116.25,117.199997,1545600,113.241989
"8",117.010002,118.120003,116.410004,118.010002,1353200,114.024635
"9",118.010002,120.440002,117.809998,118.809998,2413900,114.797623
"10",119.290001,120.419998,118.25,118.580002,1320000,114.575386
"11",118.949997,119.510002,117.910004,119.339996,998500,115.309723
"12",119.720001,119.830002,118.410004,118.839996,991500,114.826614
"13",119.75,120.290001,118.68,119.919998,1485700,115.87014
"14",120,120.699997,118.980003,119.989998,1369200,115.937775
"15",120.370003,120.559998,119.269997,120.220001,1454400,116.160011
"16",120.970001,121.43,120.400002,120.860001,1058100,116.778389
"17",121.330002,121.730003,120.57,121.230003,1110400,117.135887
"18",121.410004,122.080002,120.919998,122,945500,117.87989
"19",121.400002,121.800003,119.610001,121.529999,1621600,117.425766
"20",121.459999,121.650002,120.040001,121.589996,1130300,117.483734
"21",121.779999,121.949997,120.279999,120.769997,1128600,116.691414
"22",120.449997,121.230003,120.019997,120.589996,1260800,116.517517
"23",120.709999,121.620003,120.489998,121.529999,1245200,117.425766
"24",121.120003,122.059998,120.5,122.050003,1346800,117.9282
"25",122.5,123.080002,121.75,122.339996,1949100,118.20842
"26",122,123.080002,121.139999,122.839996,1705900,118.691513
"27",123.150002,123.940002,121.699997,123.25,3165200,119.087662
"28",125.010002,126.410004,120.629997,122.650002,6466900,118.507942
"29",123.059998,123.059998,119.220001,119.5,3833300,115.464317
"30",119.169998,120.099998,118.82,119.669998,2929800,115.628571
"31",119.540001,121.900002,119.360001,120.879997,2251400,116.797714
"32",120.75,121.419998,119.650002,119.849998,2008200,115.802505
"33",119.360001,119.760002,118.550003,119.410004,1685000,115.377365
"34",118.82,119.93,118.379997,119.400002,1955800,115.367683
"35",119.220001,120.830002,118.970001,120.559998,1419000,116.488533
"36",121.110001,121.110001,119.379997,119.629997,1215400,115.589928
"37",119.339996,119.639999,118.410004,119.160004,1031100,115.135803
"38",118.68,119.360001,118.339996,118.690002,1033400,114.681679
"39",119,119.970001,118.5,119.040001,1795500,115.019852
