"","BMY.Open","BMY.High","BMY.Low","BMY.Close","BMY.Volume","BMY.Adjusted"
"112",54.189999,54.32,53.900002,54.189999,4776800,47.3508
"113",54.240002,54.810001,54.130001,54.52,5622400,47.639141
"114",54.490002,54.73,54.02,54.279999,5679700,47.42944
"115",54.52,54.599998,53.610001,54.459999,12535400,47.586723
"116",54.459999,55.369999,54.32,55.220001,6210600,48.250801
"117",55.27,56.41,55.099998,55.66,7461100,48.635269
"118",55.75,56.580002,55.599998,56.07,8783600,48.993523
"119",56.27,57.900002,56.150002,57.330002,8289600,50.094509
"120",57.27,57.360001,56.240002,56.639999,20794800,49.491592
"121",56.720001,57.27,56.349998,56.919998,5595900,49.736244
"122",56.799999,56.860001,55.849998,55.900002,5477500,48.844978
"123",56.150002,56.380001,55.77,55.869999,5126300,48.818764
"124",55.91,56.130001,55.490002,55.82,5037800,48.775074
"125",55.990002,56.07,55.68,55.720001,4679700,48.687698
"126",56.27,56.880001,56.18,56.27,6257600,49.168293
"127",56.27,56.389999,55.549999,56.349998,5887400,49.581829
"128",56.099998,56.209999,55.200001,55.279999,5546100,48.64035
"129",55.509998,56,55.080002,55.91,5487500,49.194683
"130",56.099998,56.32,55.82,55.93,4050800,49.21228
"131",55.810001,56.099998,55.099998,55.330002,4630300,48.684353
"132",55.639999,56.240002,54.849998,55.040001,9081000,48.429173
"133",55.060001,55.18,54.220001,54.669998,8130900,48.103622
"134",54.810001,55.450001,54.5,55.150002,6042900,48.525974
"135",55.279999,55.529999,54.580002,54.790001,3719200,48.209202
"136",54.77,54.82,54.419998,54.740002,3701400,48.165211
"137",54.77,55.200001,54.610001,55.07,3321700,48.455578
"138",55.279999,55.720001,55.18,55.439999,3862400,48.781132
"139",55.41,55.77,55.380001,55.650002,5009100,48.965916
"140",55.650002,55.939999,55.150002,55.599998,6700900,48.921913
"141",55.860001,56.18,55.77,55.950001,7312900,49.229874
"142",55.950001,56.150002,55.5,55.98,8049300,49.256275
"143",53.330002,54.439999,52.060001,54.240002,21645100,47.725266
"144",54.240002,55.59,53.939999,55.27,9099600,48.631542
"145",55.59,57.200001,55.5,56.900002,10824300,50.065773
"146",57.150002,57.169998,55.669998,56.110001,11075300,49.37067
"147",56.290001,56.450001,55.099998,55.23,6294200,48.596348
"148",55.099998,55.880001,55.080002,55.5,5484400,48.833927
"149",55.560001,56.220001,55.52,55.950001,4161500,49.229874
"150",56,56.349998,55.57,56.299999,5126000,49.537838
"151",56.349998,57.57,56.299999,56.91,7887200,50.074577
"152",56.790001,57.560001,56.509998,57.400002,7675600,50.505722
"153",57.25,57.25,56.549999,56.59,5134600,49.793011
"154",56.610001,57.009998,56.41,56.73,4060500,49.916195
"155",56.959999,57.759998,56.700001,57.619999,5654300,50.699291
"156",57.66,57.990002,57.5,57.869999,5843300,50.919258
"157",57.330002,57.689999,56.939999,57.5,7881300,50.593716
"158",57.48,57.529999,56.73,56.77,4393700,49.951382
"159",56.68,56.939999,56.41,56.419998,4809900,49.643429
"160",56.419998,56.919998,56.25,56.639999,4879400,49.836998
"161",56.790001,57.799999,56.650002,57.669998,4441000,50.743286
"162",57.630001,58.169998,57.43,57.869999,4017400,50.919258
"163",57.98,58.34,57.799999,58.169998,4471000,51.183228
