"","TER.Open","TER.High","TER.Low","TER.Close","TER.Volume","TER.Adjusted"
"1",25.51,25.92,25.24,25.379999,1650700,24.582878
"2",25.4,25.950001,25.379999,25.530001,2448400,24.72817
"3",25.58,25.940001,25.450001,25.639999,1590500,24.834711
"4",25.639999,25.719999,25.450001,25.65,2354000,24.844397
"5",25.719999,25.940001,25.700001,25.719999,1966000,24.912199
"6",25.68,26.35,25.68,26.309999,2659600,25.483673
"7",26.379999,26.5,25.719999,26.219999,2723100,25.396498
"8",26.030001,26.32,25.719999,26.23,2064800,25.406187
"9",26.389999,26.690001,26.33,26.540001,1705000,25.706448
"10",26.540001,26.549999,25.799999,25.860001,1780600,25.047802
"11",26.08,26.33,25.940001,26.18,1305500,25.35775
"12",26.16,26.41,26.059999,26.09,1791700,25.270578
"13",26.290001,26.5,26.190001,26.290001,1314300,25.464302
"14",26.120001,26.459999,25.93,26.02,1912600,25.202784
"15",26,26.6,25.98,26.530001,3229900,25.696762
"16",26.799999,27.290001,26.780001,27.200001,3765000,26.34572
"17",28.51,28.68,27.309999,27.57,8138600,26.704094
"18",27.77,28.610001,27.77,28.559999,3413300,27.663006
"19",28.379999,28.85,28.110001,28.799999,3400400,27.895472
"20",28.719999,28.719999,27.969999,28.379999,3098200,27.488659
"21",28.6,28.700001,28.42,28.610001,2376700,27.711432
"22",28.459999,28.99,28.23,28.700001,3470900,27.798609
"23",28.83,29.030001,28.68,28.790001,1994100,27.885784
"24",28.790001,28.870001,28.41,28.610001,1700200,27.711432
"25",28.809999,29,28.610001,28.879999,1915300,27.972958
"26",28.9,28.940001,28.540001,28.860001,2426200,27.953581
"27",28.860001,29.030001,28.67,28.74,2173300,27.837355
"28",28.91,28.99,28.549999,28.9,1683300,27.992325
"29",29.02,29.030001,28.85,28.9,1493600,27.992325
"30",28.85,28.98,28.620001,28.950001,1231500,28.040762
"31",29.07,29.09,28.799999,28.950001,2685100,28.040762
"32",29.139999,29.139999,28.780001,28.93,1167000,28.021385
"33",28.84,29.219999,28.76,29.17,2024500,28.253847
"34",29.24,29.66,29.200001,29.459999,2144200,28.534739
"35",29.389999,29.5,29.280001,29.34,1600100,28.486193
"36",29.469999,29.469999,28.959999,29.07,1786700,28.224051
"37",28.73,29.01,28.52,28.940001,2182600,28.097834
"38",28.959999,28.99,28.709999,28.860001,2472400,28.020159
"39",28.84,28.91,28.379999,28.440001,2604900,27.612383
"40",28.84,29.15,28.700001,29.07,2342900,28.224051
"41",29.02,29.15,28.73,28.75,1530600,27.913361
"42",28.790001,28.92,28.610001,28.889999,1931500,28.049292
"43",28.67,29.139999,28.5,29.09,1762800,28.243467
"44",28.99,29.190001,28.809999,29.040001,1518700,28.194923
"45",29.110001,29.280001,29.01,29.17,1135600,28.321136
"46",28.940001,29.33,28.83,29.25,1128400,28.398809
"47",29.440001,29.860001,29.440001,29.74,2042900,28.874557
"48",29.74,30.290001,29.68,30.1,3226500,29.224081
"49",30,30.15,29.879999,30.059999,930000,29.18524
"50",30.24,30.809999,30.15,30.709999,2496900,29.816322
"51",30.76,30.98,30.68,30.83,1375800,29.932827
"52",30.950001,31.08,30.799999,30.83,1923600,29.932827
"53",30.799999,31.190001,30.76,30.940001,1835800,30.039635
"54",31,31.18,29.98,30.09,1806300,29.214371
"55",30,30.52,29.969999,30.469999,1405600,29.583307
"56",30.34,30.67,30.280001,30.549999,987000,29.660978
"57",30.959999,31.17,30.629999,30.67,1357100,29.777489
"58",30.26,30.91,30.17,30.85,1122600,29.952255
"59",30.76,30.99,30.58,30.860001,1291600,29.961958
"60",30.809999,30.879999,30.5,30.66,1435000,29.767778
"61",30.65,30.98,30.65,30.92,1002800,30.020214
"62",30.82,31.209999,30.82,31.1,1838400,30.194975
"63",31.17,31.33,30.469999,30.879999,2456400,29.981379
"64",30.940001,31.440001,30.940001,31.18,2051400,30.27265
"65",31.440001,32.259998,31.379999,31.73,5047100,30.806643
"66",31.73,31.93,31.34,31.83,2331300,30.903732
"67",31.74,32.130001,31.68,32.02,2060400,31.088205
"68",32.119999,32.16,31.629999,31.76,1767400,30.835772
"69",31.57,31.799999,31.23,31.799999,2063500,30.874609
"70",31.75,31.790001,31.23,31.35,1845900,30.437698
"71",31.26,31.52,30.98,30.99,1524700,30.088179
"72",31.16,31.379999,30.92,31.360001,1227500,30.447409
"73",31.18,31.34,31.02,31.27,1526200,30.360031
"74",31.559999,32.049999,31.549999,31.879999,1942000,30.952278
"75",32.02,32.439999,31.780001,32.360001,1978800,31.418314
"76",32.310001,32.509998,32.029999,32.439999,2074300,31.495979
"77",32.950001,33.049999,32.689999,32.98,2629500,32.020267
"78",33.290001,33.68,33.139999,33.560001,2589800,32.583393
"79",33.59,33.91,33.32,33.77,2797800,32.787281
"80",35,36.389999,34.540001,36.349998,9593900,35.292194
"81",36.139999,36.59,35.220001,35.27,5362400,34.243633
"82",35.439999,36.23,35.259998,35.779999,2761600,34.738785
"83",35.77,35.889999,35.389999,35.849998,1745700,34.806744
"84",35.669998,35.669998,35.279999,35.419998,2156700,34.389259
"85",35.529999,35.639999,35.389999,35.580002,1366300,34.544613
"86",35.740002,35.869999,35.32,35.599998,2178600,34.564022
"87",35.84,35.84,35.290001,35.369999,2669200,34.340717
"88",35.509998,35.639999,35.380001,35.490002,1944800,34.457222
"89",35.59,36.099998,35.48,35.599998,2806900,34.564022
"90",35.599998,35.75,35.32,35.639999,1526000,34.602859
"91",35.610001,35.720001,35.09,35.23,1751100,34.204792
"92",35.389999,35.869999,35.360001,35.75,4356200,34.709663
"93",35.869999,35.990002,35.57,35.779999,1564900,34.738785
"94",35.779999,35.779999,33.849998,33.860001,2609400,32.874657
"95",33.68,34.740002,33.139999,34.66,2727800,33.651382
"96",34.990002,35.310001,34.759998,34.849998,1589700,33.83585
"97",35.099998,35.099998,34.599998,34.91,2280700,33.894108
"98",35.119999,35.279999,34.549999,34.91,1154200,33.894108
"99",35.080002,35.259998,34.900002,35.150002,1453300,34.127117
"100",35.27,35.41,35.099998,35.34,1321500,34.311588
"101",35.48,35.68,35.139999,35.59,1683800,34.554317
"102",35.439999,35.759998,35.419998,35.68,1595900,34.709965
"103",35.919998,35.98,35.400002,35.549999,1720300,34.583496
"104",35.52,35.66,35.169998,35.41,1573800,34.447308
"105",35.509998,35.669998,35.080002,35.27,2047700,34.311115
"106",35.169998,35.349998,35,35.150002,1500000,34.194374
"107",34.93,35.419998,34.75,34.889999,2110200,33.941437
"108",34.970001,35.77,34.970001,35.310001,2492200,34.350021
"109",35.52,35.849998,35.360001,35.779999,2564500,34.807243
"110",35.970001,36,33.419998,34.040001,4979000,33.114548
"111",33.669998,33.669998,32.400002,33.389999,3609000,32.48222
"112",33.720001,34.310001,33.150002,33.290001,2771300,32.384941
"113",33.400002,33.419998,32.279999,32.59,2952200,31.703974
"114",31.959999,32.419998,31.709999,31.969999,2599100,31.100826
"115",31.950001,32.790001,31.9,32.540001,4454400,31.655327
"116",32.98,33.23,32.700001,32.75,3485700,31.859623
"117",32.650002,32.880001,32.290001,32.41,1928300,31.528864
"118",32.630001,32.790001,32.34,32.509998,2210100,31.626141
"119",32.490002,32.709999,31.959999,31.98,2297400,31.110556
"120",31.99,32.540001,31.950001,32.439999,6876500,31.55805
"121",32.470001,32.82,31.639999,31.950001,2605900,31.081371
"122",31.83,31.889999,30.98,31.01,3301200,30.166927
"123",31.209999,31.389999,30.610001,31.190001,4555500,30.342033
"124",31.08,31.200001,29.879999,30.299999,3308200,29.476233
"125",30.370001,30.629999,30.02,30.030001,1881600,29.213573
"126",30.17,30.360001,29.68,29.690001,973900,28.882811
"127",30.379999,31.280001,30.299999,30.879999,5637400,30.040461
"128",30.610001,30.83,30.07,30.799999,4496000,29.962637
"129",30.959999,31.49,30.959999,31.4,4754200,30.546328
"130",31.459999,32.52,31.200001,32.380001,4063800,31.49968
"131",32.34,32.860001,32.27,32.66,3179700,31.77207
"132",33.049999,33.5,32.77,33.040001,3215100,32.141743
"133",33.040001,33.290001,32.91,33.16,2341300,32.258472
"134",33.32,34.009998,33.23,33.990002,3499700,33.065914
"135",34,34.200001,33.700001,34.09,2329400,33.163189
"136",34,34.529999,33.900002,34.5,2335900,33.562038
"137",34.709999,34.959999,34.439999,34.810001,2854600,33.863609
"138",35.099998,35.459999,34.740002,35.330002,3295900,34.369484
"139",35.16,35.23,34.740002,35.130001,2057200,34.174915
"140",35.200001,35.77,35.02,35.66,2007800,34.690498
"141",35.650002,36.110001,35.389999,36.099998,3354400,35.118542
"142",36.209999,36.860001,35.939999,36.799999,5085600,35.799515
"143",34.049999,35,33,34.380001,11251100,33.445316
"144",34.32,35.060001,34.32,34.48,4731700,33.54258
"145",34.700001,35,34.490002,34.59,3498400,33.649597
"146",34.830002,34.869999,34.240002,34.5,2427800,33.562038
"147",34.790001,34.810001,33.220001,33.32,4230700,32.414127
"148",33.41,33.630001,32.689999,33.310001,3951600,32.404404
"149",33.389999,33.529999,32.900002,33.459999,2864300,32.55032
"150",33.470001,34.099998,33.470001,33.889999,3390500,32.968628
"151",33.860001,34.34,33.580002,33.709999,2108300,32.793526
"152",33.360001,33.77,33.09,33.57,1572300,32.657326
"153",33.330002,33.360001,32.57,32.619999,2490300,31.73316
"154",32.599998,33.5,32.580002,33.48,2342400,32.569767
"155",33.84,34.439999,33.84,34.360001,2592600,33.425842
"156",34.349998,34.830002,34.23,34.599998,2159800,33.659328
"157",34.700001,34.880001,34.459999,34.650002,1662700,33.707966
"158",34.529999,34.66,33.700001,33.740002,1636700,32.822704
"159",33.869999,34.09,33.630001,33.869999,1312900,32.949173
"160",34,34.040001,33.299999,33.93,2544100,33.007542
"161",34.139999,34.91,34.09,34.84,1751800,33.892799
"162",34.5,34.91,34.43,34.779999,1936600,33.834431
"163",34.889999,34.889999,34.16,34.509998,1382300,33.571774
"164",34.740002,34.84,34.380001,34.529999,1323000,33.591217
"165",34.610001,34.880001,34.41,34.860001,1437500,33.912258
"166",34.41,35.07,34.240002,35.02,1522700,34.067909
"167",35.029999,35.889999,35,35.869999,2326300,34.894802
"168",35.98,36.029999,35.34,35.610001,2195400,34.641861
"169",35.669998,35.860001,35.400002,35.790001,1044400,34.816967
"170",35.849998,35.880001,34.970001,35.450001,1460800,34.486221
"171",35.5,35.700001,35.02,35.619999,1473000,34.720154
"172",35.77,35.98,35.349998,35.650002,2184300,34.749393
"173",35.490002,35.650002,34.919998,35.080002,1704700,34.193794
"174",35.43,36.150002,35.43,35.740002,1753800,34.837124
"175",35.759998,36.459999,35.66,36.099998,1829500,35.188026
"176",36.060001,36.16,35.630001,36.029999,2618500,35.119801
"177",36.029999,36.549999,35.779999,35.84,1601800,34.934605
"178",35.880001,36.939999,35.830002,36.869999,3999600,35.93856
"179",35.970001,36.220001,35.419998,35.619999,5443000,34.720154
"180",35.84,36.41,35.73,36.189999,2945700,35.275753
"181",36.07,36.150002,35.490002,35.790001,1768200,34.88586
"182",35.759998,36.049999,35.529999,35.689999,1609000,34.788383
"183",35.630001,36.540001,35.619999,36.450001,2789300,35.529194
"184",36.25,36.34,35.419998,35.860001,2036200,34.954094
"185",35.91,36.07,35.380001,35.619999,1782400,34.720154
"186",35.93,37.310001,35.93,36.790001,3783200,35.860596
"187",36.73,37.259998,36.490002,37.060001,2736200,36.123772
"188",37.209999,37.470001,36.889999,37.290001,2142900,36.347961
"189",37.470001,37.91,37.299999,37.860001,3398300,36.903572
"190",38.080002,38.099998,37.540001,37.709999,1785200,36.757359
"191",37.77,38,37.66,37.900002,1509800,36.942558
"192",37.98,38.009998,37.610001,37.720001,1399600,36.767101
"193",37.68,38.009998,37.610001,37.900002,1355500,36.942558
"194",37.900002,37.970001,37.709999,37.950001,1274000,36.991299
"195",38.119999,38.34,37.700001,38.330002,1461700,37.361702
"196",38.299999,38.630001,38.169998,38.610001,1134400,37.634617
