"","WAB.Open","WAB.High","WAB.Low","WAB.Close","WAB.Volume","WAB.Adjusted"
"216",76.199997,77.059998,75.940002,77.040001,665500,75.046783
"217",76.290001,77,75.050003,75.379997,1055400,73.429741
"218",75.309998,76.580002,74.970001,76.510002,704600,74.64933
"219",75.949997,76.480003,74.870003,75.260002,737800,73.429733
"220",74.790001,75.099998,73.050003,73.529999,569300,71.741798
"221",72.769997,73.529999,71.959999,72.889999,697200,71.117363
"222",73,74.379997,72.739998,73.669998,524400,71.87841
"223",73.389999,74.190002,73.019997,73.970001,642700,72.171089
"224",74.040001,74.269997,73.25,74.059998,481400,72.258911
"225",74.139999,74.260002,73.260002,73.330002,677800,71.546669
"226",73.510002,73.860001,73.029999,73.080002,368800,71.302742
"227",73.440002,73.940002,72.809998,73.150002,244700,71.371048
"228",73.029999,73.559998,72.559998,72.709999,579600,70.94175
"229",72.790001,74.910004,72.209999,74.860001,804800,73.039459
"230",74.550003,77.32,74.400002,77,1084600,75.127411
"231",77.019997,77.980003,76.550003,76.900002,926600,75.029846
"232",76.870003,76.959999,74.93,76.300003,573300,74.444443
"233",77.010002,77.739998,76.610001,77.599998,586900,75.712822
"234",77.660004,77.879997,76.669998,76.93,667900,75.059128
"235",76.68,77.080002,74.839996,74.860001,585900,73.039459
"236",74.660004,76.290001,74.660004,75.470001,453000,73.634636
"237",76.139999,76.980003,76,76.230003,461400,74.376144
"238",76.510002,77.529999,76.330002,77.300003,928500,75.420128
"239",77.269997,77.559998,76.540001,76.730003,554300,74.863983
"240",77.559998,78.25,76.709999,78.050003,708600,76.151863
"241",78.349998,78.709999,76.769997,76.870003,361900,75.000572
"242",76.970001,78.209999,76.57,76.669998,1115700,74.805435
"243",77.169998,79.199997,77.169998,78.050003,536900,76.151863
"244",78.099998,79.230003,77.809998,78.910004,494600,76.990959
"245",79.290001,81.120003,79,80.389999,874600,78.434975
"246",80.309998,80.809998,79.669998,79.860001,384100,77.917862
"247",79.550003,79.82,78.889999,79.629997,381200,77.693436
"248",79.769997,81.019997,79.769997,80.790001,285800,78.825249
"249",81.110001,81.989998,81.029999,81.370003,443100,79.391136
"250",81.610001,81.699997,80.599998,81.510002,352600,79.527725
"251",81.510002,82.120003,81.150002,81.43,459300,79.449677
"252",81.720001,83.110001,80.440002,82.93,760200,80.913208
"253",82.620003,83.050003,81.650002,82.260002,1030100,80.259499
"254",83.040001,84.010002,82.809998,83.370003,673700,81.342506
"255",83.68,83.959999,80.690002,81.830002,985600,79.839943
"256",81.830002,82.470001,81.669998,82.370003,312800,80.366814
"257",82.760002,83.669998,82.339996,83.089996,371400,81.069313
"258",83.300003,83.360001,82.150002,82.379997,385500,80.376556
"259",82.82,84.150002,82.82,84.019997,351600,81.976677
"260",84.269997,85.370003,84.169998,85.199997,421100,83.127983
"261",85.199997,86.239998,84.040001,84.199997,559800,82.152306
"262",84.510002,84.849998,82.449997,82.720001,629300,80.708298
"263",82.82,82.989998,81.610001,81.839996,693000,79.849693
"264",81.989998,82.830002,81.550003,82.800003,544000,80.786369
"265",82.699997,82.879997,82.099998,82.5,450500,80.493668
"266",82.730003,82.959999,82.169998,82.709999,562400,80.698547
"267",83.129997,83.43,82.290001,82.730003,584000,80.718071
"268",83.389999,83.540001,81.830002,82.32,547600,80.318039
"269",82.349998,82.709999,81.519997,82.25,823000,80.249741
"270",82.32,84.790001,82.32,83.839996,772800,81.801064
"271",83.029999,83.5,81.57,82.410004,405900,80.40583
"272",82.800003,83.480003,80.800003,81.040001,638400,79.069168
"273",80.610001,82.059998,80.010002,81.260002,532600,79.283813
"274",79.349998,80,72.889999,73.400002,3385100,71.61496
"275",72.720001,74.510002,71.849998,71.970001,1967400,70.219757
"276",70.949997,73.480003,70.099998,72.839996,1832000,71.068581
"277",72.43,73.660004,72.160004,72.830002,943800,71.058823
"278",72.559998,73.040001,71.110001,71.150002,1346100,69.534241
"279",71.519997,72.370003,69.75,71.760002,1129400,70.130394
"280",71.779999,72.870003,70.849998,72,782700,70.364952
"281",71.660004,72.699997,71.059998,71.980003,524100,70.345398
"282",71.300003,73.5,71.239998,73.199997,1550500,71.537689
"283",73.730003,74.870003,73.209999,74.610001,572900,72.91568
"284",75.120003,78.379997,74.830002,77.269997,1457700,75.515274
"285",76.730003,81.5,74.760002,80,1892300,78.183266
"286",79.900002,83.160004,79.900002,81.739998,1032200,79.883759
"287",82.25,84.139999,82.040001,82.300003,1188400,80.431046
"288",82.349998,83.410004,82.349998,83.400002,543800,81.506065
"289",83.980003,84.32,82.900002,83.839996,597200,81.93605
"290",83.510002,84.480003,82.050003,82.059998,1238100,80.196495
"291",82.389999,82.779999,81.32,81.339996,922600,79.492836
"292",81.339996,81.449997,79.419998,79.889999,911500,78.075775
"293",79.089996,81.440002,78.839996,81.199997,732600,79.356018
"294",80.970001,83.480003,80.440002,83.18,554700,81.291054
"295",83.690002,84.330002,82.879997,83.440002,843500,81.545143
"296",82.699997,83.480003,82.360001,83.029999,675100,81.144447
"297",83.190002,83.389999,82.190002,82.400002,594200,80.528778
"298",83.120003,84.040001,82.68,83.589996,529400,81.691742
"299",83.919998,84.290001,82.790001,82.889999,694700,81.007622
"300",83.190002,83.860001,82.290001,82.580002,592600,80.704704
"301",83.160004,84.099998,82.760002,82.860001,464500,80.978325
"302",82.849998,83.540001,81.660004,81.879997,462900,80.020576
"303",82,82.809998,81.309998,82.440002,729300,80.567871
"304",81.879997,82.5,81.07,81.889999,345100,80.030357
"305",81.849998,82.470001,80.879997,81.029999,737900,79.189873
"306",81.050003,82.190002,80.580002,81.510002,561200,79.658974
"307",80.660004,81.169998,78.300003,78.360001,543500,76.580521
"308",78.75,78.75,77.449997,77.489998,630200,75.73027
"309",78.739998,80.739998,78.029999,80.610001,940100,78.779427
"310",81.150002,82.589996,80.300003,80.709999,742500,78.877167
"311",80.760002,80.760002,79.300003,80.029999,512400,78.212593
"312",80.669998,82.080002,80.059998,81.400002,719400,79.551498
"313",81.160004,81.489998,79.059998,79.779999,624000,77.968262
"314",80.25,81.120003,79.779999,80.620003,937300,78.789185
"315",79.190002,81.059998,78.800003,80.860001,1026900,79.023743
"316",81.389999,82.290001,80.699997,81.459999,788600,79.6101
"317",81.07,81.769997,78.970001,80.160004,537500,78.339638
"318",80.900002,81.150002,79.889999,79.949997,508200,78.134415
"319",81.059998,82.629997,80.720001,82.029999,629000,80.167168
"320",81.220001,81.690002,80.580002,81.419998,390700,79.571022
"321",81.919998,83.300003,81.620003,82.730003,404200,80.851273
"322",83.129997,83.790001,81.32,81.690002,573300,79.834892
"323",82.550003,83.790001,82.220001,83.190002,397200,81.300827
"324",83.82,84.43,82.690002,82.720001,600800,80.841492
"325",83.080002,84.220001,83.029999,83.43,440400,81.535378
"326",83.389999,84.160004,83.010002,83.790001,528200,81.887199
"327",83.639999,89.470001,82.57,87.540001,4165500,85.552048
"328",88.989998,89.989998,87.720001,88.040001,1428000,86.040695
"329",89.400002,92.169998,89.400002,90.339996,2123400,88.288467
"330",90.739998,91.349998,88.830002,89.379997,895600,87.350266
"331",89.480003,90.360001,88.43,88.940002,595600,86.920273
"332",88,89.510002,87.610001,89.370003,547500,87.340492
"333",89.849998,90.379997,88.699997,88.809998,491800,86.793213
"334",88.379997,88.93,87.230003,88.720001,998500,86.705246
"335",88.470001,89.029999,87.419998,87.610001,710700,85.620476
"336",87.550003,89.290001,86.650002,88.589996,525500,86.578201
"337",88.260002,90.57,87.889999,89.970001,408700,87.926857
"338",90.199997,91.959999,87.860001,91.129997,383900,89.060501
"339",91.269997,92.610001,90.720001,92.080002,1119700,89.98896
"340",92.150002,93.849998,92.059998,93.489998,976800,91.366928
"341",93.480003,94.290001,93.32,93.830002,923600,91.817055
"342",94,94.209999,92.610001,93.059998,481300,91.063576
"343",94.190002,95.540001,92.970001,93.18,732000,91.180984
"344",92.580002,93.199997,91.959999,93.190002,549000,91.190781
