"","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume","NFLX.Adjusted"
"895",491.130005,491.899994,472.019989,477.579987,7722000,477.579987
"896",468.769989,487.170013,467.540009,480.450012,7746200,480.450012
"897",484.51001,496.920013,482.309998,495.649994,7863100,495.649994
"898",496.019989,497.790009,487.76001,488.51001,5986700,488.51001
"899",492.25,494.920013,484.130005,484.480011,6611800,484.480011
"900",480.709991,488.350006,477.51001,485.799988,6608600,485.799988
"901",488.290009,494.799988,484.5,488.880005,5916300,488.880005
"902",490.859985,503.089996,490.230011,498.619995,5873100,498.619995
"903",498.649994,510.440002,498.649994,509.640015,5608000,509.640015
"904",508.679993,510.100006,501.200012,502.109985,4308200,502.109985
"905",504.109985,510.820007,498.700012,509.079987,3725900,509.079987
"906",505.450012,508.290009,486.679993,494.730011,5910300,494.730011
"907",493.350006,497.459991,478.630005,483.380005,4691200,483.380005
"908",479.75,480.920013,466.549988,466.929993,7329200,466.929993
"909",471.339996,482.48999,470.179993,475.470001,5439200,475.470001
"910",478.399994,484.450012,476.450012,481.329987,3008900,481.329987
"911",482.820007,488.329987,480.209991,482.679993,2943500,482.679993
"912",484.190002,486.23999,479.100006,482.350006,2423500,482.350006
"913",484.350006,495.299988,482.799988,491.869995,3505500,491.869995
"914",493.929993,494.5,483.5,484.529999,3156200,484.529999
"915",484.690002,498.940002,483.890015,497.899994,5132500,497.899994
"916",496.459991,498.130005,490,492.309998,3921300,492.309998
"917",495.440002,501,483.160004,488.809998,4762200,488.809998
"918",488.190002,492.470001,485.089996,490.579987,5727700,490.579987
"919",492.5,549.039978,492.079987,547.530029,20373700,547.530029
"920",537.780029,541,521.25,526.27002,9062900,526.27002
"921",532,539,522,523.890015,4417500,523.890015
"922",521.159973,531.98999,517.580017,529.559998,4941400,529.559998
"923",532.599976,557.390015,532.450012,556.549988,9572700,556.549988
"924",553.780029,556.5,537.369995,552.840027,5886900,552.840027
"925",545,554,521.320007,525.75,9071100,525.75
"926",520.179993,527.359985,485.980011,516.049988,8270100,516.049988
"927",498.399994,522,495,507.019989,5572700,507.019989
"928",519.210022,520,492.570007,500.190002,6848100,500.190002
"929",503.350006,506.290009,478.839996,480.670013,6240200,480.670013
"930",486.48999,493.730011,476.809998,482.029999,5035200,482.029999
"931",480.619995,488.98999,471.299988,476.26001,7359100,476.26001
"932",484,497.470001,481.630005,495.98999,5337000,495.98999
"933",499.98999,504.660004,483.309998,483.859985,4394900,483.859985
"934",475.160004,478.399994,463.269989,470.200012,5379300,470.200012
"935",472.51001,479.399994,458.600006,469.959991,6717700,469.959991
"936",467.690002,487.779999,466.320007,487.350006,5457500,487.350006
"937",489.01001,491.820007,479.26001,491.170013,3482300,491.170013
"938",491.040009,491.040009,469,470.609985,3726400,470.609985
"939",470.529999,477,467.820007,473.079987,3727200,473.079987
"940",474.390015,484.869995,468.029999,482.880005,3769400,482.880005
"941",489.109985,492,477.880005,490.649994,4773500,490.649994
"942",489.5,496.290009,486.529999,493.480011,3541500,493.480011
"943",492.570007,504.630005,489.269989,500.029999,4634100,500.029999
"944",506.029999,529.549988,503.600006,527.51001,8153700,527.51001
"945",516.429993,526.369995,502.700012,503.059998,6071200,503.059998
"946",506.799988,520.98999,501.700012,520.650024,4088100,520.650024
"947",518.719971,521.820007,504.160004,505.869995,4199000,505.869995
"948",518,536.48999,515.820007,534.659973,7988700,534.659973
"949",533.47998,535,524.150024,531.789978,5386500,531.789978
"950",537.830017,544.280029,535,539.440002,4781300,539.440002
"951",548.809998,551.809998,538.23999,539.809998,5391100,539.809998
"952",540.559998,557.650024,537.200012,554.090027,5602500,554.090027
"953",562.609985,572.48999,541,541.450012,9499000,541.450012
"954",545.52002,551.219971,535.099976,541.940002,5113100,541.940002
"955",549.5,554.330017,530.030029,530.789978,6347400,530.789978
"956",537.070007,541.799988,525.380005,530.719971,7567500,530.719971
"957",528.140015,533.780029,522.26001,525.419983,10047200,525.419983
"958",501.029999,506.850006,488.25,489.049988,17405700,489.049988
"959",494.690002,495.140015,482,485.230011,6997900,485.230011
"960",488.109985,490.059998,481.350006,488.279999,4927900,488.279999
"961",487.029999,496.820007,478.899994,488.23999,6186100,488.23999
"962",490.01001,490.48999,482.929993,488.929993,3627200,488.929993
"963",486.359985,494,483.279999,486.23999,5992700,486.23999
"964",488.5,513.900024,479.339996,504.209991,11120700,504.209991
"965",502.01001,505.880005,472.209991,475.73999,7807900,475.73999
"966",478.869995,486.299988,475,484.119995,4408200,484.119995
"967",484.929993,495.309998,478.76001,487.220001,3690200,487.220001
"968",495.359985,507.730011,493.980011,496.950012,5137300,496.950012
"969",506.559998,518.72998,503.450012,513.76001,5372800,513.76001
"970",515,515.210022,502.51001,514.72998,4236300,514.72998
"971",485.540009,495.850006,467.26001,470.5,10419700,470.5
"972",470.950012,484.600006,463.410004,480.23999,8306100,480.23999
"973",483,491.679993,478.26001,490.76001,5460500,490.76001
"974",491,496.519989,480.429993,486.769989,5063700,486.769989
"975",486.769989,488.940002,477.799988,482.839996,3002700,482.839996
"976",480,485.579987,477.299988,479.100006,3953600,479.100006
"977",480.119995,487.51001,478.850006,480.630005,3698100,480.630005
"978",481.950012,488.609985,477.720001,481.790009,3629200,481.790009
"979",482,487.799988,480.470001,484.670013,2254700,484.670013
"980",485.220001,494.76001,481.570007,488.23999,4253400,488.23999
"981",490.459991,491.149994,475.839996,476.619995,5416600,476.619995
"982",478.839996,484.049988,475.890015,482.880005,3550500,482.880005
"983",485.130005,486.899994,478.920013,485,3598600,485
"984",486.579987,493.25,481.850006,491.359985,2805800,491.359985
"985",490.079987,492.549988,481.269989,490.700012,3530900,490.700012
"986",492.339996,509.470001,491.980011,504.579987,5052700,504.579987
"987",501.619995,506.799988,493.5,503.380005,3028400,503.380005
"988",502.98999,508.769989,496.040009,497.519989,2826100,497.519989
"989",497.5,504.5,493.640015,498.309998,3666200,498.309998
"990",500.01001,517.76001,497.769989,515.780029,4289300,515.780029
"991",517.900024,521.48999,505.549988,512.659973,4229000,512.659973
"992",510.529999,514.5,491.290009,493.600006,4178800,493.600006
"993",494.559998,503.769989,492.910004,501.089996,3018200,501.089996
"994",495,503.339996,494.850006,503.220001,3210900,503.220001
"995",505.440002,524.159973,501.179993,522.419983,5770400,522.419983
"996",518.5,524.700012,513.559998,519.780029,3394900,519.780029
"997",520.109985,527.380005,517.690002,524.830017,3682400,524.830017
"998",529,535.48999,526.440002,532.900024,3193400,532.900024
"999",533.200012,536.369995,526.02002,534.450012,4502700,534.450012
"1000",530.049988,532.619995,521.150024,528.909973,3894000,528.909973
"1001",527.690002,530.400024,520.5,527.330017,1906600,527.330017
"1002",524.76001,526.320007,514.200012,514.47998,2393200,514.47998
"1003",515.119995,519.349976,512.210022,513.969971,1144000,513.969971
"1004",516.429993,523.659973,507.130005,519.119995,2891900,519.119995
"1005",519.900024,536.549988,515.47998,530.869995,4022400,530.869995
"1006",530.130005,533.26001,523.690002,524.590027,1876300,524.590027
"1007",525.530029,545.5,523.150024,540.72998,5392300,540.72998
