"","CI.Open","CI.High","CI.Low","CI.Close","CI.Volume","CI.Adjusted"
"1",133.910004,135.830002,133.660004,135.720001,1443000,133.863174
"2",136.080002,138.889999,133.699997,138.720001,1207800,136.822144
"3",139.080002,142.770004,138.330002,141.710007,1446700,139.771225
"4",141,143.149994,140.990005,141.809998,983700,139.869843
"5",141.309998,142.610001,140.050003,142.350006,986200,140.402466
"6",141.240005,142,140.199997,140.229996,1245100,138.311478
"7",140.559998,142.639999,139.880005,142.639999,1418600,140.688507
"8",141.539993,145.789993,141.029999,144.669998,1726100,142.690735
"9",144.309998,146.770004,143.779999,146.309998,1488500,144.308273
"10",145.949997,145.960007,144.020004,144.770004,1079300,142.789352
"11",145.399994,145.399994,140.220001,141.970001,1974700,140.027664
"12",141.330002,146.309998,133.520004,144.160004,2538400,142.187698
"13",144.779999,145.669998,143.380005,144.770004,1333700,142.789352
"14",144.320007,145.699997,142.25,145.309998,1576400,143.321991
"15",145.210007,147.539993,144.020004,146.529999,1260800,144.525269
"16",147.020004,149.229996,146.630005,148.570007,1211600,146.537384
"17",148.279999,148.699997,146.649994,146.800003,1017500,144.79158
"18",147.559998,148,145.419998,146.809998,1100900,144.801453
"19",146.779999,146.789993,144.309998,145.699997,687400,143.706619
"20",145.119995,146.529999,144.5,146.220001,884400,144.219528
"21",147,149.419998,145.360001,147.639999,1254500,145.620102
"22",149.699997,150.690002,144.029999,148.289993,1532100,146.261185
"23",149.070007,150.110001,148.100006,149.300003,1222600,147.257416
"24",148.669998,149.559998,145.979996,147.029999,1277500,145.018448
"25",147.070007,148.630005,145.929993,147.899994,772500,145.876526
"26",147,148.690002,146.300003,147.839996,652900,145.817368
"27",147.740005,148.309998,145.339996,148.139999,2312700,146.113251
"28",147.550003,149.320007,145.5,145.550003,1918500,143.558701
"29",146.619995,147.149994,144.820007,145.850006,1067100,143.854599
"30",145.220001,148.080002,144.5,146.679993,1939500,144.673233
"31",146.210007,147.660004,145.580002,146.589996,2249000,144.584457
"32",146.839996,146.940002,143.869995,145.330002,1569400,143.341675
"33",144.179993,144.259995,141.929993,143.559998,2018700,141.595917
"34",144.009995,147.240005,143.660004,146.970001,1773400,144.959259
"35",146.240005,148.419998,145.919998,147.490005,1625800,145.472168
"36",147.619995,147.75,147.110001,147.509995,1447400,145.491882
"37",147.460007,147.610001,146.539993,147.039993,919300,145.02829
"38",146.759995,150,146.25,149.720001,2660400,147.671646
"39",149.720001,149.860001,148.410004,148.899994,1427800,146.862839
"40",150,152.990005,149.309998,152.199997,1519300,150.117706
"41",152.100006,152.380005,151.100006,151.580002,817700,149.506195
"42",150.889999,152.619995,149,151.990005,749100,149.910583
"43",150.880005,153.110001,150.850006,152.960007,1843300,150.86731
"44",152.589996,154.240005,151.149994,151.839996,1653100,149.762665
"45",151.740005,153.020004,150.679993,152.240005,832000,150.196747
"46",152.800003,153.050003,151.460007,152.199997,980000,150.157272
"47",153.160004,153.339996,151.410004,151.919998,1270600,149.881012
"48",152.330002,153.919998,151.320007,153.399994,1138300,151.341156
"49",152.970001,154.309998,152.330002,153.539993,1299300,151.479279
"50",154.279999,154.830002,153.490005,154,1452800,151.933121
"51",153.990005,154.270004,151.600006,151.789993,1342500,149.752762
"52",151.529999,152.380005,150.889999,151.889999,1563200,149.851456
"53",152.160004,153.020004,150.710007,151.130005,1634600,149.101639
"54",151.779999,151.809998,149.289993,149.610001,1743000,147.602036
"55",150.080002,151.330002,148.339996,150.369995,1104200,148.351822
"56",149.990005,151.360001,149.009995,149.179993,869600,147.177795
"57",149.369995,150.410004,144.970001,145.820007,2130900,143.862915
"58",144.220001,146.360001,143.850006,146.039993,2003600,144.079926
"59",146.020004,148.660004,145.550003,148.300003,921100,146.309601
"60",147.630005,148.520004,146.669998,147.229996,822500,145.253967
"61",147.550003,148.940002,147.139999,147.600006,804700,145.619003
"62",147.509995,147.600006,146.490005,146.490005,1440100,144.523895
"63",146.699997,151,146.699997,149.389999,1631000,147.384995
"64",149.070007,150.699997,148.75,150.539993,1222700,148.519531
"65",151.009995,152,149.429993,149.910004,1457600,147.898026
"66",149.910004,151.399994,148.75,151.210007,1502800,149.180557
"67",151.100006,152.270004,150.039993,152.039993,1480200,149.99942
"68",152.009995,153.190002,151.570007,152.279999,1491400,150.236206
"69",151.470001,151.860001,150.639999,151.570007,829400,149.535736
"70",150.899994,151.389999,149.869995,150.589996,791900,148.568863
"71",150.25,151.070007,149.770004,150.410004,774900,148.391281
"72",150.669998,151.229996,150.25,151.169998,823800,149.141083
"73",151.169998,151.429993,149.100006,149.820007,1044400,147.809219
"74",150.509995,152.339996,149.949997,151.949997,789500,149.910629
"75",151.690002,156.210007,151.039993,155.380005,1755900,153.294586
"76",155.210007,155.360001,153.940002,155.080002,971500,152.998611
"77",156.410004,157.309998,155.5,155.960007,911100,153.866791
"78",155.470001,159.070007,155.470001,157.179993,1168400,155.070435
"79",157.320007,158.619995,155.699997,156.929993,907700,154.823792
"80",157.210007,158.229996,155.899994,156.210007,727000,154.113419
"81",155.720001,157.399994,152.889999,156.369995,1579000,154.271301
"82",156.679993,158.470001,156.479996,157.520004,942700,155.405884
"83",157.889999,158.820007,156.229996,158.380005,1051400,156.254333
"84",158.220001,159.149994,156.639999,157.029999,970300,154.922455
"85",157.789993,158.160004,155.320007,156.729996,1407100,154.62648
"86",159,161.570007,158.240005,160.25,1623100,158.099228
"87",160.660004,162.130005,160.110001,161.75,1434800,159.579102
"88",161.860001,163.479996,161.779999,162.649994,1280200,160.46701
"89",162,163.279999,161.679993,162.899994,1447800,160.713654
"90",163.039993,164.289993,161.699997,163.820007,989200,161.621323
"91",163.5,164.880005,161.529999,162.029999,1441400,159.855347
"92",161.699997,162.929993,161.169998,162.100006,1578500,159.924393
"93",162,162.169998,160.410004,161.339996,1318400,159.174591
"94",161.339996,161.339996,158.289993,158.410004,1633500,156.283905
"95",158.889999,160.669998,158.410004,160.100006,1449700,157.951248
"96",160.410004,161.550003,159.300003,159.479996,1607600,157.339554
"97",159.759995,160.139999,158.789993,159.350006,1586600,157.211319
"98",159.350006,160.720001,159.350006,160.520004,786100,158.365585
"99",160.580002,162.139999,160.089996,161.860001,854300,159.687607
"100",162.580002,164.279999,161.639999,161.649994,1796900,159.480453
"101",161.869995,162.130005,159.910004,161.320007,1348300,159.154877
"102",161.449997,162.270004,161.050003,161.5,1084100,159.332474
"103",161.419998,162.369995,160.759995,161.229996,1130200,159.066086
"104",161.789993,164.800003,161.199997,163.949997,2236100,161.749557
"105",164,165.160004,163.779999,164.460007,1377500,162.252731
"106",164.589996,165.589996,163.889999,164.759995,1590500,162.548676
"107",164.5,167.059998,164.229996,165.5,2165100,163.278763
"108",165.919998,170,165.899994,168.479996,2572400,166.218765
"109",168.479996,169.5,165.669998,166.509995,3074800,164.275223
"110",166.610001,168.080002,165.630005,166.740005,1746300,164.502121
"111",166.5,166.949997,163.460007,166.800003,1595300,164.56131
"112",166.820007,167.75,165.880005,166.550003,1383800,164.314667
"113",167,168.360001,166.440002,168.110001,1199400,165.853745
"114",167.649994,168.199997,166.559998,167.279999,1056800,165.034866
"115",167.830002,169.25,167.119995,169.080002,2008800,166.810715
"116",169.080002,170.5,169.080002,170.259995,1895600,167.974884
"117",170,170.559998,169.169998,169.580002,2130800,167.304001
"118",169.520004,171.619995,169.520004,170.179993,1356100,167.89595
"119",170.199997,173.210007,169.789993,170.679993,2192800,168.389236
"120",171,171.149994,168.899994,169.610001,3666200,167.333603
"121",169.649994,169.910004,167.940002,168.259995,1407000,166.001694
"122",168.649994,169.360001,166.889999,167.050003,1711200,164.807968
"123",167.830002,169.029999,167.369995,168.130005,1271900,165.873459
"124",168.5,168.860001,166.059998,166.699997,1112000,164.462662
"125",166.690002,168.059998,166.559998,167.389999,1751900,165.143402
"126",168.270004,168.440002,166.809998,167.5,854300,165.251923
"127",167.550003,169.320007,167.25,169.160004,2368300,166.889648
"128",168.850006,169.339996,166.860001,167.940002,1049200,165.686005
"129",168.5,170.389999,168.110001,169.610001,1529600,167.333603
"130",169.220001,170.639999,168.460007,169.570007,1759400,167.294159
"131",169.649994,171.339996,169.179993,171.160004,1101000,168.862808
"132",171.509995,173.440002,170.880005,172.059998,1474200,169.750732
"133",172.240005,174.199997,171.990005,173.050003,1073300,170.727432
"134",173.009995,174.270004,172.600006,173.800003,945800,171.467392
"135",174.399994,174.399994,172.960007,174.190002,1019000,171.852142
"136",174.229996,174.460007,170.809998,172.100006,1392300,169.790161
"137",172.449997,174.970001,172.449997,174.309998,1240500,171.970535
"138",174.309998,175.050003,173.580002,174.490005,883300,172.148117
