"","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"150",198,198.384613,196.538467,197.153839,2453152,186.396866
"151",197.153839,199.153839,196.307693,196.615387,3528668,185.887772
"152",196.538467,197.846161,195.846161,197.769226,3857230,186.978638
"153",197.769226,197.769226,194.384613,194.615387,3858257,183.996857
"154",195.384613,195.769226,193.769226,193.846161,2498249,183.269608
"155",194.461533,196.538467,194.230774,195.07692,3157973,184.433212
"156",193.92308,194.769226,193.07692,193.384613,3553537,182.833282
"157",193.230774,194.230774,192.692307,193.07692,3571594,182.542374
"158",192.846161,193.07692,190.153839,190.384613,4058821,179.996918
"159",189.461533,190.307693,188,188.846161,4455503,178.542419
"160",188.384613,189.230774,187.07692,188.384613,5987150,178.106049
"161",189,190.307693,188.307693,189.230774,3895983,178.906067
"162",188.615387,188.92308,187.230774,187.615387,4489368,177.378784
"163",187.92308,188.769226,186.92308,186.92308,3321227,176.724274
"164",187.615387,189.230774,187.307693,188.384613,2972814,178.106049
"165",188.692307,189.769226,187.307693,188.230774,3111888,177.960602
"166",187.153839,188.153839,186.769226,188,3108313,177.742462
"167",188.384613,188.384613,185.769226,186.769226,4403880,176.578827
"168",187.769226,190,186.769226,188.846161,7186959,178.542419
"169",189.230774,194.615387,188.384613,193.384613,7650253,182.833282
"170",192.769226,192.769226,189,190.384613,5789992,179.996918
"171",191.461533,192.461533,190.92308,191.692307,7153250,181.233261
"172",188.538467,188.846161,183.307693,184.769226,10414118,174.687958
"173",184.230774,184.615387,181.384613,183.230774,5798585,173.233414
"174",183.07692,183.769226,181.692307,182.461533,5629858,172.506134
"175",183.230774,183.92308,182.384613,183.92308,6456138,173.887939
"176",184.07692,186,184,185.461533,5021861,175.342453
"177",185.384613,186.692307,184.153839,186.615387,5470985,176.433334
"178",185.384613,185.92308,182.692307,184.07692,8652800,175.772278
"179",184.307693,188.846161,184.07692,188.153839,6825585,179.665314
"180",188.153839,188.230774,184.769226,186.153839,5894265,177.755478
"181",186.153839,187.769226,186.07692,187.07692,5170139,178.636963
"182",187.153839,191.07692,185.92308,190.384613,6775015,181.79541
"183",191.07692,192.615387,190.538467,191.307693,5163275,182.676834
"184",191.692307,193.692307,191.153839,193.153839,5523440,184.439667
"185",193.461533,193.92308,191.692307,191.769226,5297916,183.117538
"186",192.307693,192.692307,186.769226,187.461533,7343570,179.004196
"187",187.615387,188.07692,185.846161,186.461533,4700072,178.049301
"188",186.307693,186.846161,184.692307,186,4377581,177.608597
"189",186.307693,189.307693,185.384613,189,5525156,180.473282
"190",189.307693,191,187.153839,190.769226,4407975,182.162674
"191",191.384613,191.461533,187.92308,188.307693,4179422,179.81221
"192",187.615387,189,185.769226,188.769226,4518657,180.252853
"193",187.769226,188.769226,185.615387,187.615387,5294874,179.151093
