"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
"938",192,192.919998,185.869995,186.119995,3116100,182.877502
"939",188.979996,197.460007,187.050003,195.110001,5114600,191.710892
"940",192.960007,195.389999,189.610001,194.949997,3106000,191.553665
"941",197.779999,201.869995,197.149994,199.070007,3280100,195.601883
"942",198.160004,198.770004,195.429993,196.789993,2400000,193.361603
"943",198.679993,203.080002,198.360001,200.970001,3075800,197.468796
"944",201.529999,203.130005,197.869995,198.550003,2288700,195.090958
"945",195.339996,200.699997,195.289993,199.899994,2541200,196.417419
"946",201.929993,202.839996,199.589996,201.800003,2551600,198.284332
"947",204.25,206.089996,199.899994,201.089996,2833100,197.586685
"948",203.899994,205,201.169998,203.600006,2326600,200.052979
"949",205.149994,208.160004,204.110001,207.979996,2330600,204.356659
"950",208.759995,209.809998,206.070007,207.539993,3040900,203.924316
"951",207.410004,214.889999,207.410004,214.119995,3474200,210.389679
"952",214.009995,214.110001,209.179993,210.809998,3317300,207.13736
"953",213.880005,214.449997,210.270004,211.229996,7550100,207.550049
"954",209.580002,210.729996,206.899994,208.600006,4325700,204.965866
"955",208.320007,210,205.809998,206.210007,3244500,202.617508
"956",207.389999,207.910004,204.589996,205.690002,3235300,202.106567
"957",206.699997,211.380005,206.470001,208.029999,3335500,204.405792
"958",207.389999,207.949997,202.009995,202.910004,3083600,199.375
"959",203.199997,206.369995,202.199997,205.399994,2136900,201.821609
"960",206.759995,208.210007,204.020004,205.039993,2110200,201.46788
"961",202.490005,202.809998,198.509995,201.139999,3249700,197.635834
"962",200,200.589996,195.410004,195.679993,3430400,192.270935
"963",191.309998,193.369995,188.940002,189.770004,4214600,186.463913
"964",189.800003,192.350006,186.899994,189.940002,3581200,186.630951
"965",189.509995,190.399994,185.520004,189.039993,3658800,185.746628
"966",192,192.699997,188.229996,190.199997,2459600,186.886414
"967",193.940002,199,193.220001,197.929993,4545500,194.481735
"968",196.25,200.820007,194.899994,197.869995,3868500,194.422791
"969",199.649994,204.119995,199.059998,202.960007,2892800,199.424118
"970",204.339996,204.389999,200.419998,201.259995,2475100,197.753723
"971",214.490005,218,209.369995,214.929993,6960500,211.185577
"972",215.25,218.380005,211.179993,217.470001,4166500,213.681335
"973",218.639999,219.919998,215.029999,218.050003,2680700,214.251236
"974",215.220001,216.860001,212.399994,214.509995,3005500,210.772903
"975",215.850006,220.960007,215.410004,219.080002,2832100,215.263306
"976",223.529999,224.600006,220.029999,222.380005,3004700,218.505783
"977",220.020004,224.850006,218.330002,224.649994,2722900,220.736237
"978",225,227.720001,223.509995,224.300003,2856200,220.392334
"979",224.300003,224.940002,222.110001,224.570007,1505200,220.657639
"980",223,224.809998,222.630005,223.350006,1848100,219.458908
"981",226.059998,230,225.729996,228.830002,3371300,224.843414
"982",231.100006,238.119995,230.630005,237.5,3915200,233.362396
"983",235,237.449997,232.429993,236.539993,2272800,232.419098
"984",237,237.300003,233.789993,235.399994,1050400,231.298965
"985",232.050003,235,230.360001,230.580002,2705400,226.562943
"986",231.960007,234.869995,231.350006,232.080002,2577600,229.279739
"987",232.080002,238.130005,231.580002,237.649994,2136300,234.782532
"988",237.289993,238.850006,234.639999,235.470001,2142600,232.628845
"989",237.699997,239.75,236.949997,239.580002,2373000,236.689255
"990",238.539993,239.850006,235.449997,238.449997,1788600,235.572906
"991",237.009995,239.190002,236.580002,238.839996,1371800,235.958176
"992",240,245.360001,239.529999,242.820007,3552300,239.890182
"993",240,245.179993,239.509995,244.399994,2541700,241.45108
"994",240.809998,241.199997,237.100006,239.990005,2077300,237.09433
"995",243.279999,243.5,237.389999,237.789993,1927800,234.920853
"996",239.5,243.610001,237.190002,242.429993,2348000,239.504852
"997",243.559998,243.899994,241.119995,243.770004,2400900,240.828705
"998",245,245.929993,243,244.429993,2983600,241.480743
"999",245.389999,245.389999,240.559998,242.130005,4088100,239.208496
"1000",250.289993,260.850006,248.759995,256.980011,7408500,253.879318
"1001",256.859985,257.700012,249.800003,250.089996,3599800,247.072449
"1002",251.5,260.579987,251.300003,256.450012,3376100,253.355728
"1003",257.040009,257.619995,253.75,256.160004,968100,253.069214
"1004",257.809998,262.649994,257,259.589996,2793400,256.457794
"1005",260.26001,260.859985,256.5,258.01001,1430900,254.896912
"1006",258.809998,260.649994,257.829987,259.450012,1566500,256.319519
"1007",258.799988,263.929993,258,263.709991,2043100,260.528107
