"","SLB.Open","SLB.High","SLB.Low","SLB.Close","SLB.Volume","SLB.Adjusted"
"1",84.860001,85.110001,83.709999,84.800003,6667100,71.949646
"2",85,85.709999,84.540001,85.43,4655400,72.484154
"3",85.580002,85.870003,85.190002,85.300003,4543000,72.373894
"4",85.480003,86.830002,84.839996,86.480003,5689900,73.375061
"5",85.989998,86.400002,85.43,85.769997,4336500,72.772636
"6",85.690002,85.709999,84.580002,84.599998,4306200,71.779953
"7",84.989998,85.809998,84.620003,85.660004,4149600,72.679337
"8",85.690002,85.699997,84.650002,85.330002,4286500,72.399323
"9",84.949997,85.739998,84.779999,84.82,5117000,71.966606
"10",84.809998,86.529999,84.800003,86.43,5795300,73.332634
"11",85.790001,87.540001,85.790001,87.480003,8744900,74.223541
"12",87.050003,87.839996,86.910004,87.199997,7261400,73.985954
"13",87.120003,87.779999,85.57,86.489998,10368600,73.383545
"14",85.849998,85.93,83.900002,84.269997,6870200,71.499954
"15",84.389999,84.900002,83.800003,84.580002,6027400,71.762993
"16",85.080002,85.690002,84.650002,85.510002,5939500,72.552063
"17",85.93,86.050003,84.43,84.879997,5623600,72.017517
"18",84.860001,85.190002,84.309998,84.5,4758200,71.695099
"19",84.169998,84.470001,83.199997,83.610001,5550700,70.939957
"20",83.900002,84.25,83.110001,83.709999,4567900,71.024818
"21",84.059998,84.440002,82.699997,83.169998,5193600,70.566643
"22",83.599998,83.610001,81.57,82.440002,8857700,69.947281
"23",82.639999,83.209999,82.389999,82.5,5084000,69.998184
"24",82.550003,82.970001,81.459999,81.690002,5958000,69.310936
"25",81.209999,81.739998,80.489998,81.07,5841700,68.784882
"26",80.610001,81.190002,79.519997,81.120003,5366400,68.827309
"27",81.120003,81.760002,81.120003,81.209999,6119000,68.903656
"28",81.980003,82.709999,81.849998,82.160004,6199900,69.709709
"29",81.75,82.129997,81.489998,81.82,4135800,69.846298
"30",82.040001,82.5,81.540001,82.459999,4672300,70.392639
"31",82,82.370003,81.620003,81.75,4947600,69.786537
"32",82.129997,82.169998,81,81.129997,5097900,69.257278
"33",80.949997,81.120003,80.540001,80.650002,4345600,68.847511
"34",81.480003,81.550003,80.599998,80.68,4746100,68.873116
