"","HSY.Open","HSY.High","HSY.Low","HSY.Close","HSY.Volume","HSY.Adjusted"
"1",103.839996,104.400002,103.260002,103.919998,686200,93.114296
"2",104.150002,104.699997,103.839996,104.120003,844200,93.29348
"3",103.120003,104.260002,103.010002,103.449997,1581800,92.693161
"4",104.449997,105.230003,103.709999,104.510002,916500,93.642952
"5",104.510002,104.730003,103.540001,103.889999,890200,93.087402
"6",104.379997,105.139999,103.849998,104.830002,1125900,93.92968
"7",104.480003,105.589996,104.410004,104.949997,940600,94.037193
"8",104.739998,105.480003,104.309998,104.68,762400,93.795273
"9",104.589996,105.239998,104.349998,104.849998,679900,93.947586
"10",104.82,105.410004,104.419998,105.169998,902100,94.234306
"11",105.230003,106.279999,104.970001,105.650002,1184700,94.664413
"12",105.639999,105.699997,104.849998,105.220001,463000,94.279114
"13",105.790001,106.199997,104.970001,105.57,623500,94.59272
"14",105.559998,105.639999,104.980003,105.300003,696100,94.3508
"15",105.440002,107.25,105.129997,106.519997,849700,95.443939
"16",106.599998,106.800003,106,106.300003,699800,95.246826
"17",105.970001,106.199997,105.559998,105.669998,766800,94.682312
"18",105.980003,106.019997,104.599998,105.510002,1035300,94.538963
"19",105.790001,106.089996,104.550003,105.07,1321800,94.144714
"20",105.790001,106.300003,105.050003,105.470001,1702800,94.503136
"21",105.290001,105.940002,104.510002,105.120003,1234000,94.189537
"22",105.459999,106.07,104.919998,105.589996,1520800,94.610634
"23",103.599998,107.440002,101.610001,106.980003,2708100,95.856117
"24",107,107.699997,106.32,107.410004,1095100,96.241402
"25",107.449997,108.059998,107.059998,107.190002,1446800,96.044281
"26",107,107.5,106.709999,106.980003,893700,95.856117
"27",106.980003,109.580002,106.980003,108.110001,1935500,96.868622
"28",108.239998,108.610001,107.440002,107.620003,979200,96.429558
"29",107.5,108.400002,107.32,108.209999,654500,96.958214
"30",107.989998,108.400002,107.440002,108.339996,686500,97.074692
"31",108.010002,109.080002,107.68,108.800003,1058100,97.486877
"32",109.230003,109.57,107.360001,107.650002,1465100,96.456444
"33",106.830002,107.760002,106.510002,107.25,1749500,96.098022
"34",107.5,108.870003,107.120003,108.480003,1906900,97.200142
"35",107.790001,108.160004,107.580002,107.949997,839400,97.279449
"36",108.089996,109.309998,107.970001,108.650002,880600,97.910248
