"","CBOE.Open","CBOE.High","CBOE.Low","CBOE.Close","CBOE.Volume","CBOE.Adjusted"
"737",120.669998,121.389999,119.339996,119.870003,543700,119.870003
"738",120.589996,121,119.330002,120.589996,442400,120.589996
"739",119.980003,121.849998,118.940002,119.660004,491100,119.660004
"740",118.93,119.739998,115.660004,115.660004,758400,115.660004
"741",115.5,116.120003,114.650002,115.699997,514500,115.699997
"742",115.269997,116.040001,114.199997,115.419998,742100,115.419998
"743",116.050003,116.32,114.139999,115.5,482800,115.5
"744",115.269997,117.150002,114.660004,117.089996,834300,117.089996
"745",117.489998,117.889999,115.900002,116.709999,1073100,116.709999
"746",116.580002,116.75,115.519997,116.43,668400,116.43
"747",116.470001,117.830002,115.650002,117.559998,676600,117.559998
"748",121.5,121.5,117.849998,119.019997,1327300,119.019997
"749",118.790001,119.529999,117.32,118.300003,573600,118.300003
"750",118.160004,118.989998,117.510002,118.970001,316400,118.970001
"751",119,119.050003,118.32,119.050003,286300,119.050003
"752",119.089996,119.5,118.650002,118.839996,377300,118.839996
"753",119.07,119.260002,117.519997,119.25,423900,119.25
"754",118.589996,120,118.419998,120,384600,120
"755",119.699997,120.18,118.279999,119.519997,460700,119.519997
"756",119.029999,122.120003,119.029999,121.330002,599700,121.330002
"757",120.489998,120.980003,119.290001,120.190002,603900,120.190002
"758",119.989998,119.989998,118.07,118.220001,514800,118.220001
"759",117.75,118.550003,115.709999,117.010002,1039300,117.010002
"760",117.309998,117.379997,115.879997,116.010002,789300,116.010002
"761",116.599998,116.599998,115.809998,115.849998,917400,115.849998
"762",115.769997,115.769997,114.449997,115.089996,704500,115.089996
"763",114.989998,116.220001,114.68,115.489998,723300,115.489998
"764",115.739998,116.970001,114.970001,116.870003,829400,116.870003
"765",116.760002,117.730003,116.269997,117.529999,510400,117.529999
"766",117.330002,117.760002,116.019997,116.529999,661600,116.529999
"767",116.400002,117.800003,116.279999,117.389999,662300,117.389999
"768",119.489998,119.970001,117.889999,118.720001,607300,118.720001
"769",118.389999,119.980003,117.809998,119.620003,420100,119.620003
"770",120,120.290001,118.870003,119.809998,410900,119.809998
"771",119.25,121.610001,119.050003,119.730003,671200,119.730003
"772",120.099998,122.18,119.940002,121.199997,644000,121.199997
"773",120.949997,122.720001,120.379997,121.5,386700,121.5
"774",121.199997,123.300003,121.169998,123.18,410200,123.18
"775",122.470001,124.190002,122.260002,123.220001,540000,123.220001
"776",124,124.75,122.080002,123.860001,530300,123.860001
"777",123.010002,124.839996,122.139999,122.470001,831500,122.470001
"778",122.949997,124.18,122.440002,123.769997,1134200,123.769997
"779",123.949997,127.93,122.75,127.93,991500,127.93
"780",125,127.25,122,122.540001,860500,122.540001
"781",122.010002,123.809998,121.32,123.690002,526200,123.690002
"782",123.389999,124.650002,122.580002,123.309998,422100,123.309998
"783",122.93,123.849998,121.779999,123.529999,356300,123.529999
"784",122.860001,124.300003,122.519997,124.269997,331500,124.269997
"785",124.400002,125.790001,123.629997,125.629997,371900,125.629997
"786",123,125.459999,121.690002,123.540001,823200,123.540001
"787",124.169998,124.82,120.139999,120.440002,577800,120.440002
"788",120.059998,122.830002,119.879997,122.830002,646800,122.830002
"789",122.209999,124.550003,120.459999,122.610001,2379500,122.610001
"790",120.68,124.269997,119.940002,121.989998,827700,121.989998
"791",122.589996,122.599998,120.150002,122.099998,703600,122.099998
"792",123.93,125.169998,122.330002,123.809998,860800,123.809998
"793",120.349998,126.169998,119.660004,121.230003,1424100,121.230003
"794",122.739998,122.739998,111.860001,114,1920100,114
"795",112.419998,118.18,112.419998,118.18,1232900,118.18
"796",117.989998,119.440002,116.150002,117.209999,1188800,117.209999
"797",117.519997,119.720001,115,118.589996,1312000,118.589996
"798",115.919998,121.089996,115.709999,115.949997,1588800,115.949997
"799",115,119.099998,114.080002,116.769997,1401400,116.769997
"800",112.040001,116.75,110.129997,111.769997,1378000,111.769997
"801",111.809998,114.459999,108.849998,110.900002,1400700,110.900002
"802",112,112,105.510002,106.349998,1358100,106.349998
"803",98.970001,102,90.220001,93.470001,1855200,93.470001
"804",95.389999,99.580002,91.309998,94.800003,1711500,94.800003
"805",92,92,82.010002,82.699997,1597000,82.699997
"806",84.470001,91.599998,80.68,88.540001,1903700,88.540001
"807",86.57,86.980003,74.120003,75.849998,1853900,75.849998
"808",75.900002,89.940002,72.010002,82.910004,1671000,82.910004
"809",83.25,84.110001,78.589996,79.690002,1760600,79.690002
"810",80.199997,80.440002,73.129997,76.540001,1481300,76.540001
"811",78.760002,81.559998,75.110001,78.150002,1911400,78.150002
"812",77.809998,83.540001,76.82,80,1226900,80
"813",79.059998,91.010002,78.940002,90.82,1406300,90.82
"814",87.120003,94.889999,87.010002,90.889999,1236800,90.889999
"815",92.150002,95.410004,88.82,93.029999,786000,93.029999
"816",90.809998,94,87.790001,89.25,1017600,89.25
"817",86.400002,90.220001,84.919998,88.18,999700,88.18
"818",85.739998,92.879997,85.739998,92.370003,1029600,92.370003
"819",93.43,93.43,89.300003,89.620003,1175000,89.620003
"820",94.099998,97.230003,90.220001,94.889999,972400,94.889999
"821",97.339996,97.339996,91,93.5,1381300,93.5
"822",94.07,95.699997,92.099998,95.699997,790800,95.699997
"823",95.910004,96.650002,92.739998,93.419998,1498300,93.419998
"824",92.839996,94.519997,91.419998,93.309998,2301000,93.309998
"825",94.510002,100.57,94.510002,100.510002,1581900,100.510002
"826",98.290001,101.269997,97.559998,98.089996,1107800,98.089996
"827",98.040001,99.5,97.68,97.940002,1121400,97.940002
"828",98.220001,102.239998,98.220001,102,1107600,102
"829",101.809998,104.389999,100.370003,102.959999,1102500,102.959999
"830",101.309998,102.5,100.129997,100.389999,1282600,100.389999
"831",100.720001,102.550003,99.419998,100.199997,827300,100.199997
"832",99.199997,100.150002,97.419998,99.050003,966700,99.050003
"833",99.879997,100.769997,96.370003,96.519997,721700,96.519997
"834",98.059998,98.440002,97.059998,97.139999,643600,97.139999
"835",98.760002,98.980003,96.5,98.5,821000,98.5
"836",99.080002,100.699997,98.93,99.32,644300,99.32
"837",99.309998,99.379997,96.43,99.379997,546700,99.379997
"838",98.989998,99.730003,93.339996,94.010002,958600,94.010002
"839",92.029999,94.949997,92.029999,94.449997,1532700,94.449997
"840",94.610001,99.739998,93.800003,98.940002,635200,98.940002
"841",100.580002,100.629997,97.349998,97.480003,896000,97.480003
"842",98.620003,100.900002,98.32,99.459999,678400,99.459999
"843",100.440002,102.279999,98.830002,100.18,499400,100.18
"844",99.959999,101,99.010002,99.879997,897200,99.879997
"845",99.889999,101.540001,97.790001,97.900002,576000,97.900002
"846",98.080002,99.900002,96.540001,98.059998,965000,98.059998
"847",97.639999,99.550003,95.849998,99.339996,431800,99.339996
"848",97.669998,100.459999,97.290001,99.879997,621600,99.879997
"849",101.650002,104.25,101.050003,102.760002,425200,102.760002
"850",101.309998,103,98.93,98.940002,629400,98.940002
"851",99.209999,101.550003,99.209999,100.489998,374400,100.489998
"852",99.919998,101.949997,95.760002,97.980003,811000,97.980003
"853",97.940002,99.589996,96.5,99.309998,423600,99.309998
"854",100.720001,102.5,100.440002,101.419998,564700,101.419998
"855",103.050003,103.330002,101.120003,102.660004,840900,102.660004
"856",103,103.349998,102.050003,102.629997,610700,102.629997
"857",102.739998,106.459999,102.550003,106.459999,927300,106.459999
"858",106.610001,107.120003,103.900002,105.080002,534200,105.080002
"859",105,105,101.900002,102.68,525200,102.68
"860",103.330002,104.75,102.019997,104,906600,104
"861",104,104,100.660004,101.029999,626700,101.029999
"862",102.150002,102.489998,97.699997,97.839996,2020000,97.839996
"863",98,103.599998,98,103.43,1170900,103.43
"864",103.010002,103.18,101.040001,103.050003,584400,103.050003
"865",103.589996,103.800003,99.669998,101.370003,1089900,101.370003
"866",101.279999,101.360001,96.669998,97,1271600,97
"867",99,99.910004,97.290001,99.900002,865100,99.900002
