"","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"1",183.460007,184.559998,181.630005,182.929993,655000,158.361435
"2",183.839996,186.880005,182.970001,185.419998,632700,160.516998
"3",185.419998,187.929993,184.029999,185.979996,882700,161.001801
"4",186.449997,186.899994,184.679993,186.100006,632900,161.105652
"5",186.309998,186.449997,181.479996,181.610001,756400,157.218689
"6",182.110001,184.380005,181.279999,183.820007,654200,159.131866
"7",184.479996,185,181.479996,183.050003,729900,158.465286
"8",182.119995,184.419998,179.740005,183.860001,695200,159.166473
"9",184.580002,185.979996,183.800003,184.770004,690700,159.954269
"10",184.809998,186.869995,184.119995,185.440002,658800,160.534302
"11",186.089996,186.320007,183.490005,186.009995,524700,161.02774
"12",186,186.660004,184.440002,185.229996,573600,160.352478
"13",185.020004,187.050003,184.130005,185.619995,600100,160.690125
"14",185.800003,187.380005,185,186.990005,692900,161.876129
"15",187.820007,190.850006,186.610001,188.919998,1128900,163.546906
"16",190.380005,192,189.009995,190.199997,1327400,164.654999
"17",180,181.869995,171.740005,173.940002,4500300,150.578781
"18",172.990005,173.809998,168.179993,170.850006,2152600,147.903809
"19",169.960007,174.990005,169.199997,174.910004,1222300,151.418549
"20",174.630005,175.119995,173.130005,174.889999,775200,151.401215
"21",175.649994,176.039993,173.75,173.940002,695300,150.578781
"22",173.589996,174,170.169998,171.5,921700,148.466537
"23",172.350006,174.550003,171.740005,173.610001,551100,150.293121
"24",173.009995,173.759995,171.410004,172.570007,585500,149.392838
"25",173.830002,175.649994,172.940002,173.399994,739800,150.111359
"26",172.850006,174.220001,171.169998,173.940002,802800,150.578781
"27",173.279999,175.25,172.300003,174.070007,528600,150.691376
"28",174.369995,175.429993,173.320007,174.479996,645000,151.04628
"29",174.570007,176.190002,174.570007,175.419998,590500,151.860031
"30",174.759995,175.979996,173.830002,174.869995,499400,151.383881
"31",174.839996,177.690002,174.690002,177.050003,716000,153.271118
"32",177.229996,178.190002,175.839996,176.690002,604300,152.959503
"33",176.440002,177.509995,175.679993,177.190002,408000,153.392319
"34",175.139999,180.990005,175.139999,179.619995,735200,155.495941
"35",179.669998,181.059998,178.940002,180.869995,677400,156.578049
"36",181.990005,182.490005,179.289993,180.720001,773200,156.448212
"37",179.690002,180.669998,178.029999,180.160004,712200,155.963455
"38",180.309998,181,178.729996,179,859900,154.959244
"39",179,179.169998,176.860001,178.589996,600300,154.604294
"40",178.139999,178.960007,177.559998,178.029999,969000,154.987335
"41",178.240005,178.669998,177.259995,177.800003,430800,154.78714
"42",178.020004,178.990005,176.710007,177.889999,424600,154.865479
"43",176.470001,177.770004,175.330002,175.75,448800,153.002441
"44",175.589996,176.880005,174.220001,175.380005,484200,152.680344
"45",175.889999,176.770004,174.960007,176.039993,722800,153.254898
"46",175.75,177.119995,175.130005,176.399994,559900,153.568298
"47",177.309998,179.690002,176.809998,177.75,788600,154.743607
"48",178,179.550003,176.630005,178.220001,868000,155.15274
"49",177.660004,179.259995,177.220001,178.789993,426400,155.648956
"50",179.179993,180.110001,176.729996,177.470001,937600,154.499847
"51",176.970001,177.970001,172.070007,172.690002,1156300,150.338531
"52",172.830002,173.009995,171.289993,172.710007,1191000,150.355927
"53",172.550003,173.100006,171.839996,172.800003,605800,150.434311
"54",173.910004,174,171.410004,172.009995,841400,149.746506
"55",171.869995,172.320007,169.789993,170.320007,826700,148.275284
"56",170.139999,172.149994,169.100006,170.220001,998000,148.188217
"57",170.649994,171.600006,169.399994,170,527800,147.996674
"58",169,170.259995,168.139999,169.860001,596700,147.874802
"59",169.800003,170.479996,168.369995,169.850006,558900,147.866089
"60",170.009995,171.529999,169.550003,171.080002,378500,148.93689
"61",170.759995,171.789993,169.509995,170.149994,467500,148.127274
"62",170.289993,171.710007,169.75,171.330002,526900,149.154541
"63",171.830002,172.119995,169.149994,170.720001,552300,148.623505
"64",170.089996,170.899994,164.809998,165.610001,1188400,144.174866
"65",165.600006,167.449997,164.970001,165.600006,1255400,144.166183
"66",165.059998,169.139999,165.059998,167.169998,710500,145.532959
"67",166.679993,167.580002,166.25,167.029999,399700,145.411087
"68",167.759995,169.240005,167.529999,167.600006,629800,145.907318
"69",167.279999,168.410004,166.75,168.300003,385500,146.516693
"70",168.660004,169.830002,167.270004,168.270004,683300,146.490585
"71",167.979996,170.179993,167.440002,169.440002,712800,147.509201
"72",169.630005,171.440002,167.5,168.949997,1273900,147.082565
"73",168.630005,169.050003,166.690002,168.139999,1023200,146.377411
"74",168.75,171.080002,168.710007,170.139999,911100,148.118576
"75",170.339996,172.520004,169.889999,171.639999,901500,149.424377
"76",171.490005,171.839996,169.389999,171.509995,991100,149.311249
"77",173.960007,176.820007,172.899994,174.800003,1550900,152.1754
"78",177.729996,182.940002,177.479996,180.940002,3659900,157.520691
"79",181.520004,186.289993,180.880005,185.119995,1597400,161.159668
"80",185,186.619995,183.949997,185.860001,783700,161.803909
"81",185.869995,185.940002,183.860001,185.679993,970500,161.647202
