"","ALL.Open","ALL.High","ALL.Low","ALL.Close","ALL.Volume","ALL.Adjusted"
"1",74,74.559998,73.540001,74.169998,2019800,67.323769
"2",74.379997,74.949997,74.209999,74.370003,1948400,67.505318
"3",74.18,74.440002,73.800003,74.029999,1741800,67.196693
"4",73.68,74.459999,73.480003,74.150002,1614700,67.305618
"5",73.949997,74.050003,73.040001,73.089996,1801900,66.343437
"6",73.279999,74.300003,73.260002,73.75,2350000,66.942535
"7",73.940002,74.260002,73.589996,73.940002,1738500,67.114998
"8",73.559998,73.790001,73.129997,73.68,1110500,66.879005
"9",73.910004,74.349998,73.800003,73.889999,1220200,67.069611
"10",73.610001,73.889999,73.389999,73.849998,1180000,67.033302
"11",74,74.830002,73.919998,74.519997,1795800,67.641449
"12",74.660004,74.779999,73.900002,74.220001,1282100,67.369141
"13",74.370003,74.959999,74.370003,74.540001,1528400,67.659622
"14",74.589996,74.650002,73.959999,74.150002,1232700,67.305618
"15",74.239998,74.660004,73.970001,74.470001,1075500,67.596077
"16",74.769997,75.529999,74.739998,75.389999,1769100,68.431168
"17",75.419998,75.849998,75.209999,75.809998,1574900,68.812393
"18",75.290001,75.809998,75.220001,75.589996,1275500,68.612694
"19",75.489998,75.669998,75.129997,75.610001,1748100,68.630859
"20",75.269997,75.580002,74.739998,75.209999,2041900,68.267769
"21",75.57,75.970001,75,75.239998,2411700,68.294983
"22",76.739998,78.120003,76.379997,77.400002,3883200,70.25563
"23",77.919998,78,77.290001,77.480003,2109700,70.328239
"24",77.43,78.220001,76.970001,78.080002,2348300,70.872856
"25",78.5,78.68,78.07,78.120003,1764900,70.909172
"26",78.099998,78.190002,77.800003,77.989998,1496600,70.791153
"27",77.989998,78.389999,77.730003,78.349998,1912700,71.117935
"28",78.550003,79.309998,78.129997,78.879997,1636700,71.599022
"29",78.949997,79.639999,78.809998,79.610001,1427500,72.261612
"30",79.720001,79.82,79.099998,79.800003,1798000,72.43409
"31",80,80.720001,79.589996,80.709999,1820200,73.260101
"32",80.620003,80.82,80.400002,80.800003,1779000,73.341805
"33",80.470001,80.480003,80.080002,80.440002,1920300,73.015022
"34",80.559998,80.800003,80.309998,80.620003,2436700,73.178406
"35",80.129997,80.779999,80.059998,80.580002,2438500,73.142105
"36",80.400002,80.900002,80.309998,80.550003,3190200,73.114876
"37",80.18,80.910004,79.889999,80.910004,1973300,73.780525
"38",80.940002,81.510002,80.839996,81.339996,2103000,74.172661
"39",81.290001,82.290001,81,82.160004,2550500,74.920387
"40",82.519997,82.830002,82.099998,82.690002,2721300,75.403702
"41",82.889999,83.050003,81.739998,81.75,2628200,74.546532
"42",81.830002,82,81.400002,81.860001,2331400,74.646828
"43",81.489998,81.75,81.139999,81.339996,1657000,74.172661
"44",81.32,81.699997,81.139999,81.459999,1621800,74.282089
"45",81.870003,81.970001,80.940002,81.129997,1661400,73.981155
"46",81.32,81.629997,81.07,81.57,1708500,74.382378
"47",81.82,82.110001,81.57,82.050003,1560600,74.820107
"48",81.870003,82.129997,81.720001,82.099998,1256700,74.865677
"49",82.050003,82.309998,81.830002,82.18,1437100,74.938637
"50",82.040001,82.75,82.040001,82.620003,1418800,75.339867
"51",82.559998,83,82.459999,82.889999,1783600,75.586075
"52",82.900002,83.089996,82.599998,82.849998,2316300,75.549591
"53",82.849998,83.059998,82.300003,82.370003,1325000,75.1119
"54",82.459999,82.699997,81.589996,81.690002,2179300,74.491821
"55",81.589996,81.82,81.330002,81.379997,1669800,74.209129
"56",81.5,81.919998,81.160004,81.260002,1480700,74.099701
"57",81.269997,81.510002,80.629997,80.989998,1368900,73.8535
"58",80.370003,81.32,80.07,81.089996,1428200,73.944672
"59",80.809998,82.099998,80.730003,81.889999,1219000,74.674194
"60",81.940002,82.080002,81.290001,81.389999,1019300,74.218254
"61",81.300003,81.830002,81.160004,81.639999,1159100,74.446236
"62",81.449997,81.790001,81.199997,81.489998,1547600,74.309448
"63",81.540001,81.75,81.080002,81.32,1790100,74.154411
"64",81.470001,81.800003,81.400002,81.629997,1672300,74.437088
"65",81.809998,82.169998,81.290001,81.419998,1575200,74.24559
"66",81.449997,81.599998,81.050003,81.440002,1614200,74.26384
"67",81.360001,81.489998,80.949997,81.110001,1228400,73.962921
"68",81.010002,81.669998,81,81.360001,1261700,74.190903
"69",81.139999,81.290001,80.68,81.169998,1561100,74.017624
"70",80.580002,81.120003,80.099998,80.970001,2063800,73.835251
"71",80.900002,81.260002,80.580002,80.580002,1241300,73.479614
"72",80.800003,81.629997,80.610001,81.5,1646600,74.318565
"73",80.790001,81.110001,80.120003,80.309998,2486200,73.233406
"74",80.290001,80.589996,79.589996,79.75,2282500,72.722755
"75",79.599998,80.410004,79.089996,80.150002,2155800,73.087517
"76",80.089996,80.190002,79.540001,79.730003,1778800,72.704529
"77",80.860001,80.980003,80.370003,80.900002,1917900,73.771416
"78",80.75,81.379997,80.75,81.220001,1697200,74.063232
"79",81.150002,82.510002,80.949997,81.800003,2880700,74.592125
"80",81.830002,82.230003,81.580002,81.980003,1163300,74.756256
"81",81.839996,81.940002,81.260002,81.290001,1058600,74.127045
"82",81.489998,81.849998,81.190002,81.5,1341900,74.318565
"83",81.449997,81.879997,81.440002,81.830002,1951100,74.619476
"84",83.470001,85,83.470001,84.93,4022900,77.44632
"85",85.110001,86.029999,85.110001,85.57,2987700,78.029922
"86",85.730003,85.870003,85.239998,85.449997,1647500,77.920486
"87",85.459999,85.489998,84.629997,84.769997,1959000,77.3004
"88",84.900002,84.980003,84.089996,84.169998,1798300,76.753273
"89",84.209999,84.629997,84.07,84.290001,1710900,76.862724
"90",83.970001,84.239998,83.190002,83.910004,2954700,76.516212
"91",83.809998,84.599998,83.529999,84.129997,1851300,76.716812
"92",84.059998,84.650002,84.059998,84.529999,1234000,77.081558
"93",84.489998,84.779999,84.199997,84.330002,1559700,76.89917
"94",84.330002,84.709999,83.110001,84.360001,2254900,76.926529
"95",84.330002,85.300003,83.599998,84.720001,2173900,77.254837
"96",84.779999,84.800003,84.059998,84.129997,2685800,76.716812
"97",84.580002,84.879997,84.25,84.790001,2085400,77.318642
"98",84.690002,85.5,84.550003,85.400002,1289100,77.874893
"99",85.550003,85.889999,85.400002,85.809998,951500,78.248764
"100",85.949997,86.389999,85.82,86.279999,1689600,78.677368
"101",86.040001,86.629997,85.959999,86.5,1083500,78.877975
"102",86.120003,86.419998,85.989998,86,1134300,78.422028
"103",86.150002,86.400002,85.93,86.339996,2616500,78.732056
"104",86.019997,86.940002,85.889999,86.940002,1717900,79.620399
"105",86.790001,86.790001,86.419998,86.669998,1156200,79.373131
"106",86.669998,86.940002,86.480003,86.610001,973900,79.318184
"107",86.300003,86.519997,85.779999,85.82,1244000,78.594704
"108",86.089996,86.129997,85.57,85.870003,1422500,78.640503
"109",85.870003,86.690002,85.839996,86.559998,1670000,79.272392
"110",86.669998,87.43,86.550003,87.370003,1139000,80.014183
"111",87.370003,88.099998,87.330002,87.919998,2473500,80.517899
"112",87.940002,88.190002,87.790001,87.970001,2566600,80.563683
"113",87.93,88.889999,87.830002,88.82,1502900,81.342125
"114",88.699997,89.889999,88.5,89.790001,2164100,82.230453
"115",90.370003,90.739998,89.550003,89.82,2684000,82.257935
"116",90.029999,90.190002,89.080002,89.410004,3264300,81.882469
"117",89.410004,89.660004,89.18,89.260002,1153600,81.745079
"118",89.410004,89.529999,89.029999,89.239998,1646400,81.726761
"119",89.010002,89.230003,88.209999,88.309998,1750700,80.875053
"120",88.720001,88.830002,87.989998,88.080002,3969900,80.664429
"121",88.32,88.779999,88.169998,88.419998,1780500,80.975777
"122",88.550003,88.690002,88.029999,88.169998,1831700,80.746834
"123",88.68,88.959999,88.370003,88.580002,1375200,81.12233
"124",89.230003,89.230003,87.809998,88.129997,1648200,80.710213
"125",88.440002,88.790001,88.120003,88.440002,1508000,80.99411
"126",88.849998,89.860001,88.629997,88.629997,1007600,81.168121
"127",88.809998,88.940002,88.269997,88.809998,1040900,81.33297
"128",88.93,89.279999,88.529999,88.720001,1450600,81.250534
"129",88.800003,89.290001,88.540001,89.190002,1117300,81.680977
"130",88.830002,89.18,88.830002,88.849998,1445100,81.369606
"131",88.720001,88.879997,87.739998,87.940002,1958600,80.536217
"132",88.010002,88.389999,87.910004,88.199997,972300,80.774323
"133",88.059998,88.919998,87.940002,88.599998,1271900,81.14064
"134",88.269997,89.330002,87.919998,89.050003,1075600,81.552765
"135",88.739998,88.830002,88.309998,88.489998,1440200,81.039902
"136",87.989998,89.059998,87.989998,88.879997,2190400,81.397079
"137",89.050003,89.25,88.720001,89.25,1208800,81.735924
"138",89.010002,89.559998,88.470001,89.220001,1319600,81.70845
"139",89,89.32,88.580002,89.160004,1897600,81.653511
"140",89.080002,89.910004,89.019997,89.769997,1222100,82.212135
"141",90.269997,90.629997,89.900002,90.209999,1258400,82.615112
"142",90.199997,90.290001,89.239998,89.400002,1403900,81.873306
"143",89.370003,89.849998,89.050003,89.68,2050200,82.129723
"144",89.800003,90.57,89.519997,90.5,1258400,82.880692
"145",90.580002,91.25,90.57,91,1225300,83.338593
"146",91.169998,91.43,90.800003,91,2820700,83.338593
"147",93.139999,94.309998,92.540001,94.160004,3393000,86.232552
"148",93.900002,94,93.089996,93.93,2053800,86.021912
"149",94.089996,94.489998,93.970001,94.220001,1486400,86.287491
"150",94.220001,94.589996,94.089996,94.239998,1667200,86.305794
"151",93.980003,94.330002,93.839996,94.209999,1608900,86.278328
"152",94.110001,94.699997,93.959999,94.699997,1548700,86.727066
"153",94.209999,94.690002,94.139999,94.160004,1459100,86.232552
"154",94.089996,94.449997,93.910004,93.949997,1111400,86.04023
"155",94.779999,94.830002,94.360001,94.419998,1166600,86.470657
"156",94.790001,94.809998,94.110001,94.379997,1458500,86.434021
"157",94.660004,95.25,94.300003,94.379997,2062300,86.434021
"158",94.389999,94.5,93.169998,93.330002,1989700,85.472435
"159",93.110001,93.339996,92.550003,92.919998,2595300,85.096939
"160",92.959999,92.959999,92.279999,92.720001,2166900,84.913803
"161",93.110001,93.82,92.93,93.769997,1653400,85.875374
"162",93.379997,93.849998,93.160004,93.18,1661700,85.33506
"163",93.290001,93.489998,91.400002,91.540001,3161400,83.83313
"164",91.809998,92.279999,91.459999,92.019997,2582800,84.272713
"165",90.370003,90.980003,89.809998,90.650002,3104000,83.018066
"166",90,91.099998,89.839996,90.82,1826500,83.514626
"167",90.830002,91.139999,90,90.07,2437200,82.824944
"168",90.269997,90.629997,90.040001,90.5,2850300,83.220375
"169",90.57,91.120003,89.650002,89.779999,2514400,82.558273
"170",89,89.029999,86.339996,86.489998,4633500,79.532906
"171",86.730003,88.32,86.629997,87.5,4770500,80.46167
"172",87.059998,87.25,85.589996,86.449997,3146800,79.496117
"173",86.150002,90.410004,86.150002,89.610001,4304900,82.401939
"174",91.440002,93.540001,90.720001,91.230003,3581000,83.89164
"175",91.160004,91.989998,90.639999,91.870003,2421500,84.480164
"176",91.309998,91.470001,90.43,90.940002,2006600,83.624969
"177",90.790001,90.870003,90.150002,90.5,1976100,83.220375
"178",90.470001,91.400002,90.449997,90.879997,2915000,83.569786
"179",91.059998,91.239998,90.339996,90.480003,1914000,83.201973
