"","PKI.Open","PKI.High","PKI.Low","PKI.Close","PKI.Volume","PKI.Adjusted"
"1",52.349998,53.130001,52.290001,52.990002,625400,52.156544
"2",53.18,53.580002,52.869999,53.299999,497300,52.461666
"3",53.259998,53.450001,52.580002,52.73,574500,51.900631
"4",52.66,53.549999,52.619999,53.110001,1180100,52.274658
"5",53.139999,53.869999,53.139999,53.549999,705800,52.707726
"6",53.740002,53.740002,53.32,53.34,679500,52.501049
"7",53.16,53.580002,52.360001,53.040001,629600,52.205746
"8",52.98,53,52.419998,52.959999,931700,52.127018
"9",53.009998,54.060001,53.009998,53.900002,778600,53.052231
"10",53.580002,53.580002,52.900002,52.93,767000,52.097485
"11",52.91,53.040001,52.290001,52.43,705900,51.673691
"12",52.099998,52.77,51.959999,52.119999,728400,51.368164
"13",52.25,52.360001,51.630001,51.709999,470100,50.964081
"14",51.43,51.900002,51.43,51.689999,725200,50.944366
"15",52,52.23,51.060001,51.57,686500,50.826092
"16",51.720001,52.700001,51.580002,52.279999,619000,51.525848
"17",52.290001,52.459999,51.720001,52.060001,437500,51.309025
"18",52.09,52.720001,52.009998,52.32,468400,51.565277
"19",52.220001,52.259998,51.419998,51.799999,588100,51.052788
"20",51.849998,53.189999,51.740002,53.189999,607800,52.422729
"21",53.150002,53.959999,53.099998,53.759998,742200,52.984501
"22",53.560001,54,53.189999,53.849998,1032200,53.0732
"23",51,53.669998,50.59,52.169998,2022500,51.417439
"24",52.09,52.459999,51.759998,52.32,725100,51.565277
"25",52.360001,53.049999,52.25,52.689999,811000,51.929939
"26",52.700001,53.560001,52.630001,53.209999,758300,52.442436
"27",53.209999,54.18,53.16,53.73,603100,52.954941
"28",53.790001,54.119999,53.630001,53.970001,569000,53.191483
"29",54.02,54.540001,54,54.389999,561800,53.605419
"30",54.209999,54.48,53.990002,54.400002,577000,53.615269
"31",54.330002,55.669998,54.25,55.549999,1078200,54.748688
"32",55.41,55.619999,55.060001,55.32,701400,54.521999
"33",55.130001,55.939999,55.130001,55.939999,405300,55.133053
"34",55.91,56.139999,55.400002,55.66,592400,54.857105
"35",55.490002,55.68,55.18,55.200001,425200,54.40374
"36",55.369999,55.450001,54.619999,55.110001,554000,54.315033
"37",54.779999,55.130001,54.66,55.040001,971900,54.246033
"38",54.91,55.209999,54.82,54.990002,565600,54.196754
"39",54.77,54.919998,54.209999,54.259998,588000,53.477287
"40",54.689999,55.43,54.619999,55.25,942800,54.453007
"41",55.09,55.459999,54.57,54.619999,714600,53.832108
"42",54.59,54.970001,54.529999,54.939999,469800,54.147488
"43",54.580002,54.75,54.240002,54.279999,587600,53.497002
"44",54.07,54.400002,53.970001,54.080002,383500,53.299889
"45",54.099998,54.650002,54.009998,54.389999,383200,53.605419
"46",54.610001,55.049999,54.43,54.77,444900,53.979939
"47",54.970001,55.759998,54.880001,55.59,843400,54.788094
"48",55.68,55.889999,55.220001,55.84,666300,55.034496
"49",55.73,55.880001,55.41,55.82,437700,55.01479
"50",56,56.959999,55.919998,56.82,794300,56.000362
"51",56.48,56.810001,55.549999,56.119999,940400,55.310459
"52",56.240002,57.349998,56.07,57.27,1139900,56.443878
"53",57.27,57.32,56.790001,57.139999,981800,56.315742
"54",57.32,57.700001,57.07,57.27,1159100,56.443878
"55",57.259998,57.470001,56.810001,57.189999,551200,56.365017
"56",57.040001,57.880001,56.959999,57.59,567000,56.759254
"57",57.57,58.080002,57.380001,57.52,598200,56.690269
"58",57.68,58.369999,57.240002,58.029999,1322800,57.192902
"59",58.119999,58.259998,57.580002,57.959999,679500,57.12392
"60",57.830002,58,57.560001,57.91,326900,57.074635
"61",57.77,58.189999,57.77,57.91,381100,57.074635
"62",57.950001,58.32,57.669998,58.060001,443300,57.222477
"63",58.029999,58.400002,57.84,58,689800,57.163338
"64",57.990002,58.07,57.349998,57.459999,531900,56.631126
"65",57.459999,57.98,57.220001,57.259998,677500,56.43401
"66",57.439999,57.950001,57.080002,57.849998,403100,57.015511
"67",57.720001,58.029999,57.610001,57.849998,463100,57.015511
"68",57.84,58.080002,57.59,57.630001,313500,56.798679
"69",57.5,57.73,57.09,57.459999,363100,56.699989
"70",57.540001,57.630001,56.98,57.130001,589200,56.374363
"71",57.07,57.419998,56.91,56.950001,501100,56.196758
"72",57.25,57.84,57.110001,57.779999,496200,57.015774
"73",57.549999,57.799999,57.029999,57.599998,528300,56.838139
"74",56.919998,57.669998,56.209999,57.41,632300,56.650658
"75",57.59,57.59,56.970001,57.240002,909200,56.48291
"76",57.240002,57.43,56.98,57.220001,648100,56.463177
"77",58.02,58.360001,57.880001,58.209999,361700,57.440083
"78",58.5,59.029999,58.029999,58.650002,499900,57.87426
"79",58.790001,60.009998,58.73,59.98,1145700,59.186668
"80",60,60.349998,59.720001,59.91,827200,59.117596
"81",59.919998,59.970001,59.07,59.41,513000,58.624214
"82",59.75,60.07,59.52,59.93,561100,59.137329
"83",60,60.509998,59.34,59.639999,529700,58.851154
"84",59.66,59.779999,59.049999,59.639999,456700,58.851154
"85",59.630001,60.759998,59.630001,60.490002,649900,59.68993
"86",61.110001,61.98,60.119999,61.599998,1397900,60.785233
"87",61.599998,62.040001,61.27,61.889999,590500,61.071407
"88",61.860001,62.68,61.560001,62.560001,692200,61.732552
"89",62.57,62.740002,62.060001,62.669998,499800,61.841091
"90",62.380001,62.650002,62.099998,62.560001,405700,61.732552
"91",62.549999,62.919998,62.330002,62.380001,796900,61.554932
