"","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted"
"1",51.990002,52.5,51.77,51.98,13295600,49.434593
"2",52.23,53.349998,52.09,53.07,13759500,50.47121
"3",52.919998,53.099998,52.439999,53.060001,8682200,50.461712
"4",53.09,54.09,52.98,53.91,12532400,51.270077
"5",53.959999,53.990002,53.220001,53.380001,8835300,50.766045
"6",53.549999,53.73,53.110001,53.110001,8041900,50.509254
"7",53.119999,53.290001,52.669998,52.689999,8208300,50.109825
"8",52.509998,52.689999,52.16,52.400002,7368700,49.834026
"9",52.59,52.93,52.23,52.919998,6694400,50.328552
"10",53.400002,53.950001,53.009998,53.650002,9888500,51.02282
"11",53.860001,53.889999,52.860001,53.27,6743100,50.661427
"12",53.84,53.939999,52.889999,52.93,8320600,50.33807
"13",53.220001,53.349998,52.900002,53.200001,7861000,50.594856
"14",53.02,53.259998,52.720001,53.240002,7025700,50.632893
"15",53.02,53.57,52.990002,53.450001,6321300,50.832611
"16",53.73,54.119999,53.689999,53.860001,6675000,51.22253
"17",54.110001,54.119999,53.360001,53.650002,6202000,51.02282
"18",53.68,54.080002,53.029999,53.189999,7362000,50.585342
"19",52.779999,53.220001,52.41,53.080002,9770800,50.480724
"20",51.68,52.900002,51.630001,52.900002,12342900,50.309551
"21",52.98,53.259998,52.610001,53.02,8810900,50.423664
"22",53,53.009998,52.48,52.799999,7874200,50.214432
"23",52.619999,52.810001,52.25,52.360001,8850400,49.795979
"24",52.09,52.799999,52.049999,52.799999,7355200,50.214432
"25",53.07,53.279999,52.669998,52.810001,6446900,50.223957
"26",52.740002,53.939999,52.700001,53.880001,9281100,51.24155
"27",53.880001,55.700001,53.880001,55.310001,14345400,52.601521
"28",55.630001,56.470001,55.630001,56.220001,14973400,53.466965
"29",56.169998,56.34,55.75,56.09,7679800,53.34333
"30",55.919998,56.689999,55.830002,56.450001,8891400,53.685707
"31",56.290001,56.759998,56.209999,56.639999,6652000,53.866398
"32",56.880001,56.919998,56.099998,56.290001,8374200,53.533543
"33",56.119999,56.799999,55.860001,56.75,12638000,53.971012
"34",56.380001,57.450001,56.200001,57.360001,10955000,54.551147
"35",57.48,58.380001,57.360001,58.240002,10914100,55.38805
"36",58.110001,58.400002,57.27,57.389999,12316300,54.57967
"37",57.389999,58.419998,57.07,57.860001,9684500,55.026661
"38",57.650002,57.830002,57.349998,57.689999,4375700,54.864979
"39",57.369999,57.549999,56.860001,57.16,7951300,54.360939
"40",57.860001,58.029999,57.330002,57.950001,8558900,55.112247
"41",57.900002,58.25,57.650002,57.799999,6438400,55.140869
"42",57.799999,57.799999,56.509998,56.700001,9181600,54.09148
"43",56.700001,56.93,56.529999,56.77,6896800,54.158257
"44",56.709999,56.990002,56.02,56.549999,7124400,53.948372
"45",56.939999,56.939999,56.310001,56.509998,7604800,53.910213
"46",56.610001,56.66,56.09,56.360001,6165700,53.767124
"47",56.490002,56.990002,56.259998,56.43,8882400,53.833897
"48",56.43,56.82,56.110001,56.669998,7235900,54.062855
"49",56.869999,58.009998,56.720001,57.279999,9286900,54.644779
"50",57.630001,57.990002,56.75,57.66,10067500,55.007305
"51",57.43,57.720001,56.830002,57.599998,9895000,54.950062
"52",57.77,57.889999,57.310001,57.799999,10791500,55.140869
"53",58,58.810001,57.959999,58.68,13352500,55.980389
"54",58.779999,59,57.720001,58.009998,15269800,55.341206
"55",54.759998,55,53.759998,53.919998,37413400,51.439373
"56",54.610001,55.549999,54.52,55.369999,23848300,52.822666
"57",55.290001,56.639999,55.119999,56.360001,14438600,53.767124
"58",55.639999,56.25,55.540001,55.93,8663600,53.356899
"59",55.990002,56.779999,55.790001,56.619999,7823900,54.015152
"60",56.41,57.099998,56.349998,56.68,7456200,54.072395
"61",56.48,56.599998,55.810001,56.040001,7210500,53.461842
"62",56,56.029999,55.650002,55.73,5905600,53.1661
"63",55.740002,55.799999,55.150002,55.560001,7088800,53.003922
"64",55.150002,55.299999,54.830002,55.040001,8843300,52.507847
"65",54.970001,55.799999,54.5,54.98,7722100,52.450603
"66",55.07,55.939999,54.939999,55.139999,6692200,52.603241
"67",55.099998,55.240002,54.77,55.110001,6078300,52.574615
"68",55,55.330002,54.720001,54.900002,5472700,52.374283
"69",54.950001,55.07,54.549999,54.919998,4348600,52.39336
"70",54.66,55.619999,54.5,55.57,8504100,53.013458
"71",55.41,55.599998,55.259998,55.34,5282100,52.794041
"72",55.32,56.34,55.25,56.240002,7688700,53.652637
"73",56.02,56.419998,55.799999,56.110001,5651100,53.528622
"74",56.16,56.220001,55.740002,55.860001,5947700,53.290112
"75",55.959999,56.689999,55.880001,56.400002,6867100,53.805271
"76",56.290001,56.380001,55.68,55.849998,6055600,53.280586
"77",56.139999,56.209999,55.470001,55.470001,10777700,52.918056
"78",55.529999,55.77,55.41,55.450001,8971000,52.898983
"79",55.459999,55.84,55.119999,55.16,10936000,52.622326
"80",55.18,55.57,54.91,55.470001,8558000,52.918056
"81",55.43,55.529999,55.139999,55.41,6437700,52.860821
"82",55.43,55.450001,54.98,54.990002,4881400,52.460148
"83",55.119999,55.16,54.790001,55.07,7363600,52.536469
"84",55.169998,55.299999,54.400002,54.529999,9474700,52.021301
"85",54.68,54.830002,54.200001,54.470001,6830600,51.964062
"86",54.41,54.5,53.560001,53.950001,13379900,51.467995
"87",54.18,54.509998,53.830002,54.299999,8728100,51.801888
"88",54.330002,55.080002,54.16,54.889999,6441200,52.364746
"89",54.91,55.060001,54.509998,54.560001,5823000,52.049923
"90",54.52,54.52,53.400002,54.240002,6499600,51.744652
"91",54.099998,54.389999,53.790001,54.200001,5606300,51.70649
"92",54.119999,54.200001,53.68,53.77,8201700,51.29628
"93",52.369999,53.380001,52.119999,52.779999,14562700,50.351814
"94",52.779999,52.869999,51.799999,51.799999,18341500,49.416904
"95",51.970001,52.080002,51.299999,51.68,22576500,49.302422
"96",51,52.110001,50.810001,51.77,20047800,49.388287
"97",51.77,51.959999,51.400002,51.57,13671500,49.197487
"98",51.98,52.630001,51.880001,52.200001,11087300,49.798508
"99",52.25,52.299999,51.740002,52.009998,9383600,49.617241
"100",52.380001,52.59,52.209999,52.349998,7627500,49.941597
"101",52.349998,52.759998,52.23,52.59,5921300,50.170563
"102",52.759998,53.02,52.639999,52.919998,8039600,50.485374
"103",53.02,53.279999,52.709999,52.990002,8938800,50.552162
"104",53.060001,53.299999,52.209999,52.299999,13352100,50.063957
"105",52.700001,53.009998,52.360001,52.98,18511200,50.714886
"106",53,53.23,52.700001,53.009998,5748900,50.743607
"107",52.900002,53.099998,52.43,52.48,8923000,50.236263
"108",52.790001,53.360001,52.75,53.23,7438300,50.954193
"109",53.23,54.139999,53.150002,53.200001,7785600,50.925484
"110",53.200001,53.470001,52.799999,53.459999,8347400,51.174366
"111",53.509998,54.25,53.5,54.029999,9180000,51.719994
"112",54.029999,54.66,53.84,54.310001,8720100,51.988026
"113",54.48,54.669998,53.950001,54.66,6783900,52.323063
"114",54,54.049999,52.73,52.900002,16041100,50.638321
"115",51.75,51.84,50.790001,51.099998,25725500,48.915264
"116",51.419998,52.220001,51.400002,52.02,11265300,49.795929
"117",52.049999,52.130001,51.099998,51.560001,10676500,49.355598
"118",51.900002,52.689999,51.900002,52.59,13021700,50.341568
"119",52.599998,52.619999,52.09,52.400002,10660700,50.159691
"120",52.150002,52.919998,51.669998,52.849998,8522400,50.590446
"121",52.950001,53.57,52.669998,53.279999,7966200,51.00206
"122",53.189999,53.259998,52.639999,52.950001,7873100,50.686165
"123",53.169998,53.610001,52.959999,53.360001,7527200,51.078644
"124",53.330002,53.630001,52.990002,53.169998,14801900,50.896763
"125",56.599998,59.709999,56.5,59,46553000,56.477505
"126",58.369999,59.009998,58.330002,58.650002,9910000,56.142471
"127",58.240002,58.290001,57.509998,57.560001,16167000,55.099068
"128",57.450001,57.720001,57,57.16,9035700,54.716175
"129",57.400002,58.080002,57.029999,57.98,8145400,55.501114
"130",57.889999,58.810001,57.68,58.73,8942400,56.219055
"131",58.540001,58.93,58.040001,58.18,7223000,55.692566
"132",58.310001,58.75,58.099998,58.220001,7243100,55.730858
"133",58.220001,58.580002,57.93,57.939999,8108600,55.462826
"134",57.950001,58.209999,57.639999,58,6345300,55.520264
"135",58,58.349998,57.759998,57.790001,6885000,55.319241
"136",57.740002,58.080002,57.470001,57.650002,4922500,55.185219
"137",57.599998,57.880001,57.389999,57.77,4451100,55.300095
"138",59.119999,59.59,58.799999,59.099998,11915500,56.573227
"139",59,60,58.91,59.950001,11048300,57.38689
"140",59.689999,59.77,58.759998,58.950001,7498900,56.429638
"141",59.32,59.52,58.919998,59.389999,5157100,56.850826
"142",59.09,59.130001,58.32,58.360001,5529500,55.864876
"143",58.599998,58.68,57.990002,58.150002,8259900,55.663845
"144",58.150002,58.740002,57.970001,58.669998,5112800,56.161606
"145",58.709999,59.119999,58.330002,59.049999,6225900,56.525372
"146",59,59.939999,58.900002,59.84,9051700,57.281601
"147",59.549999,59.950001,59.27,59.790001,4468100,57.233738
"148",59.799999,60.529999,59.639999,60.139999,5677200,57.568771
"149",60.169998,60.34,59.630001,59.759998,4106000,57.205017
"150",59.82,60.099998,59.709999,59.790001,4066700,57.233738
"151",59.880001,60.119999,59.360001,59.459999,5586400,56.917839
"152",59.419998,59.970001,59.259998,59.900002,5310900,57.339027
"153",59.68,59.689999,59.060001,59.07,5585100,56.54451
"154",58.73,59.27,58.59,58.970001,4980000,56.448792
"155",59.150002,60,59.130001,59.779999,5900000,57.224159
"156",58.939999,59.009998,58.290001,58.560001,8913000,56.056324
"157",58.900002,59.049999,58.220001,58.540001,5489600,56.037174
"158",58.529999,58.740002,57.419998,57.459999,9148600,55.003345
"159",54.849998,55.419998,54.169998,54.950001,22905200,52.600666
"160",54.439999,54.439999,53.110001,53.610001,14289300,51.317951
"161",53.919998,54.41,53.790001,54.130001,8212800,51.815727
"162",53.919998,54.080002,53.450001,53.610001,6409400,51.317951
"163",53.93,53.970001,53.459999,53.84,5461900,51.538116
"164",54.029999,54.200001,53.540001,53.900002,6416600,51.595554
"165",54.07,54.43,53.619999,53.73,5269400,51.432823
"166",52.740002,52.880001,52.07,52.73,12539900,50.475578
"167",52.799999,52.959999,52.25,52.560001,7434500,50.312843
"168",52.599998,52.98,52.470001,52.810001,7728900,50.725868
"169",53,53.450001,52.900002,53.360001,5509800,51.254169
"170",53.25,53.470001,52.880001,53.009998,6306500,50.917984
"171",53.119999,53.34,52.709999,52.759998,7407600,50.677849
"172",52.759998,52.849998,52.34,52.389999,6905800,50.322453
"173",52.25,52.509998,52.110001,52.200001,8563300,50.13995
"174",52.380001,53.130001,52.32,53.029999,8649900,50.93718
"175",53.77,54.09,53.299999,53.400002,7823700,51.292587
"176",53.450001,53.639999,53.040001,53.52,6086000,51.407856
"177",53.540001,53.889999,53.119999,53.73,7497400,51.609566
"178",53.860001,54.060001,53.52,53.869999,10046800,51.744038
"179",53.869999,54.16,53.400002,53.5,8166400,51.388641
"180",52.779999,54.049999,52.509998,53.330002,14707200,51.225357
"181",53.490002,53.639999,53.040001,53.560001,7058000,51.44627
"182",53.549999,53.639999,53.09,53.189999,8065400,51.090885
"183",53.02,53.610001,52.799999,53.240002,10962400,51.138901
"184",53.080002,53.560001,53,53.23,12262400,51.129295
"185",53.18,53.970001,52.98,53.700001,16183700,51.580746
"186",52.169998,52.689999,51.029999,52.669998,36202500,50.5914
"187",52.799999,53.029999,52.330002,52.630001,11334700,50.552975
"188",52.59,52.82,51.759998,51.849998,12189900,49.803761
"189",52.16,52.209999,51.66,51.869999,7516200,49.822968
"190",52,52.049999,51.400002,51.470001,8126700,49.438759
"191",51.509998,52.130001,51.400002,52.080002,8204300,50.024681
"192",52.009998,52.32,51.779999,52.18,5287400,50.120728
"193",52.200001,52.459999,52.119999,52.419998,5360300,50.351257
"194",52.23,52.299999,51.5,51.52,6875100,49.48679
"195",51.580002,51.82,51.369999,51.529999,8372700,49.496384
"196",51.389999,51.52,50.830002,51.029999,9109600,49.016121
"197",50.98,51.119999,50.349998,50.830002,10658400,48.824013
"198",50.830002,51.07,50.400002,50.98,16227900,48.96809
"199",50.799999,51.41,50.639999,51.369999,9299300,49.342701
"200",51.5,52.040001,51.380001,52,9492700,49.947838
"201",52.18,52.400002,52.099998,52.299999,10890300,50.235996
"202",51.66,52.799999,51.48,52.689999,12568200,50.610607
"203",52.790001,53.5,52.790001,53.060001,13020900,50.966003
"204",53.060001,53.950001,53,53.66,12242600,51.542328
"205",53.900002,54,53.099998,53.419998,14767600,51.311787
"206",53.43,55.91,52.669998,54.939999,24804000,52.771809
"207",55.259998,57.25,55.139999,56.810001,22185100,54.568008
"208",55.82,56.360001,55.650002,55.959999,12801800,53.75156
"209",55.709999,55.93,54.84,55.27,10169400,53.088791
