"","EMR.Open","EMR.High","EMR.Low","EMR.Close","EMR.Volume","EMR.Adjusted"
"1",56.25,57.200001,56.169998,56.950001,3383000,49.455971
"2",57.049999,57.439999,56.34,56.610001,4155400,49.160702
"3",56.52,56.91,55.400002,56.139999,2657100,48.752552
"4",56.189999,56.630001,56,56.400002,1785800,48.978344
"5",56.799999,56.810001,56.169998,56.189999,2130900,48.795975
"6",56.48,57.119999,56.389999,56.689999,2535000,49.230179
"7",56.700001,57.580002,56.52,57.57,2685800,49.994381
"8",57.389999,57.5,56.77,57.470001,2550700,49.907543
"9",57.549999,57.700001,56.93,57.119999,2964500,49.603603
"10",56.799999,57.080002,56,56.310001,3152600,48.900181
"11",56.43,57.349998,56.259998,57.220001,2575400,49.690441
"12",58.5,59.32,58.279999,58.43,5955100,50.741222
"13",58.5,58.900002,58.389999,58.830002,4193900,51.088581
"14",58.689999,58.93,58,58.290001,3174500,50.619633
"15",58.509998,59.439999,58.299999,59.110001,3202100,51.331734
"16",59.59,60.380001,59.419998,60.259998,4133100,52.330402
"17",60.189999,60.93,59.810001,60.080002,3469500,52.174091
"18",60.560001,60.560001,60.009998,60.139999,3260600,52.226196
"19",60.099998,60.110001,58.73,59.139999,5213900,51.35778
"20",59.080002,59.099998,58.240002,58.66,5894500,50.940956
"21",58.5,59.099998,58.369999,58.779999,2954500,51.045151
"22",58.610001,59.119999,58.419998,58.880001,6198800,51.131996
"23",59.119999,59.560001,58.84,59.540001,3523000,51.705154
"24",59.299999,59.959999,59.279999,59.860001,6248100,51.98304
"25",61.299999,63.5,61.02,62.540001,10588300,54.310387
"26",62,62.509998,61.669998,62.41,5735500,54.197483
"27",62.59,63.48,62.459999,62.709999,3457300,54.458012
"28",62.689999,63.400002,62.689999,63.259998,4619000,54.935642
"29",63.459999,64.269997,63.450001,64.150002,4056800,55.708527
"30",63.689999,64.360001,63.549999,64.139999,3949000,55.699829
"31",63.610001,63.869999,63.130001,63.73,5215600,55.761082
"32",63.580002,63.59,62.380001,62.900002,6228500,55.034874
"33",62.52,62.549999,61.700001,61.889999,5091100,54.151157
"34",62.049999,62.209999,61.700001,62.169998,4569100,54.396152
"35",61.75,62.169998,61.720001,61.82,3411200,54.089916
"36",61.77,61.970001,60.389999,60.610001,4824700,53.031216
"37",60.220001,60.509998,59.790001,60.48,7139500,52.917465
"38",60.5,60.759998,60.119999,60.43,3501200,52.873718
"39",60.259998,60.509998,59.880001,60.099998,4204900,52.58498
"40",60.75,61.389999,60.650002,60.880001,6216400,53.267448
"41",60.880001,61.080002,60.09,60.310001,3559000,52.76873
