"","NXPI.Open","NXPI.High","NXPI.Low","NXPI.Close","NXPI.Volume","NXPI.Adjusted"
"1",98.25,98.25,97.550003,97.660004,2392800,93.90654
"2",97.669998,98.360001,97.650002,98.300003,3949700,94.521942
"3",98.480003,98.790001,98.18,98.400002,2181800,94.618111
"4",98.699997,98.720001,97.989998,98.209999,2849000,94.435402
"5",98.25,98.470001,97.970001,98.110001,2189600,94.339241
"6",98.540001,98.790001,98.260002,98.629997,2767700,94.839272
"7",98.489998,98.610001,98.279999,98.480003,1726500,94.695038
"8",98.489998,98.580002,98.260002,98.300003,1574900,94.521942
"9",98.209999,98.620003,97.970001,98.379997,2074800,94.598892
"10",98.5,98.620003,97.610001,97.620003,5503300,93.868088
"11",98.089996,98.339996,97.860001,98.010002,1936200,94.243095
"12",98.139999,98.260002,97.809998,98.059998,2464300,94.291176
"13",98.199997,98.309998,97.68,97.800003,2743500,94.041168
"14",97.5,97.699997,96,96,9077800,92.310356
"15",96.230003,97.32,96.059998,96.699997,4200400,92.983444
"16",96.830002,97.809998,96.830002,97.5,3859500,93.752693
"17",97.43,97.620003,97.110001,97.260002,3113400,93.521942
"18",97.400002,97.989998,97.300003,97.879997,2484500,94.118073
"19",98.050003,98.199997,97.25,98.019997,2971400,94.252701
"20",97.75,98.169998,97.459999,97.849998,2699400,94.089241
"21",98.389999,98.580002,97.75,97.75,4621000,93.993088
"22",98.099998,99.339996,98.099998,99.010002,3450400,95.204666
"23",99,99.5,98.900002,99.459999,1840300,95.637383
"24",99.849998,101.25,99.760002,100.050003,12649600,96.204681
"25",100.650002,101.279999,100.440002,101.269997,2716600,97.377808
"26",101.470001,102.160004,101.040001,102.080002,3419200,98.156677
"27",102,102.169998,101.550003,101.599998,1995400,97.695122
"28",101.760002,102.309998,101.75,101.989998,2131100,98.070129
"29",102.099998,102.489998,101.849998,102.260002,1460300,98.32975
"30",102,102.489998,101.910004,102.279999,2148800,98.348984
"31",102.25,102.739998,102.25,102.580002,1725100,98.637459
"32",102.650002,102.739998,102.410004,102.489998,1070000,98.550911
"33",102.309998,102.779999,102.18,102.400002,1335400,98.464371
"34",102.209999,102.75,102.209999,102.599998,1530000,98.656685
"35",102.599998,102.889999,102.400002,102.650002,1576900,98.704758
"36",102.650002,102.889999,102.459999,102.589996,1368300,98.647057
"37",102.199997,102.860001,102.190002,102.830002,2153600,98.877831
"38",102.580002,102.889999,102.57,102.809998,881100,98.858604
"39",102.650002,103.18,102.300003,102.809998,1650200,98.858604
"40",103.199997,103.440002,102.959999,103.199997,1797600,99.233627
"41",103.120003,103.790001,103.050003,103.610001,4282400,99.627884
"42",103.720001,103.940002,103.440002,103.860001,1483700,99.86824
"43",103.550003,104.099998,103.300003,103.889999,1535300,99.897118
"44",103.860001,104.110001,103.559998,103.769997,2881800,99.781715
"45",103.68,104.029999,103.650002,103.870003,5757300,99.877884
"46",103.760002,104.019997,103.75,103.919998,3101400,99.925972
"47",104.099998,104.230003,103.900002,104.220001,3012900,100.214409
"48",104.099998,104.449997,103.800003,103.989998,3592500,99.993248
"49",103.900002,103.980003,103.709999,103.800003,1669500,99.810555
"50",103.800003,103.970001,103.720001,103.75,2702000,99.762482
"51",103.879997,103.970001,103.279999,103.400002,3891400,99.425941
"52",103.199997,103.379997,102.910004,103.269997,3096600,99.300934
"53",103.25,103.5,103.160004,103.330002,1158100,99.358643
"54",103.199997,103.510002,102.650002,102.940002,3273500,98.983612
"55",102.830002,102.989998,102.599998,102.730003,2040700,98.7817
"56",102.739998,102.980003,102.620003,102.699997,1720600,98.752838
"57",102.809998,103.160004,102.599998,102.989998,2153500,99.031693
"58",102.919998,103.360001,102.699997,103.220001,1182200,99.252861
"59",103.07,103.529999,102.970001,103.18,1246300,99.214386
"60",103.160004,103.669998,103.150002,103.620003,1622900,99.637466
"61",103.330002,104.290001,103.139999,103.75,1697000,99.762482
"62",103.940002,104,103.379997,103.5,3326800,99.522102
"63",103.68,104.419998,103.5,104.269997,2955100,100.262497
"64",104.75,105.260002,104.349998,105.050003,7817400,101.012505
