"","ULTA.Open","ULTA.High","ULTA.Low","ULTA.Close","ULTA.Volume","ULTA.Adjusted"
"1",256.200012,260.579987,255.610001,256.679993,662200,256.679993
"2",257.079987,261.829987,257.079987,260.920013,678300,260.920013
"3",259.839996,266.059998,258.420013,264.140015,1279500,264.140015
"4",264.640015,266.799988,262.279999,263.299988,710400,263.299988
"5",263.179993,265.309998,259.529999,260.790009,433500,260.790009
"6",260.980011,264.140015,260.779999,262.5,431000,262.5
"7",262.5,264.380005,260.420013,262.149994,392900,262.149994
"8",262.029999,262.070007,259,260.950012,403600,260.950012
"9",260.73999,262.25,259.709991,261.399994,409100,261.399994
"10",260.950012,264.880005,259.5,263.059998,411700,263.059998
"11",264.040009,265.709991,261.75,265.5,638700,265.5
"12",265.76001,267.959991,264.980011,266.119995,829200,266.119995
"13",267.130005,267.220001,265.339996,266.220001,634700,266.220001
"14",265.899994,266.420013,263.809998,266.019989,446300,266.019989
"15",266.429993,269.119995,265.549988,268.809998,500900,268.809998
"16",269.970001,272.519989,268.730011,272.01001,654900,272.01001
"17",271.890015,273.98999,271.179993,272.420013,503600,272.420013
"18",272.359985,272.359985,270.119995,271.440002,365500,271.440002
"19",270.76001,271.420013,267.25,270.179993,680500,270.179993
"20",270.170013,273.170013,266.399994,272.279999,820900,272.279999
"21",272.380005,273.75,269.23999,269.540009,443200,269.540009
"22",268.850006,271.040009,267.25,270.75,462800,270.75
"23",272,274.75,270.600006,272.059998,442800,272.059998
"24",272.309998,274.75,271.220001,273.079987,721700,273.079987
"25",273.049988,274.279999,271.630005,272.48999,428000,272.48999
"26",272.540009,272.98999,271.079987,272.820007,443900,272.820007
"27",273.75,273.950012,272.079987,272.869995,491800,272.869995
"28",273.040009,273.470001,269.309998,269.839996,670800,269.839996
"29",270.799988,271.299988,267.75,268.119995,613400,268.119995
"30",268.200012,271.48999,267.769989,271.459991,620800,271.459991
"31",270.98999,273.869995,270.450012,273.640015,519600,273.640015
"32",273.600006,273.980011,271,272.089996,395900,272.089996
"33",271.959991,276.329987,270.709991,275.149994,449600,275.149994
"34",275.950012,278.450012,275.579987,277.26001,505500,277.26001
"35",277.529999,278.059998,276.01001,277.190002,313100,277.190002
"36",277.820007,277.98999,273.73999,274.600006,487100,274.600006
"37",274.190002,277.26001,272.519989,276.329987,465100,276.329987
"38",277,277.609985,275.589996,275.690002,398200,275.690002
"39",275.350006,276.350006,272.730011,273.429993,425300,273.429993
"40",276.589996,277.779999,274.459991,274.829987,588400,274.829987
"41",274.829987,277.75,274.829987,277.450012,509000,277.450012
"42",277.380005,278.339996,275.279999,278.149994,460900,278.149994
