"","HES.Open","HES.High","HES.Low","HES.Close","HES.Volume","HES.Adjusted"
"1",63.380001,64.400002,62.150002,62.82,4531800,57.43026
"2",62.84,63.049999,60.880001,61.93,5007100,56.616638
"3",62.110001,62.470001,60.939999,62.099998,3797000,56.772053
"4",62.209999,62.400002,61.700001,61.900002,1978900,56.589203
"5",61.330002,61.580002,60.57,60.610001,2492400,55.409882
"6",60.82,62,60.5,61.450001,2243500,56.177818
"7",61.75,62.240002,60.790001,61.84,2089400,56.534359
"8",59.860001,59.990002,56.650002,58.849998,16844900,53.800873
"9",58.400002,59.869999,58.25,58.889999,13255600,53.837456
"10",59.27,60.130001,58.41,59.299999,5683200,54.212276
"11",58.689999,59.419998,58.389999,58.830002,2618400,53.782604
"12",58.5,58.970001,57.650002,57.720001,3172800,52.767841
"13",58.709999,59.080002,57.540001,57.98,3215500,53.005527
"14",57.470001,57.959999,56.689999,57.150002,3033500,52.246742
"15",57.720001,58.040001,56.650002,57.52,4016100,52.584999
"16",57.049999,58.5,56.220001,56.459999,6204900,51.615948
"17",56.380001,57.040001,55.740002,56.169998,3905100,51.350815
"18",55.830002,55.959999,54.509998,54.869999,3970500,50.16235
"19",54.720001,54.830002,53,53.939999,5820200,49.312141
"20",53.900002,54.209999,53.130001,54.18,4163400,49.531555
"21",54.630001,54.959999,53.040001,53.509998,3991600,48.919037
"22",53.700001,54.290001,52.939999,53.959999,3166600,49.330425
"23",54,54.759998,53.619999,54.310001,3461700,49.650398
"24",54.389999,54.48,52.66,53.16,3322200,48.599056
"25",52.630001,52.639999,51.07,51.509998,4966700,47.09063
"26",51.029999,52.389999,50.43,51.540001,4908800,47.118053
"27",51.540001,52.57,51.540001,52.32,2532900,47.831139
"28",53.080002,53.529999,52.200001,52.509998,2998000,48.004833
"29",52.169998,52.290001,51.720001,51.880001,3600900,47.428886
"30",52.119999,52.25,51.400002,52,2847600,47.538589
"31",51.900002,52.130001,51.02,51.049999,2979700,46.670097
"32",51.400002,51.619999,50.860001,51.299999,4128000,46.898647
"33",50.990002,51.860001,50.799999,51.75,3355000,47.310036
"34",52.560001,53.419998,52.470001,52.82,4058100,48.288246
"35",52.27,52.610001,51.529999,51.560001,2940800,47.136341
