"","TECH.Open","TECH.High","TECH.Low","TECH.Close","TECH.Volume","TECH.Adjusted"
"1",103.260002,104.68,102.099998,102.610001,210900,99.20829
"2",102.989998,106.029999,102.690002,104.980003,244000,101.499748
"3",104.669998,105.529999,103,103.169998,144400,99.749733
"4",103.089996,105.279999,103.059998,103.720001,167100,100.281502
"5",103.349998,103.790001,102.489998,103.239998,165100,99.817406
"6",103.480003,104.900002,102.870003,104.010002,340500,100.561882
"7",104.370003,104.699997,100.589996,101.660004,141600,98.289795
"8",101.360001,102.32,100.559998,102.010002,108200,98.628189
"9",102.339996,103.199997,101.339996,101.389999,126800,98.028748
"10",101.300003,101.300003,98.870003,99.059998,192400,95.775978
"11",100.050003,100.260002,98.68,99,312000,95.717987
"12",98.779999,99.790001,97.610001,98,250700,94.751122
"13",98.309998,98.75,97.75,98.019997,257100,94.770454
"14",98.080002,98.900002,97.339996,97.900002,190900,94.654427
"15",97.809998,98.849998,96.889999,97.949997,184400,94.702774
"16",98.650002,99.669998,97.889999,98.970001,180900,95.688965
"17",98.900002,99.43,98.150002,98.919998,165400,95.64064
"18",98.860001,100.019997,98.779999,99.860001,115800,96.549461
"19",99.550003,99.849998,98.739998,99.120003,233800,95.833992
"20",98.900002,102.010002,98.900002,101.75,174700,98.376808
"21",102.260002,102.739998,101.75,102.160004,183600,98.773216
"22",101.839996,102.059998,100.720001,101.580002,243900,98.212463
"23",101.919998,103.010002,101.089996,102.800003,217000,99.392014
"24",102.199997,102.349998,100.010002,100.900002,218900,97.555
"25",95.68,102.589996,95.68,101.18,576900,97.825699
"26",100.589996,100.800003,98.730003,99.860001,335000,96.549461
"27",101,103.809998,101,103.550003,363800,100.117134
"28",104.029999,104.029999,101.839996,103.25,339000,99.827087
"29",103.599998,104.449997,103.139999,103.910004,264600,100.465202
"30",103.669998,104.879997,102.980003,104.519997,223900,101.054977
"31",104.190002,105.220001,103.57,105.199997,166500,102.024788
"32",105.489998,105.489998,103.57,105.010002,161300,101.840538
"33",104.339996,105.559998,104.300003,105.239998,194700,102.063591
"34",105.440002,105.779999,103.809998,105.410004,215700,102.228462
"35",105.230003,106.269997,105,105.709999,192200,102.519402
"36",106.050003,106.419998,104.910004,106.339996,226400,103.130371
"37",105.669998,106.690002,105.400002,106.589996,135200,103.372833
"38",106.510002,107.559998,106.309998,107.440002,144600,104.197174
"39",107.260002,107.279999,106.239998,106.32,177300,103.110977
"40",107.309998,108.580002,105.970001,108.199997,234400,104.934235
"41",108.150002,108.150002,106.589996,106.75,100200,103.527992
"42",106.910004,107.510002,106.639999,107.300003,99300,104.061417
"43",107.110001,107.949997,106.419998,107.080002,145900,103.848053
"44",107.110001,107.220001,106.019997,106.699997,133200,103.479515
"45",106.940002,107.379997,106.43,106.940002,108700,103.712265
"46",106.690002,107.650002,106.470001,107.139999,96000,103.906219
"47",107.68,108.349998,107.269997,108.080002,133100,104.817863
"48",107.940002,107.940002,106.949997,107.239998,68900,104.003212
"49",106.919998,107.779999,106.610001,106.830002,105800,103.605606
"50",107.169998,108.220001,106.169998,107.5,423500,104.255386
"51",107.360001,107.360001,103.989998,104.510002,263600,101.355629
"52",105.080002,105.43,104.610001,104.809998,350100,101.646553
"53",104.720001,104.720001,103.43,103.970001,159700,100.831924
"54",104.160004,104.790001,101.919998,102.290001,174700,99.202629
"55",102.169998,102.959999,101.839996,102.550003,117100,99.454781
"56",102.459999,103.82,102.169998,103.5,208400,100.376122
"57",103.580002,104.330002,103.389999,103.82,201200,100.68644
"58",98.82,101.139999,98.540001,101.019997,277800,97.970932
"59",100.809998,101.129997,99.650002,100.010002,265500,96.991447
"60",99.889999,100.339996,99.110001,99.959999,247600,96.942924
"61",99.980003,101.269997,99.559998,101.040001,204800,97.990349
"62",101.129997,102.089996,100.339996,101.650002,185200,98.58194
"63",101.879997,101.879997,100.610001,100.870003,189900,97.825485
"64",100.809998,101.400002,99.839996,100.330002,165400,97.301781
"65",100.790001,100.949997,99.010002,99.279999,228900,96.283478
"66",98.220001,100.760002,98.220001,100.739998,187200,97.699425
"67",100.370003,101.169998,99.790001,100.709999,93200,97.670311
"68",100.559998,101.669998,100.07,100.099998,128600,97.07872
"69",99.989998,100.629997,99.669998,100.419998,178600,97.389061
"70",100.529999,101.449997,99.650002,99.870003,189600,96.855667
"71",99.790001,100.089996,98.349998,99.849998,119100,96.836281
"72",100.199997,101.25,99.989998,101.169998,83300,98.116425
"73",100.82,101.389999,100.25,101.279999,109500,98.223106
"74",101.400002,102.370003,101.260002,101.889999,109000,98.81469
"75",102,103.050003,101.010002,102.550003,86200,99.454781
"76",102.769997,102.839996,101.470001,101.760002,123200,98.688622
"77",102.970001,103.82,101.849998,103.139999,98000,100.02697
"78",103.610001,105.050003,99.970001,104.370003,119100,101.219841
"79",104.730003,106.239998,104.279999,105.760002,148100,102.567909
"80",105.889999,107.519997,105.889999,106.620003,154700,103.401924
"81",106.690002,107.529999,105.82,107.080002,212300,103.848053
"82",107.510002,108.139999,106.800003,107.580002,242500,104.33297
"83",107.82,111.760002,107.82,111.120003,451700,107.766144
"84",111.620003,112.110001,109.529999,109.769997,292200,106.456848
"85",110.160004,111.919998,109.800003,110.860001,278700,107.513969
"86",110.989998,110.989998,107.650002,110.830002,204700,107.484871
"87",110.629997,111.730003,109.910004,110.239998,172500,106.912651
"88",110.139999,111.239998,109.870003,110.550003,183400,107.21331
"89",110.400002,111.879997,110.160004,111.150002,159800,107.795212
"90",110.849998,110.919998,109.75,110.540001,88400,107.203613
"91",110.489998,110.839996,109.459999,110.400002,149600,107.067848
"92",110.970001,111.459999,110.620003,111.110001,152600,107.756409
"93",111.110001,111.629997,110.610001,111.43,152600,108.066742
"94",110.059998,112.610001,109.529999,109.589996,129300,106.588394
"95",109.489998,110.400002,107.769997,109.019997,156900,106.034012
"96",109.199997,110.139999,107.550003,109.949997,113800,106.938522
"97",110.07,110.480003,108.730003,110.339996,132200,107.317863
"98",110.540001,111.239998,109.779999,110.839996,127400,107.804138
"99",110.889999,111.199997,109.629997,111.059998,109400,108.01812
"100",111.410004,111.839996,110.489998,111.199997,93200,108.154282
"101",111.360001,113.790001,110.889999,111.400002,115000,108.348808
"102",111.190002,112.419998,111.120003,111.470001,111300,108.416893
"103",111.949997,112.540001,110.449997,112.080002,211200,109.010193
"104",112.339996,113.349998,111.120003,113.239998,169900,110.138428
"105",113.410004,115.830002,112.839996,115.519997,149000,112.355972
"106",115.519997,115.57,113.970001,114.43,79300,111.295822
"107",114.199997,114.57,113.470001,113.919998,81700,110.799782
"108",113.910004,114.57,113.260002,113.860001,89500,110.74144
"109",113.879997,115.360001,112.900002,113.660004,111500,110.546928
"110",113.790001,114.790001,111.459999,112.290001,174900,109.214439
"111",112.309998,112.760002,110.43,111.410004,140500,108.358536
"112",111.669998,112.290001,111.010002,111.360001,138600,108.309906
"113",111.860001,113.239998,111.209999,112.160004,235300,109.088005
"114",111.139999,111.370003,110.139999,110.790001,115800,107.755516
"115",110.800003,111.919998,109.120003,111.629997,286100,108.572502
"116",112.089996,113.220001,111.169998,112.919998,163800,109.827171
"117",112.809998,114.389999,112.169998,112.889999,178000,109.797981
"118",113.260002,114.080002,109.959999,113.959999,222100,110.838692
"119",114.089996,116.550003,113.339996,116.300003,192700,113.114609
"120",116.25,117.800003,113.910004,117.5,305700,114.281738
"121",117.730003,118.650002,116.940002,118.019997,201700,114.787476
"122",118,118.760002,117.199997,117.589996,266700,114.369255
"123",118.190002,119.220001,116.989998,118.760002,168500,115.507217
