"","TT.Open","TT.High","TT.Low","TT.Close","TT.Volume","TT.Adjusted"
"1",58.813034,59.115593,58.30101,58.906128,2884009,53.995121
"2",59.169899,59.487976,58.875095,59.053532,1439426,54.130245
"3",58.960434,59.053532,57.68037,58.363071,2267480,53.497349
"4",58.51823,58.603569,58.068272,58.231186,2579418,53.376457
"5",58.184639,58.44841,57.982933,58.107059,1971654,53.262676
"6",58.30101,59.076805,58.091545,58.968193,2068716,54.052021
"7",59.278511,59.906906,58.913887,59.860355,2424480,54.869808
"8",59.775021,59.821568,58.339798,59.456944,2110738,54.500023
"9",59.658649,60.279285,59.588829,59.945694,1353063,54.948021
"10",59.565556,59.992241,59.200932,59.418156,1878718,54.464474
"11",59.65089,59.8526,59.340572,59.844841,2052990,54.855583
"12",59.937935,60.752522,59.937935,60.705975,3199040,55.64492
"13",60.91544,61.070599,60.628395,61.008533,2807313,55.922253
"14",60.884407,60.954227,60.48875,60.83786,2466115,55.765816
"15",60.930954,62.280838,60.930954,61.745541,3736424,56.597824
"16",62.412724,62.738556,62.102406,62.373932,3976049,57.17382
"17",62.249805,62.614429,62.063614,62.195499,2492410,57.010269
"18",62.404964,62.575642,61.978279,62.063614,2290166,56.889381
"19",61.598137,61.82312,61.031807,61.714508,2951166,56.569374
"20",61.636929,61.82312,60.806828,61.559349,3667978,56.427155
"21",59.868114,61.543831,59.736229,60.512024,5388149,55.467144
"22",60.512024,61.016293,60.131886,60.512024,3012264,55.467144
"23",60.806828,61.33437,60.612877,61.303337,1885936,56.19249
"24",61.070599,62.063614,60.822342,61.993793,3144902,56.825375
"25",62.071373,62.598915,61.854153,61.947247,2753562,56.782719
"26",61.830875,62.218773,61.613655,62.125679,2193491,56.946262
"27",62.125679,63.03336,62.125679,62.699768,2017285,57.472492
"28",62.839409,63.607449,62.692009,62.986813,3623121,57.735619
"29",63.188519,63.747089,63.079906,63.599689,3519872,58.297386
"30",63.429016,63.460049,62.901474,63.359192,2221849,58.076946
"31",63.289371,63.607449,62.924747,63.320404,2467404,58.041393
"32",63.359192,63.429016,62.60667,62.916988,2573617,57.671608
"33",62.769588,63.041119,62.381691,62.831654,2191687,57.593384
"34",62.792862,63.382465,62.730801,63.235065,1930793,57.963165
"35",62.893715,63.343678,62.699768,63.227306,2311435,57.956051
"36",63.599689,63.723816,62.692009,63.0256,1944457,57.771164
"37",62.583397,63.087666,62.195499,63.087666,1913263,57.828053
"38",63.072147,63.180759,62.761829,62.870441,2027597,57.628944
"39",62.862682,62.948021,61.528316,61.567104,3999509,56.434261
"40",62.397205,63.297131,62.397205,62.839409,3902963,57.600487
"41",62.723042,62.785107,61.986034,62.079132,1767219,56.903603
"42",62.164471,62.273079,61.427464,62.032581,1752653,56.860931
"43",61.567104,61.799847,61.287819,61.55159,2157657,56.42004
"44",61.512802,61.838634,61.47401,61.745541,2786302,56.597824
"45",61.458496,61.846394,61.349884,61.419704,2139740,56.583519
"46",61.466251,61.69899,60.620636,60.977501,1642959,56.176147
"47",61.489529,61.792088,60.806828,61.667961,1664615,56.812237
"48",61.667961,61.854153,61.528316,61.799847,1273016,56.933723
"49",61.458496,61.598137,61.008533,61.295578,1508517,56.469173
"50",61.660202,63.017841,61.466251,62.692009,2079673,57.755646
"51",62.994568,63.048874,62.179985,62.490303,1710632,57.569824
"52",62.769588,62.986813,62.296352,62.831654,2541392,57.884293
"53",63.475563,63.576416,62.645462,63.041119,2037264,58.077271
"54",63.273857,63.405743,61.435223,61.567104,2158559,56.719315
"55",61.505043,61.97052,61.318851,61.768814,1423829,56.90514
"56",61.737782,62.265324,61.318851,61.916214,819031,57.040936
"57",61.931728,62.18774,61.171452,61.427464,1264509,56.590668
"58",60.799068,61.295578,59.937935,60.946468,2130330,56.147552
"59",61.000774,62.110165,60.659428,61.82312,2130073,56.955173
"60",61.590382,61.97052,61.512802,61.923973,1928731,57.048084
"61",61.784328,62.777348,61.737782,62.761829,1573482,57.819969
"62",62.529091,63.289371,62.482544,63.087666,2528760,58.120144
"63",63.281612,63.537624,62.435997,63.010086,3175580,58.048679
"64",62.948021,63.250584,62.575642,63.211792,1657654,58.234505
"65",63.359192,64.484093,63.297131,63.514351,3302676,58.513241
"66",63.576416,64.701317,63.413498,64.134987,2268124,59.085007
"67",63.995346,64.468582,63.894493,64.096199,2221463,59.049267
"68",64.08844,64.957329,64.06517,64.584953,2271476,59.499538
"69",64.530647,65.159035,64.197052,64.895271,2342371,59.785427
"70",64.840965,64.840965,63.638477,63.840187,2911335,58.813416
"71",63.638477,64.647011,63.475563,63.506596,3092698,58.506096
"72",63.793636,63.917767,63.45229,63.801395,2575293,58.777679
"73",63.382465,63.778122,63.03336,63.560902,2457221,58.556126
"74",63.910007,64.080681,63.250584,63.498837,2174156,58.498947
"75",63.925526,64.592705,63.568657,64.197052,2214631,59.142178
"76",64.375488,64.693558,64.026375,64.414276,1942265,59.3423
"77",65.469353,65.91156,64.701317,65.314194,2089598,60.171368
"78",65.880531,66.679596,65.686577,66.454613,3026314,61.221989
"79",67.393326,69.092323,67.075249,68.797516,4065248,63.380402
"80",68.820793,69.627617,68.657875,69.239723,2674031,63.787792
"81",69.332817,69.487976,68.588051,68.851822,2262840,63.430443
"82",69.069046,69.069046,68.262222,68.875099,1853195,63.451874
"83",69.069046,69.363846,68.813034,69.278511,1762450,63.823509
"84",68.991463,69.270752,68.74321,69.123352,1892639,63.68058
"85",69.363846,69.720711,68.968193,69.681923,1822259,64.195183
"86",69.860359,69.961212,69.480217,69.829323,1350743,64.330971
"87",69.72847,69.937935,69.200928,69.356087,1872015,63.895
"88",69.464699,69.720711,69.146622,69.325058,1422927,63.866413
"89",69.325058,69.45694,67.827774,68.673393,3942664,63.266064
"90",68.611328,68.71994,67.773468,68.603569,2067685,63.201736
"91",68.47168,68.564781,68.15361,68.277733,2139353,62.901554
"92",68.363075,68.820793,68.277733,68.681145,1670415,63.273186
"93",69.030258,69.107834,68.557022,68.898369,1707281,63.473324
"94",68.898369,68.898369,67.88208,68.044998,2272120,62.687138
"95",67.719162,68.89061,67.245926,68.401863,2005039,63.015907
"96",68.937164,69.619858,68.479439,69.231964,1833087,63.780632
"97",69.674164,69.751747,68.991463,69.224205,1505036,63.773495
"98",69.387123,69.550041,68.797516,69.069046,1471136,63.630531
"99",69.216446,69.565552,68.557022,68.673393,2724430,63.266064
"100",69.084564,69.410393,68.71994,69.28627,1274177,63.830677
"101",69.107834,69.689682,69.107834,69.317299,848162,63.859268
"102",69.146622,69.348335,68.688904,69.193176,1141410,63.744907
"103",68.875099,69.627617,68.603569,69.511246,1998466,64.037933
"104",69.798294,69.813812,68.983711,69.511246,1766575,64.037933
"105",69.511246,69.798294,69.28627,69.418152,1461726,63.952175
"106",69.301781,69.759506,69.115593,69.317299,2434663,63.859268
"107",68.944916,69.348335,68.339798,68.975952,1754974,63.544804
"108",69.076805,69.28627,68.013962,68.370827,2620279,63.271973
"109",68.370827,68.47168,68.052757,68.246704,2182664,63.157112
"110",68.269974,68.557022,67.998451,68.355316,2237317,63.257618
"111",68.347557,68.518234,68.037239,68.145851,2123628,63.063774
"112",68.370827,69.565552,68.238945,69.565552,2348945,64.377594
"113",69.868118,69.953453,68.494957,68.805275,2227521,63.674019
"114",68.269974,69.712959,68.215668,69.712959,1464304,64.514015
"115",69.821564,71.636925,69.736229,71.636925,5321250,66.294487
"116",71.869667,72.280838,71.652443,71.830879,2517933,66.473984
"117",71.435219,71.621414,70.698219,70.791313,2116538,65.511948
"118",71.047325,71.202484,70.077583,70.193947,2542424,64.959129
"119",70.248253,70.581848,70.12413,70.380142,1650822,65.131447
"120",70.387901,70.915436,70.077583,70.659424,2352812,65.389893
"121",70.876648,71.25679,70.504265,70.54306,2974110,65.282211
"122",70.512024,70.721489,69.968971,70.217224,2046674,64.980675
"123",70.612877,71.241272,70.473236,71.086113,1733576,65.784752
"124",71.101631,71.210243,69.619858,70.108612,1969850,64.88015
"125",70.349106,71.287819,70.217224,70.899925,1509032,65.61245
"126",71.148178,71.365402,70.915436,70.938713,972808,65.648354
"127",70.899925,71.574867,70.845619,71.497284,1420091,66.165268
"128",71.342125,71.792084,71.163696,71.466255,2186402,66.136574
"129",71.505043,72.552368,70.969742,72.342903,2389677,66.94783
"130",72.350662,73.22731,72.280838,72.715286,1677762,67.29245
"131",72.560127,72.68425,71.776573,72.079132,1733963,66.70372
"132",72.622185,73.204033,72.482544,72.544609,1592560,67.134499
"133",72.567879,72.769592,71.660202,72.032585,1545898,66.66066
"134",72.001549,72.11792,71.311096,72.017067,1641413,66.646309
"135",71.908455,72.350662,71.024048,72.203255,1850617,66.818588
"136",71.939491,72.172226,71.396431,71.730026,1559948,66.380661
"137",71.955002,72.366173,71.536072,72.304115,1613699,66.911942
"138",72.280838,72.311867,71.148178,71.512802,1797511,66.179634
"139",71.163696,71.512802,70.752518,71.117142,1545511,65.813461
"140",70.961983,71.062836,70.465477,70.636154,1889545,65.36837
"141",71.249031,71.249031,70.186188,70.186188,2047834,64.951973
"142",69.371605,69.371605,66.555466,67.447632,6181657,62.41761
"143",67.46315,68.425133,67.432121,68.099304,2834769,63.020695
"144",67.967415,68.859581,67.532974,68.688904,2073743,63.56633
"145",68.89061,69.348335,68.076027,68.17688,1854098,63.092491
"146",68.332039,68.626846,66.811485,67.098526,2922679,62.094563
"147",66.757179,67.695885,66.757179,67.61055,3160370,62.568398
"148",67.711403,67.936386,66.850273,67.284714,2562919,62.266853
"149",67.564003,68.665634,67.370056,68.409622,1988411,63.307877
"150",68.355316,68.47168,67.889839,68.347557,1733189,63.250439
"151",68.293251,68.363075,67.742439,67.88208,1479128,62.819672
"152",67.719162,67.959656,67.401085,67.695885,1134062,62.647373
"153",67.230408,67.548485,65.872772,65.927078,3157921,61.010471
"154",65.76416,66.361519,65.64003,66.012413,2608292,61.089451
"155",66.547714,66.958885,66.501167,66.648567,1494724,61.678154
"156",66.656326,67.269203,66.633049,66.873543,1710116,61.886349
"157",67.059738,67.393326,66.904579,67.292473,1819939,62.274048
"158",66.974396,67.346779,66.229637,66.299454,1997821,61.355083
"159",66.299454,66.873543,65.857254,66.082237,1719397,61.154064
"160",66.012413,66.20636,65.756401,66.043442,1070515,61.118156
"161",66.089989,66.982155,66.089989,66.811485,840686,61.82893
"162",66.470131,66.77269,65.422806,65.477112,1946261,60.594063
"163",65.624512,65.779671,64.864235,64.988365,1999368,60.141754
"164",65.384018,66.043442,65.384018,65.655548,1510579,60.759193
"165",65.942589,65.942589,64.9263,65.058182,1818263,60.206375
"166",64.701317,65.415047,64.445305,65.384018,1999883,60.507912
"167",65.19783,66.578743,65.003876,66.35376,1961085,61.405338
"168",66.62529,66.702873,65.655548,66.245148,2804864,61.304817
"169",66.640808,66.803726,65.981384,66.004654,1554147,61.082275
"170",65.896042,66.299454,65.624512,65.771919,2025019,60.866894
"171",66.20636,66.524437,65.120247,65.469353,2199679,60.58688
"172",65.259888,66.03569,64.623741,65.989136,2222365,61.395287
"173",65.779671,68.750969,65.609001,67.851044,3842380,63.127575
"174",68.332039,68.681145,67.781227,68.673393,2548353,63.892673
"175",69.053528,70.178436,69.030258,69.829323,2491895,64.968147
"176",69.519005,70.4422,69.363846,70.108612,1926153,65.227989
"177",69.891388,70.054306,69.123352,69.837082,2358999,64.975342
"178",69.464699,69.743988,69.01474,69.387123,3156761,64.556717
"179",69.612099,70.27153,69.511246,70.217224,1886709,65.329025
"180",70.256012,70.98526,70.116371,70.178436,2468177,65.292953
"181",69.123352,69.526764,68.673393,69.278511,2041518,64.455658
"182",69.28627,69.5578,69.13887,69.231964,1661908,64.412361
"183",69.123352,69.402641,68.57254,68.983711,2085215,64.181404
"184",69.053528,69.278511,68.169121,68.929405,2216693,64.130867
"185",68.929405,69.169899,68.557022,68.851822,1761161,64.058693
"186",69.255234,69.317299,68.122574,68.308769,2103132,63.553448
"187",68.200157,68.502716,67.773468,68.409622,1598360,63.647266
"188",68.401863,69.410393,68.332039,69.177658,2274312,64.361832
"189",69.332817,69.821564,68.952675,69.790535,2164102,64.932053
"190",69.782776,69.930176,69.363846,69.930176,1506068,65.061966
"191",69.736229,70.698219,69.736229,70.178436,1972814,65.292953
"192",70.372383,70.752518,70.131882,70.512024,1846750,65.603317
"193",70.674942,71.97052,70.527542,71.411949,2776377,66.44059
"194",71.373154,71.962761,71.249031,71.419708,1617308,66.447807
"195",71.660202,71.660202,70.512024,70.892166,1249428,65.95697
"196",70.946472,71.000778,70.620636,70.930954,1566522,65.99308
"197",70.830101,71.373154,70.674942,70.892166,1933371,65.95697
"198",71.264549,71.559349,70.768036,70.845619,1002069,65.913681
"199",71.078354,71.078354,70.519783,70.830101,1462113,65.899246
"200",70.310318,70.752518,69.984482,70.674942,2197745,65.754883
"201",70.768036,70.946472,70.395653,70.768036,1452961,65.841492
"202",70.512024,70.69046,70.085335,70.659424,2151470,65.740448
"203",71.13266,72.552368,71.024048,72.544609,1988540,67.494415
"204",72.474785,73.956558,72.311867,72.738556,2686792,67.67485
"205",73.219551,74.65477,72.878197,74.173775,3247249,69.010155
"206",70.27153,72.53685,69.216446,70.845619,6230897,65.913681
"207",71.411949,71.753296,70.287041,70.333595,2765292,65.437309
"208",69.503494,70.806824,69.30954,70.71373,3145418,65.79097
"209",70.504265,70.69046,68.944916,68.952675,2447940,64.152534
"210",68.820793,69.200928,68.262222,68.735451,3851661,63.95042
"211",69.239723,69.340576,67.750191,67.90535,2203417,63.178101
"212",67.920868,68.355316,66.741661,67.959656,3253952,63.228626
"213",67.649338,68.037239,66.570984,66.912338,3855786,62.254219
"214",66.966644,67.688133,66.524437,66.834755,2056342,62.182045
"215",67.036461,67.090767,66.066719,66.377037,1942265,61.756187
"216",66.431343,66.648567,65.647789,66.470131,1910556,61.842789
"217",65.958107,66.097748,65.019394,65.484871,2020121,60.926128
"218",65.128006,66.043442,64.988365,65.91156,1786683,61.323112
"219",65.539177,66.152054,65.461601,65.756401,2167325,61.178757
"220",65.593483,66.152054,65.515907,65.709854,2263226,61.135437
"221",65.19783,65.298683,64.623741,64.670288,1988798,60.168255
"222",65.089218,66.276184,65.065941,66.144295,2251883,61.539631
"223",65.655548,66.18309,65.283165,66.03569,1713726,61.438591
"224",66.221878,66.702873,65.686577,65.733124,2046932,61.157089
"225",66.03569,66.314972,65.523659,66.159813,2279854,61.554096
"226",66.214119,66.291702,65.554695,65.624512,1522309,61.056049
"227",65.849495,65.903801,65.135765,65.34523,890055,60.796215
"228",65.34523,65.942589,65.306442,65.733124,1629167,61.157089
"229",65.919319,67.548485,65.531418,67.222656,3114224,62.54295
"230",67.579521,67.641586,66.47789,66.77269,2354230,62.12429
"231",66.982155,68.440651,66.89682,67.975174,3087542,63.243076
"232",67.843292,68.231186,65.841736,66.881302,2264515,62.225346
"233",67.494179,67.695885,66.027931,66.03569,3087413,61.438591
"234",66.152054,66.369278,65.438324,65.61676,2585347,61.04884
"235",65.399536,67.183861,64.941818,66.92009,3147738,62.261417
