"","CNC.Open","CNC.High","CNC.Low","CNC.Close","CNC.Volume","CNC.Adjusted"
"1",28.615,29.26,28,29.155001,3988200,29.155001
"2",29.35,30.25,29.16,30.125,4213400,30.125
"3",30.065001,30.17,29.889999,30.075001,2882400,30.075001
"4",30.040001,30.700001,30.040001,30.52,2529400,30.52
"5",30.424999,31.049999,30.424999,30.985001,3386000,30.985001
"6",30.855,31.42,30.700001,31.059999,3523400,31.059999
"7",31.045,31.365,30.514999,30.84,2648000,30.84
"8",30.655001,31.379999,30.575001,31.355,3512800,31.355
"9",31.35,31.535,31.25,31.325001,1867200,31.325001
"10",31.25,31.615,30.709999,31.540001,1940800,31.540001
"11",31.674999,31.719999,31.35,31.434999,2572200,31.434999
"12",31.355,31.645,31.120001,31.129999,2908000,31.129999
"13",31.18,31.719999,31.105,31.655001,2550600,31.655001
"14",31.67,31.67,30.684999,31.545,3676600,31.545
"15",31.545,31.545,30.865,31.48,3059400,31.48
"16",31.455,32.34,31.455,32.240002,2842400,32.240002
"17",32.34,32.445,31.705,31.745001,3615200,31.745001
"18",31.82,32.02,31.59,31.9,1624600,31.9
"19",31.93,31.93,31.26,31.375,1779400,31.375
"20",31.375,31.65,31.18,31.635,2066800,31.635
"21",31.655001,32.445,31.655001,32.099998,3732200,32.099998
"22",32.035,32.055,31.635,32.005001,1872400,32.005001
"23",32.115002,32.5,32.049999,32.360001,3400800,32.360001
"24",32.32,32.360001,31.559999,31.815001,4152000,31.815001
"25",33.209999,34.439999,33,33.5,8831400,33.5
"26",33.509998,34.494999,33.509998,34.334999,6600000,34.334999
"27",34.334999,34.805,34.18,34.669998,2724800,34.669998
"28",34.580002,34.825001,34.450001,34.700001,2864200,34.700001
"29",34.77,35.25,34.744999,34.965,2825800,34.965
"30",34.799999,35.52,34.775002,35.465,3386400,35.465
"31",35.279999,35.945,35.279999,35.724998,3345600,35.724998
"32",35.174999,35.43,34.84,35.035,5243400,35.035
"33",34.785,34.799999,33.439999,33.805,6779400,33.805
"34",33.889999,35.215,33.805,35.139999,3216200,35.139999
"35",35.125,35.305,34.875,35.119999,2365800,35.119999
"36",35.355,35.490002,35.02,35.290001,2152600,35.290001
"37",35.110001,35.310001,34.84,35.305,2478600,35.305
"38",35.365002,35.709999,35.259998,35.555,2959000,35.555
"39",35.200001,35.439999,35.025002,35.25,2780800,35.25
"40",35.830002,36.615002,35.724998,36.209999,4369200,36.209999
"41",36.07,36.150002,35.535,35.619999,2616400,35.619999
"42",35.525002,35.759998,35.34,35.485001,3536600,35.485001
"43",35.220001,35.639999,34.919998,35.485001,3109000,35.485001
"44",35.5,35.584999,35.209999,35.279999,2294600,35.279999
"45",35.279999,35.580002,35.110001,35.119999,2703400,35.119999
"46",35.235001,35.349998,34.634998,34.779999,4262400,34.779999
"47",34.744999,35.110001,34.07,34.215,5925800,34.215
"48",34.259998,34.849998,33.884998,34.715,4663000,34.715
"49",34.375,34.540001,33.709999,33.75,4259600,33.75
"50",33.865002,34.355,33.75,34.279999,4882600,34.279999
"51",34.34,34.465,34.014999,34.299999,2990000,34.299999
"52",34.365002,34.75,34.134998,34.294998,3445000,34.294998
"53",34.209999,34.23,33.665001,33.860001,3447800,33.860001
"54",33.970001,34.195,33.285,33.459999,3168600,33.459999
"55",33.57,34.18,33.195,34.005001,3804800,34.005001
"56",33.419998,33.645,32.514999,32.654999,7514800,32.654999
"57",32.650002,34.735001,32.650002,34.365002,8123000,34.365002
"58",34.799999,35.564999,34.73,35.115002,9026400,35.115002
"59",34.93,35.48,34.790001,35.415001,5187000,35.415001
"60",35.375,35.73,35.075001,35.544998,4821200,35.544998
"61",35.459999,36.165001,35.380001,36.075001,3667600,36.075001
"62",35.990002,36.080002,35.595001,35.630001,3007400,35.630001
"63",35.654999,36.145,35.654999,35.834999,3305000,35.834999
"64",35.845001,35.935001,34.599998,34.884998,5847000,34.884998
