"","BIIB.Open","BIIB.High","BIIB.Low","BIIB.Close","BIIB.Volume","BIIB.Adjusted"
"1",285.820007,293.200012,284.859985,291.709991,1763400,291.709991
"2",291.589996,296.829987,290.040009,294.049988,1273500,294.049988
"3",294.809998,296.320007,292.220001,293.570007,1318600,293.570007
"4",294.589996,296.410004,292.390015,295,1082500,295
"5",295.390015,300,294.410004,299.019989,1430500,299.019989
"6",300.420013,301.420013,296.429993,297.790009,1408400,297.790009
"7",296.950012,297.899994,285,287.109985,2450500,287.109985
"8",286.609985,288.98999,285.040009,287.769989,1354700,287.769989
"9",288.070007,289.859985,284.25,284.75,1711500,284.75
"10",284.279999,286.350006,281.079987,283.01001,1971100,283.01001
"11",284.790009,286.160004,282.869995,283.609985,1079700,283.609985
"12",282.73999,284.839996,279.230011,280.350006,1421500,280.350006
"13",282.070007,282.559998,279.410004,280.660004,1979100,280.660004
"14",280.350006,282.720001,275.48999,276.019989,1858000,276.019989
"15",275.73999,278.399994,271.470001,273.820007,1975200,273.820007
"16",274.540009,277.779999,271.429993,273.23999,2506100,273.23999
"17",278,285.779999,277,278.890015,2419000,278.890015
"18",280.459991,281.980011,277.290009,278.209991,1353400,278.209991
"19",278.269989,278.899994,274.220001,276.059998,1300300,276.059998
"20",275.01001,278,271.899994,277.23999,1856400,277.23999
"21",278.980011,282.070007,277.51001,281.690002,1699500,281.690002
"22",263.76001,264.519989,260.5,264.230011,2733900,264.230011
"23",264.980011,266,261.76001,264.670013,1537500,264.670013
"24",264.459991,265.730011,263.179993,264.910004,1619100,264.910004
"25",269.470001,269.670013,264.559998,266.109985,1546900,266.109985
"26",265.429993,269.01001,265.429993,268.73999,1922600,268.73999
"27",268.23999,271.160004,267.73999,270.440002,1399100,270.440002
"28",270.679993,276.410004,269.980011,274.76001,1648900,274.76001
"29",276.279999,279.76001,275.160004,278.910004,1795500,278.910004
"30",279.859985,286.059998,279.01001,285.140015,2404500,285.140015
"31",284.570007,292.890015,284.23999,292.640015,2601200,292.640015
"32",292.5,293.980011,287.76001,290.130005,1834900,290.130005
"33",290,291.899994,287.76001,288.940002,2022900,288.940002
"34",289.160004,289.910004,286.220001,286.899994,1471200,286.899994
"35",287.75,289.429993,285.220001,287.630005,1046000,287.630005
"36",287.75,288.109985,283.359985,284.75,1418900,284.75
"37",285.01001,285.809998,266,285.130005,1768500,285.130005
"38",285.390015,291.25,284.269989,291.130005,1295100,291.130005
"39",290.130005,291.420013,287.190002,288.600006,1251300,288.600006
"40",290.070007,294.170013,289.140015,293.26001,1319700,293.26001
"41",293.640015,296.929993,291,293.589996,1282400,293.589996
"42",293.119995,298,293.119995,297.850006,1170700,297.850006
"43",297.089996,297.899994,294.399994,295.660004,1395600,295.660004
"44",293.890015,293.890015,290.670013,291.100006,1298400,291.100006
"45",290.179993,294.820007,288.720001,294.089996,1243600,294.089996
"46",291.269989,294.920013,290.440002,293.059998,1281200,293.059998
"47",293.309998,293.899994,289.450012,292.23999,1303700,292.23999
"48",291.549988,293.850006,290.149994,292.950012,1291500,292.950012
"49",292.269989,293.390015,290.179993,292.470001,797700,292.470001
"50",293.140015,294.559998,289.390015,292.640015,1376000,292.640015
"51",285.01001,285.429993,275.700012,278.959991,3870900,278.959991
"52",276.070007,280.609985,274.609985,276.089996,3140200,276.089996
"53",276.859985,278.609985,272.970001,274.799988,1666900,274.799988
"54",276.399994,284.709991,274.540009,275.790009,3841600,275.790009
"55",276.429993,278.540009,274.929993,277.869995,1333600,277.869995
"56",277.029999,279.390015,274.690002,275.410004,1605000,275.410004
"57",277.079987,278.100006,272.869995,274.820007,1368200,274.820007
"58",272.549988,276.709991,272.339996,275.230011,1132900,275.230011
"59",275.589996,276.709991,272.5,274.109985,1149400,274.109985
"60",273.910004,273.910004,268.200012,268.529999,2632200,268.529999
"61",268.690002,270.070007,267.73999,269.059998,1448700,269.059998
"62",269.299988,275,268.019989,273.420013,2747400,273.420013
"63",274.079987,274.790009,271.290009,272.690002,1589000,272.690002
"64",273,274.730011,272.570007,274.23999,1086200,274.23999
"65",274.480011,274.649994,270.070007,270.440002,1340200,270.440002
"66",270.140015,272.600006,269.339996,270.940002,1622600,270.940002
"67",270.600006,270.839996,267.320007,268.730011,1677600,268.730011
"68",268.679993,270.399994,268.140015,269.299988,861000,269.299988
"69",269.079987,270,267.100006,268.649994,1247200,268.649994
"70",270.369995,270.640015,267.769989,268.920013,1058100,268.920013
"71",269.089996,273.140015,267.51001,271.880005,1173800,271.880005
"72",271.5,274.640015,271,274.049988,1025800,274.049988
"73",273.929993,275.179993,269.720001,271.160004,1379500,271.160004
"74",272.720001,274,271.079987,271.940002,1190300,271.940002
"75",272.200012,273.630005,270.779999,272.459991,981200,272.459991
"76",272.720001,274.899994,271.619995,272.940002,1127600,272.940002
"77",274.929993,278.690002,274.609985,276.859985,2007300,276.859985
"78",290,291.899994,285.899994,286.890015,3126300,286.890015
"79",285.279999,286.619995,279.570007,279.980011,2146700,279.980011
"80",279.570007,281.220001,275.600006,276.570007,2268500,276.570007
"81",277.089996,277.279999,271.059998,271.209991,1803400,271.209991
"82",271.350006,273.809998,270.5,271.029999,1151100,271.029999
"83",271.51001,273.25,269.720001,271.339996,1384300,271.339996
"84",271.440002,272.5,270.089996,271.359985,929000,271.359985
"85",271.130005,272.529999,267.609985,268.600006,1143400,268.600006
"86",268.320007,269.5,261,262.149994,1914100,262.149994
"87",262.519989,263.600006,259.98999,260.420013,1985500,260.420013
"88",260.98999,263.660004,260.279999,261.279999,1159200,261.279999
"89",260.630005,262.299988,257.019989,257.920013,1503600,257.920013
"90",257.269989,258.190002,252.690002,254.149994,1850600,254.149994
"91",255.410004,256.299988,253.300003,254.839996,1119800,254.839996
"92",253.970001,259.950012,253.970001,258.529999,1653600,258.529999
"93",259.440002,260.619995,256.600006,257.640015,1049700,257.640015
"94",255.380005,256.140015,251.169998,251.339996,1413500,251.339996
"95",252.229996,254.149994,251.589996,252.809998,1242600,252.809998
"96",253.410004,254.820007,249.710007,250.089996,1989800,250.089996
"97",250.690002,251,249.009995,250.039993,1331200,250.039993
"98",250.970001,250.970001,247.970001,248.100006,1006000,248.100006
"99",249.300003,254.369995,246.119995,253.330002,2225100,253.330002
"100",252.649994,254.449997,252,252.970001,1552300,252.970001
"101",252.589996,253.619995,250.509995,250.800003,833100,250.800003
"102",250.399994,251.550003,246.339996,246.539993,1366800,246.539993
"103",247.309998,247.979996,244.279999,247.770004,1893500,247.770004
"104",250.029999,253.110001,248.610001,252.380005,1548100,252.380005
"105",252.979996,258.26001,252.139999,256.649994,1731800,256.649994
"106",257.369995,259.23999,255.729996,258.5,1579600,258.5
"107",257.059998,258.299988,254.960007,257.160004,1080700,257.160004
"108",257.709991,258.570007,255.110001,255.429993,1153200,255.429993
"109",255.25,258.109985,254.520004,257.170013,1141200,257.170013
"110",256.309998,262.369995,254.869995,259.890015,1575900,259.890015
"111",260.230011,265.480011,259.570007,262.109985,1576700,262.109985
"112",261.970001,262.119995,259.549988,261.420013,1312400,261.420013
"113",255.559998,257.380005,250.880005,253.369995,3067600,253.369995
"114",253.600006,255.759995,253.149994,255.020004,1443700,255.020004
"115",255.490005,256.769989,250.889999,251.740005,2427200,251.740005
"116",253.229996,262.279999,252.940002,260.540009,1956200,260.540009
"117",260.820007,269,259.609985,266,2250200,266
"118",266.109985,279.809998,266.109985,278.600006,3158500,278.600006
"119",279.859985,284.209991,278.299988,280.570007,2838900,280.570007
"120",282.329987,284.459991,277.579987,280.320007,2439600,280.320007
"121",281.73999,282.890015,277.640015,279.809998,1279500,279.809998
"122",279,279.399994,271.200012,271.25,1731500,271.25
"123",271.25,275.51001,269.089996,274.640015,1171900,274.640015
"124",275,275.200012,268.910004,271.880005,1035300,271.880005
"125",273.700012,276.089996,269.579987,271.359985,1373000,271.359985
"126",272.619995,275.109985,272.119995,272.519989,612500,272.519989
"127",272.970001,278.369995,272.609985,277.709991,1326300,277.709991
"128",275.570007,276.890015,271,271.959991,1309700,271.959991
"129",271.899994,274.859985,270.799988,273.929993,906300,273.929993
"130",273.5,274.079987,270.309998,273.579987,942200,273.579987
"131",273.100006,274.100006,269.5,271.76001,922700,271.76001
"132",274.149994,276.450012,272.329987,275.079987,1406500,275.079987
"133",276.040009,280.75,272.609985,278.359985,1422500,278.359985
"134",279.73999,281.339996,277.769989,280.809998,921000,280.809998
"135",280.100006,284.309998,279.51001,282.649994,1531200,282.649994
"136",283.01001,283.679993,280.309998,282.600006,1126700,282.600006
"137",283.519989,285.839996,280.51001,281.950012,1103500,281.950012
"138",282.179993,284.320007,280.75,281.440002,1049200,281.440002
"139",280.25,283,280.019989,282.920013,985400,282.920013
"140",283,285.350006,280.01001,284.700012,1476200,284.700012
"141",290.01001,291.910004,280.23999,282.959991,3110000,282.959991
"142",288.549988,296.950012,285.019989,295.609985,3014600,295.609985
"143",295.140015,296.799988,285.029999,287.950012,1721500,287.950012
"144",287.480011,289.299988,284,287.440002,869200,287.440002
"145",287.600006,290.959991,287.589996,289.589996,1272200,289.589996
"146",290.799988,291.859985,289.549988,291.149994,1195400,291.149994
"147",290.149994,291.619995,287.170013,288,1279400,288
"148",288.850006,289.01001,285,286.089996,882800,286.089996
"149",286.890015,288.630005,284.450012,288.269989,746000,288.269989
"150",289.179993,291.170013,288.170013,291.01001,1035600,291.01001
"151",291.179993,291.700012,288.5,289.26001,931200,289.26001
"152",285.790009,289.470001,285.730011,288.73999,777500,288.73999
"153",286.720001,287.109985,280.880005,281.149994,1378000,281.149994
"154",282.399994,285.899994,281.290009,283.679993,727200,283.679993
"155",285.079987,286.579987,284,286.049988,786800,286.049988
"156",287.100006,289.709991,285.51001,287.920013,861700,287.920013
"157",291.160004,296.910004,290.290009,294.079987,1684300,294.079987
"158",293.070007,294,284.290009,284.420013,1590600,284.420013
"159",283.309998,285.670013,281.649994,281.769989,814100,281.769989
"160",280.950012,284.049988,280.600006,283.149994,850300,283.149994
"161",284.130005,288.149994,283.109985,286.720001,945000,286.720001
"162",286,286,282.26001,282.640015,1047400,282.640015
"163",283.660004,285.799988,281.799988,285.450012,801500,285.450012
"164",287.309998,289.850006,284.890015,285.059998,900500,285.059998
"165",288.119995,295.5,287,292.299988,1447800,292.299988
"166",289.359985,293.799988,289.359985,293.579987,903300,293.579987
"167",291.459991,305.48999,291.459991,303.75,1916800,303.75
"168",304.589996,316.850006,304.190002,316.559998,2503600,316.559998
"169",317.160004,322.119995,313.679993,321.01001,2083900,321.01001
"170",318.630005,319.820007,312.540009,315.829987,1660500,315.829987
"171",317.480011,321.899994,314.279999,317.359985,1535300,317.359985
"172",317.359985,325.769989,315,323.899994,1571600,323.899994
"173",326.730011,329.839996,323.690002,326.329987,1429800,326.329987
"174",329.600006,329.950012,322.820007,326.540009,1301300,326.540009
"175",326.820007,329.820007,324.440002,329.690002,1045600,329.690002
"176",329.570007,330,323.399994,324.049988,1160900,324.049988
"177",323.070007,326.200012,319.589996,323.660004,1136400,323.660004
"178",324.910004,325.98999,320.369995,321.26001,2235400,321.26001
"179",321.5,321.809998,317.600006,318.179993,1001800,318.179993
"180",318.429993,319.440002,316.459991,317.929993,779300,317.929993
"181",318.609985,321.600006,316.519989,319,849500,319
"182",316.390015,317.959991,314.440002,315.029999,934700,315.029999
"183",311.299988,319.339996,311.299988,318.459991,988100,318.459991
"184",318.279999,321.5,316.959991,317.51001,1284600,317.51001
"185",318.209991,320.5,314,317.059998,944300,317.059998
"186",318.570007,318.75,311.730011,312.799988,1086400,312.799988
"187",312.75,314.570007,308.880005,310,957200,310
"188",309.089996,313.600006,303,313.119995,1647600,313.119995
"189",315.190002,317.130005,313.119995,316.170013,1674000,316.170013
"190",317.109985,317.799988,313.910004,317.390015,850900,317.390015
"191",313.570007,316.549988,306,314.920013,1067600,314.920013
"192",320.720001,330.980011,320.279999,326.73999,2159800,326.73999
"193",325.209991,328.5,324.600006,327.480011,1039000,327.480011
"194",327.459991,332.23999,326.329987,329.01001,902400,329.01001
"195",328.549988,332.869995,328.25,332.829987,1004000,332.829987
"196",332.119995,333.329987,329.269989,333.190002,938900,333.190002
"197",332.929993,334.320007,330.040009,333.309998,1120200,333.309998
"198",333.26001,338.940002,332.070007,337.640015,1360300,337.640015
"199",337.730011,344.369995,333.170013,335.679993,1176600,335.679993
"200",343.119995,348.649994,339.690002,344.470001,1616300,344.470001
"201",346.559998,348.839996,343.540009,344.579987,1246700,344.579987
"202",343.399994,346.109985,338.109985,342.420013,1291800,342.420013
"203",343,343.309998,333.929993,338.100006,1909300,338.100006
"204",335.25,335.51001,327.829987,328.549988,1885200,328.549988
"205",319,321.109985,301.809998,315.730011,5849300,315.730011
"206",317.959991,320.25,313,314.640015,1879900,314.640015
"207",310,313.570007,305.119995,307.640015,1905300,307.640015
"208",307.450012,309.600006,305,307.73999,1679800,307.73999
"209",307.73999,317.670013,307.200012,315.799988,1469600,315.799988
"210",315.179993,316.859985,310.5,311.660004,1201600,311.660004
"211",312.75,319.950012,311.570007,315.730011,1386200,315.730011
"212",316,319.220001,308.589996,309.399994,1570900,309.399994
