"","DGX.Open","DGX.High","DGX.Low","DGX.Close","DGX.Volume","DGX.Adjusted"
"1",92.760002,93.349998,92.029999,92.449997,1011100,83.646454
"2",92.910004,93.370003,92.510002,93.07,921600,84.207428
"3",92.699997,93.029999,91.870003,92.690002,1089000,83.863625
"4",92.120003,92.709999,91.989998,92.019997,784500,83.663574
"5",92.059998,92.68,91.580002,92.43,954800,84.036362
"6",92.260002,93.059998,91.790001,93,1038600,84.554604
"7",93.080002,93.839996,92.440002,93.269997,720200,84.800064
"8",92.940002,93.18,92.349998,93.120003,686100,84.663696
"9",93.290001,93.68,92.43,92.699997,663200,84.281837
"10",92.589996,92.660004,91.690002,92.260002,767700,83.88179
"11",92.709999,93.370003,92.150002,92.959999,803500,84.518227
"12",92.709999,93.029999,91.459999,91.529999,1257900,83.218086
"13",91.660004,91.790001,90.470001,91,1167700,82.736221
"14",91.050003,91.209999,90.5,91.07,1207800,82.799866
"15",91.419998,91.449997,90.910004,91.339996,929100,83.045334
"16",91.449997,92.440002,91.379997,91.879997,1008000,83.536308
"17",91.610001,95.139999,90.559998,92.889999,1672300,84.454575
"18",93.519997,93.580002,92.150002,92.720001,1374700,84.300018
"19",92.57,92.57,90.129997,90.540001,1093800,82.317993
"20",90.68,91.949997,90.239998,91.919998,1384300,83.57267
"21",92.129997,92.599998,91.959999,92.550003,1266700,84.145462
"22",92.300003,92.989998,91.93,92.480003,1050400,84.081818
"23",92.949997,93.43,92.389999,93.309998,745700,84.836449
"24",93.290001,93.290001,92.360001,92.779999,743700,84.354576
"25",92.610001,92.959999,92.089996,92.620003,816700,84.209114
"26",92.589996,93.260002,92.32,93.050003,623800,84.600075
"27",93.050003,94.029999,92.730003,93.769997,760100,85.254662
"28",93.839996,94.220001,93.449997,93.559998,877700,85.063736
"29",93.610001,94.089996,93.610001,93.959999,650600,85.427422
"30",93.760002,94.669998,93.760002,94.610001,766000,86.018387
"31",94.260002,95.510002,94.260002,95.389999,1077400,86.727554
"32",95.580002,96.449997,94.900002,95.300003,761700,86.645744
"33",94.800003,95.660004,94.559998,95.639999,978700,86.954849
"34",95.480003,96.230003,95.360001,95.870003,638300,87.163956
"35",95.540001,95.959999,95.339996,95.599998,781500,86.918488
"36",95.699997,96.080002,95.269997,95.610001,705200,86.927567
"37",95.720001,97.349998,95.489998,97.309998,807100,88.47319
"38",97.389999,97.610001,97.150002,97.470001,516500,88.618675
"39",97.199997,97.830002,97.129997,97.440002,694900,88.5914
"40",97.769997,98.75,97.480003,98.400002,837000,89.464218
"41",98.25,98.610001,97.849998,98.269997,608800,89.346039
"42",98.290001,98.650002,98,98.519997,510100,89.573311
"43",98.059998,98.599998,97.779999,98.370003,688300,89.436951
"44",97.949997,98.589996,97.550003,98.169998,689700,89.255089
