"","ICE.Open","ICE.High","ICE.Low","ICE.Close","ICE.Volume","ICE.Adjusted"
"918",105.889999,105.889999,104.010002,104.440002,3434800,102.956001
"919",104.5,105.419998,103.599998,105,1944400,103.508041
"920",105.169998,105.470001,104.43,105.010002,2968300,103.517891
"921",105.730003,105.849998,104.839996,105.559998,2053100,104.060089
"922",105.75,106.629997,105.459999,106.230003,2321500,104.720558
"923",105.900002,106.550003,105.760002,106.519997,2670700,105.006439
"924",106.010002,106.989998,105.669998,106.330002,3027800,104.819138
"925",106.760002,106.870003,102.650002,103.220001,4110300,101.753326
"926",103.330002,103.720001,98.639999,100.080002,4906700,98.657951
"927",99.330002,99.650002,98.370003,98.82,3258100,97.415848
"928",99.779999,102.089996,99.32,101.209999,2718400,99.771889
"929",99.839996,100.379997,98.190002,98.25,5602700,96.853943
"930",98.690002,99.260002,97.510002,98.230003,3219900,96.834236
"931",99.370003,100.860001,98.900002,100.459999,2994400,99.032539
"932",100.589996,101.349998,100.330002,100.529999,3270600,99.398376
"933",101,102.470001,100.739998,100.910004,2258100,99.774109
"934",99.860001,100.400002,99.239998,99.959999,2520700,98.834793
"935",100,100.599998,98.760002,99.209999,4798600,98.093239
"936",97.769997,99.339996,97.639999,99.269997,2923300,98.152557
"937",99.370003,100,97.620003,98.800003,2522500,97.687851
"938",98.949997,99.720001,96.790001,97,2456300,95.908112
"939",97.209999,98.699997,96.669998,98.330002,2531000,97.223145
"940",97.470001,100.620003,97.440002,100.559998,2512400,99.42804
"941",101.279999,102.309998,101.110001,101.230003,1855900,100.0905
"942",101.410004,101.779999,96.900002,99.169998,4536100,98.05368
"943",99.540001,101.150002,99.169998,100.050003,2344600,98.923782
"944",101.089996,102.110001,100.529999,101.43,2239200,100.288246
"945",100.230003,101.849998,100.190002,101.339996,1925400,100.199257
"946",101.779999,102.07,100.769997,101.809998,1635700,100.663963
"947",102.489998,102.489998,100.599998,101.010002,2470300,99.872978
"948",101.480003,102.160004,100.290001,100.849998,2383200,99.714775
"949",101.290001,102.269997,100.940002,101.440002,2251500,100.298141
"950",101.970001,102.290001,101.160004,101.389999,1910900,100.248695
"951",101.68,103.110001,101.550003,102.959999,3357400,101.801025
"952",103,103.879997,101.980003,102.650002,3454100,101.494514
"953",102.870003,103.449997,101.599998,102.309998,2602900,101.15834
"954",101.230003,102.25,100.900002,102.07,2144700,100.921036
"955",102.470001,102.629997,101.169998,101.300003,2410600,100.159714
"956",101.650002,101.669998,98.32,98.449997,2806000,97.341782
"957",98.940002,100.970001,98.839996,99.949997,2026500,98.824898
"958",99.82,100.760002,99.07,99.470001,1847900,98.350311
"959",99.599998,100.209999,99.120003,99.360001,1973800,98.241547
"960",100,100.080002,98.75,98.949997,2039900,97.836159
"961",98.050003,98.25,97.18,97.760002,2552100,96.659561
"962",97.959999,98.639999,97.480003,97.559998,1922700,96.4618
"963",95.849998,96.110001,93.639999,93.769997,3170400,92.71447
"964",93.360001,96.330002,92.410004,95.699997,3823000,94.622742
"965",94.949997,95.870003,93.360001,94.400002,3520600,93.337379
"966",95.870003,97.339996,93.970001,94.660004,3016600,93.59446
"967",95.959999,97.860001,95.300003,96.059998,2251200,94.978691
"968",97.529999,100.629997,96.57,98.360001,2989700,97.252808
"969",101.910004,102.330002,100.440002,100.959999,6270000,99.82354
"970",101.190002,101.489998,98.57,100.660004,2542300,99.526924
"971",105.040001,105.040001,97.900002,98.220001,5231500,97.114388
"972",98.019997,98.309998,96.139999,98,3570100,96.896858
"973",99.080002,100.860001,99.07,99.980003,2352600,98.854576
"974",99.779999,99.779999,97.580002,98.309998,2104200,97.203362
"975",98.720001,99.68,98.400002,99.349998,1446000,98.231667
"976",100.139999,100.360001,98.900002,99.709999,1996700,98.587608
"977",99.290001,100.470001,98.75,100.029999,2056500,98.903999
"978",99.879997,100.68,99.220001,99.459999,1954300,98.340424
"979",101,101.760002,99.519997,100.900002,2278900,99.764214
"980",100.889999,101.790001,100.889999,101.059998,3639400,99.922409
"981",101.5,103.150002,101.269997,102.360001,2131300,101.207779
"982",102.610001,103.959999,102.099998,103.07,2470400,101.909782
"983",103.449997,104.129997,102.5,103.93,1930100,102.760101
"984",104.129997,105.029999,103.949997,104.989998,1593300,103.808167
"985",104.970001,105.650002,104.550003,105.510002,4146500,104.322319
"986",106.209999,107.370003,105.639999,107.160004,4498900,105.953743
"987",106.839996,107.209999,105.650002,106.559998,2627300,105.360504
"988",106.389999,108.040001,105.760002,107.459999,4226400,106.250374
"989",108.029999,109.849998,108.029999,109.230003,2376200,108.000458
"990",109.18,110.610001,109.040001,110.279999,2293600,109.03862
"991",110.010002,110.400002,109.199997,110.059998,2451100,108.821106
"992",109.839996,110.709999,109.050003,110.169998,2217300,108.929863
"993",109.779999,110.379997,108.82,109.239998,2193800,108.01033
"994",108.809998,109.720001,108.120003,108.82,1985300,107.595062
"995",109.440002,110.190002,107.660004,107.709999,1984500,106.497551
"996",108.43,111.050003,108.050003,110.980003,3565700,110.037231
"997",111.279999,112.279999,110.699997,111.309998,2559400,110.364418
"998",111.989998,113.010002,111.559998,112.790001,2640400,111.831856
"999",112.650002,113.339996,111.849998,112.830002,4366200,111.871521
"1000",112.099998,112.910004,110.529999,112.540001,2256500,111.583977
"1001",112.550003,113.309998,112.099998,113.160004,1924500,112.198708
"1002",113.599998,114.290001,112.110001,112.18,1185900,111.227043
"1003",111.959999,112.949997,111.809998,112.690002,511200,111.732712
"1004",113.559998,113.709999,112.629997,113.589996,1303500,112.625053
"1005",114.129997,114.129997,112.839996,112.900002,1427600,111.940926
"1006",113.43,113.620003,112.870003,113.150002,1080300,112.188797
"1007",113.239998,115.400002,113.010002,115.290001,1474300,114.310616
