"","DIS.Open","DIS.High","DIS.Low","DIS.Close","DIS.Volume","DIS.Adjusted"
"1",105.300003,106.900002,105.209999,106.080002,8884300,101.584358
"2",106.639999,107.5,106.25,107.440002,8322000,102.886711
"3",107.169998,107.620003,106.790001,107.379997,6303000,102.829262
"4",108.019997,109.349998,107.75,108.980003,9551300,104.36145
"5",108.580002,108.830002,108.110001,108.360001,6195200,103.767738
"6",107.900002,108.82,107.349998,108.379997,7901900,103.786888
"7",108.540001,109.489998,108.379997,109.440002,7616800,104.801956
"8",108.120003,109,107.43,107.529999,8218900,102.9729
"9",107.160004,108.349998,106.900002,108.059998,6489000,103.480438
"10",107.910004,108.93,107.650002,107.970001,7586500,103.394249
"11",106.93,108.400002,106.809998,108.160004,7162900,103.576218
"12",107.919998,108.010002,107.080002,107.279999,5350200,102.733505
"13",107.349998,107.82,107.18,107.660004,5649000,103.097397
"14",107.339996,107.68,106.57,107.120003,5716600,102.580276
"15",107.199997,108.059998,107.080002,107.900002,5456100,103.327232
"16",108.230003,108.419998,108,108.040001,6180200,103.461288
"17",108.209999,108.620003,107.980003,108.059998,6088100,103.480438
"18",108.489998,109.400002,108.150002,109.300003,5578300,104.667892
"19",109.860001,111.050003,108.959999,110.940002,13793600,106.23838
"20",110.589996,110.800003,109.980003,110.650002,8485800,105.960678
"21",110.709999,111.989998,110.68,111.300003,10501300,106.583138
"22",111.209999,111.540001,110.550003,110.610001,6515900,105.922379
"23",110.900002,111.150002,110.209999,110.300003,7923400,105.625526
"24",109.919998,110.150002,109.300003,109.57,6896300,104.926453
"25",109.650002,109.730003,108.769997,109,10184800,104.380608
"26",109.559998,111.419998,108.980003,109,13615500,104.380608
"27",109,109.849998,109,109.489998,6369700,104.849838
"28",109.349998,109.800003,108.580002,109.260002,7671800,104.629601
"29",108.949997,109.900002,108.900002,109.650002,5653200,105.003059
"30",109.800003,110.330002,109.529999,110.330002,4768700,105.654243
"31",109.910004,110.68,109.800003,110.18,7087100,105.510597
"32",110.339996,110.870003,110.089996,110.709999,7179600,106.018135
"33",110.239998,110.5,109.519997,110.059998,6349200,105.395668
"34",109.940002,110.209999,109.800003,110.010002,5432700,105.347816
"35",109.690002,110.279999,109.529999,110.120003,5478400,105.45314
"36",110.300003,110.489998,109.589996,109.730003,5470400,105.079666
"37",109.620003,110.32,109.099998,110.32,4786800,105.644669
"38",109.93,110.470001,109.830002,110.230003,3547700,105.558479
"39",110,110.400002,109.830002,110.089996,4766000,105.424408
"40",110.660004,111.800003,110.660004,111.040001,7418100,106.334152
"41",111,111.209999,110.449997,110.589996,4715600,105.903221
"42",110.589996,111.5,110.040001,111.239998,5837900,106.525665
"43",110.769997,110.980003,110.089996,110.669998,4983200,105.979828
"44",110.699997,110.93,110.160004,110.860001,5114400,106.161774
"45",110.870003,111.32,110.660004,110.839996,4929900,106.142624
"46",110.900002,111.32,110.690002,111.029999,4005700,106.324577
"47",111.400002,111.5,110.690002,110.919998,4027400,106.219238
"48",110.919998,111.68,110.82,111.519997,5213600,106.793808
"49",111.730003,112.889999,111.720001,112.309998,7273500,107.550316
"50",112.43,112.449997,111.150002,111.870003,5319500,107.128975
"51",112.18,112.32,111.400002,111.709999,4409400,106.975746
"52",111.870003,112.089996,111.18,111.760002,9061200,107.023643
"53",112.07,113.160004,112.050003,112.709999,8156300,107.933372
"54",112.970001,113.099998,111.540001,111.75,7109800,107.014061
"55",111.849998,112.18,111.349998,112.080002,5044700,107.330078
"56",111.709999,112.980003,111.660004,112.239998,8307900,107.483292
"57",112.400002,112.580002,111.68,112.139999,4707300,107.387535
"58",111.809998,112.550003,111.449997,112.379997,4469800,107.617363
"59",112.599998,113.239998,112.019997,113.050003,6280900,108.258972
"60",112.660004,112.940002,112.309998,112.529999,3781200,107.761002
"61",112.529999,113.300003,112.279999,113.18,4192800,108.383453
"62",113,113.709999,112.949997,113.389999,4617400,108.584564
"63",113.18,113.650002,112.43,113.199997,4643300,108.402603
"64",113.150002,113.550003,112.830002,113.040001,3386100,108.24939
"65",113.580002,113.839996,112.790001,113,4795100,108.21109
"66",112.849998,113.419998,112.389999,113.050003,4744000,108.258972
"67",112.82,113.279999,112.529999,112.580002,4300700,107.808884
"68",112.800003,112.889999,112.040001,112.43,4053600,107.665245
"69",113.68,113.830002,112.589996,113.07,5230800,108.278114
"70",113.029999,113.279999,112.760002,113.040001,4086300,108.24939
"71",113.040001,114.25,112.989998,113.199997,6530800,108.402603
"72",113.330002,113.940002,113.220001,113.779999,5120200,108.958023
"73",113.480003,114.75,113,114.190002,6191100,109.350655
"74",114.559998,115,113.540001,113.730003,5303400,108.910156
"75",114.169998,115.050003,113.870003,114.790001,5279300,109.925224
"76",114.379997,115.120003,114.269997,114.440002,6654500,109.590057
"77",115.260002,115.379997,113.660004,113.699997,7294600,108.881424
"78",113.730003,115.519997,113.68,115.18,6918300,110.298698
"79",115.400002,115.959999,114.860001,115.580002,4809800,110.68174
"80",115.800003,116.099998,115.389999,115.839996,3910800,110.930725
"81",115.870003,115.900002,115.239998,115.599998,3987600,110.700897
"82",115.589996,115.610001,114.720001,114.730003,4963300,109.867767
"83",114.870003,114.989998,113.68,114.370003,6604600,109.523026
"84",114.029999,114.089996,111.18,111.620003,11521200,106.889572
"85",110.580002,111.300003,109.059998,111.169998,10691200,106.458641
"86",111.489998,112.150002,110.919998,111.989998,5871400,107.243881
"87",112.389999,112.389999,111,111.419998,5980100,106.698044
"88",111.550003,112.150002,110.349998,112.07,9337400,107.320496
"89",109,109.660004,108.129997,109.660004,17061100,105.012642
"90",109.739998,110.010002,108.5,109.580002,8021300,104.936028
"91",109.800003,109.889999,109.269997,109.690002,5067700,105.041359
"92",109.730003,110.080002,109.120003,109.129997,6241300,104.505104
"93",109.129997,109.230003,107.82,107.980003,10047100,103.403824
"94",107.980003,107.980003,105.230003,106.309998,12763200,101.804596
"95",105.980003,107.309998,105.980003,106.68,6532200,102.15892
"96",106.760002,107.860001,106.699997,107.519997,6336700,102.96331
"97",107.650002,108.199997,107.410004,107.629997,5487200,103.068672
"98",107.68,107.800003,106.910004,107.019997,7542600,102.48452
"99",107.150002,107.830002,106.93,107.709999,4366700,103.145271
"100",108.129997,108.129997,106.779999,107.269997,8030400,102.723915
"101",107.709999,108.489998,107.480003,108.410004,6236800,103.815613
"102",108.489998,108.599998,107.949997,108.339996,4813400,103.748581
