"","FDX.Open","FDX.High","FDX.Low","FDX.Close","FDX.Volume","FDX.Adjusted"
"1",186.570007,189.669998,186.570007,187.699997,1708400,177.142288
"2",188.5,189.399994,187.360001,188.710007,1290300,178.095505
"3",188.710007,190.369995,187.949997,188.410004,1207800,177.812347
"4",188.110001,191.740005,187.899994,190.25,1658400,179.548859
"5",189.580002,190.529999,189.009995,189.690002,1279200,179.020325
"6",189.059998,189.899994,188.350006,188.419998,1358100,177.821793
"7",188.25,189.440002,188,189.240005,1045300,178.595688
"8",188.660004,188.869995,186.339996,187.380005,1177900,176.840332
"9",187.789993,188.699997,186.679993,187.009995,1140600,176.491104
"10",186.119995,186.740005,184.440002,186.050003,1343800,175.585083
"11",186.440002,187.979996,185.75,187.229996,903000,176.698715
"12",187.270004,188.100006,185.679993,186.169998,1061300,175.698364
"13",186.020004,187,184.369995,185.729996,2192900,175.283096
"14",185.809998,186.710007,184.300003,185.460007,1070500,175.028305
"15",185.509995,191.990005,185.509995,191.610001,2138500,180.832352
"16",191.600006,194.020004,190.610001,192.949997,1807000,182.097015
"17",192.309998,192.940002,191.139999,192.580002,1067600,181.747787
"18",192.770004,196.419998,191.800003,195.919998,1991400,184.899948
"19",195.479996,195.479996,191.179993,193.25,2304100,182.380157
"20",190.279999,190.479996,186.160004,189.110001,2952300,178.472961
"21",189.279999,189.300003,184.710007,186.270004,2076100,175.792725
"22",186.119995,186.919998,183.869995,184.610001,1461900,174.226105
"23",186.089996,188.940002,185.389999,188.210007,1356300,177.623611
"24",190.429993,190.75,187.729996,188.199997,1352500,177.614212
"25",188.199997,188.669998,187.190002,188.020004,1158500,177.444275
"26",187.75,188.279999,186.809998,187.960007,955600,177.38765
"27",187.960007,190.119995,187.830002,188.570007,1347800,177.963364
"28",188.779999,191,188.309998,190.860001,1188300,180.124573
"29",191.050003,193.149994,190.630005,192.570007,1068300,181.738373
"30",192.089996,193.070007,191.330002,192.460007,945300,181.634567
"31",192.770004,194.789993,192.220001,194.669998,1308700,183.7202
"32",194.380005,194.720001,192.160004,193.350006,1143800,182.474533
"33",192.800003,193.699997,192.300003,193.699997,808100,182.80481
"34",194.369995,195.570007,193.759995,195.360001,1269600,184.371429
"35",194.419998,194.5,192.610001,193.830002,2126100,182.927475
"36",194,194.5,190.710007,191.179993,1806500,180.426529
"37",190.740005,193.110001,190.119995,193.110001,2209900,182.247986
"38",192.970001,194.429993,191.770004,194.369995,1777000,183.437119
"39",194.470001,195.399994,192.910004,192.979996,1788200,182.12529
"40",194.889999,198.600006,194.889999,197.419998,2212700,186.315567
"41",196.979996,196.990005,194.229996,194.710007,1786400,183.757996
"42",194.539993,195.289993,193.960007,194.350006,819900,183.418259
"43",194,195.429993,193.339996,193.949997,925100,183.040741
"44",193.850006,194.600006,192.369995,192.910004,1217600,182.059265
"45",193.110001,193.839996,192.039993,192.919998,1206800,182.068665
"46",192.699997,192.899994,189.899994,191.309998,1406200,180.924377
"47",192.449997,193.360001,190.389999,192.149994,1226600,181.718781
"48",191.869995,193.240005,191.389999,193.119995,1283000,182.636108
"49",192.899994,193.029999,190.979996,191.380005,1352200,180.99057
"50",191.949997,194.259995,191.5,193.259995,1412100,182.768524
"51",193.389999,194,192.440002,193.110001,1244000,182.626648
"52",193.889999,196.089996,192.380005,194.589996,2390700,184.026291
"53",195.050003,195.509995,192.179993,192.270004,2189300,181.83226
