"","VRTX.Open","VRTX.High","VRTX.Low","VRTX.Close","VRTX.Volume","VRTX.Adjusted"
"1",74.43,74.989998,73.339996,74.889999,1761900,74.889999
"2",75.220001,78.089996,74.870003,77.050003,1667700,77.050003
"3",77.150002,79.610001,76.150002,79.059998,2354700,79.059998
"4",78.940002,79.699997,77.559998,79.389999,1669800,79.389999
"5",79.800003,83.620003,77.089996,82.860001,4522500,82.860001
"6",82.599998,83.470001,81.690002,82.93,2109700,82.93
"7",83.169998,85.370003,80.379997,81.93,2785200,81.93
"8",81.610001,82.68,80.5,82.389999,1351700,82.389999
"9",82.400002,84.410004,81.709999,83.169998,1518600,83.169998
"10",82.349998,82.550003,79.779999,81.550003,1501500,81.550003
"11",81.879997,82.870003,81.580002,82.519997,1620700,82.519997
"12",82.550003,82.720001,80.510002,80.910004,1653000,80.910004
"13",81.470001,82.459999,80.889999,81.370003,1105600,81.370003
"14",81.089996,81.75,80.059998,81.400002,1124000,81.400002
"15",81.419998,82.599998,80.550003,82.239998,1366600,82.239998
"16",82.550003,85.620003,82.349998,85.190002,2654600,85.190002
"17",85.75,87.910004,84.050003,85.330002,2531700,85.330002
"18",85.620003,87.5,85.099998,87.370003,1861100,87.370003
"19",87.07,87.07,83.779999,84.379997,1805700,84.379997
"20",83.769997,85.949997,82.660004,85.870003,2418400,85.870003
"21",85.980003,86.43,84.330002,86.239998,1754700,86.239998
"22",85.989998,86.900002,85.160004,86.720001,1290800,86.720001
"23",87.099998,87.269997,85.769997,86.730003,1226800,86.730003
"24",86.220001,87.980003,85.730003,87.419998,1423800,87.419998
"25",87.290001,88.120003,86.07,86.839996,1285200,86.839996
"26",86.269997,87.800003,85.790001,87.720001,1310100,87.720001
"27",88.089996,89.419998,87.699997,89.269997,1520000,89.269997
"28",89.209999,89.639999,87.889999,88.150002,1633800,88.150002
"29",88.389999,88.639999,87.25,87.720001,1123500,87.720001
"30",87.889999,89.260002,87.339996,88.910004,2321600,88.910004
"31",88.690002,89.459999,88.339996,89.370003,1329800,89.370003
"32",89.620003,89.940002,87.050003,87.699997,1322200,87.699997
"33",87.690002,88.980003,86.900002,88.330002,1429000,88.330002
"34",88.339996,89,86.010002,86.550003,1665300,86.550003
"35",86.550003,87.330002,85.720001,85.790001,1263200,85.790001
"36",86.199997,86.629997,84.389999,85.730003,890800,85.730003
"37",85.730003,86.110001,84.620003,86.07,1406800,86.07
"38",86.190002,88.949997,85.839996,88.900002,2073700,88.900002
"39",89.169998,91.949997,88.790001,90.620003,2401900,90.620003
"40",91.800003,92.260002,89.830002,90.309998,2089400,90.309998
"41",89.940002,91.059998,89.57,89.889999,1060900,89.889999
"42",89.540001,90.389999,88.949997,90.190002,1422600,90.190002
"43",89.75,91.68,88.870003,90.910004,1587700,90.910004
"44",90.139999,91.699997,89.769997,91.32,1960700,91.32
"45",91.110001,93.400002,91.110001,92.18,1763100,92.18
"46",92.449997,93.599998,91.959999,93.57,1217100,93.57
"47",94.150002,94.220001,92.949997,93.980003,1533700,93.980003
"48",94.239998,94.239998,92.93,92.949997,897600,92.949997
"49",92.599998,93.089996,92.160004,92.739998,695200,92.739998
"50",93.209999,95,93.129997,94.57,1031400,94.57
"51",94.379997,94.860001,91.699997,92.360001,1449700,92.360001
"52",92.970001,93.5,91.760002,91.919998,2501000,91.919998
"53",92,92.610001,91.230003,91.309998,1382500,91.309998
"54",91.809998,91.830002,89.440002,89.5,1711800,89.5
"55",89.949997,90.25,89.059998,90.040001,1336700,90.040001
"56",90,90.75,88.940002,89.050003,1043600,89.050003
"57",89.739998,90.480003,89.120003,89.980003,1064400,89.980003
"58",89.279999,91.489998,88.900002,90.800003,1383200,90.800003
"59",90.309998,90.760002,89.220001,89.669998,1561400,89.669998
"60",106.029999,111.879997,106.029999,108.010002,13681500,108.010002
"61",107.879997,109.730003,106.519997,107.290001,3024400,107.290001
"62",107.889999,109.489998,106.540001,109.349998,2849200,109.349998
"63",109.010002,110.489998,107.309998,107.449997,2040800,107.449997
"64",107.239998,112.690002,107.239998,112.290001,2913800,112.290001
"65",112.349998,116.860001,111.220001,114.110001,4032600,114.110001
"66",114.110001,114.879997,113.169998,114.260002,1959300,114.260002
"67",114.349998,117.650002,114.07,115.879997,2108100,115.879997
"68",115.660004,116.660004,112.940002,114.059998,2116600,114.059998
"69",113.419998,114.349998,111.32,114.230003,1794300,114.230003
"70",114.230003,115.800003,113.690002,114.860001,1161900,114.860001
"71",114.699997,116.110001,113.220001,113.800003,1600000,113.800003
"72",114.389999,115.230003,113.949997,114.809998,1183700,114.809998
"73",114.620003,115.480003,113.830002,114.650002,1136500,114.650002
"74",115.550003,116.629997,114.290001,114.629997,1570400,114.629997
"75",115.199997,117.989998,114.129997,117.260002,1495500,117.260002
"76",117.169998,117.690002,115.919998,116.699997,2803900,116.699997
"77",117.660004,118.790001,117.309998,117.660004,1503000,117.660004
"78",117.790001,118.410004,116.919998,117.269997,1243000,117.269997
"79",118.080002,118.080002,116.07,116.339996,1759100,116.339996
"80",116,118.260002,116,117.419998,1424400,117.419998
"81",119.5,120.5,115.449997,118.300003,3387200,118.300003
"82",118.980003,120.730003,117.989998,120.620003,2108800,120.620003
"83",120.82,121.959999,116.400002,118.470001,2465400,118.470001
"84",118.519997,119.360001,117.879997,119.050003,1333300,119.050003
"85",119.589996,119.949997,115.910004,116.389999,1672700,116.389999
"86",116.540001,116.699997,113.660004,114.839996,2545100,114.839996
"87",114.559998,115.650002,113.809998,115.059998,1544400,115.059998
"88",115.5,117,114.379997,116.629997,1185200,116.629997
"89",116.550003,116.550003,114.220001,115.349998,1414000,115.349998
"90",115.410004,115.540001,113.839996,115.360001,1395100,115.360001
"91",115.120003,116.230003,113.839996,114.599998,986000,114.599998
"92",114.639999,116.349998,113.800003,116.230003,1100500,116.230003
"93",117.360001,118.129997,115.129997,118.089996,1320400,118.089996
"94",117.440002,117.879997,114.199997,114.379997,1717900,114.379997
"95",115.550003,118.610001,115.419998,117.93,2154800,117.93
"96",117.769997,118.82,117.099998,118.019997,1564700,118.019997
