"","FANG.Open","FANG.High","FANG.Low","FANG.Close","FANG.Volume","FANG.Adjusted"
"127",89.550003,89.660004,87.440002,88.489998,1376000,82.784325
"128",89.199997,89.860001,85.790001,85.959999,1536100,80.417465
"129",85.389999,86.309998,82.769997,86.089996,1441700,80.539085
"130",85.68,88.169998,85.239998,88.029999,1236400,82.353996
"131",88.099998,88.839996,86.57,88.620003,862500,82.905937
"132",89.589996,90.699997,87.800003,88.110001,982900,82.428848
"133",88.120003,89.610001,87.68,89.419998,811700,83.654358
"134",89.480003,90.650002,89.459999,90.480003,890500,84.646034
"135",90.25,91.110001,89.980003,90.470001,1115400,84.636681
"136",91.970001,91.970001,89.43,90.410004,1241100,84.580544
"137",90.900002,93.980003,90.440002,93.93,1279300,87.873573
"138",94.400002,95.559998,92.080002,92.379997,1373800,86.423515
"139",92.480003,92.790001,91.290001,91.989998,1219800,86.058655
"140",92.440002,94.059998,92.059998,93.209999,854200,87.199989
"141",94.25,96.419998,94.139999,95.720001,1178900,89.548172
"142",96.620003,97.830002,95.339996,96.480003,1023200,90.25914
"143",96.419998,97.129997,95.580002,96.57,1019800,90.343353
"144",96.330002,97.330002,95.870003,96.650002,909900,90.41819
"145",96.510002,96.709999,94.610001,95.879997,1114900,89.697815
"146",96.190002,96.650002,94.540001,95.349998,965600,89.202011
"147",97.989998,97.989998,91.860001,95.839996,3738500,89.660416
"148",96.32,96.790001,89.440002,89.690002,2890400,83.906967
"149",90.480003,95.75,89.860001,95.209999,2052600,89.071053
"150",94.980003,96.129997,92.769997,96.040001,1436400,89.847527
"151",95.620003,96.669998,94.410004,94.980003,1905100,88.855865
"152",94.809998,96.419998,94.129997,94.580002,1226500,88.481667
"153",93.5,94.669998,91.970001,92.059998,3388700,86.124123
"154",92.019997,93.900002,91.940002,92.870003,1182600,86.88192
"155",92.860001,93.440002,89.760002,90.75,1612500,84.898613
"156",90.580002,90.650002,87.639999,88.019997,2985700,82.34465
"157",87.900002,89.629997,87.589996,88.059998,1504300,82.382057
