"","PYPL.Open","PYPL.High","PYPL.Low","PYPL.Close","PYPL.Volume","PYPL.Adjusted"
"1",40.290001,40.98,40,40.25,8247400,40.25
"2",40.349998,41.029999,40.044998,41,6806400,41
"3",41.43,41.720001,41.040001,41.060001,6432000,41.060001
"4",41.240002,41.639999,40.790001,41.450001,5586400,41.450001
"5",41.490002,41.509998,41.110001,41.400002,3943900,41.400002
"6",41.400002,41.549999,41.07,41.080002,4174900,41.080002
"7",41.23,41.380001,40.834999,41.279999,4425300,41.279999
"8",41.279999,41.605,40.919998,41.560001,3840500,41.560001
"9",41.650002,41.84,41.529999,41.599998,3917700,41.599998
"10",41.599998,41.709999,41.200001,41.27,5932900,41.27
"11",41.41,41.490002,41.110001,41.349998,4706000,41.349998
"12",41.25,41.68,41.029999,41.27,4717600,41.27
"13",41.389999,41.720001,41.299999,41.689999,6868500,41.689999
"14",41.860001,42.110001,41.25,41.619999,8497100,41.619999
"15",41.950001,42.040001,41.529999,41.959999,6106500,41.959999
"16",42.360001,42.439999,41.66,41.709999,8604000,41.709999
"17",42.360001,42.5,41.285,41.5,11838100,41.5
"18",41,41.200001,39.919998,40.27,22749200,40.27
"19",40.169998,40.27,39.419998,39.860001,11486000,39.860001
"20",39.700001,40.009998,39.450001,39.779999,9100100,39.779999
"21",39.959999,40,39.110001,39.310001,8860400,39.310001
"22",39.400002,39.84,39.02,39.580002,8736800,39.580002
"23",39.790001,39.93,39.549999,39.59,7131100,39.59
"24",39.639999,39.830002,39.34,39.740002,8206400,39.740002
"25",40.009998,40.34,39.700001,40.02,7956300,40.02
"26",40.18,40.990002,39.919998,40.880001,7399000,40.880001
"27",40.439999,40.994999,40.299999,40.830002,6467600,40.830002
"28",40.82,40.860001,40.560001,40.580002,6248200,40.580002
"29",40.830002,41.299999,40.740002,41.169998,6260900,41.169998
"30",41.18,41.630001,40.939999,41.619999,6496400,41.619999
"31",41.689999,41.93,41.27,41.869999,7124600,41.869999
"32",41.869999,42.310001,41.700001,42.150002,5730800,42.150002
"33",41.919998,42.299999,41.799999,41.959999,5106000,41.959999
"34",41.93,42.560001,41.900002,42.43,5874700,42.43
"35",42.299999,42.529999,42.119999,42.419998,4316200,42.419998
"36",42.369999,42.669998,42.16,42.529999,5456300,42.529999
"37",42.110001,43.07,41.830002,43.07,6769500,43.07
"38",42.889999,42.889999,42.349998,42.639999,5026700,42.639999
"39",42.490002,42.490002,41.990002,42,6956800,42
"40",42.310001,42.52,41.990002,42.43,6003800,42.43
"41",42.400002,42.860001,42.200001,42.77,4572300,42.77
"42",42.700001,43.040001,42.580002,43.029999,4214400,43.029999
"43",42.98,43.029999,42.630001,42.869999,6032800,42.869999
"44",42.799999,43.200001,42.709999,42.889999,4404700,42.889999
"45",42.84,43.18,42.720001,42.790001,4573900,42.790001
"46",42.66,43,42.450001,42.919998,3487900,42.919998
"47",43.189999,43.279999,42.759998,42.990002,4636200,42.990002
"48",42.869999,42.965,42.450001,42.59,5526900,42.59
"49",42.509998,42.639999,41.740002,42.099998,5888000,42.099998
"50",42.290001,42.57,41.889999,42.389999,4291800,42.389999
"51",42.5,42.580002,42.139999,42.400002,3998600,42.400002
"52",42.57,43.299999,42.369999,43.080002,12307900,43.080002
"53",43.099998,43.32,42.810001,43.16,6686900,43.16
"54",43.330002,43.400002,42.459999,42.639999,7758400,42.639999
"55",42.595001,43.240002,42.450001,43.189999,6513300,43.189999
"56",43.130001,43.610001,43,43.139999,7176400,43.139999
"57",43.48,43.494999,42.935001,43.130001,5739500,43.130001
"58",42.689999,43.200001,42.580002,43.080002,3850300,43.080002
"59",42.869999,43.25,42.84,43.150002,4396500,43.150002
"60",43.150002,43.299999,42.959999,43.240002,3951100,43.240002
"61",43.150002,43.799999,43,43.540001,5691700,43.540001
"62",43.439999,43.48,43.009998,43.02,5177500,43.02
"63",43.200001,43.299999,42.509998,42.630001,7773000,42.630001
"64",42.740002,42.740002,42.259998,42.720001,4681800,42.720001
"65",42.830002,43.342999,42.740002,42.889999,5292300,42.889999
"66",42.900002,43,42.720001,42.900002,5395400,42.900002
"67",42.889999,43.174999,42.709999,43.040001,4861200,43.040001
"68",43.07,43.549999,43.009998,43.049999,4579500,43.049999
"69",42.990002,43.09,42.610001,42.689999,4856300,42.689999
"70",42.099998,42.810001,42.060001,42.490002,5800100,42.490002
"71",42.5,42.889999,42.32,42.549999,3631400,42.549999
"72",42.599998,43.139999,42.599998,43.099998,3151600,43.099998
"73",43.200001,43.200001,42.860001,43.09,3711600,43.09
"74",43.029999,43.470001,42.900002,43.299999,4913900,43.299999
"75",43.32,43.799999,43.259998,43.689999,4811200,43.689999
"76",43.860001,44,43.599998,43.810001,5595700,43.810001
"77",44.09,44.279999,43.950001,44.27,4643800,44.27
"78",44.490002,45.009998,44.349998,44.709999,7827900,44.709999
"79",45.040001,45.040001,44.25,44.41,9846900,44.41
"80",47.25,48.099998,46.75,47.150002,34420200,47.150002
"81",47.029999,47.755001,46.869999,47.720001,11642800,47.720001
"82",47.389999,47.713001,47.32,47.540001,14537500,47.540001
"83",47.41,49.07,47.400002,49.049999,16820800,49.049999
"84",49.16,49.290001,48.625,49.02,11613100,49.02
"85",48.93,49.380001,48.82,48.91,7148800,48.91
"86",48.619999,49.439999,48.400002,49.299999,4876200,49.299999
"87",49.43,49.450001,48.810001,49.169998,6641000,49.169998
"88",49.060001,49.369999,48.900002,49.220001,4774000,49.220001
"89",49.18,49.799999,49.014999,49.790001,6507700,49.790001
"90",49.630001,49.709999,49.110001,49.700001,5547700,49.700001
"91",49.580002,49.75,49.240002,49.369999,4933700,49.369999
"92",49.310001,50,49.25,49.77,4705900,49.77
"93",49.630001,50.349998,49.57,50.34,5347200,50.34
"94",49.869999,50.099998,49.025002,49.049999,6598400,49.049999
"95",49.029999,49.580002,48.889999,49.110001,9932100,49.110001
"96",49.150002,49.709999,49.060001,49.389999,7813800,49.389999
"97",49.450001,49.880001,49.349998,49.77,13144900,49.77
"98",49.900002,50.18,49.77,50.130001,7134200,50.130001
"99",50.23,51.080002,50.139999,51.049999,6274800,51.049999
"100",50.77,51.130001,50.639999,50.93,4950500,50.93
"101",51.040001,51.389999,50.889999,51.189999,4780800,51.189999
"102",50.959999,51.279999,50.860001,51.060001,5550300,51.060001
"103",51.130001,52.240002,50.880001,52.209999,11107200,52.209999
"104",52.48,53.389999,52.474998,53.16,13898300,53.16
"105",53.439999,53.639999,53.080002,53.52,9121800,53.52
"106",53.77,54.07,53.59,53.799999,9656400,53.799999
"107",53.75,53.799999,53.16,53.400002,6308000,53.400002
