"","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted"
"262",187.699997,189.300003,185.899994,188.009995,4018200,167.309204
"263",187.449997,188.559998,185.5,187.589996,3084900,166.93541
"264",188.360001,189.720001,187.600006,189.279999,3652300,168.439377
"265",189.729996,192.570007,189.429993,192.330002,3579800,171.153564
"266",193,196.029999,191.600006,191.990005,3486700,170.850983
"267",192.75,192.940002,189.509995,190.630005,2765700,169.640747
"268",191.399994,191.800003,188.899994,190.080002,2470300,169.151291
"269",191.050003,196.800003,190.990005,196.009995,3920300,174.42836
"270",196.210007,201.229996,195.649994,198,4565700,176.199265
"271",196.179993,196.470001,190.550003,191.270004,3990800,170.210281
"272",191.639999,192.270004,184.649994,186.050003,4677700,165.565018
"273",185,186.830002,182.330002,185.559998,4078100,165.128952
"274",183.460007,192.600006,183.009995,187.009995,7029400,166.419296
"275",186.820007,188.600006,174.619995,174.75,6922800,155.509186
"276",177.990005,180.279999,172.039993,176.649994,7527700,157.199982
"277",176.25,180.990005,176,177.470001,5715700,157.929703
"278",177.929993,180.419998,173,173.119995,6026800,154.05867
"279",174.130005,175.460007,168.25,173.460007,6093900,154.361237
"280",174.300003,176.669998,173,174.869995,4324800,155.615997
"281",173.869995,176.699997,172.460007,175.940002,3834700,156.568176
"282",174.080002,180.309998,174.059998,179.520004,5958700,160.961594
"283",180,185,179.899994,183.600006,4493400,164.619812
"284",183.800003,186.119995,182.679993,183.550003,4365800,164.574997
"285",182.889999,184.309998,182.139999,182.979996,4078400,164.063889
"286",183.190002,185.5,182.399994,182.429993,4054600,163.570801
"287",182.509995,185.160004,182.009995,182.449997,3868200,163.588715
"288",183.630005,186.789993,182.770004,186.669998,4163400,167.372452
"289",187.460007,190.369995,187.029999,188.5,4943600,169.013275
"290",188.830002,190.100006,185.550003,185.789993,5016100,166.58345
"291",185.880005,187.389999,183.690002,183.770004,4544000,164.772247
"292",184.210007,185.570007,180.380005,183.289993,11757800,164.341888
"293",181.059998,185.800003,181.050003,185.080002,19115500,165.946808
"294",185.050003,190.690002,185,190.130005,15187800,170.474762
"295",188.199997,191.639999,186.929993,190.350006,18446500,170.672028
"296",189.729996,190.220001,186.410004,187.529999,7009900,168.14357
"297",187.899994,188.399994,185.509995,187.160004,9192600,167.811829
"298",188,191.380005,186.320007,191.100006,5674100,171.344513
"299",189.5,190.389999,188.320007,189.300003,6972400,169.730606
"300",189.600006,190.830002,188.630005,189.75,4712900,170.134094
"301",191.179993,192.619995,189.800003,190.570007,3613300,170.869278
"302",190.050003,190.880005,187.910004,189.75,3320500,170.134094
"303",189.75,190.25,187.229996,188.240005,16878400,168.780182
"304",187.289993,187.929993,180.669998,182.550003,3970400,163.678406
"305",183.059998,184.020004,181.169998,182.029999,2582200,163.212158
"306",181.429993,184.039993,181.399994,181.589996,2531100,162.817627
