"","CTXS.Open","CTXS.High","CTXS.Low","CTXS.Close","CTXS.Volume","CTXS.Adjusted"
"752",111.040001,111.57,110.410004,110.790001,698600,108.565529
"753",110.949997,111.32,110.269997,110.360001,599400,108.144173
"754",110.059998,110.970001,110.059998,110.900002,655200,108.673325
"755",111.589996,111.989998,111.059998,111.669998,1352600,109.427856
"756",110.57,111.970001,110.360001,111.82,1107000,109.574852
"757",111.32,113.059998,111.32,113.010002,1046700,110.740952
"758",112.510002,113.43,112.220001,112.410004,933700,110.152992
"759",112.629997,114.029999,112.610001,113.760002,1261600,111.475899
"760",113.989998,114.370003,113.510002,114.050003,1605900,111.760071
"761",114.629997,114.809998,113.459999,113.739998,964600,111.456291
"762",114.209999,115.510002,112.290001,115.139999,1548900,112.828194
"763",115,115.389999,114.389999,114.959999,895100,112.651794
"764",114.889999,116.139999,114.309998,115.309998,892100,112.994774
"765",115.699997,117.470001,115.699997,116.879997,796000,114.533249
"766",117.150002,117.290001,116.089996,117.220001,1416400,114.866432
"767",116.699997,118.150002,116.699997,117.849998,1442000,115.483772
"768",118.019997,119.620003,118.019997,119.160004,1948100,116.767479
"769",123.089996,130.550003,122.199997,128.479996,4300600,125.900345
"770",128.440002,129.259995,126.760002,128.259995,2063800,125.684753
"771",127.330002,128.240005,126.75,126.900002,1312300,124.352066
"772",126.550003,127.199997,125.209999,125.550003,1530400,123.029167
"773",126.07,126.07,122.879997,123.010002,1570500,120.540176
"774",122.440002,123.400002,121.620003,122.540001,1541200,120.079613
"775",123.550003,123.779999,120.690002,121.220001,2397800,118.786118
"776",121.089996,123.290001,121.089996,122.669998,1373300,120.206993
"777",122.93,124.110001,122.669998,123.489998,1698700,121.010529
"778",123.669998,124.120003,122.260002,122.75,1882500,120.285378
"779",123.199997,123.830002,121.75,122.230003,1305500,119.775833
"780",121.900002,122.540001,120.860001,121.080002,1014900,118.648926
"781",120.940002,121.870003,120.290001,121.82,1618800,119.374069
"782",122.410004,122.620003,121.389999,121.620003,1006300,119.17807
"783",122.18,122.589996,121.339996,122.040001,1036000,119.589661
"784",121.589996,123.43,121.589996,123,867900,120.530365
"785",122.879997,123.449997,121.75,122.029999,1257200,119.579842
"786",121.940002,123.540001,121.839996,123.510002,1915100,121.030128
"787",123.639999,124.489998,122.099998,122.25,1273100,119.795433
"788",122.139999,122.519997,118.910004,119.57,1384700,117.169243
"789",119.010002,119.919998,115.839996,116.080002,1740000,113.749313
"790",114.129997,114.889999,111.839996,111.940002,2128200,109.692436
"791",112.080002,112.400002,108.360001,108.650002,2277700,106.468498
"792",109.68,110.389999,106.410004,106.800003,1676200,104.655647
"793",105.050003,107.040001,102.910004,102.970001,2536900,100.902534
"794",100.699997,103.470001,100.309998,103.389999,4823400,101.31411
"795",104.059998,108.970001,103.790001,108.779999,3897100,106.595879
"796",108.169998,109.419998,105.059998,106.400002,2596200,104.263664
"797",107.860001,110.129997,107.25,110.129997,2649300,107.918762
"798",107.510002,117.370003,107.510002,116.459999,4652300,114.485527
"799",112.239998,120.129997,112.099998,117.910004,4220900,115.91095
"800",112,118.699997,111.050003,115.949997,2854100,113.984169
"801",118.800003,119.25,109.879997,114.779999,2749600,112.834007
"802",111.82,116.959999,110.68,114.800003,3315400,112.853676
"803",110.010002,113.690002,103.809998,105.059998,3493100,103.278793
"804",108.82,113.839996,106.379997,113.669998,3337800,111.742821
"805",106.160004,119.809998,104.75,110.739998,4232400,108.862488
"806",113.760002,134.410004,113.730003,127.459999,5231600,125.299034
"807",122.639999,139.149994,120,130.5,3862500,128.287491
"808",132.089996,141.009995,123.629997,125.309998,3889200,123.185486
"809",126,131.970001,116.830002,119.330002,4509400,117.306862
"810",121.330002,123.290001,114.57,121.599998,3061600,119.538368
"811",125.239998,126,116.209999,122,3012900,119.931602
"812",126,131.110001,121.839996,126.660004,3576400,124.512589
"813",125.989998,139.490005,125.970001,137.809998,3458300,135.473557
"814",135.360001,142.970001,133.020004,140.039993,3330300,137.665741
"815",141.300003,146.25,134.570007,145.910004,2991600,143.436218
"816",144.080002,146.399994,140.529999,141.550003,2957000,139.150162
"817",138.960007,142.649994,136.389999,139.139999,2344700,136.780991
"818",137.860001,145.429993,137.389999,142.520004,2950400,140.103699
"819",142.009995,145.899994,140.660004,141.330002,2793300,138.933884
"820",142.690002,150.330002,136.309998,147.139999,3663100,144.645401
"821",147.389999,148,142.910004,145.800003,3177700,143.32811
"822",146.610001,148.220001,145,146.820007,2128300,144.330811
"823",146.229996,146.639999,138.759995,139.399994,3332400,137.036575
"824",138.820007,142.619995,138.410004,139.990005,2060900,137.616592
"825",141.509995,143.839996,140.119995,143.759995,2305800,141.322662
"826",142.809998,145.570007,141.440002,145.089996,1989000,142.630127
"827",147.199997,151.529999,146.009995,150.559998,2055000,148.007385
"828",147.690002,150.720001,144.520004,150.410004,2114000,147.859955
"829",150.710007,152.490005,148.919998,150.669998,1562300,148.115524
"830",150.160004,150.649994,145.220001,146.639999,1821400,144.153824
"831",148.300003,151.919998,147.179993,151.690002,2117900,149.11824
"832",143.270004,145.639999,139.289993,141.559998,5615000,139.159973
"833",142.600006,146.210007,142.050003,146.039993,3317200,143.564026
"834",146.5,148.699997,146.199997,147.479996,2390900,144.979614
"835",147.190002,147.490005,141.009995,141.190002,2388800,138.796249
"836",141.320007,141.929993,139.160004,139.979996,2774100,137.606766
"837",140.570007,145.360001,140.020004,145.009995,2177500,142.551483
"838",143.619995,144.789993,140.460007,142.580002,1545400,140.162704
"839",143.419998,146.419998,142.589996,146.320007,1500700,143.839279
"840",146.309998,148.199997,144.960007,146.580002,1624900,144.094849
"841",147.699997,149.979996,145.600006,147.720001,1533800,145.215546
"842",149.029999,152.419998,147.619995,150.679993,1771700,148.125351
"843",151.589996,151.589996,147.940002,150.979996,1485400,148.420273
"844",151.889999,155.100006,151.240005,154.020004,1432100,151.408737
"845",154.699997,154.990005,146.720001,146.839996,1934800,144.350449
"846",147.360001,149.509995,144.220001,146.509995,1758500,144.026047
"847",146.279999,146.960007,143.479996,146.059998,1430900,143.583679
"848",144.889999,148.179993,144.440002,146.720001,1616100,144.232483
"849",146.440002,147.259995,139.729996,139.889999,3600400,137.518295
"850",140.660004,141.160004,137.050003,137.169998,2467600,134.844406
"851",138.039993,138.960007,135.179993,137.440002,1804400,135.109833
"852",137.809998,138.300003,135.050003,136.729996,1616100,134.411865
"853",137.160004,137.880005,135.130005,137.039993,1616300,134.716599
"854",138.809998,140.270004,137.240005,138.949997,2347600,136.594238
"855",136.839996,139.410004,135.509995,139.210007,1642400,136.849823
"856",139.309998,142.789993,139.020004,141.190002,1670800,138.796249
"857",141.720001,148.529999,141.539993,148.119995,3616400,145.608749
"858",147.389999,148.710007,145.169998,146.649994,1352200,144.163681
"859",145.899994,146.029999,140.759995,143.869995,1617900,141.430817
"860",143.850006,143.850006,139.080002,139.570007,1498900,137.203735
"861",137.970001,140.710007,137.800003,139.929993,1413500,137.903442
"862",137.619995,139.550003,135.339996,139.149994,2048300,137.134735
