"","DXC.Open","DXC.High","DXC.Low","DXC.Close","DXC.Volume","DXC.Adjusted"
"1",51.461937,51.730103,49.359863,49.567474,3177150,46.833447
"2",49.965397,51.747406,49.922146,51.453285,3241193,48.615238
"3",51.297577,51.6782,50.934258,51.323528,1596089,48.492641
"4",51.254326,52.058823,50.51038,51.84256,1370322,48.983044
"5",51.859863,51.98962,51.323528,51.738754,1120511,48.884964
"6",51.583046,52.474049,51.531143,52.378895,1273796,49.489788
"7",52.15398,52.560555,51.756054,52.551903,564475,49.653271
"8",52.370243,52.569202,51.557095,52.456745,732673,49.563351
"9",52.621105,54.031143,52.5173,53.884083,1089299,50.911953
"10",53.944637,54.316608,53.15744,53.416954,1037626,50.470589
"11",53.416954,53.918686,53.192043,53.806229,992773,50.838402
"12",53.970589,54.256054,53.693771,53.866783,846654,50.895615
"13",53.866783,54.074394,53.529411,54.057095,922604,51.075432
"14",53.918686,54.299309,50.484428,50.804497,5048830,48.002239
"15",51.141869,52.456745,51.115917,52.17128,3374711,49.293636
"16",52.889275,52.941177,52.266438,52.854671,2066003,49.939323
"17",53.122837,53.252594,52.82872,52.863323,2363095,49.94751
"18",53.15744,53.615917,52.81142,53.607265,1407430,50.650406
"19",53.391003,53.434258,52.162628,53.027683,1487310,50.102802
"20",52.794117,54.186852,52.716263,53.806229,2248998,50.838402
"21",53.961937,54.351212,53.365051,53.84948,1691459,50.879269
"22",53.66782,54.567474,53.287197,54.455017,1646375,51.451401
"23",56.617645,60.960209,56.237022,60.51038,9985875,57.172768
"24",60.51038,61.851212,60.389275,61.747406,5108480,58.34156
"25",61.807957,62.102077,61.038063,61.15052,3092184,57.777596
"26",61.107265,61.574394,60.8391,61.219723,2006932,57.842987
"27",60.873703,61.608997,60.795849,61.418686,1647184,58.030975
"28",61.49654,61.937717,61.237022,61.262978,1292177,57.88385
"29",61.6782,61.799309,60.804497,60.891003,2535455,57.532394
"30",60.519032,61.237022,60.216263,60.67474,1524648,57.32806
"31",60.752594,61.254326,60.51038,60.726643,1470894,57.377098
"32",61.081314,61.358131,60.804497,61.280277,2138600,57.900192
"33",61.046715,61.245674,60.709343,61.038063,945608,57.671349
"34",61.366783,61.626297,60.908302,61.470589,1165826,58.080017
"35",61.16782,61.937717,61.012112,61.18512,856018,57.81028
"36",61.51384,61.522491,59.679932,60.337372,1450086,57.0093
"37",58.81488,59.939445,58.192043,59.775085,2441125,56.478027
"38",59.826988,59.826988,58.313148,59.307957,1525226,56.036663
"39",59.290657,59.922146,59.074394,59.307957,2562852,56.036663
"40",59.83564,61.583046,59.83564,61.055363,1873992,57.687687
"41",60.735294,61.219723,60.31142,60.579586,1380842,57.238152
"42",60.67474,60.709343,59.922146,60.423874,1283160,57.09103
"43",59.861591,60,59.351212,59.394463,956821,56.118401
"44",59.1782,59.645329,58.97924,59.074394,1172068,55.815983
"45",59.126297,59.67128,58.910034,59.333912,787005,56.061192
"46",59.1782,59.896194,59.1436,59.68858,883531,56.39629
"47",59.455017,59.974049,58.806229,59.740482,1097160,56.445332
"48",59.67128,59.878895,59.290657,59.52422,1786829,56.240993
"49",59.091698,59.50692,58.50346,59.290657,794172,56.020325
"50",59.446365,60.198963,59.446365,60.0173,1252064,56.706875
"51",60.103806,60.562283,59.333912,59.50692,1002483,56.224655
"52",59.844292,59.870243,57.387543,57.595158,3493894,54.418339
"53",57.759518,58.494808,57.093426,57.742214,1509389,54.557285
"54",57.785465,58.313148,55.31142,56.254326,3357255,53.151466
"55",56.652248,57.439445,56.046715,56.946365,1743132,53.805336
