"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"1",233.419998,236.160004,232.539993,234.449997,751200,213.004333
"2",234.669998,237.470001,233.080002,236.330002,649900,214.712341
"3",236.149994,237.419998,230.179993,232.259995,539900,211.014587
"4",233.089996,233.479996,230.960007,231.5,504000,210.324142
"5",231.380005,232.529999,229.050003,230.350006,509700,209.279327
"6",229.820007,232.289993,229.479996,230.720001,636500,209.615509
"7",233.740005,239.039993,233.740005,235.949997,873200,214.367081
"8",235.929993,237.25,233.860001,236.190002,800100,214.585159
"9",236.309998,237.369995,235.380005,237.020004,513200,215.339203
"10",236.630005,240.779999,235.5,240.679993,842600,218.664413
"11",241.899994,247.059998,240.660004,244.610001,1105900,222.23497
"12",244.130005,246.220001,243.190002,244.169998,693200,221.835175
"13",244.919998,246.75,244.089996,246.470001,888200,223.924805
"14",246.039993,248.740005,244.289993,245.830002,1065900,223.343338
"15",246.309998,250.5,246.25,249.089996,700900,226.305145
"16",251.589996,262.709991,251.589996,253.110001,1691800,229.957443
"17",253.320007,261,253,256.339996,970100,232.891968
"18",256.929993,257.559998,255.089996,256.390015,482600,232.937408
"19",255,255.360001,252.899994,254.660004,499200,231.365631
"20",254.449997,255.610001,250.490005,252.570007,1009300,229.466843
"21",253.220001,254.759995,251.75,253.679993,508600,230.475281
"22",252.869995,252.880005,249.990005,252.070007,580200,229.012543
"23",252.919998,253.759995,250.869995,251.600006,564600,228.585571
"24",251.309998,254.100006,251.259995,253.449997,524900,230.266327
"25",253.839996,256.320007,252.570007,253.389999,537100,230.211823
"26",253.309998,254.759995,252.559998,254.419998,339000,231.147614
"27",253.830002,254.940002,252.029999,253,544900,230.965012
"28",253.240005,255.220001,252.389999,255.059998,336900,232.845581
"29",255.240005,256.679993,253.949997,254.339996,430300,232.188324
"30",251.869995,253.789993,249.270004,253.75,754200,231.649689
"31",252.949997,253.860001,251.830002,253.169998,565700,231.120209
"32",253.199997,255.339996,251.979996,254.800003,319400,232.608215
"33",254,255.25,253.100006,254.960007,282100,232.754333
"34",254.080002,258.209991,253.940002,258.160004,447700,235.675629
"35",257.079987,259,255.889999,257.429993,346400,235.009201
"36",258.660004,258.959991,248.690002,249.940002,868800,228.171524
"37",247.809998,250.389999,246.279999,250.240005,469500,228.445389
"38",250.899994,252.160004,249.860001,250.470001,303800,228.655396
"39",250.229996,250.979996,247.320007,247.960007,656000,226.363983
"40",248.570007,252.979996,248.570007,252.110001,554500,230.152542
"41",251.880005,252.649994,247.559998,248.210007,588900,226.592224
"42",248.449997,250.639999,247.130005,249.869995,601900,228.10762
"43",249.070007,252.860001,247.690002,252.309998,561400,230.335114
"44",251.919998,252.300003,249.649994,250.589996,455100,228.764893
"45",250.910004,252.419998,249.970001,250.149994,594200,228.363235
"46",250,251.070007,242.809998,244.020004,581600,222.76712
"47",245,246.559998,242.929993,245.160004,687100,223.807861
"48",245.160004,246.660004,243.059998,246.350006,506600,224.894211
"49",244.910004,245.800003,243.5,244.529999,540700,223.232697
"50",245.110001,248.059998,244.410004,247.440002,478000,225.889267
"51",247.600006,247.979996,244.490005,245.080002,367300,223.734818
"52",245,246.449997,243.320007,243.970001,733100,222.721512
"53",244.080002,244.259995,241,242.020004,562500,220.941345
"54",242.960007,243.860001,238.509995,240.059998,691100,219.152008
"55",240.149994,242.429993,238.169998,240,608400,219.097214
"56",240.039993,242.639999,239.240005,240.630005,484300,219.672394
"57",241.570007,242.740005,238.880005,239.529999,387500,218.668182
"58",236.779999,237.710007,233.720001,237.369995,692200,216.696335
"59",237.5,240.699997,236.220001,239.190002,469000,218.357803
"60",238.850006,240.889999,237.710007,237.75,1179200,217.043198
"61",235.699997,235.699997,232,233.860001,778400,213.492004
"62",233.130005,234.839996,230.580002,232.759995,697700,212.487793
"63",232.740005,234.660004,229.770004,231.199997,1076500,211.06366
"64",230.929993,232.279999,230.039993,230.800003,793500,210.698547
"65",231.949997,233.960007,231.210007,231.729996,1295000,211.547501
"66",231.820007,232.869995,228.990005,229.809998,863500,209.794739
"67",229.520004,231.130005,228.630005,229.270004,661900,209.301773
"68",229.130005,231.449997,228.770004,229.369995,942600,209.393051
"69",228.220001,230.350006,227.940002,229.5,904300,209.511703
"70",224.949997,227.699997,223.449997,223.710007,1170000,204.226013
"71",223.979996,225.990005,221.25,221.5,892300,202.208527
"72",222.580002,223.779999,221.809998,222.970001,1037000,203.550461
"73",202.669998,209.600006,195.320007,197.570007,5465000,180.362671
"74",195.949997,199.649994,192.5,195.350006,3658000,178.335999
"75",196.210007,196.940002,194.279999,195.960007,1580500,178.892914
"76",196.100006,196.770004,193.550003,195.149994,1264700,178.153442
"77",197.690002,197.690002,190.380005,191.899994,1528600,175.186493
"78",192.830002,195.130005,192.5,193.360001,1235600,176.519333
"79",194.309998,194.919998,191.910004,194.169998,813200,177.258789
"80",194.970001,195.100006,192.25,193.169998,911200,176.345871
"81",193.240005,193.679993,190.389999,192.699997,1224300,175.91684
"82",193.100006,193.470001,188.350006,189.339996,935900,172.849457
"83",190.289993,190.990005,188.960007,190.630005,618600,174.027115
"84",190,192.240005,189.100006,192.020004,822900,175.296051
"85",191.440002,191.990005,185.800003,187.539993,1147800,172.355164
"86",187.440002,189.369995,186.289993,189.229996,773200,173.90831
"87",188.949997,189.880005,188.050003,188.979996,549600,173.678558
"88",189.229996,189.949997,187.029999,187.770004,1140700,172.566528
"89",187.649994,188.479996,186.410004,187.860001,759000,172.649261
"90",187.800003,188.5,185,187.690002,701800,172.493027
"91",187.399994,187.470001,183.919998,184.619995,685200,169.67157
"92",184.600006,184.990005,179.679993,181.380005,1413600,166.693954
"93",181.039993,181.220001,178.419998,179.100006,833000,164.598511
"94",179.100006,179.600006,173.5,174.770004,1291200,160.619141
"95",170.520004,176.990005,170.210007,173.300003,1309300,159.268127
"96",173.889999,176,173.589996,174.850006,939300,160.692657
"97",175.449997,179,175.449997,178.300003,1013300,163.863312
"98",178.160004,178.699997,176.360001,176.619995,978500,162.319321
"99",177.130005,179.050003,175.770004,177.309998,1258300,162.953445
"100",177.380005,178.399994,175.910004,176.369995,923300,162.089584
"101",175,175.490005,171.889999,173.580002,797100,159.525482
"102",173.589996,174.320007,171.630005,171.970001,762200,158.045837
"103",171.970001,172.380005,169.75,172.279999,1520600,158.330719
"104",171.910004,174.479996,170.190002,173.429993,710000,159.387589
"105",174.059998,174.759995,171.929993,172.720001,659300,158.735107
"106",171.860001,174.869995,171.570007,173.960007,1091300,159.874695
"107",172.860001,172.860001,168.580002,169.880005,1190600,156.125061
"108",169.880005,173.350006,169.190002,169.509995,855200,155.784988
"109",169.509995,173.240005,168.880005,170.600006,1107200,156.786774
"110",170.610001,176.710007,170.610001,176.330002,1265500,162.052811
"111",177.009995,182.899994,177.009995,179.529999,1384700,164.993683
"112",179.300003,179.610001,177.509995,178.080002,804900,163.661072
"113",178.25,178.990005,173.419998,177.020004,1358600,162.686935
"114",176.300003,179.009995,176.009995,176.759995,736200,162.447998
"115",176.860001,180.320007,175.029999,180.320007,1276000,165.719772
"116",180.350006,181.869995,178.710007,179.5,886700,164.966125
"117",179.100006,179.630005,174.5,174.660004,1007200,160.518036
"118",174.580002,174.580002,171.270004,173.679993,1063400,159.617371
"119",174.169998,174.630005,171.610001,172.779999,839200,158.790268
"120",173.020004,176.610001,172.910004,176.380005,824900,162.09877
"121",176.630005,178.279999,175.929993,177.820007,591500,163.422165
"122",177.919998,177.919998,173.550003,175.080002,663600,160.904037
"123",176.089996,178.550003,175.779999,176.960007,577300,162.631821
"124",177.619995,180.199997,177.570007,178.960007,830400,164.469894
"125",179.350006,181.520004,178.289993,180.529999,680400,165.91272
"126",181.729996,185.669998,180.820007,185.149994,782300,170.15863
"127",185.130005,185.820007,181.259995,184.179993,1242900,169.267197
"128",183.729996,184.889999,180.610001,181.119995,1002000,166.454956
"129",181.119995,181.119995,178.229996,179.259995,600900,164.745544
"130",179.509995,180.399994,176.619995,178.070007,941400,163.651917
"131",177.619995,177.619995,173.610001,176.529999,956000,162.236603
"132",177.710007,178.440002,167.440002,168.809998,1919200,155.141693
"133",168.770004,170.979996,168.610001,170,1453000,156.235336
"134",170.949997,172.639999,170.050003,171.889999,1249600,157.972336
"135",171.949997,174.100006,170.509995,172.210007,1090100,158.266388
"136",171.729996,175.029999,171.199997,174.479996,1744700,160.352615
"137",180.059998,180.399994,160.289993,162.190002,3867100,149.057724
"138",163.350006,168.669998,162.669998,165.960007,1888300,152.522476
"139",165.039993,165.830002,163.350006,164.940002,1340200,151.585037
"140",164.919998,168.240005,164.770004,166.880005,969700,153.367966
"141",168,171.020004,166.789993,169.059998,976700,155.371429
"142",169.059998,169.699997,165.919998,166.179993,982300,152.724609
"143",165.399994,167.660004,164.550003,167.470001,895700,153.910156
"144",167,167.800003,164.139999,165.229996,718600,151.851547
"145",165.789993,166.949997,164.860001,166.740005,1472700,153.239334
"146",167.470001,169.720001,166.360001,169.720001,1066300,155.977997
"147",168.839996,170.669998,167.960007,170.020004,970700,156.253738
"148",169.949997,170.970001,168.779999,169.470001,630100,155.748245
"149",169.179993,172.490005,168.949997,170.350006,693000,156.556992
"150",170.449997,170.580002,167.220001,167.389999,648600,153.836685
"151",168.350006,168.679993,164.169998,164.589996,686100,151.263351
"152",165.080002,166.309998,163.339996,166.100006,613000,152.651093
"153",164.389999,165.220001,163,163.520004,673000,151.447098
"154",164.110001,165.179993,163.369995,163.820007,485500,151.72496
"155",165.080002,167.339996,164.639999,166.990005,734300,154.660904
"156",166.690002,167.089996,165.059998,165.080002,770800,152.891907
"157",165.050003,165.960007,164.139999,165.080002,648400,152.891907
"158",164.800003,166.759995,164.380005,164.600006,858600,152.447357
"159",164.039993,164.710007,161.25,161.389999,1000300,149.474396
"160",161,161.369995,158.350006,158.410004,864900,146.714401
"161",158.970001,165.139999,158.850006,164.419998,1093500,152.28067
"162",163.380005,164.169998,161.380005,161.539993,607500,149.613297
"163",161.880005,162.639999,158.119995,158.330002,714400,146.640305
"164",159.240005,160.300003,158.190002,159.789993,657700,147.992493
"165",159.600006,160.190002,155,156.25,936300,144.713837
"166",157.199997,159.160004,155.100006,157.160004,889500,145.556686
"167",157.100006,160.149994,155.600006,159.639999,719400,147.853577
"168",160.880005,163.25,159.509995,162.570007,800200,150.56723
"169",162.559998,165.759995,162.259995,163.789993,664500,151.697174
"170",163.809998,165.100006,161.279999,161.360001,702600,149.446548
"171",162.699997,165.119995,162.369995,163.940002,1103700,151.836105
"172",163.690002,163.690002,159.240005,162.580002,851500,150.576492
"173",162.419998,165.809998,162.110001,164.970001,760400,152.790024
"174",165.699997,167.649994,164.369995,164.589996,637300,152.438049
"175",165.360001,167.139999,163.860001,166.289993,521300,154.012604
"176",166.139999,168.770004,166.139999,168.509995,1041600,156.068695
"177",168.110001,170.470001,168.039993,169.289993,770300,156.791092
"178",169.139999,169.539993,167.660004,168.949997,933900,156.476166
"179",169.110001,172.25,168.279999,171.020004,1086600,158.393402
"180",170.960007,171.149994,168.020004,170.630005,760400,158.032181
"181",170.360001,176.660004,170.360001,175.179993,1072500,162.246216
"182",175.169998,176.699997,174.759995,175.589996,436300,162.625931
"183",175.889999,177.550003,175.210007,176.610001,577000,163.570648
"184",176.889999,179.089996,175.630005,178.789993,749500,165.589691
"185",179.149994,181.639999,177.270004,180.990005,803500,167.627274
"186",181.380005,183.070007,177.25,180.860001,1188300,167.506882
"187",179.929993,182.169998,178.619995,180.080002,601800,166.784454
"188",179.800003,181.990005,179.460007,179.75,562900,166.478821
"189",179.75,182.970001,179,182.220001,675300,168.766449
"190",182,182.639999,180.580002,182.360001,519800,168.896118
"191",182.229996,182.860001,179.490005,180.899994,849400,167.5439
"192",181,182.940002,180.009995,182.25,509600,168.79422
"193",181.5,182.830002,179.520004,180.070007,558300,166.775223
"194",180.320007,181.800003,177.039993,177.600006,683600,164.487564
"195",177.990005,179.440002,173.360001,173.910004,1039500,161.070007
"196",169.770004,172.919998,166.460007,172.5,1424000,159.764114
"197",172.399994,177.679993,172.399994,177.550003,807100,164.441238
"198",178.029999,181.929993,177.710007,181.050003,1259300,167.682861
"199",181.309998,182.949997,179.649994,182.360001,1568400,168.896118
"200",188.25,207.800003,186.429993,205.419998,6078300,190.253586
"201",209.110001,213.75,206.179993,208.809998,3059700,193.39328
"202",207.429993,207.889999,202.839996,204.649994,1782500,189.540405
"203",205.589996,210.169998,204.759995,207.809998,881400,192.467117
"204",207.429993,210.800003,206.889999,209.5,893200,194.032333
"205",210.5,211.729996,198.039993,198.350006,2003300,183.705551
"206",197.070007,197.5,192.639999,197.130005,1994900,182.575653
"207",197.880005,205.169998,195.070007,201.179993,1486500,186.326645
"208",200.350006,201.309998,197.770004,199.759995,999400,185.011459
"209",200.039993,203.559998,199.320007,199.389999,1025000,184.668808
"210",200.539993,202.529999,197.509995,197.699997,766100,183.103546
"211",199.75,200.75,194.289993,195.580002,928100,181.14006
"212",196.229996,199.229996,193.070007,199.029999,977900,184.335358
"213",199.029999,201.320007,198.009995,200.009995,722200,185.242996
"214",199.320007,204.770004,199.289993,203.580002,842100,188.549423
"215",204,206,201.410004,205.179993,858300,190.031235
"216",205.160004,210.309998,203.800003,208.130005,1068500,192.763504
"217",205.839996,209.020004,200.080002,206.070007,1762700,190.85556
"218",204.009995,214.5,202.360001,203.479996,2439500,189.634705
"219",203.199997,203.199997,194.210007,195.789993,1298800,182.467941
"220",194.5,196.320007,191.389999,195.580002,1028900,182.272247
"221",194.630005,198.240005,193.5,195.729996,880400,182.412048
"222",195.919998,200.610001,195.729996,198.5,581200,184.993561
"223",198.210007,200.720001,196.779999,197.820007,588500,184.359848
"224",197.720001,199.770004,196.940002,199.619995,650400,186.037338
"225",200,201.949997,198.070007,199.630005,822400,186.046677
"226",200.429993,204.759995,200.160004,200.399994,378600,186.764282
"227",201.929993,202,198.25,200.149994,219000,186.531296
"228",200.679993,203.509995,200.330002,203.100006,549000,189.280533
"229",203.300003,212.119995,202.240005,211.570007,1036200,197.17424
"230",211.570007,218.330002,210.729996,216.770004,1262600,202.020432
"231",216.75,222.410004,216.130005,221.309998,1093000,206.251495
"232",221.070007,221.309998,215,218.229996,999900,203.381042
"233",221.410004,231.910004,221.410004,227.5,1487300,212.02034
