"","ALB.Open","ALB.High","ALB.Low","ALB.Close","ALB.Volume","ALB.Adjusted"
"321",93.650002,94.089996,92.32,93.389999,1185400,88.455383
"322",96.139999,96.440002,94.440002,95.5,1999300,90.453888
"323",96.449997,97.57,94.540001,96.870003,1415800,91.751495
"324",97.639999,97.959999,95.839996,96.629997,1164200,91.524193
"325",97.260002,99.779999,97.050003,98.790001,1145700,93.570061
"326",99,99.699997,96.919998,98.589996,1526400,93.380615
"327",98.230003,98.32,97.110001,97.75,912300,92.584991
"328",97.669998,98.5,97.029999,97.339996,804900,92.196678
"329",97.849998,98.5,94.110001,95.779999,1328600,90.719086
"330",95.800003,96.220001,94.480003,95.459999,870800,90.416008
"331",95.839996,97.309998,94.559998,96.550003,1030400,91.448418
"332",96.410004,97.660004,96.139999,96.949997,857100,91.827278
"333",96.959999,98.839996,96.709999,96.959999,1441900,91.836754
"334",96.269997,97.620003,95.660004,97.620003,1221600,92.461891
"335",97.599998,99.769997,97.559998,97.839996,1398300,92.670242
"336",97.849998,99.239998,96.510002,97.889999,1384000,92.71759
"337",97.610001,100.779999,97.519997,100.059998,1294300,94.772934
"338",100.110001,102.379997,99.690002,100.110001,1388200,94.82032
"339",100,101.389999,99.5,100.720001,1680600,95.398071
"340",101.720001,102.769997,100.169998,101.75,1934900,96.37365
"341",101.459999,101.889999,96.639999,98.389999,3860700,93.191185
"342",98,99.029999,97.760002,98.540001,1683200,93.333267
"343",99.300003,101.129997,98.980003,99.239998,1525200,93.996277
"344",99.080002,101.75,98.029999,100.809998,1728400,95.483299
"345",101.150002,102.900002,101.07,102.349998,1545800,96.941948
"346",102.620003,105.870003,102.5,104.800003,2770400,99.262489
"347",105,106.300003,104.150002,104.919998,2305800,99.37616
"348",105.5,106.400002,103.510002,104.07,1853900,98.571068
"349",104.540001,105.139999,102.129997,102.339996,1034200,96.932472
"350",101.339996,102.25,100.800003,101.839996,907200,96.458893
"351",99.580002,99.970001,94.949997,95.019997,3516900,89.99926
"352",94.400002,95.309998,93.370003,94.82,1741900,89.809822
"353",94.580002,94.790001,92.610001,93.029999,1612200,88.114403
"354",93.589996,94.449997,93,93.589996,1241000,88.644806
"355",93.559998,94.32,93.25,93.470001,1430000,88.531158
"356",93.5,95.080002,93.5,94.260002,1242800,89.279411
"357",94.57,95,93.830002,94.440002,962300,89.449905
"358",94.5,95.339996,94.290001,94.650002,973300,89.648811
