"","TRV.Open","TRV.High","TRV.Low","TRV.Close","TRV.Volume","TRV.Adjusted"
"1",123.07,123.07,120.260002,120.900002,1955400,108.031784
"2",120.870003,121.739998,120.220001,120.25,1780200,107.450951
"3",119.290001,119.5,117.279999,118.330002,2696500,105.735336
"4",117.830002,118.709999,117.620003,118.269997,1532300,105.681717
"5",118.150002,118.25,117.300003,117.32,1526200,104.83284
"6",116.690002,117.720001,116.449997,117.18,1758800,104.707733
"7",117.220001,118.150002,117.190002,117.650002,1433600,105.127724
"8",117.25,117.269997,115.879997,116.75,1679200,104.323509
"9",117.269997,117.849998,116.699997,117.050003,1543800,104.59156
"10",117.010002,118.160004,116.620003,117.459999,1607900,104.957939
"11",118.080002,118.589996,117.139999,118.540001,1486800,105.922989
"12",118.910004,118.949997,117.419998,117.989998,994700,105.431519
"13",118.57,118.889999,117.629997,118.019997,1222300,105.458321
"14",118.160004,118.260002,117.43,118.040001,1593300,105.476196
"15",118.550003,119.150002,116.160004,116.839996,3038300,104.403938
"16",117.330002,118.650002,117.330002,117.669998,1536100,105.145569
"17",117.650002,118.43,117.650002,118.129997,1360800,105.55661
"18",118.400002,118.43,117.43,118.099998,961500,105.529831
"19",118.019997,118.019997,117.160004,117.510002,1201000,105.002617
"20",117.540001,117.809998,117.010002,117.779999,1478000,105.243858
"21",117.690002,118.239998,116.25,116.540001,1402600,104.135864
"22",116.550003,117.809998,116.550003,117.629997,1082000,105.109833
"23",118.419998,118.650002,117.599998,117.779999,1355200,105.243858
"24",116.459999,117.940002,116.459999,117.669998,988000,105.145569
"25",118.099998,118.220001,117.400002,117.760002,1161700,105.22599
"26",117.489998,117.980003,117.360001,117.809998,905100,105.270676
"27",117.889999,119.169998,117.849998,118.779999,1099900,106.137436
"28",119,120.209999,118.989998,119.730003,1202500,106.986328
"29",117.370003,120.099998,117.290001,119.709999,1519200,106.968437
"30",119.709999,120.32,119.489998,120.239998,1397100,107.442039
"31",120.650002,120.989998,120.110001,120.980003,1416100,108.103279
"32",121.050003,121.790001,120.730003,121.790001,1502900,108.827072
"33",121.720001,122,121.080002,121.949997,1334400,108.970032
"34",121.809998,122.449997,121.059998,121.550003,1245600,108.612625
"35",121.419998,122.419998,121.269997,121.900002,1184100,108.925362
"36",122.410004,123.080002,121.709999,122.360001,1134100,109.336403
"37",122.360001,122.68,121.739998,122.269997,1698600,109.255966
"38",121.860001,122.760002,121.610001,122.040001,914300,109.050461
"39",122.050003,122.959999,121.790001,122.239998,1966000,109.229164
"40",123.809998,125.160004,122.980003,124.989998,2619600,111.686462
"41",125.489998,125.489998,124.470001,124.519997,1531400,111.266487
"42",124.519997,125.160004,123.989998,124.129997,1512900,110.918022
"43",124.029999,124.279999,122.290001,122.32,2417900,109.300652
"44",122.629997,122.629997,121.68,122.139999,1773900,109.139809
"45",122.349998,122.760002,121.050003,121.239998,2193500,108.933151
"46",121.650002,122.300003,121.360001,121.900002,1707300,109.526169
"47",122.32,122.860001,121.75,122.830002,1281600,110.361755
"48",122.540001,122.919998,121.809998,122.150002,1069100,109.750801
"49",121.769997,122.849998,121.75,122.620003,903600,110.173065
"50",123,123.150002,122.309998,122.989998,1117800,110.505508
"51",122.980003,123.519997,122.279999,122.739998,1166600,110.280899
"52",122.949997,123.169998,122.169998,123.139999,3103600,110.640282
"53",122.980003,122.980003,122.010002,122.360001,1485900,109.939484
"54",122.790001,122.849998,121.400002,121.690002,1240200,109.337486
"55",121.919998,122.18,121.169998,122.029999,996400,109.642975
"56",121.639999,122.279999,121.129997,121.290001,1054200,108.978088
"57",121.379997,121.410004,120.239998,120.769997,1334200,108.510857
"58",120.169998,121.110001,120.010002,121.010002,1087700,108.726517
"59",120.760002,121.889999,120.440002,121.800003,1187300,109.436317
"60",121.510002,121.580002,120.5,120.529999,1133700,108.295235
"61",120.360001,121.260002,120.360001,121.029999,1093100,108.744484
"62",120.93,121,120.169998,120.540001,1114300,108.304207
"63",120.57,120.809998,119.800003,120.379997,1135500,108.160446
"64",120.639999,120.790001,120.199997,120.610001,901800,108.367111
"65",120.980003,121.540001,120.550003,120.910004,1284600,108.63665
"66",121,121.07,120.190002,120.540001,1226500,108.304207
