"","DOV.Open","DOV.High","DOV.Low","DOV.Close","DOV.Volume","DOV.Adjusted"
"1",61.639744,62.625202,60.920841,61.728596,1637998,56.32021
"2",61.882069,62.075928,61.445881,62.019386,1165948,56.585522
"3",61.793217,62.431339,61.074314,61.817448,1155178,56.401272
"4",62.46365,63.780293,62.390953,62.778675,3123350,57.278286
"5",62.705978,62.924072,61.744751,61.970921,1271055,56.541298
"6",62.302101,62.79483,61.777061,62.213245,1811689,56.762394
"7",62.269791,63.998383,62.140549,63.941841,1800176,58.339539
"8",63.869144,63.957996,62.374798,63.303715,1144283,57.75732
"9",64.458801,65.831985,63.739902,64.337639,2165386,58.700661
"10",63.974152,64.184166,62.980614,63.150242,1620542,57.617298
"11",63.045235,63.747982,63.045235,63.32795,1197394,57.77943
"12",63.602585,63.990307,62.754444,63.206783,1460469,57.668884
"13",63.497578,64.030693,63.31987,63.828754,1213364,58.236362
"14",63.554119,63.925686,62.770599,63.384491,1065051,57.83102
"15",63.537964,65.218094,63.384491,65.03231,1391264,59.334473
"16",65.411957,65.977386,64.709206,65.799675,2221096,60.034595
"17",64.99192,66.494347,63.554119,64.886917,2627160,59.201805
"18",65.153473,65.153473,64.103394,64.450729,1597763,58.803844
"19",64.305328,64.305328,62.552505,63.35218,1470249,57.801544
"20",63.206783,63.28756,62.116318,62.80291,3571630,57.300392
"21",63.255249,63.683361,62.447495,63.182552,1532520,57.646774
"22",62.924072,63.158321,62.455574,62.843296,1074460,57.337238
"23",63.021004,63.91761,62.980614,63.683361,1004266,58.103706
"24",63.400646,63.594505,62.754444,63.012924,777959,57.492012
"25",63.247173,63.675282,62.399033,62.722134,1320698,57.226688
"26",62.552505,62.915993,61.970921,62.810986,1373066,57.307755
"27",63.06139,63.772213,62.689823,63.691437,1189347,58.111069
"28",63.852989,64.240707,63.699516,64.038773,803338,58.427979
"29",64.273018,64.983849,64.208405,64.297256,959698,58.663815
"30",63.651051,64.418419,63.651051,64.418419,867962,58.774361
"31",64.224556,64.781906,64.071083,64.741516,824137,59.069141
"32",64.854607,64.854607,64.022614,64.604202,988172,58.943867
"33",64.240707,64.571892,63.764137,64.571892,1238743,58.914391
"34",64.547661,65.56543,64.450729,65.331177,1231686,59.60714
"35",64.491112,66.12278,64.491112,65.363487,2367551,59.636627
"36",65.759293,65.985458,64.563812,64.854607,1807232,59.172329
"37",63.861065,64.668823,63.077545,64.668823,982724,59.327946
"38",64.51535,65.072701,64.281097,64.838448,1159882,59.483566
"39",64.604202,65.274635,64.39418,64.701134,1446851,59.357594
"40",65.630051,66.68821,65.630051,66.090469,1367742,60.632172
"41",65.831985,65.977386,64.975769,65.04039,766446,59.668823
"42",65.04039,65.452339,64.547661,64.935379,722125,59.572487
"43",63.925686,65.088852,63.901455,64.975769,1041653,59.609547
"44",65.048462,65.048462,64.079163,64.127625,1092164,58.831444
"45",64.127625,64.636513,62.358643,62.399033,3024310,57.245613
"46",62.23748,62.455574,60.993538,61.663975,3120874,56.571262
"47",62.326332,62.552505,61.276253,62.043617,2326450,56.919548
"48",61.9063,62.738289,61.9063,62.705978,1382722,57.52721
"49",61.882069,62.310177,61.365105,62.245556,1199127,57.104816
"50",62.705978,64.248787,62.479805,64.079163,1806613,58.786983
