"","MKC.Open","MKC.High","MKC.Low","MKC.Close","MKC.Volume","MKC.Adjusted"
"674",82.239998,82.540001,81.754997,82.489998,1134200,79.779686
"675",82.474998,82.474998,80.275002,80.599998,1359800,77.951782
"676",80.175003,80.279999,77.050003,78,3555800,75.437218
"677",77.625,79.434998,77.470001,78.714996,1477400,76.128723
"678",79.504997,80.535004,78.790001,78.904999,1128800,76.312492
"679",78.434998,79.445,77.915001,78.559998,967200,75.978806
"680",78.224998,79.489998,78.125,79.139999,799800,76.539764
"681",79.370003,80.540001,79.294998,79.489998,1278600,76.878242
"682",79.845001,80.089996,78.714996,79.625,1237200,77.008835
"683",79.834999,80.495003,79.595001,80.014999,1144800,77.386002
"684",80.334999,80.635002,80.044998,80.07,1826200,77.439209
"685",80.519997,81.415001,79.855003,79.904999,900200,77.279602
"686",80.389999,80.989998,79.434998,79.919998,1357400,77.294121
"687",80.089996,80.629997,79.68,80.275002,1035800,77.637459
"688",80.934998,80.985001,80.135002,80.300003,1108600,77.661644
"689",80.535004,80.620003,77.964996,78.400002,1681200,75.824074
"690",78.410004,78.82,78.004997,78.150002,2033600,75.582291
"691",79.370003,84.43,79.324997,83.474998,6256600,80.732323
"692",82.830002,83.220001,81.254997,82.370003,2515400,79.663635
"693",82.504997,83.989998,82.449997,83.675003,2132200,80.925758
"694",83.675003,84.5,83.394997,84.480003,1115600,81.983543
"695",84.114998,84.565002,83.379997,84.110001,1162200,81.624481
"696",84.160004,84.220001,83.32,83.32,1123400,80.857819
"697",83.389999,83.555,82.18,83.199997,1133600,80.741371
"698",82.544998,83.610001,82.175003,82.845001,1188200,80.396858
"699",82.974998,82.974998,82.025002,82.379997,1240400,79.945602
"700",82.5,82.964996,81.379997,81.504997,923400,79.096458
"701",81.824997,81.830002,80.410004,80.5,1077200,78.12117
"702",80.730003,80.730003,79.875,80.214996,1135200,77.844582
"703",80.440002,81.589996,80.230003,81.050003,1038600,78.654915
"704",80.919998,81.135002,80.764999,80.794998,1148600,78.40744
"705",80.695,81.440002,80.584999,81.190002,1074400,78.790771
"706",81.440002,81.709999,80.230003,80.25,1299600,77.878548
"707",80.324997,80.574997,79.599998,80.230003,954400,77.859146
"708",80.205002,80.260002,79.470001,80,885000,77.635941
"709",80.105003,80.175003,79.095001,79.690002,1112200,77.335098
"710",79.955002,80.205002,79.504997,80.110001,1085000,77.742699
"711",80.169998,81.555,80.010002,81.209999,916200,78.810181
"712",81.364998,81.955002,80.724998,81.529999,993400,79.120728
"713",81.43,81.529999,80,80.345001,1224400,77.970726
"714",80.410004,81.010002,80.110001,80.315002,814600,77.941628
"715",80.25,80.654999,78.805,79.230003,1892200,76.888687
"716",79.040001,79.805,78.93,79.510002,1629600,77.160416
"717",79.629997,80.315002,79.360001,79.660004,1145400,77.305977
"718",79.5,80.294998,78.945,80.214996,1041200,77.844582
"719",80.035004,80.239998,79.245003,79.845001,1203200,77.485512
"720",79.754997,80.375,79.675003,80.220001,1106600,77.849434
"721",80.214996,80.605003,79.800003,80.559998,1025400,78.179382
"722",80.614998,81.910004,80.379997,81.830002,1082800,79.411858
"723",81.980003,82.059998,81.334999,81.555,937400,79.144981
"724",81.495003,81.495003,80.349998,81.190002,3128600,78.790771
"725",81.235001,82.790001,80.464996,82.735001,1830200,80.290115
"726",82.724998,83.205002,82.305,82.980003,778000,80.527878
"727",83.074997,84.080002,82.720001,83.974998,1220800,81.493469
"728",83.754997,83.955002,83,83.214996,1290800,80.755928
"729",83.370003,83.724998,82.25,83.455002,906000,80.988838
"730",83.714996,83.75,82.875,83.309998,950800,80.848114
"731",83.485001,84.489998,83.074997,84.464996,1814800,81.968987
"732",84.464996,85.199997,83.875,84.714996,938200,82.211609
"733",84.764999,84.989998,84.445,84.625,1008800,82.124252
"734",84.425003,84.754997,83.964996,84.605003,1043000,82.104851
"735",84.525002,85.485001,84.089996,85.419998,1137000,82.895767
"736",84.785004,85.915001,84.669998,85.684998,963800,83.152939
"737",85.580002,86.120003,85.224998,86.089996,854600,83.545959
"738",86.199997,86.654999,85.779999,85.995003,743400,83.453773
"739",86.105003,86.474998,85.794998,86.370003,750800,83.817703
"740",84.495003,85.980003,84.004997,85.68,1175200,83.148079
"741",85.665001,85.805,84.550003,85.324997,901200,82.803574
"742",84.904999,85.404999,83.165001,83.230003,1194000,80.770493
"743",82.985001,83.93,82.834999,83.75,1103600,81.275116
"744",83.910004,84.120003,83.540001,83.809998,1537600,81.333351
"745",83.800003,84.305,83.355003,83.514999,908400,81.047066
"746",83.855003,84.065002,83.239998,83.735001,1170600,81.260559
"747",83.614998,84.565002,83.599998,84.154999,1061800,81.668152
"748",84.595001,85.105003,84.105003,84.125,3253800,81.639038
"749",84.544998,84.870003,83.574997,83.625,833800,81.153816
"750",83.68,84.305,83.610001,84.125,435200,81.639038
"751",84.144997,84.849998,83.934998,84.809998,1426200,82.30381
"752",84.989998,86.074997,84.910004,85.925003,1085400,83.385841
"753",85.419998,85.464996,84.474998,85.190002,1566600,82.971909
"754",85.190002,85.495003,84.834999,84.864998,1795200,82.655373
"755",84.684998,85.285004,83.684998,83.764999,1561200,81.584015
"756",83.834999,85.464996,83.565002,85.099998,1469800,82.884262
"757",85.129997,85.860001,84.809998,85.610001,1326600,83.380974
"758",85.364998,85.57,84.080002,84.139999,1432000,81.949257
"759",84.635002,84.769997,83.650002,83.690002,1014400,81.510963
"760",82.355003,82.860001,80.555,81.120003,2770800,79.007874
"761",80.860001,82.485001,80.860001,82.114998,1100000,79.976974
"762",82.150002,83.010002,82.150002,82.650002,1232200,80.498039
"763",82.754997,83.510002,82.754997,83.445,1898600,81.272346
"764",83.584999,84.620003,83.584999,83.805,1453000,81.622971
"765",83.964996,84.080002,83.059998,83.574997,1698200,81.398956
"766",83.665001,84.379997,83.489998,84.339996,1084200,82.144043
"767",84.425003,85.675003,84.364998,85.574997,1982600,83.346886
