"","MLM.Open","MLM.High","MLM.Low","MLM.Close","MLM.Volume","MLM.Adjusted"
"1",223.490005,225.639999,219.5,223.330002,752900,214.413727
"2",223.240005,227.679993,222.809998,226.360001,664900,217.322784
"3",226.149994,229.649994,225.110001,226.520004,649800,217.476395
"4",226.080002,226.240005,219.529999,219.839996,818400,211.063065
"5",219.880005,221.600006,218.5,219.360001,643700,210.602219
"6",220.070007,222.470001,219.240005,220.559998,587700,211.754318
"7",221.639999,222.240005,219.789993,221.949997,415700,213.088821
"8",222.139999,222.5,216.800003,219.919998,611700,211.139893
"9",219.619995,221.610001,219.050003,220.669998,478800,211.85994
"10",220.949997,220.949997,217.110001,219.860001,635400,211.08226
"11",220.149994,225.889999,219.399994,225.360001,622900,216.362656
"12",225.929993,227.320007,225.020004,225.759995,727600,216.746735
"13",227.119995,229.149994,226.479996,227.75,612700,218.657272
"14",228.600006,229.860001,225.509995,227.360001,607300,218.282822
"15",229.199997,235.570007,228.389999,234.5,727500,225.137802
"16",237.570007,243.289993,237.559998,242,1432800,232.338318
"17",242.020004,243.979996,239.830002,241.619995,795300,231.973526
"18",242.570007,242.740005,238.729996,239.779999,420100,230.206985
"19",238,238,233.279999,235.309998,606800,225.915436
"20",234.889999,236.690002,226.740005,229.600006,1151100,220.433411
"21",231.289993,232.229996,228.550003,230.5,649300,221.297485
"22",229.479996,230.369995,227.059998,228.589996,602900,219.463776
"23",229.860001,233.330002,228.610001,230.910004,491100,221.691116
"24",230.860001,231.559998,229.690002,230.580002,524200,221.374252
"25",223.869995,229,221.330002,226.619995,1086700,217.572388
"26",226.619995,228.649994,223.330002,226.25,500400,217.217148
"27",227,227.330002,224.850006,225.320007,520100,216.32431
"28",226.889999,231.160004,226.449997,230.320007,519600,221.12468
"29",232.660004,234.429993,230.029999,231.389999,664300,222.151932
"30",226.619995,229.110001,221.360001,226.410004,1557100,217.370773
"31",224.649994,226.289993,219.960007,222,1739600,213.136856
"32",221.949997,222.720001,220,221.529999,772600,212.685547
"33",220.820007,221,215.259995,217.550003,835100,208.864502
