"","ESS.Open","ESS.High","ESS.Low","ESS.Close","ESS.Volume","ESS.Adjusted"
"460",250.330002,257.970001,250.270004,256.549988,683100,234.065948
"461",257.279999,259.109985,253.779999,255.639999,1107800,233.235718
"462",256.309998,256.309998,250.429993,250.779999,746800,228.801682
"463",251.5,252.839996,249.190002,252.649994,474700,230.507736
"464",251.740005,252.360001,246.850006,247.880005,477300,226.155807
"465",248.75,251.889999,247.720001,249.580002,673200,227.706802
"466",249.259995,251.710007,248.970001,250.039993,459200,228.126495
"467",254,257,252.589996,255,554800,232.651794
"468",253.850006,256.190002,251.279999,253.720001,344100,231.483994
"469",253.630005,254.869995,252.229996,253.929993,394900,231.675583
"470",254.029999,257.76001,254.029999,254.699997,407400,232.378098
"471",254.839996,256.339996,253.089996,255.220001,511000,232.852524
"472",256.059998,256.329987,252.509995,253.199997,414200,231.009567
"473",251.860001,252.309998,248.339996,250.720001,398100,228.746918
"474",250.889999,255.960007,250.710007,255.669998,355400,233.263107
"475",256.109985,258.279999,254.529999,257.809998,463900,235.215546
"476",257.779999,260.029999,256.420013,258.359985,563900,235.717331
"477",258.059998,262.230011,257.899994,258.73999,266100,236.063995
"478",258.100006,258.549988,255.460007,256.540009,94200,234.05687
"479",257.76001,258.119995,255.279999,256.420013,268300,233.947388
"480",256.73999,258.640015,255.399994,258.320007,226800,235.680817
"481",258.019989,260.23999,258.019989,260.23999,233900,237.432541
"482",259.859985,260.329987,256.929993,259.339996,227900,236.611465
"483",261.799988,262.589996,259.119995,262.51001,351400,239.503647
"484",262.670013,264.720001,260.829987,262.779999,305900,239.749969
"485",262.700012,264.709991,259.149994,259.589996,294100,236.839523
"486",259.350006,265.940002,256.059998,265.679993,440700,242.395798
"487",265.880005,267.410004,262.920013,263.660004,329400,240.552841
"488",263.910004,263.910004,258.859985,262.600006,238000,239.58577
"489",264.640015,265.899994,263.160004,263.290009,236500,240.215286
"490",264.73999,265.309998,258.01001,258.119995,325000,235.498352
"491",258.440002,264.690002,258.390015,261.730011,255900,238.792023
"492",261.390015,262.73999,260.450012,262.279999,218800,239.293777
"493",263.549988,264.649994,253.309998,254.270004,483700,231.985794
"494",255.619995,259.579987,255.600006,258.089996,361900,235.470993
"495",258.01001,258.709991,254.270004,255.600006,404700,233.199249
"496",256.459991,258.790009,253.130005,255.389999,412000,233.007645
"497",254.589996,262.75,251.660004,251.75,878900,229.686646
"498",251.960007,252.5,239.600006,239.649994,299100,218.64711
"499",240.179993,245.139999,237.839996,244.800003,386900,223.345734
"500",243.759995,245.889999,238.699997,245.710007,561800,224.175995
"501",248.490005,249.139999,243,246.059998,283400,224.495285
"502",244.699997,245.479996,241.580002,245.210007,231100,225.423813
"503",243.350006,243.350006,235.509995,236.589996,417200,217.499374
"504",236.059998,240.880005,236.059998,237.839996,356200,218.648483
"505",238.919998,240.940002,237.360001,238.300003,344600,219.071396
"506",239.289993,242.240005,238.059998,239.289993,340600,219.981506
"507",240.149994,245.929993,239.399994,245.270004,386300,225.478989
"508",244.899994,245.369995,242.830002,245.059998,220100,225.285904
"509",244.869995,249.130005,244.220001,248.679993,345700,228.6138
"510",248.710007,249.699997,247.669998,249.429993,321300,229.303284
"511",248.820007,250.550003,247.449997,248.889999,171400,228.80687
"512",249.130005,253.770004,249.130005,252.600006,291300,232.217484
"513",252.229996,257.829987,251.330002,256.660004,417600,235.94989
"514",255.710007,259.829987,255.710007,258.179993,419300,237.347229
"515",259.549988,260.059998,257.48999,259.929993,310800,238.956039
"516",260.220001,261.700012,258.76001,261.269989,385500,240.187897
"517",261.079987,262,259.790009,261.799988,291900,240.67514
"518",261.529999,262.730011,259.329987,261.600006,230700,240.491302
"519",261.859985,264.540009,261.519989,262.820007,468500,241.612869
"520",261.899994,267.170013,261.540009,266.480011,384200,244.977478
"521",266.829987,269.059998,265.899994,268.910004,309100,247.211411
"522",267.880005,284.089996,267.880005,271.01001,418300,249.141968
"523",269.950012,272.73999,265.369995,271.200012,784100,249.316681
"524",271.309998,271.700012,265.540009,270.089996,349400,248.296204
"525",269.329987,274.790009,268.160004,274.690002,318500,252.52504
"526",274.679993,277.369995,272.059998,276.920013,313300,254.57515
"527",277.25,277.25,274.339996,275.51001,251200,253.278915
"528",272.76001,277.880005,272.76001,277.459991,230700,255.071487
"529",275.98999,278.320007,275.940002,278.070007,344800,255.632294
"530",278,280.109985,277,278.660004,286000,256.174713
"531",278.450012,278.450012,274.420013,276.579987,341500,254.262558
"532",275.630005,278.640015,274.709991,278.029999,229400,255.595535
"533",278.410004,279.450012,275.899994,277.850006,181800,255.430023
"534",279.269989,279.690002,277.179993,278.820007,261800,256.321838
"535",278.779999,280.640015,278.170013,280.23999,242600,257.627197
"536",280.029999,280.029999,274.820007,276.790009,259700,254.455658
"537",275.779999,280.399994,274.549988,280.01001,207500,257.415833
"538",280.790009,282.929993,279.350006,281.470001,209600,258.757935
"539",282.619995,282.619995,278.76001,279.390015,212100,256.845795
"540",279.98999,280.459991,278.470001,280.040009,180300,257.443359
"541",279.119995,280.059998,276.549988,279.839996,169800,257.259491
"542",280.029999,284.209991,279.440002,279.839996,465300,257.259491
"543",280.25,280.25,276.23999,279.089996,248900,256.570007
"544",280.140015,282.470001,278.369995,282.029999,222000,259.272736
"545",281.869995,282.959991,280.619995,281.339996,194300,258.638458
"546",282.070007,282.73999,281.100006,281.369995,292900,258.665985
"547",281.790009,286.049988,281.130005,282.290009,293400,259.51178
"548",281.51001,284.369995,281.440002,283.5,320100,260.624146
"549",284.790009,286.299988,282.769989,285.730011,240100,262.674194
"550",286.149994,287.359985,285.029999,286.98999,220100,263.832581
"551",287.589996,291.149994,287.589996,289.209991,352600,265.873383
"552",289.380005,291.230011,288.589996,290.929993,243400,267.45459
"553",290.100006,290.940002,288.5,289.399994,466900,266.048065
"554",290.100006,290.959991,284.48999,286.25,291300,263.152222
"555",286.149994,286.73999,284.220001,285.730011,255600,262.674194
"556",285.730011,287.5,282.910004,285.26001,257700,262.242157
"557",285.040009,290.049988,285.040009,289.5,251200,266.140045
"558",290.290009,294.609985,290.290009,290.709991,302700,267.252319
"559",289.619995,291.399994,287.130005,288.869995,299600,265.560883
"560",289.089996,292.98999,289.089996,292.859985,164600,269.228912
"561",292.859985,294.109985,290.170013,291.529999,251100,268.006226
"562",289.579987,290.850006,288.440002,290.170013,213400,268.552216
"563",290.390015,291.029999,288.5,289.23999,349000,267.691498
"564",288.839996,288.869995,284.369995,288.269989,270500,266.793732
"565",288.390015,292.470001,285.299988,291.73999,379100,270.00528
"566",291.359985,291.679993,287.910004,290.079987,322100,268.468933
"567",290.679993,290.940002,285.850006,287.779999,270900,266.340302
"568",288.359985,289.5,286.709991,289.350006,285000,267.793365
"569",289.399994,289.399994,285.920013,287.5,281800,266.081116
"570",287.630005,288.130005,286.220001,287.459991,235000,266.044159
"571",288.190002,289.640015,287.769989,288.700012,330100,267.191772
"572",289.140015,290.279999,287.820007,289.820007,151900,268.228363
"573",289.029999,290.179993,286.480011,290.160004,245100,268.542969
"574",290.589996,291.309998,288.220001,288.700012,275300,267.191772
"575",288.070007,288.75,277.980011,278.5,452400,257.751678
"576",279.329987,279.329987,273.559998,274.630005,312800,254.169952
"577",274.790009,278.5,274.279999,278.290009,298500,257.557312
"578",277.359985,277.359985,271.579987,275.170013,272300,254.6698
"579",275.859985,278.809998,274.26001,276.899994,310600,256.270905
"580",278.640015,279.549988,276.690002,278.660004,403600,257.89975
"581",278.570007,282.980011,277.769989,278.339996,353600,257.603638
"582",279.98999,283.100006,278.769989,281.429993,288400,260.463348
"583",281.920013,282.920013,277.540009,277.649994,173200,256.964966
"584",277.600006,283.200012,276.980011,282.5,499100,261.453644
"585",282.130005,287.859985,281.75,283.679993,368400,262.545776
"586",283.839996,286.899994,281.75,283.059998,261700,261.971924
"587",283.929993,285.019989,281.690002,284.339996,220100,263.156586
"588",284.559998,285.779999,281.670013,283.859985,159800,262.712311
"589",283.519989,284.459991,276.76001,278.910004,239300,258.131134
"590",279.809998,281.970001,278.359985,278.480011,226100,257.733154
"591",278.079987,281.23999,276.549988,280.089996,240600,259.223236
"592",279.959991,284.929993,279.959991,283.839996,277900,262.693848
"593",283.160004,284.440002,281.609985,283.609985,370000,262.480927
