"","JPM.Open","JPM.High","JPM.Low","JPM.Close","JPM.Volume","JPM.Adjusted"
"1",87.339996,87.760002,85.980003,87.230003,20550700,76.10527
"2",86.959999,87.18,86.400002,86.910004,15266600,76.245651
"3",86.809998,87.110001,85.260002,86.110001,14300800,75.543793
"4",86.389999,86.620003,85.940002,86.120003,12893300,75.552582
"5",85.730003,86.769997,85.519997,86.18,12806600,75.605217
"6",86.07,86.900002,85.720001,86.43,13989000,75.824547
"7",86.43,87.080002,85.910004,87.080002,14713100,76.394791
"8",86.760002,87.269997,86.019997,86.239998,21337400,75.65786
"9",87.110001,88.169998,86.099998,86.699997,28296000,76.061394
"10",84.93,85.220001,83.279999,83.550003,30024600,73.297935
"11",83.629997,84.230003,83.029999,83.940002,21270100,73.640083
"12",84.059998,84.669998,83.120003,83.300003,16555600,73.078606
"13",83.43,83.830002,83.290001,83.669998,18436800,73.403214
"14",83.300003,84,83.209999,83.709999,12179200,73.438316
"15",83.919998,85,83.559998,84.720001,15175300,74.324364
"16",85.839996,86.169998,85.169998,86.029999,17551000,75.473633
"17",85.949997,86.949997,85.949997,86.75,15962800,76.10527
"18",86.660004,86.980003,86.269997,86.93,12535400,76.263176
"19",86.190002,86.5,85.32,86.029999,13661900,75.473633
"20",85.599998,86.150002,84.089996,84.629997,15655100,74.245415
"21",85.540001,86.099998,84.68,84.949997,15430900,74.526154
"22",84.339996,84.910004,84.160004,84.589996,11081400,74.21032
"23",86.190002,87.309998,85.870003,87.18,17885200,76.482506
"24",86.790001,87.449997,86.610001,86.769997,11828400,76.122833
"25",87.139999,87.400002,86.480003,86.720001,9392800,76.078972
"26",86.18,86.309998,85.370003,85.959999,13970900,75.412231
"27",85.959999,87.330002,85.959999,87.199997,13749100,76.500061
"28",87.480003,87.480003,86.889999,87,10992500,76.3246
"29",87.440002,88.739998,87.43,88.150002,18739100,77.333511
"30",88.300003,89.699997,88.110001,89.559998,17932100,78.57048
"31",90.080002,90.870003,89.349998,90.589996,17381800,79.474083
"32",90.400002,91.040001,89.769997,90.529999,17672700,79.421432
"33",89.82,90.470001,89.690002,90.230003,15776600,79.158272
"34",90.510002,91.150002,90.459999,91.010002,14068300,79.842545
"35",90.519997,91.300003,90.419998,91.059998,11839000,79.886414
"36",91.18,91.339996,90.519997,91.129997,11067000,79.94783
"37",90.18,90.540001,89.730003,90.330002,15062300,79.246002
"38",90.32,90.730003,90.019997,90.43,12361000,79.333733
"39",89.849998,90.82,89.589996,90.620003,15183500,79.500412
"40",92.790001,93.980003,92.610001,93.599998,24451400,82.114723
"41",93.870003,93.919998,92.029999,92.139999,16862500,80.833893
"42",92.139999,93.110001,92.139999,92.800003,12817500,81.41291
"43",92.25,92.32,91.099998,91.919998,15059200,80.640907
"44",91.639999,92.089996,91.209999,91.410004,11156800,80.193459
"45",92.68,92.849998,91.099998,91.209999,17378400,80.017998
"46",91.599998,92.139999,91.150002,91.57,13726200,80.333824
"47",91.949997,92,90.529999,91.279999,13729900,80.079414
"48",91.309998,91.779999,90.93,91.360001,10004300,80.149612
"49",91.019997,91.650002,90.769997,91.510002,10237700,80.281197
"50",91.800003,92.550003,91.129997,91.730003,16601400,80.474213
"51",92.029999,92.809998,91.57,91.639999,14492000,80.395248
"52",91.830002,92.040001,90.650002,90.68,21734700,79.553032
"53",90.269997,91.169998,89.790001,90.029999,14623600,78.982788
"54",90.360001,90.639999,87.059998,87.389999,33089200,76.666733
"55",86.889999,88.07,86.010002,87.529999,21741000,76.789558
"56",87.209999,88.5,87.089996,87.389999,16090100,76.666733
"57",87.790001,88.089996,86.769997,87.290001,16093200,76.57901
"58",85.529999,87.400002,85.230003,87.239998,16689300,76.535141
"59",87.019997,89.019997,86.980003,88.599998,16264400,77.728279
"60",88.599998,88.82,88.080002,88.269997,10207600,77.438774
"61",88.199997,89.459999,88.120003,89.029999,11631000,78.105507
"62",88.709999,88.739998,87.75,87.839996,16987600,77.061523
"63",87.989998,88.169998,86.599998,87.519997,19831800,76.780785
"64",86.889999,87.669998,86.720001,87.309998,14280800,77.036674
"65",88.419998,88.540001,86.129997,86.190002,17635500,76.048447
"66",85.980003,86.910004,85.25,86.480003,14379600,76.304337
"67",85.93,86.809998,85.709999,86.18,13097100,76.039627
"68",86.080002,86.690002,85.400002,85.879997,15081600,75.774933
"69",85.540001,85.790001,84.800003,85.730003,14690500,75.64257
"70",85.93,85.949997,85.029999,85.400002,14730600,75.35141
"71",85.5,86.989998,84.400002,84.400002,30529800,74.46907
"72",84.440002,86.080002,84.370003,85.860001,19071700,75.757294
"73",85.360001,85.629997,84.739998,85.160004,14127000,75.139648
"74",85.5,85.919998,84.360001,84.459999,17588500,74.522003
"75",84.980003,85.779999,84.550003,85.550003,15635800,75.483772
"76",85.5,85.68,84.510002,84.519997,19820600,74.574951
"77",86.550003,88.050003,86.419998,87.5,25468300,77.204323
"78",88.550003,89.129997,88.260002,88.260002,18253800,77.874893
"79",88.349998,89.050003,88.139999,88.43,12832200,78.024879
"80",88.370003,88.370003,87.010002,87.610001,13329000,77.301376
"81",87.599998,87.849998,86.949997,87,10755600,76.763145
"82",87.360001,87.739998,86.559998,87.059998,15712300,76.816101
"83",86.709999,86.879997,86.019997,86.5,14414200,76.321983
"84",86.059998,87.099998,86.019997,87,11540500,76.763145
"85",87.690002,87.730003,86.57,87.099998,11540100,76.851379
"86",87.25,87.339996,86.419998,87,9436000,76.763145
"87",87.040001,87.32,86.650002,87.099998,8162200,76.851379
"88",87.260002,87.839996,86.5,86.75,10273900,76.542557
"89",86.529999,87.480003,86.470001,87.43,8334900,77.142563
"90",87.089996,87.480003,86.349998,87.160004,10907400,76.904327
"91",86.68,87.050003,86.339996,86.919998,8738800,76.692558
"92",87.099998,87.489998,86.860001,87.339996,8835600,77.063126
"93",87.360001,88.089996,87.339996,87.610001,9795000,77.301376
"94",87.610001,87.610001,83.970001,84.269997,24679700,74.35437
"95",84.07,84.800003,83.360001,83.959999,23350100,74.080841
"96",84.209999,85.339996,84.150002,84.779999,13412900,74.804367
"97",85.18,85.290001,84.209999,84.699997,11636000,74.733765
"98",84.75,86.07,84.510002,85.760002,11753000,75.669044
"99",85.879997,85.970001,85.239998,85.709999,9833800,75.624931
"100",85.989998,86.080002,85.080002,85.349998,12238500,75.307289
"101",85.110001,85.559998,85.019997,85.360001,8113500,75.316124
"102",85.129997,85.150002,83.779999,83.900002,12603200,74.027924
"103",83.730003,83.82,81.639999,82.150002,28327900,72.483818
"104",82.459999,83.080002,81.650002,83.059998,17123500,73.286736
"105",82.290001,82.989998,81.980003,82.639999,14998500,72.916176
"106",82.639999,83.510002,82.580002,82.790001,9080200,73.048531
"107",82.290001,83.220001,82.129997,82.959999,12196800,73.198509
"108",83.309998,84.110001,83.099998,83.910004,13711100,74.036728
"109",83.910004,85.730003,83.889999,84.949997,17951000,74.954369
"110",85.510002,87.050003,85.389999,86.959999,19120200,76.727859
"111",86.959999,87.739998,86.889999,86.980003,16053400,76.745506
"112",87.550003,87.849998,86.980003,87.269997,12557200,77.001381
"113",86.769997,87.309998,85.82,87.089996,16175700,76.84256
"114",86.25,87.080002,86.239998,86.57,12509700,76.383736
"115",86.849998,86.959999,86.019997,86.18,16936600,76.039627
"116",86.970001,88.230003,86.849998,88.07,15972300,77.707245
"117",87.75,87.919998,87.370003,87.519997,11197800,77.221954
"118",87.480003,87.550003,86.760002,87.120003,10005900,76.869041
"119",86.93,87.360001,86.650002,87.019997,12180600,76.780792
"120",87.660004,88,86.610001,86.860001,18812000,76.63961
"121",87.010002,87.669998,86.620003,87.239998,10082400,76.974899
"122",87.709999,88.940002,87.5,88.050003,15415200,77.689598
"123",88.599998,90.07,88.599998,89.82,17466200,79.251312
"124",92.339996,92.650002,90.309998,91.150002,27697800,80.424835
"125",91.959999,92,91.160004,91.400002,16892700,80.645424
"126",91.559998,93.480003,91.410004,92.75,13208100,82.286728
"127",93.120003,93.790001,92.610001,93.68,17535400,83.111809
"128",93.540001,94.510002,92.879997,93.379997,16596100,82.845642
"129",93.959999,94.169998,93.230003,93.849998,12817800,83.262627
"130",93.5,93.68,93.089996,93.190002,13987200,82.677094
"131",93.330002,93.330002,92.279999,92.830002,13262300,82.357697
"132",92.610001,92.830002,92.07,92.510002,13540100,82.073792
"133",92.690002,93.379997,92.339996,93.099998,12820100,82.597229
"134",90.809998,92.610001,90.580002,92.25,22235200,81.843124
"135",91.82,91.989998,91.25,91.389999,14374200,81.080139
"136",90.449997,91.580002,90.32,91.07,14719400,80.796249
"137",91.339996,91.620003,91,91.199997,11651200,80.911575
"138",91.150002,91.720001,90.900002,91.199997,11561700,80.911575
"139",91.059998,91.360001,90.519997,90.889999,10971300,80.636559
"140",90.959999,91.540001,90.910004,91.279999,10725100,80.982552
"141",92.370003,93.519997,92.269997,92.800003,16447700,82.33107
"142",93.099998,93.190002,91.68,91.93,11815500,81.559212
"143",91.830002,92.059998,91.160004,91.550003,12332400,81.222099
"144",91.449997,91.75,90.910004,91.279999,9351900,80.982552
"145",91.510002,92.360001,91.5,91.800003,11520300,81.443901
"146",92.489998,93.139999,92.279999,93.029999,12523700,82.535126
"147",92.870003,93.209999,92.510002,93.110001,10165600,82.606102
"148",92.699997,93.129997,92.239998,92.5,11078800,82.064926
