"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"1",102.379997,103.580002,102.309998,103.5,2227400,93.503723
"2",103.410004,103.980003,103.25,103.660004,2498500,93.648254
"3",103.459999,103.889999,102.400002,103.040001,2215300,93.08815
"4",103.230003,103.269997,102.269997,103.110001,2016500,93.151382
"5",102.949997,103.239998,102.470001,102.470001,1379200,92.573196
"6",102.25,103.040001,102.040001,102.199997,1638700,92.329269
"7",102.269997,103.580002,102.269997,103.199997,1783800,93.232697
"8",102.980003,103.919998,102.239998,103.800003,1546400,93.77475
"9",103.769997,104.089996,103.169998,103.769997,1627600,93.747643
"10",103.32,103.540001,102.889999,103.07,1277000,93.115265
"11",103.489998,103.489998,102.730003,102.910004,1485300,92.970695
"12",102.790001,103.269997,102.699997,102.970001,1531000,93.024895
"13",103,103.739998,102.800003,103.239998,1653200,93.268814
"14",102.809998,103.099998,101.860001,102.199997,1486700,92.329269
"15",102.25,103.349998,102.139999,103.239998,1687900,93.268814
"16",103.459999,103.650002,102.379997,102.699997,1979300,92.780968
"17",102.410004,102.660004,102,102.040001,2119600,92.184723
"18",101.440002,102.150002,101.18,101.709999,1804500,91.886597
"19",101.559998,102.010002,100.900002,101.970001,1648300,92.121513
"20",101.790001,102.129997,100.769997,100.989998,2609800,91.23613
"21",96.029999,97.32,94.110001,95.25,8013700,86.050514
"22",95.230003,97.190002,95.029999,96.32,3975500,87.017181
"23",97.209999,97.400002,96.510002,96.870003,2936000,87.514069
"24",96.68,97.07,96.07,96.470001,1770600,87.152702
"25",96.5,96.860001,95.910004,96.290001,1521400,86.990074
"26",96.190002,97.059998,96.050003,96.580002,1297300,87.252075
"27",96.769997,97.989998,96.309998,97.650002,3380800,88.21875
"28",97.699997,98.300003,97.459999,97.82,1214700,88.372307
"29",98.059998,98.599998,98.059998,98.580002,1500800,89.058907
"30",98.419998,99.599998,98.32,99.440002,1614900,89.835846
"31",98.889999,99.660004,98.540001,99.650002,1579800,90.025558
"32",99.589996,99.879997,99.190002,99.879997,1314700,90.233345
