"","RJF.Open","RJF.High","RJF.Low","RJF.Close","RJF.Volume","RJF.Adjusted"
"1",46.919998,47.306667,46.060001,46.453335,897900,43.269409
"2",46.726665,48.253334,46.466667,48.206669,1457700,44.90258
"3",48.439999,49.099998,48.240002,49.060001,1969500,45.697418
"4",49.299999,49.82,49.02,49.773335,1574700,46.361862
"5",49.506668,49.533333,48.900002,49.099998,1063950,45.734657
"6",49.333332,49.766666,48.939999,49.619999,881250,46.219025
"7",49.606667,49.959999,49.253334,49.933334,1339050,46.510891
"8",49.619999,49.619999,48.486668,49.213333,746400,45.84024
"9",49.619999,50.106667,49.299999,49.586666,692100,46.187984
"10",49.153332,49.286667,47.973331,48.086666,632700,44.790794
"11",48.186668,48.580002,47.16,48.553333,1133700,45.225475
"12",48.700001,48.900002,47.946667,48.139999,468000,44.840473
"13",48.139999,48.493332,47.973331,48.466667,498150,45.144749
"14",48.073334,48.693333,48,48.619999,598500,45.287571
"15",48.726665,49.753334,48.639999,49.5,1024500,46.107254
"16",50.16,50.446667,49.793331,50.406666,1286400,46.951782
"17",49.746666,51.860001,49.746666,51.439999,1429650,47.91428
"18",51.580002,51.626667,50.393333,50.66,1360200,47.187744
"19",50.439999,50.459999,49.299999,50.373333,1060050,46.920727
"20",50.213333,50.48,49.400002,49.953335,1022850,46.529518
"21",50.553333,51.266666,50.033333,50.32,862200,46.871056
"22",49.666668,50.16,49.226665,49.619999,1170750,46.219025
"23",50.266666,51.146667,50.146667,50.900002,760200,47.411297
"24",50.546665,51.220001,50.52,51.046665,748800,47.547916
"25",51.306667,51.5,51.013332,51.266666,1124550,47.752834
"26",50.919998,51.02,50.220001,50.966667,809700,47.473404
"27",51.299999,51.826668,51.073334,51.700001,618150,48.156467
"28",52,52,51.253334,51.266666,615600,47.752834
"29",51.653332,52.053333,51.619999,51.720001,793200,48.175102
"30",51.52,52.426666,51.393333,52.18,1323450,48.603561
"31",52.513332,52.813332,52.126667,52.706669,524850,49.094139
"32",52.846668,52.846668,52.273335,52.713333,778800,49.100346
"33",52.106667,52.626667,51.939999,52.573334,605250,48.96994
"34",52.773335,52.946667,52.533333,52.826668,751350,49.205921
"35",52.439999,53.366669,52.439999,53.099998,840600,49.460506
"36",53.060001,53.060001,52.200001,52.353333,936000,48.765015
"37",51.713333,52.513332,51.713333,52.326668,817200,48.740185
"38",52.333332,52.953335,52.026669,52.939999,600900,49.311478
"39",52.766666,52.799999,51.726665,52.373333,1019550,48.783653
"40",53.206669,54.613335,53.206669,54.026669,1293300,50.323662
"41",54.086666,54.086666,52.933334,53.006668,784200,49.373577
"42",52.98,53.393333,52.626667,53.193333,560250,49.547447
"43",52.733334,53.106667,52.459999,52.779999,685500,49.162441
"44",52.753334,52.880001,52.293331,52.459999,722700,48.86438
"45",53.226665,53.400002,52.426666,52.446667,640350,48.851948
"46",52.706669,53.080002,52.506668,52.813332,623100,49.193485
"47",52.766666,53.139999,52.240002,52.866669,766500,49.243172
"48",53.433334,53.593334,52.633331,52.713333,2412900,49.100346
"49",52.553333,52.586666,51.52,52.153332,1261650,48.578728
"50",52.373333,52.473331,51.153332,51.473331,2483550,47.945328
"51",51.733334,52.299999,51.459999,51.939999,2084850,48.380016
"52",51.846668,52.02,51.419998,51.933334,34567650,48.373802
"53",51.933334,52.353333,51.333332,51.766666,2829150,48.218571
"54",51.919998,51.919998,49.133331,49.273335,1904400,45.89613
"55",48.833332,49.833332,48.473331,49.540001,1598700,46.14452
