"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"1",135.899994,138.660004,135.179993,138.539993,1329200,125.742241
"2",138.770004,139.490005,137.289993,137.960007,851000,125.215836
"3",137.669998,139.399994,135.869995,137.740005,822500,125.016144
"4",138.360001,139.610001,137.690002,138.509995,659300,125.715012
"5",139,139.990005,138.289993,138.309998,828100,125.533501
"6",139,140.080002,138.279999,139.529999,883500,126.640793
"7",140.020004,142.539993,139.740005,141.660004,1148000,128.574066
"8",141.190002,141.520004,138.970001,140.759995,714500,127.757187
"9",140.949997,142.240005,140.839996,141.990005,559800,128.87352
"10",141.330002,141.330002,139.380005,139.639999,1126600,126.740646
"11",140.139999,140.449997,139.399994,139.960007,919300,127.03109
"12",140.25,141.289993,139.690002,140,1154600,127.067383
"13",140.990005,141.470001,139.630005,140.559998,1754300,127.575661
"14",140.800003,140.979996,139.509995,140.020004,1058700,127.085571
"15",140.429993,143.740005,139.720001,142.029999,1678200,128.909866
"16",151.639999,155.440002,149.539993,153.009995,4674700,138.875565
"17",153.669998,154.910004,152.070007,152.919998,2337400,138.793884
"18",152.440002,152.699997,150.699997,150.75,1636800,136.824326
"19",150.330002,150.330002,147.789993,149.309998,1964600,135.51738
"20",149.279999,149.639999,147.419998,147.990005,2036900,134.31926
"21",148.320007,149.139999,146.759995,147.759995,1343500,134.110519
"22",146.869995,148.350006,146.369995,147.649994,918600,134.010696
"23",148.130005,150.199997,147.550003,149.729996,1151000,135.89856
"24",149.110001,149.960007,148.460007,149.960007,745600,136.107315
"25",150.490005,152.619995,149.229996,149.410004,901700,135.608154
"26",149.5,149.5,147.669998,148.630005,815100,134.900192
"27",149.169998,150.600006,148.289993,150.350006,949900,136.461304
"28",151.220001,151.779999,150.110001,151.449997,1060400,137.459686
"29",151.690002,153.679993,151.690002,152.009995,1362300,137.967957
"30",151.509995,152.440002,151.220001,152.210007,1215300,138.14949
"31",151.529999,152.770004,151.529999,152.490005,836600,138.403625
"32",151.919998,152.380005,151,151.880005,859400,138.540466
"33",150.600006,151.929993,149.699997,151.919998,691600,138.576935
"34",152.360001,152.630005,150.979996,151.830002,1292700,138.494827
"35",150.899994,153.25,150.759995,152.880005,1022400,139.452637
"36",153.520004,153.880005,149.889999,151.470001,1163500,138.166458
"37",150.410004,151.539993,149.960007,151.139999,1005300,137.865448
"38",151.259995,151.729996,150.660004,151.259995,765300,137.974884
"39",151.259995,151.679993,150.100006,151.100006,949600,137.828949
"40",153.679993,156.110001,153.070007,155.479996,1540900,141.824249
"41",155.350006,155.720001,153,153.050003,916300,139.607712
"42",153.179993,154.110001,151.570007,153.009995,802000,139.571182
"43",152.490005,153.470001,151.100006,153.190002,665400,139.735413
"44",152.970001,153.699997,152.119995,153.580002,694700,140.091125
"45",154.119995,154.839996,152.970001,153.029999,760300,139.589432
"46",153.179993,153.660004,151.380005,152.179993,870100,138.814117
"47",153.460007,154.630005,153,154.309998,847800,140.757034
"48",154.300003,154.570007,153.440002,154.449997,609600,140.884689
"49",153.419998,153.460007,151.070007,152.449997,852600,139.060394
"50",152.820007,157.300003,152.130005,156.470001,1110000,142.72731
"51",156.889999,157.009995,154.470001,155.619995,721100,141.951935
"52",156.360001,156.979996,155.559998,155.990005,909700,142.289444
"53",156.029999,156.160004,155.080002,155.949997,893900,142.252991
"54",156.940002,157.259995,153.559998,154.149994,979900,140.611099
"55",153.919998,154.979996,153.119995,154.610001,741000,141.030655
"56",154.639999,155.520004,153.580002,154.080002,864300,140.547211
"57",154.279999,154.899994,152.570007,153.25,541400,139.790146
"58",151.970001,153.380005,149.389999,152.850006,816600,139.425262
"59",152.630005,155.979996,152.279999,155.139999,581800,141.51416
"60",154.759995,155.570007,154.210007,154.470001,541600,140.902954
"61",154.360001,155.990005,154,155.380005,661800,141.733032
"62",155.229996,156.699997,155.179993,155.710007,799700,142.034027
"63",155.419998,156.380005,153.929993,155.309998,649000,141.669144
"64",155.080002,158,154.350006,155.960007,981200,142.262085
