"","TFX.Open","TFX.High","TFX.Low","TFX.Close","TFX.Volume","TFX.Adjusted"
"1",161.320007,161.320007,157.800003,158.860001,453600,155.133743
"2",159.679993,163.070007,159.639999,162.850006,326600,159.030167
"3",162.850006,163.809998,161.570007,162.059998,271200,158.258682
"4",165.800003,166.649994,163.619995,165.320007,564300,161.442215
"5",164.910004,166.139999,163.789993,164.970001,199800,161.100433
"6",164.830002,168.869995,164.830002,167.880005,381600,163.942169
"7",167.179993,169.770004,167.059998,167.990005,331300,164.049622
"8",166.5,167.789993,165.800003,167.679993,253000,163.746857
"9",168.639999,170.520004,168.179993,169.369995,181600,165.397186
"10",167.259995,169.119995,166.839996,167.160004,418500,163.23909
"11",167.949997,168.380005,165.479996,166.419998,266600,162.516434
"12",166.559998,166.960007,164.789993,166.029999,215700,162.135559
"13",166.029999,167.419998,164.910004,165.399994,230500,161.52034
"14",164.850006,166.149994,162.990005,163.720001,202400,159.879776
"15",163.669998,165.179993,163.669998,164.529999,293300,160.670761
"16",164.610001,166.860001,164.610001,166.509995,210500,162.604324
"17",165.929993,166.979996,164.259995,164.639999,198100,160.778137
"18",165.050003,166.410004,164.169998,166.190002,225800,162.29184
"19",164.869995,165.630005,162.789993,165.550003,177400,161.66684
"20",164.610001,167.759995,164.610001,167.729996,212700,163.7957
"21",169,169,165.949997,167.770004,275900,163.834732
"22",167.399994,169.300003,165.949997,169.089996,235100,165.123779
"23",170.630005,170.990005,169.149994,170.839996,119700,166.832733
"24",170.619995,171.759995,169.149994,170.119995,235600,166.129623
"25",170.490005,172.610001,169.830002,172.229996,257100,168.190109
"26",171.479996,172.330002,170.539993,172.029999,161900,167.994812
"27",172.029999,174.369995,171.289993,172.889999,195800,168.834686
"28",172.669998,173.839996,172.089996,172.899994,149800,168.844467
"29",173.910004,176.089996,173.910004,175.800003,186400,171.676422
"30",175,177.339996,175,176.889999,224900,172.740814
"31",176.070007,177.580002,175.690002,177.020004,225400,172.867798
"32",176.839996,178.380005,176.479996,178.050003,255700,173.873627
"33",177.979996,179.990005,176.789993,179.910004,203600,175.689987
"34",180.210007,184.940002,178.600006,184.520004,342500,180.191879
"35",183.509995,186.570007,183.419998,184.009995,375600,179.693848
"36",183.979996,188.240005,182.320007,183.919998,557500,179.605942
"37",184.479996,189.899994,183.919998,189.789993,527800,185.338211
"38",190.070007,193.949997,189.509995,192.809998,396800,188.287399
"39",192,194.100006,191,191.179993,295900,186.695633
"40",192.029999,196.179993,192.009995,194.970001,432000,190.735931
"41",195.539993,198.889999,193.309998,193.990005,276800,189.777222
"42",193.119995,194.539993,192.880005,194.350006,144500,190.12941
"43",192.860001,193.660004,191.339996,193.009995,228900,188.818497
"44",193.110001,194.660004,191.210007,192.130005,242000,187.957642
"45",192.789993,193.059998,191.179993,191.699997,220400,187.536972
"46",191.699997,194.369995,191.699997,193.820007,199000,189.610947
"47",194,194.839996,191.270004,193.589996,245000,189.385925
"48",193.630005,195.990005,193.309998,195.600006,196500,191.35228
"49",195.029999,196.059998,194.050003,194.110001,232100,189.894623
"50",194.470001,197.660004,194.470001,197.100006,264200,192.819748
"51",196.639999,196.639999,193.839996,195.270004,146200,191.029449
"52",195.270004,196.610001,194.100006,196.119995,499400,191.860962
"53",195.339996,196.440002,194.509995,195.460007,108500,191.215317
"54",196.25,197.070007,193.119995,193.470001,226400,189.268539
"55",193.470001,195.910004,192.100006,194.75,2e+05,190.520752
"56",195.309998,197.020004,194.490005,194.789993,159700,190.559875
"57",194.820007,197.020004,194.050003,194.869995,324300,190.638184
"58",194.020004,195.509995,193.070007,195.130005,178300,190.892487
"59",194,195.669998,192.699997,194.880005,339100,190.647919
"60",194.690002,196.080002,194.059998,194.660004,170600,190.432693
"61",194.600006,196.389999,194.240005,194.580002,147400,190.354431
"62",194.630005,194.990005,192.570007,193.729996,269900,189.522888
"63",194.100006,194.960007,191.600006,193.729996,344200,189.522888
"64",193.679993,195.029999,191.380005,192.929993,191400,188.740234
"65",192.130005,195.160004,191.639999,192.5,224800,188.319595
"66",192.380005,194.970001,191.039993,194,181500,189.787033
"67",192.759995,194.740005,192,193.919998,185400,189.708755
"68",193.919998,195.259995,193.270004,194.009995,161300,189.796814
"69",193.649994,196.869995,193.330002,196.860001,191500,192.584946
"70",197.669998,197.929993,195.820007,196.220001,229800,191.958801
"71",195.880005,197.139999,194.580002,195.179993,205300,190.941376
"72",196.350006,197.660004,195.210007,197.240005,342700,192.956665
"73",196.25,197.589996,195.020004,197.25,128200,192.966446
"74",198,198.979996,197.220001,198.619995,180300,194.306717
"75",199.039993,201.160004,198.039993,199.589996,227600,195.25563
"76",199.199997,200.149994,198.410004,199.520004,412900,195.187149
"77",202.210007,203.130005,199.529999,201.699997,553000,197.319794
"78",203.25,203.270004,200.720001,201.800003,708600,197.417633
"79",202.710007,203.350006,200.429993,203.190002,619500,198.777466
"80",203.970001,206.679993,202.25,206.460007,204600,201.976486
"81",206.179993,207.259995,205.320007,206.889999,192700,202.39711
"82",207.889999,210.509995,205.839996,210.309998,420000,205.742798
"83",211.009995,211.220001,208.229996,210.369995,403400,205.801544
"84",209.470001,210.210007,205.979996,209.470001,294200,204.921051
"85",199.470001,208.039993,199.369995,202.830002,589500,198.425293
"86",202.610001,202.619995,197.820007,200.339996,677200,195.989319
"87",199.949997,199.949997,194.720001,194.990005,4e+05,190.755554
"88",195.190002,196.869995,193.160004,194.399994,484500,190.178329
"89",194.679993,195.410004,193.440002,195.149994,304200,190.912079
"90",194.050003,194.860001,192.759995,193.880005,243800,189.669617
"91",192.960007,194.820007,192.800003,193.460007,255800,189.258713
"92",192.669998,195.429993,191.399994,194.770004,188300,190.540283
"93",193.910004,194.860001,192.039993,193.949997,194400,190.069916
"94",193.949997,193.949997,192.039993,193.059998,233300,189.197678
"95",192.380005,194.809998,192.380005,193.5,188800,189.628922
"96",193.5,197.149994,193.5,196.589996,163500,192.657074
"97",197.570007,199.589996,196.990005,198.800003,276600,194.822876
"98",199.309998,200.550003,198.820007,199.660004,171800,195.665695
"99",200.289993,200.970001,198.740005,200.169998,146900,196.165451
"100",200.169998,202.130005,199.699997,201.330002,249300,197.302277
"101",201.050003,201.710007,199.669998,201.210007,187700,197.184647
"102",200.880005,201.509995,199.619995,200.75,162500,196.733826
"103",201.570007,202.5,199.309998,200.020004,500400,196.018524
"104",199.929993,204.419998,199.779999,204.139999,382600,200.056015
"105",205.720001,207.990005,205.25,207.020004,253700,202.878433
"106",206.399994,207.710007,203.779999,205.070007,161900,200.967438
"107",203.960007,205.229996,203.199997,203.479996,224300,199.409256
"108",204.600006,206.600006,203.639999,206.070007,199500,201.947433
"109",206.690002,206.690002,203.410004,204.009995,178900,199.928665
"110",204.279999,204.869995,199.419998,200,252100,195.998856
"111",200.160004,200.869995,196.410004,200.300003,203800,196.292877
"112",199.830002,202.039993,199.830002,201.910004,116000,197.870651
"113",201.080002,204.080002,199.889999,201.440002,161400,197.410019
"114",200.830002,200.919998,198.770004,199.860001,290400,195.861679
"115",199.399994,202.220001,199,200.830002,227200,196.812271
"116",201.490005,203.729996,199.449997,203.410004,143400,199.340683
"117",203.059998,204.869995,203,203.520004,156300,199.448441
"118",203.649994,204.820007,202.029999,203.449997,167600,199.379837
"119",203.419998,205.610001,202.960007,204.350006,186600,200.261871
"120",205.669998,209.979996,204,206.110001,495400,201.986633
"121",206.050003,208.100006,206.050003,207.470001,232600,203.319412
"122",207.75,208.220001,205.399994,205.729996,158200,201.614212
"123",207.360001,208.220001,205.830002,207.320007,165600,203.17244
"124",207.380005,207.660004,204.330002,205.75,196600,201.63385
"125",206.809998,209.399994,204.490005,207.759995,186800,203.603653
"126",208.100006,209.789993,205.889999,206.929993,170600,202.790237
"127",206.710007,209.240005,206.710007,207.789993,264800,203.633041
"128",206.119995,209.289993,204.179993,204.740005,262200,200.644043
"129",205.759995,211.75,205.410004,211.399994,195700,207.170776
"130",210.639999,210.869995,208.210007,208.479996,227900,204.309219
"131",209.490005,210.020004,207.100006,207.580002,202400,203.427261
"132",208.100006,211.080002,208.100006,208.710007,175400,204.534622
"133",209.199997,210.179993,206.940002,209.229996,129200,205.044235
"134",208.970001,212.630005,208.699997,211.089996,162000,206.867004
"135",211.529999,212.169998,209.639999,211.009995,292100,206.788605
"136",210.460007,211.5,209.830002,210.770004,106200,206.553375
"137",211.300003,212.830002,210.940002,211.889999,104800,207.650986
"138",213.039993,213.399994,211.529999,212.570007,86800,208.317413
"139",212.720001,214.25,210.240005,211.169998,119200,206.945404
