"","APH.Open","APH.High","APH.Low","APH.Close","APH.Volume","APH.Adjusted"
"1",33.785,34.110001,33.544998,33.715,1652600,32.228729
"2",33.764999,34.07,33.735001,33.965,1734200,32.467705
"3",34.005001,34.205002,33.700001,33.785,1684000,32.295647
"4",33.875,34.139999,33.695,34.040001,1275400,32.53941
"5",34.009998,34.119999,33.68,33.689999,1418000,32.204834
"6",33.709999,33.990002,33.560001,33.895,1349600,32.400806
"7",33.779999,33.91,33.674999,33.91,1504400,32.415127
"8",33.775002,34.009998,33.455002,33.985001,1538200,32.486828
"9",34.044998,34.25,34.005001,34.055,1683400,32.553738
"10",33.889999,34.060001,33.650002,33.849998,1435000,32.357777
"11",34.005001,34.25,33.884998,34.139999,1621400,32.635006
"12",34.060001,34.23,33.915001,34.105,1716800,32.601543
"13",34.25,34.395,34.145,34.299999,2378200,32.787941
"14",34.174999,34.395,33.68,33.990002,2466400,32.491619
"15",34.145,34.470001,34.005001,34.380001,4495000,32.864414
"16",34.400002,34.625,33.205002,33.514999,6327800,32.037548
"17",33.744999,33.744999,33.130001,33.32,2752800,31.851154
"18",33.439999,33.709999,33.34,33.459999,2851400,31.984974
"19",33.494999,33.529999,33.150002,33.490002,2638600,32.01366
"20",33.485001,33.805,33.169998,33.744999,3714600,32.257412
"21",33.759998,33.830002,33.18,33.299999,2984600,31.832033
"22",33.259998,33.685001,33,33.575001,2691800,32.094906
"23",33.700001,33.84,33.494999,33.73,2851800,32.243057
"24",33.650002,33.855,33.485001,33.535,3412400,32.056675
"25",33.665001,33.91,33.59,33.645,2780600,32.161816
"26",33.645,34.205002,33.630001,34.009998,3116400,32.510723
"27",34.014999,34.389999,34.009998,34.145,2646400,32.639782
"28",34.119999,34.470001,34.040001,34.384998,2231800,32.869198
"29",34.514999,34.610001,34.404999,34.485001,2136600,32.96479
"30",34.415001,34.57,34.279999,34.564999,2099200,33.041256
"31",34.424999,34.610001,34.285,34.509998,2927200,32.988686
"32",34.580002,34.720001,34.43,34.689999,1767000,33.160751
"33",34.700001,34.73,34.360001,34.73,2206600,33.198986
"34",34.689999,34.845001,34.575001,34.790001,2107000,33.256348
"35",34.779999,34.994999,34.77,34.91,1618600,33.371056
"36",35.009998,35.119999,34.59,34.985001,4908200,33.442745
"37",34.775002,35.115002,34.705002,35.09,2626800,33.543121
"38",35.005001,35.130001,34.695,34.735001,2381200,33.20377
"39",34.68,34.705002,34.494999,34.605,2693000,33.079494
"40",34.775002,35.5,34.75,35.439999,3023800,33.877686
"41",35.384998,35.490002,35.200001,35.240002,1631000,33.686508
"42",35.205002,35.325001,35.115002,35.235001,1821200,33.681728
"43",35.035,35.209999,35.02,35.064999,1828000,33.519218
"44",35.110001,35.25,34.98,35.134998,1337400,33.586124
"45",35.07,35.294998,34.959999,35.189999,1864200,33.63871
"46",35.115002,35.314999,34.900002,35.07,1437800,33.523998
"47",35.18,35.404999,35.130001,35.275002,1328200,33.719967
"48",35.244999,35.709999,35.145,35.695,2485000,34.121445
"49",35.549999,35.59,35.345001,35.474998,1743800,33.91114
"50",35.639999,35.990002,35.584999,35.93,4309400,34.346085
"51",35.869999,35.98,35.619999,35.720001,2279800,34.221531
"52",35.720001,35.845001,35.599998,35.669998,2498200,34.173637
"53",35.654999,35.744999,35.43,35.669998,1406200,34.173637
"54",35.759998,35.924999,35.119999,35.205002,2321600,33.728146
"55",35.334999,35.514999,35.099998,35.48,2401600,33.9916
"56",35.465,35.700001,35.285,35.450001,2012400,33.962872
"57",35.549999,35.805,35.400002,35.485001,2478200,33.996395
"58",35.200001,35.52,34.93,35.490002,1831800,34.001186
"59",35.470001,35.764999,35.294998,35.66,1888400,34.164055
"60",35.490002,35.709999,35.419998,35.654999,2229800,34.159267
"61",35.634998,35.974998,35.605,35.945,1826400,34.437092
"62",35.865002,35.900002,35.544998,35.584999,2968600,34.092201
"63",35.535,35.549999,34.875,35.145,2402800,33.670662
"64",35.09,35.23,34.759998,34.950001,2076200,33.483841
"65",35.07,35.16,34.759998,34.785,2409800,33.325771
"66",34.755001,35.119999,34.674999,34.965,1606200,33.498211
"67",34.935001,35.07,34.849998,34.884998,1824800,33.421566
"68",34.965,35.130001,34.779999,34.82,1541000,33.359299
"69",34.75,34.904999,34.470001,34.869999,1599600,33.407192
"70",34.939999,34.974998,34.285,34.419998,2389400,32.976074
"71",34.380001,34.59,34.325001,34.325001,1808800,32.885067
"72",34.5,34.779999,34.415001,34.764999,1339200,33.306602
"73",34.735001,35.014999,34.709999,34.98,2429800,33.512581
"74",35.139999,35.345001,35.005001,35.060001,1973200,33.589233
"75",35.215,35.544998,35.115002,35.41,1780800,33.924553
"76",35.41,35.435001,35.150002,35.235001,2247000,33.756889
"77",35.650002,35.970001,35.57,35.965,2426800,34.456272
"78",36.009998,36.25,35.869999,36.09,2855400,34.576027
"79",36.5,36.875,35.810001,35.865002,5000200,34.36047
"80",36.014999,36.404999,35.950001,36.389999,2058600,34.863441
"81",36.32,36.375,35.955002,36.154999,2423200,34.638298
"82",36.290001,36.325001,35.945,35.945,2212000,34.437092
"83",35.935001,36.009998,35.615002,35.75,2165200,34.250282
"84",35.630001,35.700001,35.450001,35.645,1817000,34.149689
"85",35.764999,35.994999,35.599998,35.919998,1676600,34.413151
"86",36.014999,36.099998,35.849998,36.064999,975400,34.552067
"87",36.044998,36.355,35.990002,36.264999,1813200,34.743687
"88",36.23,36.435001,36.23,36.330002,1513200,34.80595
"89",36.330002,36.5,36.134998,36.490002,2383600,34.959244
"90",36.275002,36.375,36.080002,36.310001,1237800,34.7868
"91",36.27,36.439999,36.235001,36.424999,1296600,34.896965
"92",36.490002,36.685001,36.404999,36.584999,2880800,35.050255
"93",36.724998,36.93,36.549999,36.869999,1740000,35.323303
"94",36.869999,36.869999,36.279999,36.279999,2814400,34.758045
"95",36.064999,36.400002,35.685001,36.224998,1904600,34.705353
"96",36.355,36.615002,36.330002,36.450001,1678200,34.920918
"97",36.5,36.834999,36.424999,36.799999,1921400,35.256233
"98",36.799999,36.939999,36.650002,36.685001,1945600,35.146057
"99",36.790001,37.095001,36.700001,36.965,1978000,35.414314
