"","CSX.Open","CSX.High","CSX.Low","CSX.Close","CSX.Volume","CSX.Adjusted"
"1",12.05,12.213333,11.863333,11.963333,19605000,11.219689
"2",12.016667,12.236667,11.983333,12.21,21767700,11.451021
"3",12.136667,12.46,12.133333,12.33,34749600,11.563561
"4",12.236667,12.576667,11.986667,12.506667,37050600,11.729248
"5",12.523333,12.55,12.326667,12.33,22220400,11.563561
"6",12.296667,12.523333,12.26,12.473333,24490500,11.697986
"7",12.44,12.703333,12.44,12.68,29647800,11.891807
"8",12.686667,12.796667,12.6,12.793333,24401100,11.998096
"9",12.736667,12.94,12.7,12.933333,41484300,12.129389
"10",12.916667,12.933333,12.623333,12.696667,54813000,11.907435
"11",12.18,12.466667,12.07,12.293333,61982100,11.529174
"12",14.41,15.203333,14.22,15.17,295518300,14.22703
"13",14.833333,14.9,14.293333,14.776667,136027200,13.858142
"14",14.886667,15.356667,14.853333,15.33,70455300,14.37708
"15",15.296667,15.76,15.286667,15.563333,50473800,14.595909
"16",15.746667,15.946667,15.633333,15.93,53536500,14.939787
"17",15.93,16.376667,15.853333,16.200001,54609000,15.193003
"18",16.276667,16.309999,15.89,16.02,38439300,15.02419
"19",15.933333,16.030001,15.576667,15.83,45543900,14.846
"20",15.656667,15.83,15.353333,15.463333,53928900,14.502126
"21",15.516667,15.73,15.47,15.696667,35426700,14.720955
"22",15.563333,15.64,15.366667,15.436667,31131600,14.477119
"23",15.413333,15.653333,15.386667,15.596667,25424700,14.627173
"24",15.516667,15.753333,15.513333,15.753333,26632500,14.774099
"25",15.756667,16.096666,15.756667,15.893333,44321100,14.905399
"26",15.86,16.02,15.653333,15.986667,25803900,14.992929
"27",16.033333,16.049999,15.843333,15.916667,18324900,14.927281
"28",16.166668,16.309999,15.803333,15.923333,46284900,14.933531
"29",16.036667,16.15,15.916667,15.97,20087400,14.977298
"30",15.876667,16.07,15.873333,16,19222200,15.005433
"31",15.663333,15.95,15.586667,15.78,37640700,14.799108
"32",15.84,15.903333,15.406667,15.896667,53142000,14.908524
"33",15.843333,16.209999,15.83,16.18,35299200,15.174245
"34",16.176666,16.333332,16.143333,16.303333,24664500,15.289914
"35",16.263332,16.263332,16.01,16.129999,24942000,15.127351
"36",16.193333,16.233334,15.85,15.97,25502100,14.977298
"37",15.873333,16.163334,15.856667,16.16,25135800,15.212644
"38",16.093332,16.27,15.996667,16.236668,25857000,15.284817
"39",16.476667,16.533333,16.123333,16.186666,24099000,15.237744
"40",16.4,16.596666,16.386667,16.403334,28384500,15.44171
"41",16.403334,16.42,16.156668,16.186666,24666900,15.237744
"42",16.173332,16.543333,16.076668,16.493334,34888500,15.526433
"43",16.373333,16.646667,16.32,16.596666,35431800,15.623709
"44",16.566668,16.77,16.126667,16.146667,53741700,15.200092
"45",16.103333,16.223333,15.84,15.883333,35389500,14.952193
"46",15.893333,16.07,15.826667,15.86,31911300,14.930227
"47",16.016666,16.036667,15.846667,15.933333,21674700,14.999264
"48",15.966667,16.136667,15.956667,16.026667,51573900,15.087124
"49",16.006666,16.063334,15.8,15.943333,14535900,15.008675
"50",16.036667,16.059999,15.873333,15.983333,26182500,15.046331
"51",15.966667,16.026667,15.826667,15.866667,22819200,14.936505
"52",15.94,15.943333,15.626667,15.626667,46599900,14.710576
"53",15.653333,15.733333,15.503333,15.626667,20715900,14.710576
"54",15.68,15.68,15.136667,15.206667,51976800,14.315197
"55",15.213333,15.57,15.143333,15.483333,26954400,14.575642
"56",15.466667,15.553333,15.333333,15.37,17911200,14.468955
"57",15.416667,15.6,15.346667,15.44,17227800,14.534851
"58",15.293333,15.503333,15.176667,15.403333,16295700,14.500332
"59",15.403333,15.853333,15.403333,15.78,25941900,14.854918
"60",15.726667,15.763333,15.62,15.76,10467000,14.836094
"61",15.746667,15.896667,15.736667,15.78,14281200,14.854918
"62",15.7,15.826667,15.51,15.516667,18881100,14.607023
"63",15.553333,15.68,15.456667,15.533333,19452600,14.622713
"64",15.533333,15.77,15.5,15.763333,9465900,14.839231
"65",15.836667,16.056667,15.636667,15.713333,15314400,14.792162
"66",15.763333,15.973333,15.736667,15.903333,13143900,14.971021
"67",15.853333,15.98,15.733333,15.81,16870800,14.883161
"68",15.866667,15.976667,15.82,15.893333,17039700,14.961608
"69",15.82,15.86,15.496667,15.736667,18522900,14.814127
"70",15.84,15.84,15.436667,15.466667,16845300,14.559956
"71",15.456667,15.663333,15.346667,15.473333,14031300,14.566232
"72",15.553333,15.753333,15.463333,15.743333,11699100,14.820405
"73",15.646667,15.78,15.51,15.543333,15871200,14.632127
"74",15.66,15.773333,15.56,15.643333,20571300,14.726264
"75",16.733334,17.093332,16.453333,16.52,76082100,15.551538
"76",16.610001,16.933332,16.5,16.923332,48706500,15.931224
"77",17.16,17.219999,16.690001,16.709999,33590100,15.730396
"78",16.73,17.033333,16.700001,16.98,33296700,15.984571
"79",17.02,17.190001,16.876667,16.93,24558900,15.937505
"80",16.93,17.209999,16.896667,17.083332,23585400,16.081842
"81",17.166668,17.190001,16.916668,16.946667,19829700,15.95319
"82",16.956667,17.190001,16.953333,17.173332,23321100,16.166573
"83",17.256666,17.256666,17.033333,17.163334,20003700,16.157158
"84",17.176666,17.213333,17.066668,17.173332,13818900,16.166573
"85",17.196667,17.283333,17.129999,17.24,17882700,16.229326
"86",17.26,17.5,17.219999,17.5,20248500,16.474089
"87",17.5,17.549999,17.253332,17.27,20022300,16.257568
"88",17.23,17.403334,17.219999,17.27,13054800,16.257568
"89",17.280001,17.309999,17.173332,17.24,13499100,16.229326
"90",17.166668,17.440001,17.116667,17.379999,26627700,16.361124
"91",17.356667,17.483334,17.26,17.379999,11512200,16.361124
"92",17.370001,17.423332,17.1,17.113333,26082600,16.110088
"93",17.183332,17.206667,16.98,17.040001,28437300,16.041052
"94",16.84,16.860001,16.386667,16.49,31027500,15.523297
"95",16.333332,16.866667,16.256666,16.743334,31737900,15.761777
"96",16.719999,16.986668,16.709999,16.793333,20142300,15.808847
"97",16.876667,17.173332,16.826668,17.153334,21784200,16.147741
"98",17.139999,17.379999,17.026667,17.266666,26849100,16.254435
"99",17.283333,17.5,17.283333,17.443333,19787400,16.420742
"100",17.233334,18.016666,17.233334,17.93,21305100,16.87888
"101",17.876667,18.076668,17.823334,17.986668,32380500,16.995419
"102",17.993334,18.139999,17.936666,18.073334,22872300,17.077305
"103",18.113333,18.143333,17.916668,18.056667,30565500,17.061558
"104",18.07,18.243334,17.973333,18.196667,23747100,17.193844
"105",18.263332,18.353333,18.120001,18.18,16101300,17.178095
"106",18.196667,18.333332,17.916668,18.01,23672100,17.017469
"107",18.033333,18.143333,17.973333,17.983334,18180900,16.99227
"108",17.953333,17.99,17.766666,17.923332,23633100,16.935572
"109",17.959999,17.99,17.836666,17.92,15932700,16.932423
"110",17.940001,17.983334,17.456667,17.683332,25799400,16.708797
"111",17.693333,17.846666,17.496668,17.84,21229500,16.856834
"112",17.780001,17.983334,17.75,17.956667,13323000,16.96707
"113",18.023333,18.036667,17.636667,17.726667,17784900,16.749744
"114",17.516666,17.796667,17.506666,17.763332,18662400,16.784389
"115",17.683332,17.719999,17.496668,17.58,32763300,16.611158
"116",17.666668,17.889999,17.58,17.753332,33799800,16.77494
"117",17.690001,17.690001,17.35,17.376667,21355500,16.419033
"118",17.426666,17.456667,17.253332,17.396667,13007700,16.437931
"119",17.373333,17.573334,17.316668,17.533333,12700200,16.567062
"120",17.513332,17.686666,17.433332,17.549999,67876500,16.582815
"121",17.700001,17.916668,17.6,17.706667,14298300,16.730844
"122",17.709999,17.876667,17.653334,17.773333,26725800,16.793839
"123",17.9,18.219999,17.806667,18.193333,17403000,17.190693
"124",18.186666,18.246668,17.836666,17.940001,19629300,16.951317
"125",18.25,18.286667,17.996668,18.186666,17623500,17.184397
"126",18.25,18.333332,18.129999,18.163334,10439700,17.162344
"127",18.166668,18.436666,18.163334,18.363333,13810800,17.351322
"128",18.209999,18.353333,18.146667,18.196667,14384400,17.193844
"129",18.24,18.426666,18.123333,18.283333,12517500,17.275732
"130",18.216667,18.41,18.133333,18.296667,14888700,17.28833
"131",18.276667,18.290001,17.973333,18.046667,13668600,17.052111
"132",18.24,18.48,18.193333,18.396667,13066500,17.382824
"133",18.373333,18.493334,18.266666,18.276667,8247300,17.269434
"134",18.333332,18.4,18.283333,18.360001,11792400,17.348171
"135",18.333332,18.333332,18.123333,18.206667,11731500,17.203295
"136",18.163334,18.280001,18.053333,18.213333,22781100,17.209587
"137",17.683332,17.716667,16.893333,17.290001,89881800,16.337145
"138",17.293333,17.376667,16.776667,16.956667,66997200,16.022179
"139",16.91,17.276667,16.836666,17.226667,36099600,16.2773
"140",17.18,17.32,16.85,16.940001,41994600,16.006432
"141",16.993334,17.26,16.966667,17.186666,25021500,16.239504
"142",17.15,17.466667,16.953333,17.353333,28435800,16.396984
"143",17.363333,17.370001,16.436666,16.666668,46649700,15.748165
"144",16.456667,16.746668,16.286667,16.663334,29755200,15.745013
"145",16.65,16.700001,16.426666,16.446667,20157000,15.540285
"146",16.43,16.466667,16.136667,16.200001,36613500,15.307214
"147",16.120001,16.213333,15.996667,16.046667,26523600,15.162331
"148",16,16.433332,16,16.423332,25682100,15.518237
"149",16.486668,16.49,16.209999,16.246668,19448100,15.351308
"150",16.27,16.573334,16.15,16.540001,19189200,15.628476
"151",16.48,16.74,16.41,16.713333,22329600,15.792258
"152",16.676666,16.903334,16.610001,16.9,20280000,15.968639
"153",16.82,16.92,16.57,16.613333,21245400,15.697765
"154",16.693333,16.91,16.693333,16.756666,14357100,15.833201
"155",16.886667,16.983334,16.833332,16.916668,18119700,15.984386
"156",16.963333,17.046667,16.876667,17.043333,16530900,16.104071
"157",17.123333,17.126667,16.776667,16.793333,17382000,15.867846
"158",16.703333,16.790001,16.290001,16.293333,22891800,15.395403
"159",16.223333,16.43,16.053333,16.26,20732400,15.363905
"160",16.233334,16.27,16.036667,16.233334,17230500,15.338711
"161",16.356667,16.666668,16.323334,16.639999,17530500,15.722962
"162",16.52,16.573334,16.17,16.290001,15514200,15.392251
"163",16.363333,16.396667,16.040001,16.126667,16418700,15.237922
"164",16.139999,16.370001,16.136667,16.283333,12877200,15.385952
"165",16.333332,16.523333,16.303333,16.5,16557600,15.590679
"166",16.333332,16.639999,16.299999,16.593332,17739000,15.742476
"167",16.563334,16.886667,16.5,16.803333,18592500,15.941708
"168",16.796667,16.953333,16.596666,16.733334,17758800,15.875297
"169",16.793333,16.860001,16.586666,16.593332,13603800,15.742476
"170",16.556667,16.563334,16.23,16.33,23197200,15.492646
"171",16.376667,17.113333,16.356667,16.736668,28098900,15.87846
"172",16.753332,17.193333,16.700001,17.156668,25928700,16.276926
"173",17.139999,17.183332,16.926666,17.046667,16887300,16.17256
"174",17.153334,17.373333,17.143333,17.356667,17073000,16.466667
"175",17.35,17.469999,17.243334,17.306667,13155600,16.419233
"176",17.326668,17.366667,17.16,17.356667,11757600,16.466667
"177",17.280001,17.503332,17.226667,17.360001,17144400,16.46983
"178",17.299999,17.503332,17.286667,17.493334,28107300,16.596323
"179",17.48,17.563334,17.280001,17.283333,16939200,16.397097
"180",17.316668,17.393333,17.059999,17.26,19139400,16.374956
"181",17.273333,17.613333,17.213333,17.603333,13510500,16.700684
"182",17.586666,17.67,17.459999,17.616667,11122500,16.713333
"183",17.516666,17.743334,17.443333,17.700001,11388300,16.792398
"184",17.68,17.790001,17.556667,17.776667,12483600,16.865129
"185",17.780001,17.916668,17.703333,17.860001,15162600,16.944189
"186",17.926666,18.076668,17.883333,17.943333,15236700,17.023251
"187",17.883333,18.026667,17.866667,17.896667,13649100,16.978981
"188",17.883333,18.1,17.733334,18.086666,13744500,17.159233
"189",17.603333,17.82,17.459999,17.593332,24230700,16.691195
"190",17.559999,17.68,17.32,17.373333,20766000,16.482477
"191",17.33,17.403334,17.213333,17.273333,14476200,16.387608
"192",17.303333,17.466667,17.17,17.450001,15098700,16.555218
"193",17.42,17.456667,17.263332,17.450001,13344000,16.555218
"194",17.483334,17.633333,17.450001,17.603333,9181800,16.700684
"195",17.626667,17.646667,17.450001,17.463333,9039300,16.567862
"196",17.379999,17.700001,17.34,17.693333,13800600,16.786068
"197",17.73,17.953333,17.706667,17.860001,15402900,16.944189
"198",17.913334,17.98,17.583332,17.610001,11840100,16.70701
"199",17.6,17.763332,17.536667,17.613333,19795200,16.710175
"200",17.42,18.093332,17.366667,18.076668,29346900,17.149744
"201",18.096666,18.326668,17.866667,17.893333,22398000,16.975813
"202",17.719999,18.040001,17.666668,18.02,15522300,17.095985
"203",18.15,18.309999,18.036667,18.173332,18343200,17.241459
"204",18.18,18.253332,18.036667,18.040001,13544400,17.114964
"205",18.053333,18.323334,18.049999,18.110001,12084000,17.181372
"206",18.16,18.33,17.57,17.639999,23330700,16.735476
"207",17.48,17.646667,16.893333,17.450001,39015300,16.555218
"208",17.373333,17.733334,17.333332,17.513332,19315800,16.615301
"209",17.469999,17.516666,17.096666,17.200001,18961200,16.318033
"210",17.193333,17.200001,16.796667,16.809999,22293600,15.948031
"211",16.91,16.986668,16.59,16.716667,18359400,15.859485
"212",16.74,17.213333,16.696667,17.206667,18351300,16.324364
"213",17.209999,17.246668,17.056667,17.103333,12006600,16.22632
"214",17.016666,17.083332,16.863333,17.049999,13734900,16.175722
"215",17.043333,17.473333,16.963333,17.273333,16522200,16.387608
"216",17.049999,17.286667,17.006666,17.163334,11689800,16.283247
"217",17.063334,17.083332,16.723333,16.743334,16366500,15.884785
"218",16.656668,16.793333,16.59,16.693333,10387200,15.837348
"219",16.453333,16.656668,16.263332,16.583332,14740800,15.732986
"220",16.486668,16.540001,16.333332,16.466667,13259100,15.622304
"221",16.42,16.446667,16.086666,16.209999,15861300,15.378795
"222",16.236668,16.716667,16.113333,16.706667,21616800,15.85
"223",16.653334,16.690001,16.5,16.639999,18522300,15.786748
"224",16.583332,16.636667,16.433332,16.57,14530500,15.720343
"225",16.586666,16.746668,16.52,16.74,11388600,15.881621
"226",16.799999,17.066668,16.709999,17.003332,13997100,16.131454
"227",16.959999,17.106667,16.893333,16.966667,7338900,16.096664
"228",16.969999,17.030001,16.74,16.886667,13575900,16.020769
"229",16.896667,17.393333,16.813334,17.376667,20397300,16.485638
"230",17.303333,18.24,17.17,18.146667,33467100,17.282465
"231",18.49,18.723333,18.049999,18.583332,43613700,17.69833
"232",18.41,18.773333,18.266666,18.713333,30976500,17.822144
"233",18.816668,19.416668,18.806667,18.996668,35068200,18.09198
"234",19.086666,19.129999,18.563334,18.596666,24312300,17.711037
"235",18.613333,18.780001,18.523333,18.543333,17233800,17.66024
"236",18.49,18.813334,18.456667,18.719999,14973000,17.828493
"237",18.786667,18.916668,18.733334,18.82,11754900,17.923729
"238",18.799999,18.996668,18.726667,18.99,19396500,18.085634
"239",19.026667,19.133333,18.803333,18.993334,16873800,18.088806
"240",19.096666,19.450001,19.023333,19.23,20464200,18.314205
"241",19.253332,19.440001,19.053333,19.103333,21457800,18.193573
"242",17.346666,17.863333,17.209999,17.643333,149631300,16.803102
"243",17.233334,17.903334,17.166668,17.863333,86086500,17.012625
"244",17.976667,18.316668,17.799999,18.283333,29774400,17.412624
"245",18.450001,18.633333,18.333332,18.469999,31248600,17.590395
"246",18.616667,18.693333,18.273333,18.293333,27636900,17.422146
"247",18.286667,18.43,18.203333,18.333332,16941600,17.460241
"248",18.356667,18.456667,18.256666,18.290001,13209900,17.418972
"249",18.363333,18.469999,18.253332,18.379999,20742300,17.504684
"250",18.453333,18.486668,18.156668,18.333332,12932400,17.460241
"251",18.333332,18.456667,18.313334,18.336666,9407100,17.463415
"252",18.543333,18.876667,18.34,18.780001,17643900,17.885635
"253",18.719999,19.083332,18.686666,19.016666,23207400,18.111032
"254",19.116667,19.32,18.879999,18.926666,17520900,18.02532
"255",19.193333,19.316668,18.973333,19.24,18926400,18.323727
"256",19.113333,19.656668,19.113333,19.58,18674100,18.647539
"257",19.593332,19.92,19.533333,19.753332,17587200,18.812614
"258",19.706667,19.753332,19.413334,19.493334,19422900,18.564997
"259",19.540001,19.66,19.483334,19.563334,16382100,18.631664
"260",19.543333,19.790001,19.543333,19.75,14232600,18.809437
"261",19.956667,20.013332,19.323334,19.376667,30164700,18.453886
"262",19.049999,19.406668,18.866667,19.23,33436800,18.314205
"263",19.236668,19.413334,19.196667,19.35,20733900,18.42849
"264",19.360001,19.386667,19.086666,19.163334,22623900,18.250711
"265",19.206667,19.27,18.983334,19.243334,18000600,18.3269
"266",19.146667,19.200001,18.790001,19.033333,29634000,18.126905
"267",19.103333,19.103333,18.713333,18.956667,19671000,18.05389
"268",18.763332,18.906668,18.623333,18.713333,28446900,17.822144
"269",18.790001,19.336666,18.719999,19.303333,18245700,18.384048
"270",19.186666,19.336666,19.013332,19.076668,12499500,18.168177
"271",19.07,19.253332,18.826668,18.953333,19206000,18.050713
"272",19.059999,19.24,18.799999,18.923332,18598800,18.022142
"273",18.700001,19.033333,18.68,18.860001,12237300,17.961826
