"","HCA.Open","HCA.High","HCA.Low","HCA.Close","HCA.Volume","HCA.Adjusted"
"1",74.360001,74.800003,73.519997,74.459999,2065400,71.792198
"2",75.129997,77.32,74.57,77.129997,3232300,74.366547
"3",76.720001,77.43,76.660004,76.809998,2808800,74.058006
"4",76.660004,77.309998,76.57,76.620003,1872300,73.874832
"5",76.040001,81.059998,76.040001,78.919998,4616400,76.092415
"6",78.839996,79.230003,77.809998,78.269997,2319500,75.465683
"7",78.639999,79.629997,78.260002,79.309998,1837500,76.46843
"8",79.139999,79.400002,78.540001,79.120003,1482900,76.285233
"9",79.239998,79.809998,79.099998,79.400002,1436600,76.555206
"10",80.980003,82.199997,78.809998,80.93,3645000,78.030411
"11",81.25,81.330002,79.639999,79.730003,2845200,76.87339
"12",79.459999,79.809998,78.57,78.620003,2560100,75.803162
"13",78.550003,79.849998,78.529999,79.709999,1882500,76.854118
"14",79.059998,80.330002,78.07,79.839996,4095700,76.979446
"15",79.599998,80.349998,79.019997,80.330002,2010600,77.451897
"16",80.419998,81.139999,80.099998,80.57,2994300,77.683296
"17",80.510002,81.339996,80.139999,80.279999,1855000,77.403679
"18",80.580002,80.599998,79.370003,79.519997,1481900,76.670906
"19",79.489998,79.489998,78.400002,79.290001,1911900,76.449158
"20",79.699997,80.489998,78.5,80.279999,3077300,77.403679
"21",80.839996,82.610001,80.730003,81.959999,3091200,79.023499
"22",81.720001,82.860001,81.43,82.290001,2316200,79.341667
"23",82.800003,84.120003,82.57,83.800003,2847300,80.797577
"24",83.809998,84.260002,82.589996,82.669998,2819700,79.708031
"25",82.75,83.239998,82.209999,82.589996,1455400,79.630936
"26",82.309998,83.379997,82.050003,83,1918200,80.02623
"27",82.639999,83.970001,82.639999,83.639999,1286800,80.643295
"28",83.650002,84.080002,83.099998,83.629997,1347000,80.633659
"29",83.68,84.220001,83.580002,83.75,1323300,80.749359
"30",83.589996,84.309998,83.5,83.709999,1934400,80.710785
"31",83.75,84.620003,83.370003,84.290001,2867700,81.27002
"32",84.419998,84.879997,83.690002,84.139999,1519500,81.125389
"33",83.82,84.650002,83.160004,84.629997,1813600,81.597832
"34",84.959999,86.389999,84.730003,85.739998,2170600,82.668068
"35",85.349998,86.120003,84.879997,85.910004,1701700,82.831978
"36",86,86.610001,85.360001,86.449997,2207800,83.352631
"37",85.980003,87.440002,85.68,87.07,1857000,83.950401
"38",86.949997,87.970001,86.949997,87.779999,2606000,84.634964
"39",86.879997,87.620003,86.779999,87.239998,2171400,84.114319
"40",87.949997,88.5,87.43,88.040001,1646500,84.885658
"41",87.720001,88.160004,87.290001,87.339996,1290700,84.210732
"42",87.370003,88.620003,87.230003,88.529999,1339700,85.358093
"43",88.279999,88.410004,87.68,87.779999,1350900,84.634964
"44",87.400002,87.669998,86.43,86.629997,1990700,83.526176
"45",86.5,87.849998,86.25,86.480003,2763700,83.381561
"46",86.540001,87.629997,86.25,86.889999,1907600,83.77684
"47",87.360001,87.449997,85.559998,85.75,2620300,82.677696
"48",85.980003,85.980003,84.160004,84.989998,2505900,81.944923
"49",84.279999,84.400002,83.050003,83.68,2663800,80.681877
"50",84,85.790001,83.800003,85.550003,2395600,82.484871
"51",85.43,85.730003,83.900002,84.25,4014200,81.231445
"52",84.449997,84.730003,83.839996,84.589996,2528900,81.559258
"53",84.559998,84.769997,83.540001,83.919998,1875100,80.913269
"54",83.93,84.489998,81.510002,82.620003,2659600,79.659851
"55",82.5,82.730003,81.360001,82.540001,2531100,79.582695
"56",82.519997,84.209999,82.389999,83.169998,3160000,80.190147
"57",83.639999,86.480003,83.410004,86.040001,5855200,82.957306
"58",87.970001,91.029999,87.760002,90.489998,8584400,87.247894
"59",89.989998,90.169998,88.050003,89.629997,4933200,86.418694
"60",89.379997,90.419998,88.660004,89.190002,3553300,85.994453
"61",88.940002,89.470001,88.720001,89.25,1923400,86.052292
"62",89.089996,89.290001,88.540001,88.989998,1709000,85.801613
"63",88.970001,89.419998,88.540001,89.330002,1838100,86.129448
"64",88.919998,88.940002,86.269997,87.669998,3326400,84.528908
"65",88.220001,89.800003,88,88.470001,2094800,85.300262
"66",88.470001,88.730003,87.739998,88.720001,2732800,85.54129
"67",88.629997,88.629997,87.580002,87.900002,1185700,84.750679
"68",87.919998,88.519997,87.580002,88.25,1375400,85.088127
"69",88.050003,88.120003,87.389999,88,1102500,84.847092
"70",87.519997,88.290001,87.019997,88.199997,1474600,85.039917
"71",88.550003,88.550003,87.550003,87.720001,1045500,84.57711
"72",85,85.900002,84.150002,85.650002,4345200,82.581276
"73",85.589996,85.849998,84.809998,85.209999,2295400,82.157036
"74",85.300003,85.800003,84.419998,84.610001,2254400,81.578552
"75",84.260002,84.82,82.720001,84.120003,4299000,81.106094
"76",84.059998,84.220001,83.309998,83.550003,1764400,80.556526
"77",84.589996,85.169998,84.230003,84.260002,2108000,81.241089
"78",84.389999,85.029999,84.220001,84.610001,1451400,81.578552
"79",84.910004,85.080002,82.93,83.540001,2634400,80.546898
"80",83.529999,84.029999,82.879997,83.440002,1560800,80.450485
"81",83.599998,84.349998,83.599998,84.209999,1464800,81.192879
"82",84.209999,84.699997,83.839996,83.860001,1780600,80.8554
"83",84.260002,85.93,84.059998,84.739998,3018300,81.703896
"84",84.5,85.040001,82.440002,82.849998,3307000,79.881607
"85",82.580002,83.870003,81.419998,83.480003,2997000,80.489021
"86",83.599998,84.209999,83.129997,83.5,1350300,80.508308
"87",83.739998,83.989998,83.470001,83.860001,2060000,80.8554
"88",84.010002,84.279999,83.769997,84.129997,1606400,81.115753
"89",84.239998,85.900002,83.940002,85.559998,1935400,82.49453
"90",85.029999,85.389999,84.440002,85.290001,1195000,82.234177
"91",85.209999,85.220001,84.040001,84.610001,1225300,81.578552
"92",84.519997,84.720001,83.769997,83.82,1564800,80.816849
"93",84.230003,84.230003,83.199997,83.489998,1414000,80.498665
"94",83.029999,83.150002,81.43,81.57,3322600,78.647461
"95",81.699997,82.010002,81.099998,81.260002,1664800,78.348587
"96",81.550003,83.050003,81.440002,82.150002,1965600,79.20668
"97",81.860001,82.709999,81.830002,82.32,993900,79.37059
"98",82.330002,82.639999,81.870003,81.93,1353000,78.994553
"99",81.860001,82.760002,81.290001,82.43,1214900,79.476662
"100",82.510002,83.489998,82.080002,83.110001,697400,80.132294
"101",82.900002,83.279999,81.959999,82.699997,1139800,79.736977
"102",82.32,83.25,81.980003,81.989998,1235300,79.052422
"103",81.940002,82.580002,81.730003,81.910004,2773100,78.975273
"104",82.029999,84.029999,82.029999,83.75,1794900,80.749359
"105",83.639999,84.120003,82.989998,83.330002,1216600,80.344406
"106",83.029999,83.279999,82.050003,82.400002,1378600,79.447723
"107",82.400002,82.650002,81.650002,82.480003,1406100,79.524864
"108",83.449997,83.870003,82.050003,82.68,1509300,79.717697
"109",82.809998,83.449997,82.160004,82.800003,2050000,79.833397
"110",82.800003,83.620003,82.309998,83.57,1959700,80.575813
"111",83.440002,85.010002,83.440002,84.860001,2234700,81.819588
"112",84.980003,85.260002,84.68,84.849998,1288200,81.809944
"113",85.139999,85.690002,84.720001,85.349998,1711500,82.292023
"114",84.860001,85.220001,83.940002,84.019997,1547400,81.009682
"115",84.129997,84.199997,83.059998,83.410004,1915400,80.421562
"116",83.620003,84.690002,83.199997,84.610001,1079100,81.578552
"117",84.160004,84.5,82.980003,83.739998,1681300,80.739716
"118",83.82,84.849998,83.519997,84.050003,1725500,81.038605
"119",83.980003,87.879997,83.889999,86.139999,3249500,83.053734
"120",86.370003,86.580002,85.510002,86.239998,4885900,83.150146
"121",86.230003,87.370003,86.150002,86.620003,1420300,83.516533
"122",86.43,87.040001,85.879997,86.010002,1669500,82.928383
"123",86.860001,87.519997,86.459999,86.980003,1516200,83.863647
"124",87.25,87.790001,86.080002,86.809998,1618300,83.699715
"125",87.230003,87.790001,87.099998,87.199997,1727900,84.075745
"126",87.480003,87.830002,86.980003,87.190002,695700,84.066109
"127",87.300003,87.989998,87.089996,87.239998,1534900,84.114319
"128",86.809998,86.980003,84.589996,84.830002,2319900,81.790657
"129",84.949997,86.489998,84.699997,86.139999,1613200,83.053734
"130",85.949997,86.480003,85.260002,85.879997,1253100,82.803047
"131",85.949997,87.120003,85.709999,86.400002,1750700,83.30442
"132",86.910004,87.290001,86.269997,86.449997,1016300,83.352631
"133",86.389999,86.790001,86.019997,86.57,1198900,83.468315
"134",86.419998,86.879997,85.959999,86.639999,1057300,83.53582
"135",86.440002,87.059998,86.169998,86.5,955400,83.400826
"136",86.919998,87.169998,85.199997,85.870003,2088700,82.793404
"137",85.959999,86.660004,85.050003,85.230003,2308900,82.176338
"138",85.220001,86.760002,85.019997,85.760002,2254700,82.687332
"139",86.139999,86.5,85.220001,85.730003,2150300,82.658424
"140",85.739998,86.620003,85.5,86.089996,2533300,83.005516
"141",82.599998,84.68,81.790001,82.18,4952300,79.235619
"142",81,82.470001,80.190002,81.629997,4316000,78.705307
"143",81.019997,81.230003,79.620003,79.959999,2816600,77.095161
"144",80.110001,81.620003,80.080002,80.440002,2461800,77.557961
"145",80.330002,80.580002,79.529999,80.339996,2016200,77.46154
"146",80.459999,80.900002,79.18,79.279999,3178900,76.439507
"147",79.400002,79.669998,78.720001,78.980003,2714900,76.150261
"148",78.459999,79.349998,78.309998,78.959999,1552100,76.130981
