"","NTAP.Open","NTAP.High","NTAP.Low","NTAP.Close","NTAP.Volume","NTAP.Adjusted"
"1",35.439999,36.189999,35.09,35.57,3218900,31.148516
"2",35.369999,35.950001,35.189999,35.650002,2481400,31.386225
"3",35.66,35.830002,35.18,35.360001,1875500,31.130913
"4",35.360001,35.709999,35.16,35.23,1711800,31.016464
"5",35.32,35.470001,35.130001,35.23,2140700,31.016464
"6",35.279999,35.720001,35.16,35.25,3026000,31.034069
"7",35.25,35.880001,35.25,35.650002,3006100,31.386225
"8",35.52,35.880001,35.080002,35.810001,2069800,31.527092
"9",35.810001,36.110001,35.790001,35.93,1250800,31.632742
"10",35.540001,35.970001,35.459999,35.560001,1329000,31.306992
"11",35.700001,36,35.41,35.990002,1313200,31.685566
"12",35.889999,36.189999,35.610001,35.830002,2625900,31.544701
"13",35.889999,36.5,35.84,36.369999,2358900,32.020119
"14",36.299999,36.490002,35.77,36.169998,2761700,31.844028
"15",36.299999,37.66,36.240002,37.52,3172300,33.03257
"16",37.93,38.5,37.77,37.950001,3174400,33.411148
"17",38.02,38.130001,37.25,37.599998,2144000,33.103004
"18",37.709999,37.869999,37.299999,37.759998,1915500,33.24387
"19",38.5,38.970001,37.869999,38.07,3516700,33.516796
"20",37.849998,38.419998,37.48,38.32,2377800,33.736897
"21",38.549999,38.700001,37.900002,38.049999,1892000,33.49918
"22",37.889999,38.360001,37.580002,38.240002,1564800,33.666458
"23",38.32,38.509998,38.099998,38.279999,1458800,33.701675
"24",38.18,38.630001,38.130001,38.360001,2583700,33.772118
"25",38.5,38.869999,38.439999,38.830002,2459100,34.185902
"26",38.709999,39,38.43,38.959999,2152600,34.300346
"27",38.900002,39.599998,38.77,39.310001,3378400,34.60849
"28",39.43,39.720001,38.970001,39.450001,2835500,34.731743
"29",39.610001,39.84,39.490002,39.580002,2844500,34.846191
"30",39.900002,39.900002,39.360001,39.52,2930400,34.793369
"31",39.360001,39.5,38.849998,38.93,4894400,34.273937
"32",40.799999,42.18,40.360001,40.560001,8173100,35.708984
"33",40.299999,40.98,40.009998,40.169998,3930100,35.365631
"34",40.16,40.68,40.110001,40.52,3000600,35.673779
"35",40.400002,40.77,40.32,40.700001,2839500,35.832245
"36",40.799999,41.110001,40.450001,40.939999,3177000,36.043541
"37",40.66,41.049999,40.470001,40.950001,3146100,36.052345
"38",40.869999,41.380001,40.77,41.27,3203100,36.334064
"39",41.369999,41.959999,41.290001,41.830002,4647800,36.827103
"40",42.02,43.139999,41.830002,43.009998,4715100,37.865959
"41",43.130001,43.139999,42.25,42.259998,4062900,37.205666
"42",42.330002,42.830002,42.240002,42.799999,2572200,37.681084
"43",42.580002,42.700001,42.25,42.57,2283200,37.478592
"44",42.43,43.080002,42.349998,42.66,3476800,37.557827
"45",42.650002,42.830002,42.119999,42.150002,3888000,37.108826
"46",41.959999,42.25,41.75,41.98,2007400,36.959164
"47",42.029999,42.400002,41.889999,42.150002,2301300,37.108826
"48",42.27,42.389999,41.93,41.990002,3139800,36.967953
"49",41.990002,42.16,41.75,42.029999,2593700,37.00317
"50",42.310001,42.439999,41.889999,42.220001,2210400,37.170452
"51",42.23,42.439999,42.02,42.200001,3181200,37.152843
"52",42.25,42.43,42.060001,42.060001,4226200,37.029583
"53",42.200001,42.310001,41.93,41.950001,2330200,36.932751
"54",42.009998,42.09,40.84,40.91,2917900,36.017128
"55",40.970001,41.07,40.630001,40.98,2597400,36.078758
"56",40.959999,41.290001,40.790001,40.900002,3417300,36.00832
"57",41.25,41.599998,40.700001,40.880001,2686500,35.990711
"58",40.52,41.110001,40.299999,40.900002,2538900,36.00832
"59",40.799999,41.360001,40.720001,41.150002,2309100,36.228416
"60",40.900002,41.610001,40.830002,41.59,3068600,36.615803
"61",41.529999,42.029999,41.400002,41.900002,3119400,36.888714
"62",41.849998,42.049999,41.439999,41.849998,4608200,36.844692
"63",41.869999,42.07,41.080002,41.650002,3464700,36.668629
"64",41.419998,41.709999,41.060001,41.189999,3234300,36.263638
"65",41.330002,42.34,40.830002,40.900002,5029400,36.175194
"66",41.139999,41.27,40.689999,41.049999,4348100,36.307854
"67",40.970001,41.09,40.740002,40.799999,3102100,36.086742
"68",40.889999,41,40.360001,40.41,2287300,35.741798
"69",40.41,40.66,40.07,40.540001,3109600,35.856781
"70",40.689999,40.720001,39.610001,39.650002,3137800,35.069592
"71",39.650002,40.080002,39.470001,39.490002,2768800,34.928074
"72",39.630001,39.849998,39.43,39.790001,2157900,35.193428
"73",39.619999,39.880001,39.41,39.73,1513000,35.140347
"74",39.849998,40.310001,39.66,39.75,2283600,35.158039
"75",39.93,40.400002,39.799999,40.310001,2488500,35.653347
"76",40.330002,40.349998,39.48,39.490002,1858700,34.928074
"77",40.09,40.299999,39.919998,39.939999,2286800,35.326088
"78",40.18,40.189999,39.950001,39.970001,1842800,35.352619
"79",39.779999,39.900002,39.419998,39.630001,2257500,35.05191
"80",39.73,39.860001,39.330002,39.759998,2315000,35.166889
"81",39.82,39.939999,39.43,39.849998,2176700,35.246487
"82",40.009998,40.27,39.509998,40.16,1819700,35.520672
"83",40.18,40.32,39.990002,40.130001,1715500,35.494141
"84",39.880001,40.099998,39.73,40.040001,1157500,35.414536
"85",40.110001,40.330002,39.689999,39.77,1868300,35.175732
"86",39.830002,40.169998,39.650002,40.16,2211500,35.520672
"87",40.09,40.220001,39.900002,40.130001,2053300,35.494141
"88",40.220001,40.599998,40.009998,40.130001,2218600,35.494141
"89",40.220001,40.549999,40.040001,40.43,2759700,35.759487
"90",40.34,40.43,39.790001,40.060001,2026700,35.432236
"91",39.98,40.049999,39.740002,39.740002,1299700,35.149189
"92",40.009998,41.509998,40.009998,41.5,3487600,36.705875
"93",41.639999,41.799999,41.380001,41.619999,3830200,36.812004
"94",41.25,41.27,40.299999,40.34,2403100,35.679886
"95",40.119999,40.84,39.689999,40.150002,3855000,35.511826
"96",40.419998,40.540001,39.490002,39.529999,3045400,34.963451
"97",39.630001,40.099998,39.599998,39.98,4241400,35.361477
