"","EXR.Open","EXR.High","EXR.Low","EXR.Close","EXR.Volume","EXR.Adjusted"
"1",77.25,77.400002,76.160004,77.050003,906000,65.281204
"2",77.169998,77.870003,76.779999,77.459999,914000,65.628578
"3",76.830002,78.510002,75.970001,78.470001,903200,66.484329
"4",78.120003,79.300003,77.650002,79.199997,944500,67.102806
"5",79.269997,79.379997,78.050003,78.260002,616600,66.306412
"6",78.25,78.400002,76.589996,76.629997,955200,64.925369
"7",76.779999,76.889999,74.629997,74.650002,1535500,63.247799
"8",74.629997,74.68,73.230003,73.809998,1246500,62.536091
"9",73.760002,73.949997,72.620003,72.650002,913700,61.553291
"10",72.660004,73.150002,72.400002,73.040001,1167900,61.883701
"11",73.120003,73.580002,72.489998,73.169998,911000,61.993847
"12",72.760002,73.150002,72.309998,73.099998,761400,61.934536
"13",73.050003,73.580002,72.269997,73.419998,1007500,62.205669
"14",73.660004,75.139999,73.660004,75,1190300,63.544342
"15",74.830002,75.43,74.699997,75.139999,762200,63.662952
"16",75.260002,75.639999,73.230003,73.769997,1090600,62.502205
"17",73.839996,74.440002,73.029999,73.980003,943600,62.68013
"18",74.150002,74.449997,73.099998,73.199997,809600,62.019268
"19",73.370003,73.57,72.129997,72.300003,826700,61.256737
"20",72.260002,73.080002,71.830002,72.050003,764200,61.044926
"21",71.720001,72.230003,71.470001,71.639999,801000,60.697544
"22",71.620003,72.870003,71.620003,72.459999,714900,61.3923
"23",73.120003,73.269997,72.269997,73.010002,706300,61.858299
"24",73.050003,73.489998,72.120003,73.209999,551500,62.027737
"25",73.18,74.220001,73.18,73.720001,674700,62.459831
"26",73.75,75.089996,73.629997,74.190002,872200,62.858055
"27",74.260002,74.720001,73.739998,74.510002,323600,63.129185
"28",74.360001,75.120003,74.18,75,415900,63.544342
"29",75.25,75.559998,74.489998,74.849998,616300,63.417229
"30",74.849998,74.849998,72.910004,73.5,642600,62.273434
"31",72.709999,73.709999,71.860001,73.540001,731600,62.307339
"32",74.349998,75.330002,73.760002,74.870003,1168900,63.434204
"33",75.010002,77.309998,74.910004,77.25,1486800,65.450684
"34",77.139999,78.660004,76.32,78.370003,1287300,66.39959
"35",78.629997,80.25,77.800003,77.919998,1816900,66.018311
"36",78.419998,79.169998,76.93,79.139999,936500,67.051971
"37",79.190002,79.809998,78.489998,79.489998,661200,67.348503
"38",79.660004,80.099998,79.290001,79.510002,466600,67.365463
"39",79.660004,80.18,79.07,79.190002,806800,67.094337
