"","MKTX.Open","MKTX.High","MKTX.Low","MKTX.Close","MKTX.Volume","MKTX.Adjusted"
"1",149.789993,151.479996,147.789993,150.179993,320900,145.26709
"2",150.679993,154.550003,150.669998,152.919998,322800,147.91745
"3",152.449997,153.600006,151.5,152.710007,243400,147.714294
"4",158.539993,159.080002,156.169998,157.149994,463200,152.009064
"5",156.899994,157.699997,155.089996,156.789993,174000,151.660843
"6",156.130005,156.970001,153.740005,156.059998,215500,150.954727
"7",156.5,157.419998,154.809998,156.990005,194200,151.85434
"8",156.470001,156.720001,154.710007,156.350006,155700,151.235229
"9",157.100006,159.940002,155.350006,156.850006,189600,151.718872
"10",155.919998,157.710007,153.949997,155.509995,171900,150.422699
"11",156.289993,157.330002,155.320007,156.509995,132900,151.389969
"12",156.270004,156.619995,154.460007,155.229996,145000,150.151917
"13",155.320007,157.300003,155.320007,156.889999,178100,151.757584
"14",156.649994,159.429993,154.990005,155.389999,167500,150.306641
"15",155.949997,159.25,154.029999,158.360001,218100,153.179489
"16",170.660004,178,166,175.990005,616000,170.232758
"17",176.990005,182.860001,176.550003,180.410004,456900,174.508163
"18",181.039993,181.809998,178.100006,179.820007,274800,173.937469
"19",179.990005,181.490005,178.070007,181.339996,209700,175.4077
"20",183.470001,188.869995,183.470001,187.25,503800,181.124405
"21",190.289993,190.289993,186.5,188.139999,357700,181.985245
"22",187.779999,190.100006,185.889999,188.100006,270400,181.946609
"23",189.660004,191.309998,187.070007,191.270004,225100,185.012909
"24",191.440002,191.440002,189.020004,190.279999,197100,184.055267
"25",190.039993,194.119995,189.029999,189.339996,265600,183.464188
"26",188.660004,189.630005,185.830002,187.470001,234300,181.652222
"27",187.839996,189.470001,186.570007,188.330002,229100,182.485565
"28",188.669998,188.949997,186.429993,186.820007,161300,181.0224
"29",186.979996,190.330002,186.979996,189.800003,226900,183.909912
"30",188.880005,190.229996,187.240005,190.070007,176400,184.171524
"31",189.979996,191.990005,188.009995,191.690002,122000,185.741257
"32",191.5,193.470001,190.059998,191.679993,83000,185.731537
"33",191.449997,193.440002,190.149994,193.080002,126200,187.088135
"34",193.630005,195.229996,191.839996,192.740005,195700,186.758728
"35",192.380005,195.149994,192.270004,195.020004,146200,188.967926
"36",194.740005,195.529999,192.850006,194.850006,176400,188.803223
"37",193.800003,196.289993,193.240005,196.179993,172500,190.091888
"38",196.899994,197.059998,191.139999,194.990005,286200,188.938843
"39",195.330002,196.610001,192.539993,195.229996,234300,189.171417
"40",196.449997,200.899994,193.880005,197.740005,235800,191.603516
"41",196.960007,197.809998,191.779999,191.949997,167000,185.99321
"42",192.660004,195.940002,190.410004,193.850006,276800,187.834259
"43",192.850006,195.919998,191.820007,192.800003,145000,186.816833
"44",192.910004,194.830002,191.259995,192.539993,126800,186.56488
"45",192.220001,194,190.830002,190.970001,118500,185.043594
"46",190.949997,192.789993,190.440002,192.110001,108600,186.148254
"47",193.070007,194.179993,191.029999,191.5,106100,185.557159
"48",191.479996,192.990005,190.690002,191.679993,110700,185.731537
"49",190.690002,192.179993,189.839996,191.240005,108600,185.305206
"50",191.800003,192.889999,190.149994,191.119995,121500,185.188934
"51",191.710007,192.869995,190.470001,190.779999,138500,184.859482
"52",190.669998,191.059998,189.589996,190.050003,263800,184.152145
"53",189.809998,192.490005,189.199997,189.830002,94200,183.938995
"54",189.979996,190.009995,184.220001,184.429993,128200,178.706543
"55",184.190002,191.419998,184.190002,187.949997,144500,182.117325
"56",188.25,191.740005,186.800003,187,95000,181.196823
"57",187.020004,189.279999,186.649994,187.699997,77300,181.875076
"58",185.039993,186.139999,181.820007,184.990005,216800,179.249207
"59",185.110001,188.330002,182.669998,185.910004,300500,180.14064
"60",185.630005,186.139999,182.990005,185.110001,172400,179.365463
